Date,Open,High,Low,Close,Volume
9-Dec-16,175.36,178.87,175.30,178.49,2650644
8-Dec-16,176.08,176.35,174.77,175.88,1790705
7-Dec-16,172.38,176.06,171.97,176.05,3164316
6-Dec-16,171.82,172.03,171.23,171.80,1467548
5-Dec-16,172.63,172.95,171.08,171.62,2181327
2-Dec-16,172.53,173.69,172.24,172.43,1871524
1-Dec-16,171.64,172.74,171.45,172.63,1756890
30-Nov-16,172.20,173.19,171.59,171.74,2595787
29-Nov-16,172.54,173.29,172.15,172.77,1483189
28-Nov-16,173.56,173.77,172.28,172.50,1677696
25-Nov-16,172.21,173.99,172.21,173.49,945845
23-Nov-16,172.08,172.75,171.76,172.25,1477958
22-Nov-16,171.67,172.08,171.28,171.91,1553303
21-Nov-16,171.42,171.98,170.72,171.52,1993936
18-Nov-16,172.51,173.28,172.29,172.96,1711068
17-Nov-16,172.01,173.25,172.01,172.77,1782191
16-Nov-16,173.13,173.23,171.57,172.01,2022623
15-Nov-16,173.16,174.25,171.91,174.24,2177504
14-Nov-16,175.23,175.51,171.90,172.91,2607032
11-Nov-16,174.05,175.13,173.73,175.08,1868162
10-Nov-16,170.16,174.67,169.79,174.28,3280034
9-Nov-16,165.84,171.00,165.84,170.39,3659314
8-Nov-16,169.90,172.05,169.78,171.03,1956187
7-Nov-16,168.15,169.89,167.98,169.74,1930929
4-Nov-16,167.21,167.85,166.42,166.48,1927527
3-Nov-16,166.14,167.64,165.26,166.83,2504984
2-Nov-16,164.70,166.37,163.91,165.73,2233414
1-Nov-16,165.40,165.81,163.85,164.25,2455784
31-Oct-16,166.46,166.54,165.18,165.30,2289132
28-Oct-16,166.55,167.18,165.14,165.77,1934281
27-Oct-16,166.87,166.95,165.28,165.76,1486376
26-Oct-16,165.69,167.79,165.41,166.51,2174852
25-Oct-16,169.47,169.89,165.11,166.23,3826166
24-Oct-16,172.65,173.44,170.90,171.27,2668523
21-Oct-16,168.11,169.56,167.72,169.50,2013555
20-Oct-16,169.57,170.34,168.99,169.86,1210539
19-Oct-16,170.80,170.94,169.66,169.91,1164213
18-Oct-16,171.68,171.91,169.84,169.95,1185565
17-Oct-16,170.54,171.09,169.94,170.21,1229184
14-Oct-16,170.99,171.39,170.30,170.33,1512376
13-Oct-16,168.87,170.31,168.46,170.02,1919715
12-Oct-16,169.60,170.18,168.89,169.72,1554146
11-Oct-16,170.24,170.47,168.69,169.68,1998726
10-Oct-16,171.84,172.75,170.94,171.14,1936639
7-Oct-16,171.90,171.94,170.04,171.33,2249588
6-Oct-16,171.93,172.32,170.60,171.64,2273400
5-Oct-16,171.66,172.56,171.34,172.39,2305546
