Date,Open,High,Low,Close,Volume
9-Dec-16,43.07,44.22,43.06,44.04,2528602
8-Dec-16,44.37,44.52,43.00,43.05,2880045
7-Dec-16,44.37,44.76,44.25,44.47,2771192
6-Dec-16,44.88,44.98,43.85,44.37,2785329
5-Dec-16,45.48,45.48,44.43,44.89,2609535
2-Dec-16,45.00,45.00,43.44,44.44,3082777
1-Dec-16,44.50,44.80,43.53,43.64,4142347
30-Nov-16,45.23,45.29,44.55,44.75,3967314
29-Nov-16,45.27,45.74,45.08,45.28,3985490
28-Nov-16,44.77,45.47,44.68,45.29,3701853
25-Nov-16,44.73,45.03,44.63,44.85,1329138
23-Nov-16,45.02,45.64,44.61,44.74,2990926
22-Nov-16,43.73,45.65,43.59,45.26,6909046
21-Nov-16,41.63,43.71,41.55,43.59,9065620
18-Nov-16,41.74,42.00,41.61,41.68,2767283
17-Nov-16,42.02,42.34,41.51,41.97,3638331
16-Nov-16,41.53,42.54,41.47,42.06,3894110
15-Nov-16,41.02,41.85,40.86,41.62,4665933
14-Nov-16,41.79,42.30,40.64,40.87,4028512
11-Nov-16,42.39,42.66,41.43,41.92,2838657
10-Nov-16,44.78,44.86,42.30,42.33,3615289
9-Nov-16,43.85,45.01,43.34,44.20,5104599
8-Nov-16,45.42,45.66,44.81,45.33,2980029
7-Nov-16,45.52,45.57,44.54,45.38,4123332
4-Nov-16,43.51,46.30,42.17,45.08,18240636
3-Nov-16,48.27,48.33,46.63,46.74,4528518
2-Nov-16,47.98,48.74,47.98,48.10,2464104
1-Nov-16,48.72,48.86,47.64,47.88,2307438
31-Oct-16,48.02,48.36,47.75,48.11,2268297
28-Oct-16,47.76,48.26,47.76,47.97,2742195
27-Oct-16,48.83,48.83,47.66,47.77,2800263
26-Oct-16,49.96,49.96,48.68,48.70,1924764
25-Oct-16,50.10,50.34,49.83,49.94,1688850
24-Oct-16,49.38,50.63,49.36,50.04,3421098
21-Oct-16,48.94,49.12,48.46,49.09,1690722
20-Oct-16,49.30,49.42,48.71,48.87,1729953
19-Oct-16,49.00,49.36,48.74,49.16,1609164
18-Oct-16,48.45,49.54,48.45,48.91,2413854
17-Oct-16,48.33,48.35,47.67,48.10,1860867
