Date,Open,High,Low,Close,Volume
9-Dec-16,30.26,31.54,30.19,31.42,5671171
8-Dec-16,30.43,30.69,29.94,30.18,4320138
7-Dec-16,29.45,30.29,29.31,30.23,4664678
6-Dec-16,29.05,29.52,28.47,29.38,5345317
5-Dec-16,28.98,29.80,28.98,29.17,6320374
2-Dec-16,29.05,29.25,28.67,28.82,3778594
1-Dec-16,28.60,29.50,28.56,29.09,7389339
30-Nov-16,27.40,28.56,27.29,28.40,6345075
29-Nov-16,26.99,27.30,26.61,27.06,5492925
28-Nov-16,27.42,27.64,26.80,27.35,4622630
25-Nov-16,27.48,27.70,26.95,27.43,2109053
23-Nov-16,27.35,27.91,27.29,27.45,4207887
22-Nov-16,29.05,29.12,27.20,27.37,6784488
21-Nov-16,28.50,29.07,28.47,29.05,5397474
18-Nov-16,27.21,28.36,27.21,28.26,4148555
17-Nov-16,27.24,27.44,27.02,27.33,2785366
16-Nov-16,27.73,27.95,27.15,27.21,3388833
15-Nov-16,28.13,28.19,27.57,27.95,4852134
14-Nov-16,27.45,28.30,27.45,28.29,6924236
11-Nov-16,28.07,28.18,26.80,27.41,7431646
10-Nov-16,26.93,28.50,26.93,28.23,7989680
9-Nov-16,25.93,26.96,25.50,26.77,5781178
8-Nov-16,25.06,26.28,24.81,26.18,5437609
7-Nov-16,24.88,25.35,24.76,25.11,5524724
4-Nov-16,24.02,24.79,23.96,24.50,4357340
3-Nov-16,24.58,24.65,24.07,24.15,5481676
2-Nov-16,24.53,25.04,24.21,24.73,7180471
1-Nov-16,23.96,24.94,23.66,24.32,8046496
31-Oct-16,23.72,23.90,23.26,23.53,4857108
28-Oct-16,23.99,24.29,23.53,23.79,3762689
27-Oct-16,25.00,25.07,23.82,23.93,5462120
26-Oct-16,24.51,24.97,24.36,24.82,3447803
25-Oct-16,24.58,24.83,24.35,24.60,3515693
24-Oct-16,24.40,24.54,24.17,24.51,3094219
21-Oct-16,24.52,24.76,24.15,24.31,4099652
20-Oct-16,23.70,24.85,23.59,24.69,8720954
19-Oct-16,23.28,23.94,23.22,23.84,5508898
18-Oct-16,23.11,23.54,22.83,23.39,4208989
17-Oct-16,23.16,23.28,22.80,22.83,4035507
14-Oct-16,23.40,23.73,23.14,23.15,4146757
13-Oct-16,23.52,23.52,22.77,23.24,6158209
12-Oct-16,24.80,24.87,23.75,23.79,6488586
11-Oct-16,24.83,25.00,24.43,24.86,4607694
10-Oct-16,24.81,25.05,24.67,24.83,2875411
7-Oct-16,24.90,24.91,24.43,24.58,3920017
6-Oct-16,25.05,25.20,24.59,24.85,3759754
5-Oct-16,24.79,25.49,24.61,25.07,4812362
4-Oct-16,24.86,24.95,24.59,24.64,4266952
3-Oct-16,24.50,24.94,24.26,24.89,5816812
30-Sep-16,24.40,24.64,24.15,24.46,5645929
29-Sep-16,24.50,24.78,24.17,24.25,4453896
28-Sep-16,24.07,24.48,23.92,24.46,5132944
27-Sep-16,24.06,24.12,23.72,23.99,6960433
26-Sep-16,24.75,24.87,24.12,24.14,6537265
23-Sep-16,25.42,25.53,24.80,24.82,5474153
22-Sep-16,25.46,25.95,25.38,25.55,5199034
21-Sep-16,25.30,25.66,25.02,25.32,4077447
20-Sep-16,25.42,25.54,25.00,25.09,4040795
19-Sep-16,25.56,25.71,25.28,25.28,3599911
16-Sep-16,25.75,25.98,25.44,25.54,4650571
15-Sep-16,25.72,26.21,25.71,25.95,4468496
14-Sep-16,26.59,26.68,25.70,25.83,3943718
13-Sep-16,26.80,26.92,26.09,26.49,4866601
12-Sep-16,27.09,27.58,26.75,27.25,5763917
9-Sep-16,28.06,28.13,26.97,27.01,4595282
8-Sep-16,28.63,28.95,28.10,28.25,3951751
7-Sep-16,28.52,29.16,28.18,28.57,4789476
6-Sep-16,29.28,29.51,28.62,28.65,3807530
2-Sep-16,29.48,29.85,28.90,29.49,3839191
1-Sep-16,30.00,30.03,29.04,29.17,6231117
31-Aug-16,30.30,30.39,29.55,30.07,8702748
30-Aug-16,27.87,30.96,27.69,30.45,21094807
29-Aug-16,27.67,28.16,27.67,27.95,3131964
26-Aug-16,28.67,28.90,27.47,27.60,5416518
