Date,Open,High,Low,Close,Volume
9-Dec-16,18.56,18.58,18.08,18.25,10999743
8-Dec-16,18.50,18.59,18.16,18.38,14506414
7-Dec-16,18.21,18.49,18.09,18.42,14177750
6-Dec-16,18.12,18.62,17.93,18.35,13954503
5-Dec-16,18.55,18.72,18.29,18.39,14032091
2-Dec-16,17.84,18.39,17.84,18.20,16678730
1-Dec-16,19.12,19.14,17.58,17.89,36112885
30-Nov-16,16.38,18.55,16.38,18.06,74592364
29-Nov-16,15.14,15.16,14.71,14.95,20300474
28-Nov-16,16.55,16.58,15.51,15.54,20131745
25-Nov-16,16.63,16.63,16.14,16.28,7921576
23-Nov-16,16.37,16.80,16.29,16.78,11231579
22-Nov-16,16.41,16.73,16.01,16.55,17922551
21-Nov-16,16.08,16.58,16.04,16.48,19714327
18-Nov-16,15.52,15.82,15.49,15.62,13993762
17-Nov-16,15.80,16.07,15.44,15.46,17795688
16-Nov-16,15.55,15.92,15.35,15.56,16469427
15-Nov-16,15.24,15.85,15.15,15.70,20432718
14-Nov-16,14.70,15.00,14.45,14.93,15132705
11-Nov-16,14.94,15.07,14.36,14.89,13642070
10-Nov-16,14.73,15.23,14.63,15.14,19249962
9-Nov-16,14.18,15.07,14.18,14.88,22354113
8-Nov-16,14.03,14.36,13.98,14.25,11009255
7-Nov-16,14.10,14.26,13.92,14.15,16077005
4-Nov-16,13.91,14.20,13.66,13.69,29039646
3-Nov-16,13.77,14.76,13.71,14.15,38327534
2-Nov-16,13.06,13.10,12.36,12.78,26197426
1-Nov-16,13.37,13.53,12.87,13.27,16540223
31-Oct-16,13.65,13.68,13.14,13.18,16153837
28-Oct-16,13.88,14.23,13.65,13.72,19045807
27-Oct-16,14.35,14.40,13.88,13.95,18435265
26-Oct-16,13.99,14.39,13.90,14.25,13519784
25-Oct-16,14.45,14.65,14.15,14.18,9830522
24-Oct-16,14.59,14.76,14.26,14.59,10074888
21-Oct-16,14.57,14.75,14.50,14.64,8355031
20-Oct-16,14.47,14.70,14.27,14.70,12850494
19-Oct-16,14.35,14.86,14.31,14.65,15798523
18-Oct-16,14.40,14.42,14.01,14.20,15738420
17-Oct-16,14.39,14.56,14.03,14.18,13373589
14-Oct-16,14.87,14.94,14.54,14.58,11115834
13-Oct-16,14.77,14.93,14.52,14.78,12611413
12-Oct-16,15.00,15.06,14.78,14.94,11785992
11-Oct-16,15.60,15.64,14.92,15.08,15994673
10-Oct-16,15.84,15.94,15.61,15.72,10553600
7-Oct-16,16.11,16.18,15.50,15.56,16881090
6-Oct-16,16.27,16.34,15.82,16.08,13514864
5-Oct-16,15.93,16.40,15.87,16.12,17660818
4-Oct-16,16.02,16.14,15.52,15.63,13750511
3-Oct-16,15.89,16.09,15.61,15.98,10465332
30-Sep-16,15.95,16.16,15.76,15.81,19307897
29-Sep-16,15.28,16.25,15.28,15.90,34965511
28-Sep-16,14.21,15.24,13.84,15.18,30979904
27-Sep-16,14.16,14.22,13.90,14.06,16028688
26-Sep-16,14.55,14.84,14.38,14.41,11912969
23-Sep-16,14.71,15.10,14.26,14.49,22031468
22-Sep-16,14.80,15.22,14.74,14.87,17035255
21-Sep-16,14.11,14.68,14.07,14.65,18859273
