Date,Open,High,Low,Close,Volume
9-Dec-16,16.95,17.05,16.46,16.62,6242708
8-Dec-16,16.76,16.86,16.38,16.70,4994889
7-Dec-16,16.74,17.14,16.41,16.65,7136850
6-Dec-16,17.23,17.51,16.97,17.07,8155157
5-Dec-16,17.28,17.68,17.11,17.49,7561877
2-Dec-16,16.46,17.34,16.46,17.05,8488523
1-Dec-16,16.51,16.80,16.13,16.48,12671302
30-Nov-16,14.21,16.50,14.21,16.10,17985275
29-Nov-16,13.17,13.29,12.84,13.17,7451974
28-Nov-16,14.42,14.48,13.50,13.50,7840732
25-Nov-16,14.38,14.41,14.08,14.29,3768445
23-Nov-16,14.00,14.60,14.00,14.54,4606289
22-Nov-16,14.27,14.38,13.95,14.16,5530912
21-Nov-16,14.00,14.45,14.00,14.22,6154235
18-Nov-16,13.74,13.83,13.57,13.62,3837607
17-Nov-16,13.78,13.92,13.52,13.61,4113805
16-Nov-16,13.48,13.63,13.22,13.58,4989985
15-Nov-16,13.07,13.64,13.07,13.53,8641217
14-Nov-16,12.59,12.90,12.54,12.79,5115416
11-Nov-16,12.48,12.65,12.13,12.58,7448116
10-Nov-16,12.39,12.78,12.28,12.66,6547096
9-Nov-16,12.04,12.66,11.94,12.51,6479535
8-Nov-16,11.77,12.15,11.63,12.09,5319399
7-Nov-16,11.85,12.08,11.81,11.86,7290954
4-Nov-16,11.38,11.79,11.01,11.60,11355255
3-Nov-16,11.31,11.64,11.26,11.45,6098294
2-Nov-16,11.43,11.64,11.29,11.33,6451029
1-Nov-16,12.10,12.24,11.50,11.81,8540809
31-Oct-16,12.09,12.21,11.78,11.90,9718331
28-Oct-16,12.09,12.27,11.92,11.95,10853567
27-Oct-16,12.44,12.56,11.83,12.04,7081190
26-Oct-16,12.46,12.93,12.14,12.27,8895239
25-Oct-16,12.97,13.23,12.76,12.77,6342480
24-Oct-16,13.15,13.15,12.72,13.04,4906107
21-Oct-16,13.02,13.10,12.76,13.05,6290703
20-Oct-16,13.00,13.31,12.88,13.12,6187474
19-Oct-16,13.41,13.62,13.13,13.26,6682738
18-Oct-16,12.99,13.15,12.82,13.14,7239900
17-Oct-16,12.91,12.98,12.68,12.68,3763511
14-Oct-16,13.24,13.32,12.83,12.87,4686513
13-Oct-16,12.79,13.20,12.68,13.11,6794467
12-Oct-16,12.87,13.10,12.76,12.88,5175299
11-Oct-16,12.85,13.06,12.67,13.03,5222351
10-Oct-16,12.85,13.11,12.85,12.93,7089912
7-Oct-16,12.72,12.86,12.56,12.60,6156335
6-Oct-16,12.62,12.89,12.43,12.71,6944834
5-Oct-16,12.25,12.74,12.25,12.50,7872438
4-Oct-16,12.33,12.46,11.86,11.94,8210291
3-Oct-16,12.26,12.43,11.94,12.30,6132700
30-Sep-16,11.95,12.33,11.77,12.16,7035696
29-Sep-16,11.38,12.01,11.33,11.80,13542799
28-Sep-16,10.31,11.27,10.24,11.26,12113809
27-Sep-16,10.03,10.21,9.86,10.17,9046023
26-Sep-16,10.08,10.50,9.99,10.30,7440994
23-Sep-16,10.35,10.56,9.98,10.00,6412540
22-Sep-16,10.27,10.50,10.27,10.44,5714144
21-Sep-16,9.87,10.11,9.78,10.04,7285210
20-Sep-16,9.62,9.86,9.42,9.68,7337387
19-Sep-16,9.70,9.87,9.65,9.65,5656696
16-Sep-16,9.35,9.78,9.33,9.61,10235186
15-Sep-16,9.35,9.78,9.24,9.58,9622357
14-Sep-16,9.22,9.64,9.09,9.24,7928245
13-Sep-16,10.01,10.05,9.17,9.31,9781592
12-Sep-16,10.10,10.37,9.90,10.21,7623094
9-Sep-16,10.69,10.73,10.25,10.25,6990331
8-Sep-16,10.68,11.02,10.49,10.92,5800141
7-Sep-16,10.51,10.68,10.40,10.58,6429241
6-Sep-16,10.20,10.53,10.12,10.52,4989865
2-Sep-16,10.05,10.28,10.04,10.14,5042794
1-Sep-16,9.84,9.94,9.69,9.90,5844375
31-Aug-16,9.87,10.20,9.86,9.94,7096190
30-Aug-16,10.11,10.24,9.84,9.98,7538120
29-Aug-16,9.79,10.00,9.72,9.94,3437285
26-Aug-16,10.10,10.21,9.82,9.86,5577898
25-Aug-16,9.94,10.12,9.82,10.05,6061496
24-Aug-16,10.14,10.28,9.92,9.92,7729925
23-Aug-16,9.92,10.27,9.87,10.26,7580368
22-Aug-16,9.96,10.05,9.73,9.93,5177322
19-Aug-16,10.24,10.27,9.93,10.15,5655300
18-Aug-16,10.01,10.43,10.00,10.31,4406681
17-Aug-16,10.22,10.33,9.79,9.88,9509066
16-Aug-16,10.11,10.44,10.00,10.31,6748881
15-Aug-16,9.71,10.28,9.65,10.07,8982594
12-Aug-16,9.73,9.84,9.46,9.57,7849744
11-Aug-16,9.56,9.72,9.43,9.65,8103049
10-Aug-16,9.81,9.91,9.50,9.53,7502900
9-Aug-16,9.74,9.89,9.62,9.78,6207182
8-Aug-16,9.41,9.91,9.41,9.68,7575933
5-Aug-16,9.22,9.36,9.15,9.26,7341674
4-Aug-16,9.04,9.42,9.04,9.18,6826179
3-Aug-16,8.69,9.08,8.48,9.07,11386067
2-Aug-16,8.75,8.84,8.46,8.69,6378327
1-Aug-16,8.85,8.86,8.50,8.61,6851750
29-Jul-16,8.90,9.08,8.74,9.00,8978859
28-Jul-16,9.12,9.34,8.89,8.97,5382560
27-Jul-16,9.54,9.75,9.02,9.12,5735254
26-Jul-16,9.16,9.48,9.14,9.44,4177341
25-Jul-16,9.22,9.29,9.14,9.23,4302850
22-Jul-16,9.29,9.34,9.06,9.33,5415178
21-Jul-16,9.40,9.67,9.22,9.25,5114037
20-Jul-16,9.41,9.63,9.19,9.44,8046996
19-Jul-16,9.75,9.85,9.43,9.53,6947147
18-Jul-16,9.63,9.89,9.53,9.83,5783175
15-Jul-16,9.74,9.89,9.67,9.71,4483917
14-Jul-16,9.89,10.01,9.64,9.66,5429498
13-Jul-16,10.17,10.30,9.70,9.73,7238047
12-Jul-16,9.78,10.36,9.71,10.19,10837414
11-Jul-16,9.94,10.06,9.37,9.38,9010614
8-Jul-16,9.74,9.94,9.58,9.82,6336387
7-Jul-16,9.78,10.04,9.40,9.50,8331305
6-Jul-16,9.72,9.88,9.54,9.70,10674833
5-Jul-16,10.30,10.34,9.52,9.85,6938121
1-Jul-16,10.02,10.63,10.02,10.58,5134524
30-Jun-16,9.69,10.07,9.58,10.05,6094883
29-Jun-16,9.74,9.86,9.58,9.73,9115568
28-Jun-16,9.58,9.73,9.34,9.53,9136760
27-Jun-16,9.82,9.84,9.21,9.25,8620591
24-Jun-16,10.14,10.46,10.06,10.06,11089106
23-Jun-16,10.77,10.86,10.67,10.79,5449293
22-Jun-16,10.72,10.84,10.48,10.53,5661245
21-Jun-16,10.33,10.71,10.22,10.58,7606275
20-Jun-16,10.74,10.85,10.34,10.36,6667786
17-Jun-16,10.28,10.58,10.22,10.42,8950592
16-Jun-16,10.13,10.13,9.78,10.09,6677532
15-Jun-16,10.25,10.52,10.16,10.29,7136638
14-Jun-16,10.20,10.52,10.10,10.37,5414098
13-Jun-16,10.20,10.61,10.09,10.30,6177175
