Date,Open,High,Low,Close,Volume
9-Dec-16,47.93,48.30,47.36,47.82,1939880
8-Dec-16,47.36,47.78,46.27,47.65,1573659
7-Dec-16,46.75,47.45,46.35,46.96,2821369
6-Dec-16,45.04,47.34,44.63,47.18,3418247
5-Dec-16,46.57,46.73,45.55,45.63,1930604
2-Dec-16,45.74,46.95,45.55,45.95,2605466
1-Dec-16,46.54,47.32,45.59,46.11,4224482
30-Nov-16,41.73,45.87,41.71,45.22,6983964
29-Nov-16,38.84,39.86,38.52,39.10,3916762
28-Nov-16,41.68,41.78,39.76,39.83,2321285
25-Nov-16,41.61,41.86,41.02,41.27,1008509
23-Nov-16,41.04,42.04,40.87,42.02,2122225
22-Nov-16,42.26,42.28,40.40,41.41,2352268
21-Nov-16,41.40,42.22,41.40,41.92,2136692
18-Nov-16,39.97,40.75,39.59,40.17,2833482
17-Nov-16,40.68,41.30,39.64,39.80,2141743
16-Nov-16,40.35,40.54,39.60,40.03,1680616
15-Nov-16,39.32,40.45,39.12,40.40,3385156
14-Nov-16,37.61,38.59,37.32,38.56,2738149
11-Nov-16,38.44,38.78,37.17,37.83,2259907
10-Nov-16,38.95,40.15,38.74,38.84,4948513
9-Nov-16,37.73,39.27,37.59,38.77,3225174
8-Nov-16,37.99,38.17,37.37,37.84,5075623
7-Nov-16,38.66,38.89,37.90,38.21,4752183
4-Nov-16,38.96,39.22,37.80,37.84,4696711
3-Nov-16,39.58,40.04,38.76,39.10,3707922
2-Nov-16,40.85,41.30,38.62,39.32,6171530
1-Nov-16,40.99,41.58,39.91,40.49,3743618
31-Oct-16,41.15,41.23,40.33,40.59,2875200
28-Oct-16,41.89,42.80,41.11,41.39,2540562
27-Oct-16,42.50,42.74,41.82,41.93,2095218
26-Oct-16,41.41,42.30,40.64,42.25,3154802
25-Oct-16,42.80,43.07,41.83,42.00,2432679
24-Oct-16,43.17,43.37,42.21,43.13,1674515
21-Oct-16,43.46,43.57,42.97,43.23,2020899
20-Oct-16,43.57,44.06,43.09,44.02,2241631
19-Oct-16,43.12,44.53,43.10,44.18,2765091
18-Oct-16,43.48,43.50,42.04,42.53,2673440
17-Oct-16,42.48,43.20,42.41,42.86,2142850
14-Oct-16,43.29,43.33,42.35,42.57,2029461
13-Oct-16,42.82,43.46,42.34,43.14,1983370
12-Oct-16,42.89,43.69,42.41,43.28,1846222
11-Oct-16,43.47,43.54,42.76,43.09,2420194
10-Oct-16,43.58,44.32,43.56,43.68,2254609
7-Oct-16,43.18,43.64,42.63,43.16,2315693
6-Oct-16,43.54,43.79,42.41,43.18,1687024
5-Oct-16,42.99,43.89,42.49,43.31,3198428
4-Oct-16,43.41,43.46,41.73,42.12,2306642
3-Oct-16,43.42,43.48,42.39,43.18,2206418
30-Sep-16,43.37,43.88,42.82,43.46,2232614
29-Sep-16,42.04,43.39,41.70,42.78,4039484
28-Sep-16,39.83,42.10,39.37,42.03,3760752
27-Sep-16,40.37,40.37,39.25,39.50,2391486
26-Sep-16,41.78,42.02,41.02,41.09,2376368
23-Sep-16,43.00,43.52,41.38,41.64,1989880
22-Sep-16,43.16,43.91,42.76,43.30,2710760
21-Sep-16,41.93,42.43,41.55,42.39,2075025
20-Sep-16,41.78,42.16,41.16,41.19,2012818
19-Sep-16,42.15,42.59,41.68,41.97,3306951
16-Sep-16,40.50,41.91,40.31,41.84,6041481
15-Sep-16,40.99,42.04,40.88,41.17,2654759
14-Sep-16,41.90,42.33,40.43,40.65,3231786
13-Sep-16,43.53,43.57,41.97,42.08,1978435
12-Sep-16,44.04,44.76,43.43,44.23,1747306
9-Sep-16,45.38,45.70,44.52,44.53,3339010
8-Sep-16,45.32,46.25,44.93,46.01,2934523
7-Sep-16,45.15,45.28,44.43,44.91,2065868
6-Sep-16,44.94,45.24,44.07,44.89,1803773
2-Sep-16,44.46,45.23,44.37,44.90,2260979
1-Sep-16,43.10,44.14,42.84,44.12,2191417
31-Aug-16,44.21,44.48,43.09,43.36,2347375
30-Aug-16,45.34,45.68,44.19,44.57,1449511
29-Aug-16,44.15,45.13,43.91,45.03,2131082
26-Aug-16,44.53,45.38,43.75,44.15,3193566
25-Aug-16,45.14,45.15,43.96,44.31,2951285
24-Aug-16,45.31,45.59,44.95,45.11,1823545
23-Aug-16,44.95,46.32,44.83,45.72,2197249
22-Aug-16,45.76,45.76,44.94,45.04,2181557
19-Aug-16,46.58,46.61,45.94,46.40,1947301
18-Aug-16,46.29,46.83,45.94,46.78,2469699
17-Aug-16,46.21,46.26,45.27,45.94,2279940
16-Aug-16,46.80,46.87,45.56,46.17,2376823
15-Aug-16,46.86,47.45,46.72,46.96,3056524
12-Aug-16,47.40,47.56,46.59,46.88,1955989
11-Aug-16,45.76,47.48,45.60,47.21,3901912
10-Aug-16,46.31,46.72,45.32,45.37,2415222
9-Aug-16,46.53,46.76,45.63,46.10,1983751
8-Aug-16,45.74,46.78,45.74,46.22,2945711
5-Aug-16,45.38,45.74,44.34,45.28,3671211
4-Aug-16,44.44,46.62,44.25,45.68,5344055
3-Aug-16,40.83,44.77,40.83,44.66,7115791
2-Aug-16,41.31,41.90,40.44,41.55,4290358
1-Aug-16,42.95,42.95,41.14,41.29,3308338
29-Jul-16,41.89,43.36,41.45,43.30,2136394
28-Jul-16,42.13,42.91,41.57,42.38,2140367
27-Jul-16,43.60,43.90,41.65,42.07,3258277
26-Jul-16,42.46,43.50,42.22,43.43,2095247
25-Jul-16,43.94,44.11,42.02,42.66,3172061
22-Jul-16,44.52,44.94,43.91,44.43,1879564
21-Jul-16,44.31,45.22,44.11,44.40,3003130
20-Jul-16,43.38,44.55,42.87,44.42,2488278
19-Jul-16,44.65,44.75,43.72,43.81,1630395
18-Jul-16,44.49,44.61,43.87,44.56,1752656
15-Jul-16,44.84,45.08,44.32,44.52,1351410
14-Jul-16,45.19,45.24,44.26,44.60,2155279
13-Jul-16,45.16,45.46,43.61,44.63,3281881
12-Jul-16,44.60,45.61,44.39,45.16,2928336
11-Jul-16,44.18,44.49,43.42,43.68,2937509
8-Jul-16,43.34,43.94,42.59,43.82,1831438
7-Jul-16,43.89,44.16,42.24,42.77,2577049
