Date,Open,High,Low,Close,Volume
9-Dec-16,12.50,12.89,12.37,12.86,8596151
8-Dec-16,11.90,12.49,11.86,12.46,5565626
7-Dec-16,11.89,12.04,11.80,11.95,7441256
6-Dec-16,11.69,11.86,11.48,11.82,6877217
5-Dec-16,11.32,11.75,11.06,11.71,6788485
2-Dec-16,10.98,11.44,10.98,11.24,4807470
1-Dec-16,11.31,11.44,11.06,11.11,9254103
30-Nov-16,11.36,11.50,11.29,11.34,19546776
29-Nov-16,11.52,11.64,11.22,11.31,5020611
28-Nov-16,11.05,11.57,11.04,11.55,5696811
25-Nov-16,11.03,11.11,10.92,10.95,1755896
23-Nov-16,10.76,11.12,10.75,11.03,2868149
22-Nov-16,11.41,11.45,10.89,10.91,4404020
21-Nov-16,11.33,11.61,11.31,11.52,3108419
18-Nov-16,11.27,11.47,11.20,11.21,2820404
17-Nov-16,11.17,11.52,11.14,11.25,4538787
16-Nov-16,11.43,11.43,11.02,11.19,4730157
15-Nov-16,11.59,11.75,11.28,11.48,6342427
14-Nov-16,11.17,11.83,11.11,11.68,5602650
11-Nov-16,11.08,11.24,10.78,11.07,5899312
10-Nov-16,12.10,12.10,11.06,11.07,8540717
9-Nov-16,11.57,12.15,11.43,12.03,7199914
8-Nov-16,11.47,11.66,11.32,11.47,6675854
7-Nov-16,11.26,11.52,11.24,11.38,6461407
4-Nov-16,10.78,11.67,10.73,11.03,11248588
3-Nov-16,9.95,10.36,9.84,10.13,6046826
2-Nov-16,10.46,10.48,9.88,9.89,8691077
1-Nov-16,10.65,10.76,10.50,10.63,5105435
31-Oct-16,10.37,10.80,10.37,10.63,8552893
28-Oct-16,10.41,10.57,10.20,10.30,5802476
27-Oct-16,10.50,10.72,10.37,10.47,5371875
26-Oct-16,10.87,10.93,10.40,10.53,7669356
25-Oct-16,11.11,11.18,10.81,10.95,7114954
24-Oct-16,11.57,11.73,11.05,11.11,5960030
21-Oct-16,11.52,11.88,11.33,11.52,6071971
20-Oct-16,12.09,12.15,11.38,11.64,6933586
19-Oct-16,11.75,12.12,11.49,12.10,5508898
18-Oct-16,11.13,11.76,11.00,11.70,9783262
17-Oct-16,11.13,11.25,10.92,10.97,3838772
14-Oct-16,11.27,11.46,11.02,11.11,5277036
13-Oct-16,11.07,11.34,10.86,11.27,4231727
12-Oct-16,11.15,11.30,11.00,11.14,3423238
11-Oct-16,11.34,11.38,10.96,11.13,5548845
10-Oct-16,11.10,11.44,11.10,11.42,3755290
7-Oct-16,11.08,11.18,10.97,10.98,5827502
6-Oct-16,10.91,11.12,10.87,10.97,4210443
5-Oct-16,11.14,11.16,10.88,10.97,4074508
4-Oct-16,11.26,11.30,10.84,11.05,5934000
3-Oct-16,11.32,11.62,11.04,11.28,5167998
30-Sep-16,11.18,11.26,11.04,11.21,4397911
29-Sep-16,11.37,11.40,11.03,11.10,4856358
28-Sep-16,11.24,11.49,11.20,11.42,5284413
27-Sep-16,11.26,11.31,11.03,11.19,3556134
26-Sep-16,11.49,11.54,11.25,11.30,4892918
23-Sep-16,11.66,11.85,11.51,11.53,5562716
22-Sep-16,11.98,12.09,11.51,11.76,5600984
21-Sep-16,11.54,11.98,11.50,11.88,6697764
20-Sep-16,11.27,11.53,11.16,11.43,5937912
19-Sep-16,11.27,11.33,11.07,11.22,3089941
16-Sep-16,10.98,11.30,10.86,11.26,9279516
15-Sep-16,10.82,11.31,10.70,11.15,6643271
14-Sep-16,10.98,11.15,10.76,10.89,6349752
13-Sep-16,11.72,11.79,10.78,10.98,6640143
12-Sep-16,11.79,12.05,11.57,11.98,4535137
9-Sep-16,12.25,12.25,11.59,11.60,3863022
8-Sep-16,12.29,12.51,12.22,12.42,5409300
7-Sep-16,12.15,12.48,12.15,12.30,3561533
6-Sep-16,11.98,12.24,11.84,12.15,2441183
2-Sep-16,11.71,12.08,11.71,11.98,2525543
1-Sep-16,12.10,12.17,11.56,11.60,4334344
31-Aug-16,12.16,12.25,11.74,12.11,4021836
30-Aug-16,12.54,12.63,12.16,12.19,2537075
29-Aug-16,12.29,12.53,12.26,12.52,2509524
26-Aug-16,12.41,12.68,12.21,12.26,3124304
25-Aug-16,12.21,12.46,12.20,12.35,1913469
