Date,Open,High,Low,Close,Volume
9-Dec-16,89.37,89.50,88.71,89.37,1834004
8-Dec-16,88.81,90.53,88.39,89.77,1841878
7-Dec-16,86.33,89.38,86.33,89.31,3020414
6-Dec-16,85.59,86.40,85.00,86.38,991334
5-Dec-16,85.05,86.19,84.95,85.40,1575966
2-Dec-16,84.96,85.54,83.77,84.51,1718997
1-Dec-16,82.56,85.97,81.62,85.42,2831535
30-Nov-16,81.75,82.90,81.32,82.15,1475814
29-Nov-16,80.86,81.68,80.86,81.14,1181194
28-Nov-16,81.54,82.12,80.49,80.59,1326914
25-Nov-16,82.25,82.50,81.77,82.15,471621
23-Nov-16,82.23,82.59,81.00,82.02,1191514
22-Nov-16,82.13,82.13,81.20,81.91,1033209
21-Nov-16,81.71,82.28,81.01,81.89,1150098
18-Nov-16,81.64,82.15,81.33,81.50,1300105
17-Nov-16,81.10,81.97,80.93,81.50,1469239
16-Nov-16,81.98,82.34,80.55,81.04,1595281
15-Nov-16,82.24,83.09,80.67,82.97,2310439
14-Nov-16,80.62,82.91,80.21,82.82,3620448
11-Nov-16,78.12,80.01,78.06,79.88,2266039
10-Nov-16,77.49,79.78,76.87,78.52,3109624
9-Nov-16,74.97,77.28,74.32,77.15,2389844
8-Nov-16,73.87,74.45,73.16,73.98,1155531
7-Nov-16,73.56,74.00,72.91,74.00,1538548
4-Nov-16,72.58,72.88,71.94,72.08,953478
3-Nov-16,72.35,73.16,72.11,72.38,1060336
2-Nov-16,72.44,72.50,71.62,72.02,1060597
1-Nov-16,72.88,72.92,72.11,72.72,1513195
31-Oct-16,72.72,72.91,72.37,72.42,1170923
28-Oct-16,72.71,72.79,71.77,72.40,1394543
27-Oct-16,71.95,72.77,71.32,72.40,1915766
26-Oct-16,70.12,71.59,69.92,71.46,927640
25-Oct-16,70.97,71.28,70.27,70.32,1124593
24-Oct-16,71.46,71.65,70.94,70.98,885565
21-Oct-16,70.27,71.02,70.00,70.98,1652285
20-Oct-16,71.14,71.98,70.89,70.98,1044637
19-Oct-16,69.93,71.59,69.46,71.13,1696983
18-Oct-16,71.20,71.36,70.84,70.95,814680
17-Oct-16,70.80,71.63,70.01,70.27,935952
14-Oct-16,70.57,71.30,70.31,70.59,951755
13-Oct-16,70.35,70.35,68.78,69.81,994343
12-Oct-16,71.16,71.70,70.78,71.11,639495
11-Oct-16,71.88,72.04,70.60,71.07,887655
10-Oct-16,72.35,72.74,72.00,72.07,643869
7-Oct-16,72.04,72.08,71.31,71.95,1168574
6-Oct-16,71.79,72.08,71.31,72.04,1188152
5-Oct-16,70.25,72.09,70.05,71.90,1686515
4-Oct-16,67.71,69.99,67.58,69.83,1985651
3-Oct-16,67.73,68.45,67.64,68.15,940557
30-Sep-16,67.16,68.28,66.83,67.99,1631282
29-Sep-16,67.80,68.27,66.40,66.70,1036281
28-Sep-16,67.89,67.89,67.05,67.59,1170878
27-Sep-16,67.20,67.68,66.60,67.55,1004126
26-Sep-16,68.73,68.73,67.44,67.46,1077078
23-Sep-16,69.39,69.54,68.95,69.31,993635
