Date,Open,High,Low,Close,Volume
9-Dec-16,53.28,53.82,53.21,53.76,1538782
8-Dec-16,52.55,53.36,52.21,53.30,1623314
7-Dec-16,52.17,52.98,52.07,52.97,1643522
6-Dec-16,52.10,52.17,51.53,52.01,1436714
5-Dec-16,51.44,51.97,51.04,51.93,1639724
2-Dec-16,51.43,51.90,51.20,51.68,2039612
1-Dec-16,51.27,51.44,50.56,51.10,1783026
30-Nov-16,53.13,53.21,51.60,51.62,2733872
29-Nov-16,53.71,54.32,53.63,53.75,1927849
28-Nov-16,52.87,53.94,52.77,53.84,2377830
25-Nov-16,51.97,52.70,51.96,52.59,829574
23-Nov-16,51.87,52.45,51.65,51.74,1340990
22-Nov-16,52.30,52.70,52.08,52.45,2331778
21-Nov-16,51.94,52.37,51.94,52.20,1440109
18-Nov-16,52.11,52.38,51.54,51.82,1099804
17-Nov-16,51.95,52.47,51.95,52.20,871632
16-Nov-16,52.50,52.70,51.67,51.97,1579171
15-Nov-16,51.88,52.67,51.88,52.43,1437762
14-Nov-16,51.46,51.84,51.28,51.69,1553600
11-Nov-16,52.16,52.90,51.83,51.95,1548674
10-Nov-16,52.85,53.36,50.99,52.34,3051583
9-Nov-16,54.12,54.12,53.14,53.23,2228085
8-Nov-16,54.47,55.33,54.44,55.03,1901501
7-Nov-16,53.48,54.30,52.99,54.29,1282310
4-Nov-16,53.64,54.37,53.17,53.18,1658265
3-Nov-16,53.26,53.63,53.00,53.38,1749289
2-Nov-16,53.89,54.46,52.76,53.44,2505025
1-Nov-16,55.16,55.16,53.94,54.08,1378416
31-Oct-16,54.36,55.46,54.29,55.06,1490144
28-Oct-16,54.04,54.41,53.84,54.20,867832
27-Oct-16,54.00,54.18,53.55,53.91,1535386
26-Oct-16,54.20,54.43,53.78,54.31,1584856
25-Oct-16,53.95,54.52,53.87,54.30,1260653
24-Oct-16,54.19,54.41,53.74,54.13,1008688
21-Oct-16,53.74,54.26,53.74,54.00,1826595
20-Oct-16,54.16,54.59,53.91,54.12,1070002
19-Oct-16,54.13,54.19,53.59,53.97,1629979
18-Oct-16,54.05,54.30,53.36,54.13,1308834
17-Oct-16,53.24,53.77,53.24,53.75,1455058
14-Oct-16,53.07,53.81,52.95,53.18,1412901
13-Oct-16,52.71,53.54,52.54,53.30,1850793
12-Oct-16,52.05,52.66,52.03,52.58,2211941
11-Oct-16,52.66,52.66,51.88,51.98,1781306
10-Oct-16,52.46,52.81,52.34,52.76,1111637
7-Oct-16,53.01,53.57,52.29,52.44,1509784
6-Oct-16,52.53,52.82,51.99,52.72,1808706
5-Oct-16,53.22,53.24,52.18,52.56,2671490
4-Oct-16,53.28,53.40,52.32,52.61,2520209
3-Oct-16,54.00,54.03,53.11,53.54,1676974
30-Sep-16,54.91,55.22,53.81,54.18,2550587
29-Sep-16,54.95,55.15,54.28,54.69,1197706
28-Sep-16,55.51,55.58,54.81,55.24,1120563
27-Sep-16,56.66,56.84,55.30,55.41,1374881
26-Sep-16,56.24,56.59,56.05,56.34,1769395
23-Sep-16,55.65,56.41,55.52,56.23,1731632
22-Sep-16,55.78,56.06,55.45,55.82,1871919
21-Sep-16,54.38,55.49,54.32,55.45,1979638
20-Sep-16,54.86,55.02,54.41,54.43,1633060
19-Sep-16,54.39,54.63,54.18,54.59,1426072
16-Sep-16,53.62,54.26,53.33,54.18,2736488
15-Sep-16,53.24,53.86,53.04,53.77,1273242
14-Sep-16,53.84,54.24,53.41,53.70,1651379
13-Sep-16,54.24,54.27,53.38,53.61,2782237
12-Sep-16,53.34,54.41,53.08,54.31,2766196
9-Sep-16,54.52,54.60,53.24,53.25,2740020
8-Sep-16,54.73,55.12,54.63,55.01,1009668
7-Sep-16,54.90,54.97,54.56,54.87,903239
6-Sep-16,54.61,55.14,54.40,54.96,1352243
2-Sep-16,53.59,54.45,53.55,54.37,1568693
1-Sep-16,53.96,54.00,53.49,53.59,1134068
31-Aug-16,53.71,53.98,53.58,53.97,1503055
30-Aug-16,54.34,54.64,53.69,53.74,1202774
29-Aug-16,54.29,54.68,54.25,54.37,995092
26-Aug-16,55.42,55.77,54.06,54.12,1401656
25-Aug-16,55.31,55.62,55.21,55.27,1138281
24-Aug-16,55.20,55.35,54.78,55.34,1140696
23-Aug-16,55.67,56.18,55.25,55.28,959658
22-Aug-16,55.65,55.96,55.55,55.63,1015029
19-Aug-16,56.33,56.47,55.27,55.54,1538827
18-Aug-16,55.60,56.58,55.60,56.53,2493352
17-Aug-16,55.41,55.91,54.18,55.77,4311306
16-Aug-16,56.22,56.39,55.47,55.47,1421675
15-Aug-16,57.37,57.37,56.34,56.37,1176219
12-Aug-16,57.32,57.62,57.13,57.25,650388
11-Aug-16,56.98,57.17,56.77,57.15,986407
10-Aug-16,56.98,57.11,56.82,56.94,722436
9-Aug-16,56.78,57.26,56.64,56.84,799673
8-Aug-16,56.89,57.18,56.43,56.77,1479810
5-Aug-16,57.24,57.66,56.46,56.74,2158187
4-Aug-16,57.60,57.99,57.44,57.62,1357157
3-Aug-16,58.52,58.79,57.33,57.58,1554297
2-Aug-16,58.79,59.01,58.11,58.49,1364126
1-Aug-16,58.62,59.28,58.58,59.03,1946199
29-Jul-16,58.15,58.69,58.02,58.49,1349648
28-Jul-16,57.58,58.26,57.58,57.97,1337804
27-Jul-16,58.12,58.33,57.24,57.71,1259933
26-Jul-16,58.87,58.92,58.17,58.31,1048670
25-Jul-16,58.78,58.98,58.43,58.87,677813
22-Jul-16,58.05,59.03,58.05,58.88,1215977
21-Jul-16,57.84,58.12,57.51,58.01,1731282
20-Jul-16,58.16,58.17,57.77,57.90,811875
19-Jul-16,58.17,58.32,57.74,58.09,1287890
18-Jul-16,57.93,58.36,57.79,58.13,1236416
15-Jul-16,57.81,58.12,57.69,57.87,1560886
14-Jul-16,57.92,58.07,57.53,57.75,2113583
13-Jul-16,58.09,58.40,57.98,58.31,2151399
12-Jul-16,58.98,59.05,57.85,57.88,2097636
11-Jul-16,59.33,59.43,58.73,59.33,1744772
8-Jul-16,59.01,59.60,58.48,59.57,2079344
7-Jul-16,60.18,60.23,59.08,59.35,1856421
6-Jul-16,60.30,60.44,59.68,60.24,1425858
5-Jul-16,59.81,60.43,59.80,60.25,1413404
1-Jul-16,60.08,60.08,59.12,59.71,1631609
30-Jun-16,58.66,59.95,58.55,59.90,2567102
29-Jun-16,58.51,58.78,58.24,58.58,1331999
28-Jun-16,58.57,58.59,57.54,58.33,1643802
27-Jun-16,57.12,58.82,57.12,58.59,2988175
24-Jun-16,56.13,57.69,55.88,57.22,2366529
23-Jun-16,56.72,56.81,56.14,56.42,1770659
22-Jun-16,57.30,57.30,56.69,56.69,1175230
21-Jun-16,56.81,57.35,56.53,57.03,1205792
20-Jun-16,56.85,57.04,56.32,56.82,1425216
17-Jun-16,56.77,56.89,56.34,56.89,1858689
16-Jun-16,56.51,57.02,56.37,56.78,1203100
15-Jun-16,57.30,57.36,56.39,56.52,1448467
