Date,Open,High,Low,Close,Volume
9-Dec-16,66.25,66.37,64.68,65.37,2949417
8-Dec-16,67.09,68.00,66.26,66.41,3825396
7-Dec-16,65.91,67.12,65.66,66.75,3006866
6-Dec-16,64.96,65.64,64.42,65.58,2844650
5-Dec-16,64.03,65.18,63.94,65.10,3630923
2-Dec-16,61.92,63.05,61.67,63.03,2060306
1-Dec-16,62.59,63.00,61.67,61.95,2943358
30-Nov-16,62.47,63.27,61.88,62.19,3445496
29-Nov-16,60.29,62.02,59.37,61.63,3220670
28-Nov-16,62.67,62.75,61.61,61.97,2721497
25-Nov-16,62.75,62.90,62.35,62.85,855138
23-Nov-16,61.86,62.67,61.53,62.51,2850230
22-Nov-16,60.21,62.40,60.21,62.31,4699324
21-Nov-16,59.40,59.78,58.96,59.66,2120948
18-Nov-16,59.28,59.57,58.66,58.84,3053399
17-Nov-16,59.85,60.03,59.25,59.45,2943184
16-Nov-16,59.84,60.06,59.25,59.85,3335548
15-Nov-16,58.60,60.35,58.41,60.33,4270066
14-Nov-16,59.42,60.09,59.08,59.60,4010658
11-Nov-16,59.25,59.58,57.65,58.75,4541860
10-Nov-16,57.52,59.82,57.41,59.14,7220694
9-Nov-16,54.23,58.53,54.23,57.62,9065616
8-Nov-16,50.91,51.94,50.59,51.37,1893579
7-Nov-16,50.85,51.54,50.79,51.33,3516558
4-Nov-16,48.74,50.42,48.62,49.95,3393311
3-Nov-16,48.25,49.03,48.23,48.78,2057091
2-Nov-16,47.59,48.99,47.59,48.15,2752612
1-Nov-16,49.14,49.29,47.53,47.83,3503596
31-Oct-16,47.87,48.95,47.68,48.85,3179000
28-Oct-16,46.75,48.30,46.64,47.61,2717363
27-Oct-16,47.32,47.32,46.61,46.74,2674094
26-Oct-16,46.96,47.46,46.52,47.34,1857829
25-Oct-16,47.97,47.97,46.86,47.00,2818200
24-Oct-16,48.31,48.32,47.58,47.68,1812064
21-Oct-16,47.92,48.21,47.30,47.87,3547581
20-Oct-16,47.68,48.89,45.30,48.36,5786608
19-Oct-16,47.37,48.23,47.29,48.03,3102166
18-Oct-16,47.38,47.46,46.71,47.15,3142358
17-Oct-16,46.96,47.35,46.79,46.80,1912156
14-Oct-16,46.88,47.26,46.72,46.86,2096934
13-Oct-16,46.55,46.76,45.90,46.54,3182734
12-Oct-16,47.46,47.71,47.02,47.25,3907257
11-Oct-16,47.43,48.06,47.24,47.40,2065539
10-Oct-16,47.70,48.33,47.64,47.73,1434067
7-Oct-16,48.21,48.39,46.82,47.39,2361188
6-Oct-16,47.83,48.21,47.73,47.96,2068584
5-Oct-16,48.04,48.20,47.67,48.05,2297282
4-Oct-16,48.55,48.67,47.54,47.62,2642615
3-Oct-16,49.25,49.41,48.54,48.82,3005347
30-Sep-16,49.05,49.72,48.72,49.45,2745733
29-Sep-16,49.67,49.97,48.62,48.86,2100186
28-Sep-16,49.07,49.76,48.93,49.73,2125259
27-Sep-16,48.60,49.18,48.35,49.07,2447500
26-Sep-16,48.66,49.19,48.43,48.92,3697703
23-Sep-16,47.62,49.00,47.55,48.81,5321457
22-Sep-16,48.65,48.92,47.81,47.87,2252253
21-Sep-16,46.50,47.90,46.50,47.86,3562491
20-Sep-16,46.18,46.36,45.90,46.17,3010053
19-Sep-16,46.28,46.46,45.82,46.00,2460276
16-Sep-16,45.52,46.12,45.18,45.74,3482514
15-Sep-16,45.27,45.85,44.94,45.62,3037582
14-Sep-16,45.50,45.76,44.81,45.35,4593590
13-Sep-16,46.99,47.13,45.75,46.02,3451413
12-Sep-16,46.06,47.89,46.06,47.71,4360456
9-Sep-16,48.59,48.61,46.83,46.83,3693100
8-Sep-16,49.75,49.75,49.01,49.05,1933001
7-Sep-16,49.30,49.97,49.13,49.97,2853731
6-Sep-16,49.12,49.68,48.74,49.58,2263766
2-Sep-16,49.78,50.34,48.77,49.03,2426077
1-Sep-16,48.60,49.47,48.51,49.30,2700557
31-Aug-16,48.34,48.73,48.18,48.51,3143745
30-Aug-16,49.21,49.33,48.46,48.60,2824254
29-Aug-16,48.63,49.58,48.63,49.44,1846950
26-Aug-16,49.23,49.89,48.58,48.69,1819048
25-Aug-16,48.92,49.44,48.70,48.89,2315143
24-Aug-16,49.84,49.88,48.86,48.93,2446878
23-Aug-16,50.65,50.98,49.96,50.03,2108462
22-Aug-16,49.64,50.33,49.61,50.31,1594724
19-Aug-16,50.42,50.60,49.92,50.05,3070824
18-Aug-16,50.75,51.00,50.29,50.94,1789414
17-Aug-16,50.55,50.75,50.28,50.52,2378732
16-Aug-16,51.70,51.87,50.73,50.73,1722428
15-Aug-16,50.98,51.88,50.62,51.57,2446388
12-Aug-16,52.10,52.19,50.59,50.69,3193956
11-Aug-16,52.57,52.80,52.00,52.35,2516523
10-Aug-16,52.92,53.00,52.30,52.35,2846446
9-Aug-16,53.22,53.25,52.70,52.79,1507835
8-Aug-16,53.71,53.71,53.03,53.51,1849180
5-Aug-16,53.34,53.57,53.14,53.55,1193951
4-Aug-16,53.41,53.62,52.90,53.30,1723697
3-Aug-16,52.84,53.53,52.70,53.51,1836189
2-Aug-16,53.18,53.29,52.52,53.00,2170872
1-Aug-16,53.64,53.75,52.96,53.28,2156686
29-Jul-16,53.70,54.00,53.21,53.64,2392171
28-Jul-16,53.50,53.92,53.05,53.81,3221696
27-Jul-16,54.11,54.34,53.00,53.46,2748669
26-Jul-16,52.40,53.73,52.40,53.71,2614817
25-Jul-16,52.62,52.92,52.06,52.39,2213268
22-Jul-16,52.19,52.96,52.12,52.72,2618365
21-Jul-16,54.18,54.48,52.07,52.32,4548524
20-Jul-16,54.48,54.54,53.51,54.09,5542286
19-Jul-16,56.13,56.45,54.91,55.71,4326598
18-Jul-16,56.45,56.91,56.21,56.90,2133055
15-Jul-16,56.72,56.99,56.31,56.67,3015674
14-Jul-16,56.63,57.08,56.18,56.79,2563169
13-Jul-16,56.61,56.84,55.56,56.42,3009703
12-Jul-16,55.25,56.63,55.17,56.34,5238217
11-Jul-16,53.50,54.50,53.50,54.46,3465213
8-Jul-16,52.00,53.32,51.88,53.19,3674096
7-Jul-16,51.04,51.76,50.95,51.51,3399066
6-Jul-16,49.23,51.11,49.16,51.08,4712304
5-Jul-16,49.71,49.86,48.69,48.96,3385514
1-Jul-16,49.34,50.33,49.29,49.97,2516459
30-Jun-16,48.26,49.41,48.08,49.41,2364030
29-Jun-16,47.92,48.24,47.82,47.92,2676428
28-Jun-16,46.68,47.49,46.45,47.33,3246903
27-Jun-16,47.41,47.50,46.10,46.31,3239689
24-Jun-16,48.71,49.33,47.71,47.87,4073883
23-Jun-16,50.29,50.50,49.51,50.50,3166006
22-Jun-16,50.34,50.48,49.41,49.57,3564932
21-Jun-16,51.26,51.27,49.67,49.99,3880708
20-Jun-16,51.15,51.84,51.07,51.30,2320029
17-Jun-16,50.81,51.14,50.22,50.35,3038426
16-Jun-16,50.10,50.69,49.81,50.65,2178482
15-Jun-16,50.15,50.66,49.64,50.45,3197393
14-Jun-16,50.10,50.26,49.20,49.52,1895589
13-Jun-16,50.73,50.85,49.96,49.98,2994660
10-Jun-16,50.18,50.85,50.02,50.50,2523711
9-Jun-16,51.18,51.22,50.36,50.55,2969347
8-Jun-16,50.98,51.99,50.94,51.76,3064195
7-Jun-16,50.26,50.65,50.13,50.37,2119444
6-Jun-16,49.89,50.50,49.80,50.42,2112450
3-Jun-16,49.32,49.91,48.88,49.88,2626048
2-Jun-16,48.52,49.16,48.39,49.16,1868723
1-Jun-16,48.07,48.88,47.91,48.80,1866926
31-May-16,48.61,49.03,48.13,48.51,2357019
27-May-16,48.42,48.66,47.69,48.39,2704600
26-May-16,49.23,49.55,48.33,48.51,1939190
25-May-16,47.38,48.53,47.14,48.39,2372822
24-May-16,47.10,47.37,46.81,47.16,1911762
23-May-16,46.23,47.16,46.03,46.83,1794739
20-May-16,46.88,46.98,46.37,46.53,1701307
19-May-16,45.45,46.66,45.32,46.54,2335564
18-May-16,46.26,46.98,45.65,45.86,1904032
17-May-16,47.64,47.81,46.34,46.56,3935864
16-May-16,47.29,48.30,47.29,47.81,2027943
13-May-16,47.28,47.59,46.86,47.06,2301827
12-May-16,47.98,48.18,47.22,47.44,2086462
11-May-16,47.98,48.56,47.53,47.61,1914175
10-May-16,46.76,47.96,46.57,47.92,2705066
9-May-16,47.89,48.13,46.45,46.48,3288389
6-May-16,48.41,48.96,47.88,48.85,2085048
5-May-16,48.73,49.04,48.11,48.46,2480180
4-May-16,48.29,49.05,47.82,48.50,3936503
3-May-16,49.44,49.53,48.30,48.73,3718814
2-May-16,49.74,50.40,49.42,50.30,2266018
29-Apr-16,49.96,50.41,49.38,49.78,5644993
28-Apr-16,50.31,51.10,49.80,49.94,2601034
27-Apr-16,49.61,50.66,48.92,50.61,2255087
26-Apr-16,49.43,49.60,48.65,49.51,3139915
25-Apr-16,49.25,49.66,48.83,49.12,2533095
22-Apr-16,49.15,50.15,49.15,49.55,2315777
21-Apr-16,49.96,50.14,48.59,49.50,2591667
20-Apr-16,50.61,50.72,49.79,50.28,2870609
19-Apr-16,50.14,50.78,50.00,50.46,2860868
18-Apr-16,49.35,49.94,49.23,49.86,2280025
15-Apr-16,49.21,49.56,48.93,49.51,2166210
14-Apr-16,49.19,49.37,48.83,49.31,2066810
13-Apr-16,48.74,49.50,48.50,49.09,2748096
12-Apr-16,48.04,48.40,47.55,48.09,2638613
11-Apr-16,47.61,48.31,47.57,47.67,2827377
8-Apr-16,47.13,47.75,47.02,47.29,1954524
7-Apr-16,46.78,46.99,46.23,46.56,2154563
6-Apr-16,46.84,47.25,46.36,47.22,1715066
5-Apr-16,46.50,47.06,46.50,46.78,2048982
4-Apr-16,47.41,47.78,46.60,46.68,2355882
1-Apr-16,46.83,47.58,46.72,47.52,2415136
31-Mar-16,48.18,48.19,47.26,47.30,3959659
30-Mar-16,47.57,48.52,47.25,48.31,4987828
29-Mar-16,46.27,47.27,45.96,47.24,2679625
28-Mar-16,46.56,47.19,46.21,46.86,2637005
24-Mar-16,45.56,46.54,45.52,46.48,1996319
23-Mar-16,46.09,46.67,45.88,46.05,2513079
22-Mar-16,45.93,46.86,45.91,46.59,1966484
21-Mar-16,46.57,46.69,45.86,46.41,1748622
18-Mar-16,46.76,47.36,46.34,46.70,3118169
17-Mar-16,45.86,46.76,45.25,46.65,3108100
16-Mar-16,44.72,45.61,44.49,45.49,3248632
15-Mar-16,44.73,45.49,44.39,45.05,2126336
14-Mar-16,45.04,45.65,44.69,45.15,2380114
11-Mar-16,45.36,45.44,44.28,45.38,2944157
10-Mar-16,43.60,45.07,43.46,44.99,2733679
9-Mar-16,44.47,44.78,43.28,43.54,2826683
8-Mar-16,44.14,44.95,44.04,44.32,3741939
7-Mar-16,43.16,44.77,43.00,44.76,3607374
4-Mar-16,42.95,43.84,42.20,42.96,3443488
3-Mar-16,42.29,43.20,42.14,42.75,3967324
2-Mar-16,41.35,42.31,41.21,42.24,2950237
1-Mar-16,39.96,41.20,39.62,40.96,2173213
29-Feb-16,39.31,39.90,39.08,39.34,2811332
26-Feb-16,39.92,40.42,39.70,39.96,1851263
25-Feb-16,38.94,39.75,38.79,39.75,2162132
24-Feb-16,38.26,39.06,37.77,39.02,2957719
23-Feb-16,39.37,39.56,38.88,38.90,2079014
22-Feb-16,39.85,40.10,39.56,39.76,2662395
19-Feb-16,39.86,39.87,39.11,39.39,2708677
18-Feb-16,40.72,40.83,39.82,40.03,2544092
17-Feb-16,40.55,41.08,40.45,40.76,2604303
16-Feb-16,40.23,40.50,39.65,40.18,2438317
12-Feb-16,39.19,40.06,38.64,40.03,2502321
11-Feb-16,38.51,38.69,37.71,38.35,2081757
10-Feb-16,38.99,39.94,38.75,38.95,1624287
9-Feb-16,38.92,39.38,38.29,38.91,2635008
8-Feb-16,39.87,39.97,39.11,39.39,2595928
5-Feb-16,40.14,41.24,39.67,39.92,2775298
4-Feb-16,40.33,41.16,40.10,40.47,2901554
3-Feb-16,38.98,40.01,38.47,39.91,2840021
2-Feb-16,38.67,38.76,38.18,38.49,2946315
1-Feb-16,38.71,39.23,38.00,39.18,3355914
29-Jan-16,36.71,39.11,36.64,39.07,6015791
28-Jan-16,37.00,37.00,34.90,36.64,3969987
27-Jan-16,35.95,36.63,35.57,35.70,3324046
26-Jan-16,35.33,36.88,35.25,36.54,3706961
25-Jan-16,35.27,35.58,34.82,34.86,2319804
22-Jan-16,35.64,35.86,35.02,35.36,2835793
21-Jan-16,34.95,35.58,34.70,35.01,2826107
20-Jan-16,34.61,35.40,33.90,34.98,3577953
19-Jan-16,35.79,35.90,34.74,35.27,3208474
15-Jan-16,35.28,35.54,34.72,35.15,3353906
14-Jan-16,35.88,36.59,35.50,36.22,3819038
13-Jan-16,36.61,37.07,35.55,35.62,3469414
