Date,Open,High,Low,Close,Volume
9-Dec-16,94.20,94.27,90.71,91.82,9557799
8-Dec-16,95.19,96.62,93.05,93.48,9538602
7-Dec-16,92.84,95.30,92.10,95.07,12020093
6-Dec-16,92.21,93.73,91.57,93.39,12469875
5-Dec-16,89.99,92.61,89.00,91.88,15057125
2-Dec-16,86.25,88.80,85.12,88.45,11957300
1-Dec-16,92.10,92.17,84.77,87.64,25888074
30-Nov-16,93.60,94.16,92.10,92.20,11012545
29-Nov-16,94.00,94.44,92.53,93.25,11114187
28-Nov-16,93.87,94.74,93.60,94.11,6968370
25-Nov-16,94.42,95.10,93.41,94.16,4889078
23-Nov-16,93.72,95.25,92.77,93.97,11080857
22-Nov-16,93.30,93.74,92.38,93.65,8259232
21-Nov-16,94.09,94.35,92.40,92.98,10910868
18-Nov-16,92.39,94.33,91.80,93.36,14401499
17-Nov-16,92.31,94.79,90.65,92.39,20824744
16-Nov-16,87.34,92.56,86.35,91.63,24699644
15-Nov-16,84.29,87.45,83.93,86.19,15652258
14-Nov-16,88.09,88.19,83.62,83.64,33719913
11-Nov-16,79.51,88.77,78.50,87.97,54383633
10-Nov-16,71.49,71.50,66.76,67.77,21732039
9-Nov-16,69.23,70.90,68.72,69.96,11413254
8-Nov-16,71.54,71.77,70.50,71.16,10747107
7-Nov-16,69.55,71.72,69.50,71.27,12189524
4-Nov-16,67.51,68.73,66.58,67.57,8219490
3-Nov-16,69.08,69.14,66.64,67.96,7741593
2-Nov-16,69.58,70.52,68.64,68.76,7396231
1-Nov-16,71.42,71.81,68.29,69.05,11830629
31-Oct-16,70.79,71.62,70.75,71.16,6309718
28-Oct-16,71.02,72.10,70.43,70.56,7271374
27-Oct-16,72.71,72.85,70.38,70.68,9716622
26-Oct-16,71.27,72.95,71.20,72.16,8344781
25-Oct-16,70.59,72.30,70.25,71.87,9936532
24-Oct-16,68.00,70.79,67.99,70.71,8495946
21-Oct-16,67.49,67.66,66.90,67.54,6987654
20-Oct-16,67.25,67.95,66.30,67.73,7802072
19-Oct-16,66.16,66.78,65.82,66.47,4976462
18-Oct-16,66.52,66.99,66.25,66.61,6734274
17-Oct-16,65.98,66.60,65.52,65.61,4883160
14-Oct-16,66.15,66.60,65.60,65.99,8265851
13-Oct-16,65.65,65.80,63.70,65.35,9752910
12-Oct-16,65.86,66.78,65.31,66.43,10498025
11-Oct-16,66.88,66.98,65.62,66.13,9713476
10-Oct-16,67.20,67.56,66.47,67.10,7196868
7-Oct-16,67.79,67.97,66.66,66.85,7156502
6-Oct-16,67.41,67.83,66.26,67.34,9005317
5-Oct-16,68.88,69.58,68.02,68.23,7636009
4-Oct-16,68.55,69.70,67.79,68.30,7040645
3-Oct-16,68.52,69.51,68.33,68.45,6064853
30-Sep-16,67.77,69.19,67.37,68.52,10748304
29-Sep-16,66.67,67.61,66.05,67.40,8417136
28-Sep-16,66.64,66.83,65.93,66.78,7994701
27-Sep-16,64.09,66.64,64.06,66.54,10068769
26-Sep-16,64.21,64.60,63.53,64.34,5751035
23-Sep-16,65.10,65.29,64.66,64.95,6903344
22-Sep-16,65.24,65.44,64.65,65.02,7718287
21-Sep-16,63.28,64.98,63.27,64.86,8405337
20-Sep-16,64.40,64.40,62.74,63.09,8277832
19-Sep-16,63.50,65.26,63.21,63.67,10428207
16-Sep-16,62.91,63.25,62.12,62.84,22561149
15-Sep-16,60.50,62.76,60.36,62.69,12884799
14-Sep-16,60.01,60.60,59.51,60.40,7984326
13-Sep-16,60.60,61.30,59.53,59.87,11794183
12-Sep-16,58.73,60.86,57.32,60.75,14956524
9-Sep-16,61.95,62.30,59.00,59.52,17443966
8-Sep-16,62.13,62.74,61.42,62.64,7895219
7-Sep-16,62.92,63.23,61.83,62.19,9949700
6-Sep-16,62.75,63.12,62.43,63.12,7670320
2-Sep-16,63.28,63.35,61.82,62.53,8078742
1-Sep-16,61.39,63.38,61.34,63.15,10712305
31-Aug-16,61.75,61.92,61.16,61.34,9713642
30-Aug-16,61.91,62.24,61.46,61.63,7138622
29-Aug-16,62.28,62.53,61.88,61.99,6866279
26-Aug-16,61.69,62.38,61.20,62.03,7500624
25-Aug-16,61.96,61.99,60.76,61.53,10150783
24-Aug-16,63.13,63.16,61.65,61.94,7461244
23-Aug-16,63.04,63.32,62.73,62.91,8494058
