Date,Open,High,Low,Close,Volume
9-Dec-16,45.16,45.83,45.08,45.53,5157669
8-Dec-16,45.62,45.65,44.71,45.19,6360029
7-Dec-16,45.51,45.92,44.24,45.65,5194950
6-Dec-16,45.65,45.96,45.56,45.68,2865925
5-Dec-16,45.95,46.15,45.57,45.70,3112947
2-Dec-16,45.44,46.08,45.37,45.68,3021515
1-Dec-16,46.87,46.99,45.26,45.44,6495941
30-Nov-16,47.54,48.02,46.47,47.01,9197261
29-Nov-16,47.63,48.05,47.31,47.47,2627784
28-Nov-16,48.08,48.45,47.54,47.59,3545306
25-Nov-16,48.21,48.60,48.07,48.46,1151165
23-Nov-16,48.09,48.35,47.97,48.17,2619871
22-Nov-16,47.76,48.40,47.76,48.10,3347334
21-Nov-16,46.88,47.60,46.84,47.57,2827927
18-Nov-16,47.56,47.75,46.50,46.74,2975272
17-Nov-16,47.10,47.71,46.78,47.56,3926726
16-Nov-16,46.99,47.21,46.66,46.93,3884053
15-Nov-16,46.72,47.57,46.57,47.05,6101075
14-Nov-16,47.60,47.78,45.95,46.51,6925718
11-Nov-16,47.52,48.33,47.24,47.45,7718578
10-Nov-16,49.99,50.31,47.42,47.66,8382568
9-Nov-16,49.24,50.26,49.00,49.60,5966549
8-Nov-16,49.72,50.70,49.46,50.41,4206294
7-Nov-16,48.20,49.25,48.20,49.16,3923258
4-Nov-16,47.65,48.09,47.47,47.54,3917713
3-Nov-16,47.78,48.06,47.40,47.61,4203850
2-Nov-16,48.16,48.23,47.65,47.65,4623740
1-Nov-16,48.56,49.44,47.63,48.16,6953789
31-Oct-16,49.68,49.89,47.86,48.02,7580586
28-Oct-16,49.06,50.32,48.75,49.40,10896401
27-Oct-16,51.00,51.48,50.03,50.20,4225544
26-Oct-16,51.52,51.60,50.82,50.86,3797891
25-Oct-16,52.22,52.40,51.52,51.63,2280788
24-Oct-16,52.86,53.22,52.37,52.48,2804628
21-Oct-16,52.13,52.70,51.98,52.50,2486178
20-Oct-16,52.65,52.70,52.08,52.47,1943284
19-Oct-16,52.85,52.98,52.37,52.61,1988848
18-Oct-16,52.90,53.01,52.27,52.68,2645518
17-Oct-16,52.25,52.49,51.97,52.41,2957985
14-Oct-16,52.44,52.92,52.23,52.25,2889146
13-Oct-16,50.91,52.26,50.52,52.12,4108794
12-Oct-16,50.74,51.73,50.35,51.42,4709577
11-Oct-16,51.25,51.38,50.25,50.34,5147615
10-Oct-16,52.24,52.43,51.32,51.34,3129946
7-Oct-16,52.50,52.50,51.64,51.91,2903602
6-Oct-16,52.54,52.65,51.88,52.32,2649539
5-Oct-16,52.03,52.79,51.82,52.57,3949754
4-Oct-16,52.24,52.51,51.47,51.60,3375118
3-Oct-16,52.44,53.02,52.14,52.25,2940990
30-Sep-16,52.24,53.01,52.00,52.66,2738061
29-Sep-16,52.19,52.61,51.75,52.01,3706005
28-Sep-16,52.35,52.50,51.75,52.14,3478862
27-Sep-16,51.47,52.48,51.28,52.40,3972695
26-Sep-16,51.67,51.72,51.32,51.35,2759848
23-Sep-16,52.51,52.61,51.97,51.97,2482659
22-Sep-16,52.92,53.50,51.87,52.36,4083990
21-Sep-16,51.81,52.57,51.53,52.50,3431216
20-Sep-16,51.57,51.80,51.30,51.61,2941572
19-Sep-16,51.49,51.80,50.93,51.14,3556089
16-Sep-16,50.48,51.06,50.13,50.99,6170344
15-Sep-16,50.00,51.00,49.92,50.83,4350710
14-Sep-16,49.86,50.55,49.78,50.06,3993181
13-Sep-16,50.10,50.20,49.11,49.67,7023909
12-Sep-16,50.22,50.74,50.15,50.54,7083030
9-Sep-16,51.92,52.00,50.40,50.40,4855018
8-Sep-16,53.40,53.64,52.32,52.47,5447235
7-Sep-16,53.75,54.02,53.06,53.63,3068713
6-Sep-16,53.67,54.38,53.43,54.04,3940242
