Date,Open,High,Low,Close,Volume
9-Dec-16,18.53,18.65,18.29,18.52,1928720
8-Dec-16,19.04,19.04,18.46,18.54,1833159
7-Dec-16,18.36,18.72,18.14,18.60,2639541
6-Dec-16,17.84,18.50,17.81,18.40,4493910
5-Dec-16,18.24,18.27,17.61,17.90,3065174
2-Dec-16,18.33,18.61,18.05,18.13,2658841
1-Dec-16,18.52,19.11,18.27,18.37,41009984
30-Nov-16,18.32,18.66,18.02,18.37,4936156
29-Nov-16,18.02,18.29,17.90,18.10,2220625
28-Nov-16,18.29,18.45,17.91,18.11,2066441
25-Nov-16,18.55,18.70,18.27,18.35,521765
23-Nov-16,18.48,18.68,18.41,18.52,1192163
22-Nov-16,18.50,18.57,18.04,18.56,2295658
21-Nov-16,18.37,18.86,18.35,18.73,1657732
18-Nov-16,18.77,18.83,18.28,18.37,1980050
17-Nov-16,19.03,19.03,18.58,18.81,2037124
16-Nov-16,18.93,19.06,18.52,18.72,1795795
15-Nov-16,18.72,19.07,18.56,19.05,1667593
14-Nov-16,18.89,19.22,18.74,18.76,1938817
11-Nov-16,18.84,18.94,18.34,18.73,2078938
10-Nov-16,18.88,19.41,18.77,18.93,2816820
9-Nov-16,17.89,18.94,17.75,18.69,3334912
8-Nov-16,18.82,19.24,18.68,19.07,1446008
7-Nov-16,18.94,19.08,18.80,18.96,2079260
4-Nov-16,18.58,18.87,18.35,18.41,1700707
3-Nov-16,18.61,18.79,18.42,18.48,1144544
2-Nov-16,18.61,18.98,18.50,18.60,1543756
1-Nov-16,19.44,19.44,18.58,18.68,3434298
31-Oct-16,19.35,19.60,19.25,19.30,2493562
28-Oct-16,19.47,19.94,19.19,19.31,3064817
27-Oct-16,19.18,19.57,18.74,19.46,5067228
26-Oct-16,17.94,19.46,17.57,18.83,8633831
25-Oct-16,17.21,17.26,16.90,17.00,2645879
24-Oct-16,17.39,17.41,17.02,17.17,1070043
21-Oct-16,17.03,17.27,16.89,17.24,1312806
20-Oct-16,17.51,17.51,17.24,17.24,1197595
19-Oct-16,17.39,17.59,17.10,17.59,919748
18-Oct-16,17.37,17.51,17.24,17.37,992406
17-Oct-16,17.00,17.22,16.98,17.02,1613489
14-Oct-16,17.19,17.35,16.99,17.01,1430440
13-Oct-16,17.01,17.17,16.80,17.03,1545955
12-Oct-16,17.50,17.68,17.21,17.30,2140946
11-Oct-16,17.56,17.63,17.35,17.50,1451990
10-Oct-16,17.88,18.06,17.64,17.68,1409924
7-Oct-16,18.26,18.30,17.70,17.70,1397497
6-Oct-16,18.26,18.56,18.22,18.26,1404849
5-Oct-16,18.21,18.52,18.09,18.32,1346402
4-Oct-16,18.14,18.34,17.84,17.98,1437233
3-Oct-16,18.35,18.47,18.04,18.11,942493
30-Sep-16,18.37,18.65,18.16,18.39,1832181
29-Sep-16,18.47,18.94,18.24,18.26,2503592
28-Sep-16,18.01,18.62,17.94,18.57,2185623
27-Sep-16,17.64,18.06,17.54,17.91,1699216
26-Sep-16,18.04,18.18,17.67,17.70,1525758
23-Sep-16,18.10,18.26,18.02,18.11,1316476
22-Sep-16,17.94,18.17,17.88,18.14,1378369
21-Sep-16,17.43,17.72,17.30,17.72,1059358
20-Sep-16,17.32,17.38,17.18,17.30,945579
19-Sep-16,17.52,17.67,17.03,17.20,1763443
16-Sep-16,17.40,17.82,17.07,17.32,2675014
15-Sep-16,17.15,18.02,17.08,17.98,2640442
14-Sep-16,17.22,17.31,16.96,17.14,1220764
13-Sep-16,17.42,17.57,17.04,17.20,1214699
12-Sep-16,17.14,17.79,17.06,17.73,1352674
9-Sep-16,18.15,18.18,17.39,17.40,1825391
8-Sep-16,18.41,18.62,18.30,18.33,1473824
7-Sep-16,18.22,18.50,18.18,18.47,987905
6-Sep-16,18.09,18.29,17.94,18.29,863806
2-Sep-16,17.95,18.09,17.87,18.06,733460
1-Sep-16,17.95,18.00,17.56,17.78,1110922
31-Aug-16,18.16,18.16,17.76,17.93,1074669
30-Aug-16,18.05,18.30,17.96,18.22,868734
29-Aug-16,18.00,18.24,17.98,18.11,783586
26-Aug-16,18.15,18.45,17.83,17.95,1216514
25-Aug-16,17.86,18.15,17.78,18.06,939143
24-Aug-16,18.27,18.29,17.80,17.90,1512413
23-Aug-16,18.32,18.54,18.27,18.33,1461156
22-Aug-16,18.22,18.30,17.94,18.18,1225649
19-Aug-16,18.42,18.43,18.14,18.40,1484898
18-Aug-16,18.75,18.81,18.54,18.59,1352517
17-Aug-16,18.66,18.85,18.54,18.76,981614
16-Aug-16,18.85,18.95,18.62,18.71,1061114
15-Aug-16,18.62,19.04,18.62,18.87,838952
12-Aug-16,18.82,18.88,18.38,18.52,1154793
11-Aug-16,18.89,19.04,18.76,18.88,795857
10-Aug-16,18.77,18.86,18.56,18.76,963959
9-Aug-16,19.16,19.16,18.67,18.69,1175586
8-Aug-16,19.12,19.30,18.96,19.10,1374480
5-Aug-16,18.99,19.32,18.86,19.12,1327966
4-Aug-16,18.55,19.16,18.52,18.80,1826873
3-Aug-16,18.24,18.69,18.11,18.60,932504
2-Aug-16,18.82,18.82,18.10,18.23,1815029
1-Aug-16,18.84,18.96,18.51,18.81,1212651
29-Jul-16,18.63,18.81,18.15,18.79,2082700
28-Jul-16,19.21,19.73,18.62,18.73,3007826
27-Jul-16,19.02,19.20,18.60,19.10,2342508
26-Jul-16,18.52,19.20,18.52,19.01,3565810
25-Jul-16,18.17,18.52,18.08,18.51,2185398
22-Jul-16,18.23,18.34,17.96,18.20,1852066
21-Jul-16,18.21,18.55,18.13,18.32,1280622
20-Jul-16,17.72,18.27,17.65,18.21,875577
19-Jul-16,17.64,17.91,17.58,17.72,893254
18-Jul-16,18.00,18.16,17.66,18.13,895958
15-Jul-16,18.20,18.39,17.97,18.07,1393623
14-Jul-16,18.23,18.23,17.89,18.09,991475
13-Jul-16,17.96,18.06,17.74,17.94,1137958
12-Jul-16,17.84,18.03,17.80,17.88,1345920
11-Jul-16,17.60,17.75,17.47,17.57,1254303
8-Jul-16,17.18,17.55,17.12,17.44,2113296
7-Jul-16,16.91,17.43,16.79,16.94,1664909
6-Jul-16,16.71,16.83,16.33,16.81,2881177
5-Jul-16,17.67,17.79,16.72,16.83,1983190
1-Jul-16,17.94,18.23,17.64,17.86,1623595
30-Jun-16,17.38,18.03,17.09,18.01,2789630
29-Jun-16,17.44,17.58,17.20,17.33,1803073
28-Jun-16,16.66,17.18,16.63,17.18,3695230
27-Jun-16,17.61,17.75,16.18,16.33,2610318
24-Jun-16,18.63,19.17,17.82,17.96,4925464
23-Jun-16,19.73,19.98,19.65,19.80,1187482
22-Jun-16,19.41,19.68,19.34,19.39,1292865
21-Jun-16,19.26,19.45,19.08,19.32,1139040
20-Jun-16,19.16,19.59,19.15,19.25,1442992
17-Jun-16,18.54,19.13,18.41,18.89,2744569
16-Jun-16,18.50,18.53,18.06,18.49,1181368
15-Jun-16,18.70,18.97,18.47,18.64,1549455
14-Jun-16,19.08,19.18,18.46,18.67,1781923
13-Jun-16,19.32,19.46,19.16,19.18,1593221
10-Jun-16,19.48,19.73,19.31,19.43,1535385
9-Jun-16,19.90,19.93,19.65,19.92,1123751
8-Jun-16,20.27,20.28,19.94,20.15,1304367
7-Jun-16,20.15,20.33,19.88,20.18,2166534
6-Jun-16,19.52,20.08,19.48,20.05,1816161
3-Jun-16,19.26,19.39,18.84,19.38,1357952
2-Jun-16,18.80,19.22,18.54,19.22,1102050
1-Jun-16,18.70,18.90,18.34,18.88,1092317
31-May-16,18.94,19.09,18.82,18.90,877041
27-May-16,18.57,18.98,18.55,18.91,981454
26-May-16,18.96,19.04,18.48,18.48,984129
25-May-16,18.70,18.98,18.64,18.88,1021539
24-May-16,18.52,18.73,18.37,18.62,1019711
23-May-16,18.31,18.79,18.30,18.42,1662782
20-May-16,18.14,18.50,18.14,18.41,1693480
19-May-16,18.10,18.21,17.70,18.05,1363255
18-May-16,18.57,18.91,18.24,18.34,2051971
17-May-16,18.74,19.16,18.59,18.78,1756275
16-May-16,18.57,18.98,18.57,18.77,1007819
13-May-16,18.95,19.10,18.35,18.43,2290585
12-May-16,19.35,19.72,18.76,18.97,2259026
11-May-16,19.30,19.66,19.03,19.42,1885800
10-May-16,18.64,19.36,18.56,19.31,2421115
9-May-16,18.48,18.62,18.23,18.54,1474943
6-May-16,18.81,18.94,18.42,18.77,2788650
5-May-16,19.32,19.40,18.80,18.81,3825537
4-May-16,19.08,19.37,18.69,19.16,3795138
3-May-16,19.06,19.64,18.62,19.20,4625509
2-May-16,18.46,18.71,18.32,18.61,2406740
29-Apr-16,18.42,18.56,18.27,18.46,2195211
28-Apr-16,18.28,18.61,18.17,18.38,2306937
27-Apr-16,18.31,18.50,18.30,18.46,2237962
26-Apr-16,17.94,18.34,17.81,18.30,1625138
25-Apr-16,18.23,18.32,17.63,17.81,1834788
22-Apr-16,18.10,18.50,17.98,18.33,1816222
21-Apr-16,18.18,18.43,17.95,18.02,1894448
20-Apr-16,18.10,18.21,18.01,18.11,1839599
19-Apr-16,17.94,18.17,17.84,18.04,1711342
18-Apr-16,17.53,17.91,17.44,17.89,2098006
15-Apr-16,17.54,17.72,17.51,17.70,1525321
14-Apr-16,17.53,17.68,17.27,17.59,1838613
13-Apr-16,17.26,17.58,17.11,17.47,1869990
12-Apr-16,16.89,17.11,16.76,17.03,1978415
11-Apr-16,16.48,16.99,16.48,16.83,2334715
8-Apr-16,16.43,16.72,16.24,16.34,1395931
7-Apr-16,16.41,16.60,16.05,16.16,1784963
6-Apr-16,16.03,16.42,16.02,16.33,2776917
5-Apr-16,15.49,15.68,15.27,15.46,1383137
4-Apr-16,16.10,16.19,15.64,15.67,1365650
1-Apr-16,15.75,16.12,15.56,16.09,1788573
31-Mar-16,15.77,16.03,15.59,15.96,2138134
30-Mar-16,15.98,16.04,15.42,15.74,1700338
29-Mar-16,15.28,15.91,15.22,15.87,1984948
28-Mar-16,15.78,15.90,15.50,15.85,1047989
24-Mar-16,15.56,15.80,15.07,15.75,1377116
23-Mar-16,16.09,16.17,15.79,15.80,1327065
22-Mar-16,15.94,16.44,15.83,16.29,1659546
21-Mar-16,16.07,16.35,15.93,16.19,1710518
18-Mar-16,16.54,16.64,15.87,16.15,4664821
17-Mar-16,15.07,16.44,15.07,16.24,3926858
16-Mar-16,14.35,15.09,14.22,14.98,2801835
15-Mar-16,14.90,14.96,14.18,14.37,2697932
14-Mar-16,14.69,15.25,14.62,15.11,3202675
11-Mar-16,14.37,14.81,14.23,14.75,2909956
10-Mar-16,14.11,14.24,13.79,14.16,2385481
9-Mar-16,14.08,14.34,13.76,14.11,1999612
