Date,Open,High,Low,Close,Volume
9-Dec-16,69.48,70.79,69.31,70.58,4563450
8-Dec-16,68.96,69.37,68.12,69.32,6258052
7-Dec-16,69.52,69.75,67.81,68.64,8381761
6-Dec-16,70.48,71.26,70.10,70.41,4643750
5-Dec-16,71.29,72.13,70.94,70.98,4933441
2-Dec-16,71.10,71.54,70.66,70.85,4153338
1-Dec-16,72.90,72.96,71.10,71.27,5690820
30-Nov-16,69.46,72.05,68.97,71.36,9434899
29-Nov-16,67.38,68.00,66.85,67.57,3976060
28-Nov-16,70.18,70.18,68.28,68.39,3836731
25-Nov-16,69.47,69.96,69.27,69.75,1319206
23-Nov-16,68.77,70.13,68.77,69.85,3958455
22-Nov-16,69.83,70.15,68.72,69.29,5663108
21-Nov-16,69.30,70.25,69.10,69.23,4330943
18-Nov-16,68.03,68.85,67.93,68.22,5490189
17-Nov-16,69.55,70.29,67.70,67.81,6666129
16-Nov-16,68.28,69.88,68.16,68.93,7106373
15-Nov-16,66.30,68.84,66.19,68.49,7443275
14-Nov-16,64.57,66.06,64.37,65.77,8700334
11-Nov-16,65.37,65.37,64.40,64.95,7290243
10-Nov-16,66.79,66.98,65.60,65.72,9215391
9-Nov-16,66.75,67.66,66.12,66.90,8582876
8-Nov-16,67.09,67.43,66.46,66.89,4283334
7-Nov-16,67.47,67.82,66.80,67.25,5855527
4-Nov-16,67.41,68.27,66.56,66.59,7713947
3-Nov-16,68.00,68.00,66.83,67.45,7863005
2-Nov-16,68.72,68.87,67.10,67.79,5810259
1-Nov-16,72.45,72.84,67.66,69.00,13046981
31-Oct-16,73.64,73.69,72.55,72.91,4722121
28-Oct-16,73.89,74.76,73.55,73.63,5822963
27-Oct-16,74.73,74.89,73.72,73.79,4124652
26-Oct-16,73.70,74.58,73.29,74.39,3678010
25-Oct-16,74.83,75.50,74.35,74.43,4943788
24-Oct-16,74.72,75.40,73.90,75.03,6117164
21-Oct-16,73.47,74.66,72.79,74.61,4983840
20-Oct-16,73.95,74.71,73.38,74.10,4088581
19-Oct-16,73.42,75.60,72.97,74.51,5840676
18-Oct-16,73.28,73.31,71.77,72.57,3814006
17-Oct-16,73.22,73.22,71.86,72.47,5608542
14-Oct-16,74.60,74.60,72.76,73.22,4494213
13-Oct-16,73.36,74.16,72.84,73.90,4573963
12-Oct-16,73.78,74.45,73.37,74.00,4128936
11-Oct-16,74.53,74.82,73.28,73.69,3694799
10-Oct-16,74.11,74.87,74.03,74.77,3766355
7-Oct-16,73.81,73.99,73.22,73.54,3117585
6-Oct-16,72.74,74.00,72.60,73.54,5269391
5-Oct-16,73.28,73.53,72.47,72.54,4196919
4-Oct-16,72.84,73.23,72.09,72.65,4532664
3-Oct-16,72.92,73.18,72.43,72.82,3002177
30-Sep-16,72.56,73.37,71.98,72.92,5110508
29-Sep-16,71.82,73.13,71.29,72.14,6467699
28-Sep-16,69.07,72.18,68.65,71.90,8044779
27-Sep-16,68.75,68.96,67.83,68.65,4862235
26-Sep-16,69.80,70.20,69.22,69.32,4688338
23-Sep-16,71.39,71.39,69.15,69.60,5802054
22-Sep-16,72.58,72.80,71.30,71.41,5204033
21-Sep-16,71.12,71.89,70.71,71.80,4294496
20-Sep-16,70.86,71.31,70.49,70.50,4338276
19-Sep-16,71.53,71.81,70.81,70.82,4220492
16-Sep-16,71.60,71.80,70.93,71.03,5411328
15-Sep-16,71.87,72.77,71.83,72.27,5345299
14-Sep-16,73.31,73.69,71.43,71.80,5624230
13-Sep-16,75.02,75.15,73.35,73.51,5846527
12-Sep-16,75.10,76.15,74.79,75.85,4638156
9-Sep-16,77.30,77.30,76.00,76.11,4496719
8-Sep-16,77.57,77.90,76.79,77.75,5019188
7-Sep-16,77.40,77.76,76.95,77.13,3881746
6-Sep-16,77.60,78.17,77.36,78.00,3978784
2-Sep-16,77.57,77.78,76.56,77.51,3458329
1-Sep-16,76.55,76.84,76.00,76.84,3261008
31-Aug-16,77.58,77.58,76.49,76.85,3376581
30-Aug-16,78.48,78.48,77.59,77.84,2309598
29-Aug-16,77.10,78.02,76.60,77.95,3335262
26-Aug-16,77.54,77.94,76.85,77.17,3517376
25-Aug-16,77.66,77.70,77.00,77.36,3228074
24-Aug-16,76.88,77.94,76.57,77.72,5357957
23-Aug-16,76.37,77.07,76.37,76.89,2432918
22-Aug-16,76.03,76.53,75.67,76.36,2521875
19-Aug-16,76.91,77.15,76.34,76.54,2992238
18-Aug-16,76.92,77.51,76.73,77.48,4390508
17-Aug-16,75.87,76.62,75.45,76.61,3982972
16-Aug-16,74.77,76.26,74.50,76.01,4289414
15-Aug-16,74.90,75.23,74.72,75.05,4851615
12-Aug-16,74.46,74.60,73.85,74.46,2151381
11-Aug-16,73.84,74.58,73.31,74.25,2729414
10-Aug-16,74.00,74.32,73.13,73.27,2659778
9-Aug-16,74.68,74.77,73.32,73.68,3353236
8-Aug-16,74.19,74.69,73.85,74.36,3377951
5-Aug-16,74.20,74.20,73.06,73.68,3842620
4-Aug-16,74.01,74.85,73.92,74.25,3745642
3-Aug-16,73.53,74.41,72.33,74.38,4697109
2-Aug-16,73.96,74.08,72.11,73.12,5563872
1-Aug-16,74.40,74.49,73.30,73.59,4132415
29-Jul-16,73.42,74.89,73.25,74.73,3210725
28-Jul-16,73.78,74.32,73.43,73.91,3569989
27-Jul-16,74.57,74.85,73.82,74.16,2975127
26-Jul-16,74.21,74.89,73.97,74.69,2734409
25-Jul-16,74.90,75.26,74.10,74.51,4181792
22-Jul-16,75.67,76.01,75.13,75.38,2411371
21-Jul-16,75.92,76.51,75.59,75.73,2027089
20-Jul-16,76.14,76.87,75.87,76.35,1825822
19-Jul-16,76.33,76.88,76.13,76.37,2262526
18-Jul-16,77.01,77.13,76.53,76.77,2779439
15-Jul-16,77.34,77.57,76.89,77.32,3886370
14-Jul-16,77.55,77.66,76.92,77.21,4158220
13-Jul-16,77.49,77.58,76.22,76.83,3659384
12-Jul-16,77.41,77.50,76.66,77.37,4347538
11-Jul-16,76.33,76.82,75.93,76.20,3204234
8-Jul-16,76.50,76.50,75.36,76.13,3804218
7-Jul-16,75.67,75.99,75.00,75.45,4564218
6-Jul-16,75.22,75.56,74.68,75.45,3358286
5-Jul-16,74.90,75.72,74.53,75.22,3599028
1-Jul-16,75.43,76.24,75.14,75.67,3944560
30-Jun-16,75.22,75.66,74.84,75.56,3779265
29-Jun-16,73.98,75.34,73.88,75.09,4330778
28-Jun-16,74.31,74.31,73.17,73.97,4449131
27-Jun-16,74.36,74.74,72.50,73.12,5255973
24-Jun-16,75.68,76.45,74.84,75.27,5601379
23-Jun-16,77.82,78.31,77.29,78.31,4104008
22-Jun-16,77.28,77.68,76.76,77.10,3564586
21-Jun-16,76.31,77.28,75.81,77.16,3164048
20-Jun-16,75.98,76.66,75.70,76.10,3698005
17-Jun-16,74.85,75.05,74.46,74.95,4062595
16-Jun-16,74.36,74.63,73.82,74.45,3378008
15-Jun-16,75.09,75.34,74.59,74.85,3104672
14-Jun-16,75.09,75.26,74.80,75.12,3880269
13-Jun-16,74.84,75.69,74.63,75.25,5074646
10-Jun-16,75.00,75.46,74.80,75.45,4066277
9-Jun-16,74.56,75.66,74.52,75.60,3846622
8-Jun-16,76.60,76.97,75.31,75.44,4143364
7-Jun-16,76.00,77.17,75.57,76.87,4531794
6-Jun-16,75.56,76.18,75.22,75.41,3296114
3-Jun-16,75.48,75.72,74.37,74.83,2562046
2-Jun-16,74.82,75.25,74.36,75.21,2244645
1-Jun-16,74.90,75.55,74.33,75.44,3041913
31-May-16,76.22,76.51,75.08,75.44,4584756
27-May-16,75.97,76.22,75.58,76.15,2202956
26-May-16,76.70,77.18,76.05,76.11,2286839
25-May-16,76.87,77.35,75.88,76.17,3399276
24-May-16,75.54,76.39,74.98,76.12,3619853
23-May-16,74.48,75.37,74.31,74.87,3315974
20-May-16,75.31,75.43,74.60,74.96,3410996
19-May-16,74.50,75.00,73.82,74.84,3890796
18-May-16,75.38,75.89,74.31,74.81,6079817
17-May-16,76.33,77.08,75.76,76.34,5313043
16-May-16,76.15,76.85,75.84,76.53,4467998
13-May-16,76.36,76.38,75.17,75.34,3558282
12-May-16,76.98,77.20,76.16,76.48,3638323
11-May-16,75.90,77.02,75.68,76.31,4507556
10-May-16,75.66,76.58,75.52,76.41,4691908
9-May-16,75.25,75.83,74.25,75.54,3912740
6-May-16,75.31,76.64,75.10,76.06,5257966
5-May-16,75.66,76.89,75.08,76.14,6338658
4-May-16,75.18,75.78,73.85,73.96,6115019
3-May-16,75.43,75.88,74.71,75.57,4152831
2-May-16,76.22,76.50,75.39,76.33,3347648
29-Apr-16,76.50,77.23,75.78,76.65,4480515
28-Apr-16,77.71,77.71,75.83,76.23,3683029
27-Apr-16,76.76,78.09,76.65,77.52,3648059
26-Apr-16,75.75,76.60,75.24,76.48,3223523
25-Apr-16,75.26,75.93,74.63,75.10,3064824
22-Apr-16,74.92,76.00,74.83,75.85,2834060
21-Apr-16,75.21,75.73,74.38,74.62,3228225
20-Apr-16,74.63,76.12,74.00,75.07,4155964
19-Apr-16,73.71,74.99,72.99,74.86,4008087
18-Apr-16,70.70,73.66,70.70,73.30,3761064
15-Apr-16,73.80,74.00,72.10,72.15,4731094
14-Apr-16,72.66,74.47,72.30,74.32,6056478
13-Apr-16,72.65,72.88,71.65,72.24,3726832
12-Apr-16,71.28,72.92,70.33,72.45,4160866
11-Apr-16,70.81,71.58,70.77,70.79,3151201
8-Apr-16,70.71,71.14,70.22,70.60,3198029
7-Apr-16,69.55,70.40,69.00,69.38,2543402
6-Apr-16,67.94,70.24,67.40,70.12,4095548
5-Apr-16,67.48,68.08,66.94,67.42,4191365
4-Apr-16,68.68,69.12,67.77,68.19,3219148
1-Apr-16,67.23,68.42,66.98,68.20,2622861
31-Mar-16,68.24,69.42,68.15,68.43,3303573
30-Mar-16,68.91,69.31,68.22,68.60,3029210
29-Mar-16,66.95,68.04,66.90,67.93,3324714
28-Mar-16,68.66,68.72,67.76,68.03,2499595
24-Mar-16,67.27,68.74,67.25,68.51,5142178
23-Mar-16,68.89,69.40,68.03,68.29,4441138
22-Mar-16,70.03,70.57,69.37,69.61,3307175
21-Mar-16,70.89,71.36,70.07,70.67,2323135
18-Mar-16,71.24,71.57,70.10,71.30,5980330
17-Mar-16,70.33,71.17,69.45,70.66,4325188
16-Mar-16,68.74,69.74,68.07,69.42,3589808
15-Mar-16,68.06,68.36,67.48,68.33,4179976
14-Mar-16,69.13,69.67,68.65,69.05,2938022
11-Mar-16,69.67,70.21,69.11,69.95,3880625
10-Mar-16,68.27,68.73,67.53,68.44,4636543
9-Mar-16,67.23,69.25,66.30,68.43,5721098
8-Mar-16,69.12,69.18,66.20,66.40,7068292
7-Mar-16,70.07,70.74,68.32,70.35,6929005
4-Mar-16,70.70,71.00,69.15,69.72,5743286
3-Mar-16,71.59,71.62,69.38,70.49,6663151
2-Mar-16,70.08,71.66,69.57,71.61,4520841
1-Mar-16,69.25,70.60,68.57,70.45,4470738
29-Feb-16,70.31,70.53,68.52,68.82,4643638
26-Feb-16,71.23,71.23,69.75,69.80,3345644
25-Feb-16,69.55,69.93,68.46,69.65,2516101
24-Feb-16,67.71,69.61,67.40,69.47,3446115
23-Feb-16,71.37,71.77,68.58,69.00,4189125
22-Feb-16,71.90,72.19,71.10,71.68,4660069
19-Feb-16,69.84,70.37,68.93,70.26,5535609
18-Feb-16,71.33,71.46,69.81,70.29,4878554
17-Feb-16,69.34,71.30,68.71,70.63,6491945
16-Feb-16,68.25,68.32,67.15,68.01,6255832
12-Feb-16,67.00,67.78,66.44,67.06,5009171
11-Feb-16,64.39,66.52,64.12,66.20,6012513
10-Feb-16,65.13,67.00,64.28,65.66,7251307
9-Feb-16,65.13,66.17,64.05,65.22,4913591
8-Feb-16,63.68,66.70,63.24,66.19,6590440
5-Feb-16,66.40,66.65,64.75,65.47,6304624
4-Feb-16,68.90,70.49,66.78,66.98,9247429
3-Feb-16,66.59,68.19,64.75,68.13,6419346
2-Feb-16,64.34,66.30,64.03,65.48,5743872
1-Feb-16,67.54,67.78,65.83,66.56,6049000
29-Jan-16,65.99,68.83,65.88,68.83,9970873
28-Jan-16,66.15,66.75,64.08,65.87,7591862
27-Jan-16,62.80,65.87,62.28,64.16,6195270
26-Jan-16,63.09,63.61,62.14,63.23,5577545
25-Jan-16,63.01,64.30,61.73,61.79,5494794
22-Jan-16,63.53,64.39,61.44,63.80,7580274
21-Jan-16,59.11,61.17,58.76,60.85,7198604
20-Jan-16,60.26,60.87,58.24,59.62,9772924
19-Jan-16,63.50,63.65,60.34,61.46,7825561
15-Jan-16,61.32,63.05,60.96,62.79,7270945
14-Jan-16,60.75,64.81,60.19,64.00,9560540
13-Jan-16,61.75,62.80,60.02,60.40,7796339
12-Jan-16,61.42,61.88,58.82,60.97,7996876
11-Jan-16,62.96,63.42,59.97,61.22,9126177
8-Jan-16,64.76,64.95,62.94,63.17,6203032
7-Jan-16,64.07,65.68,63.69,64.26,6562615
6-Jan-16,66.75,67.11,64.76,65.44,6740484
5-Jan-16,67.18,68.71,66.78,68.53,4467973
4-Jan-16,67.09,67.88,66.37,67.41,4763775
31-Dec-15,66.42,68.00,66.42,67.61,4618026
30-Dec-15,67.26,68.51,66.88,67.02,3137124
29-Dec-15,69.28,69.50,67.65,68.19,3503381
28-Dec-15,67.83,68.47,67.46,67.99,3520340
24-Dec-15,69.21,69.63,68.65,69.20,2206369
23-Dec-15,68.28,69.34,67.89,69.21,5647940
22-Dec-15,66.31,68.15,65.74,66.98,5755295
21-Dec-15,66.34,66.94,65.22,66.14,4534425
18-Dec-15,66.42,67.02,65.83,65.96,7027355
17-Dec-15,68.23,68.60,65.65,66.42,5748233
16-Dec-15,68.44,69.62,67.52,68.87,5563722
15-Dec-15,67.44,68.82,67.31,68.44,5330582
14-Dec-15,65.50,66.77,64.89,66.65,6588817
