Date,Open,High,Low,Close,Volume
9-Dec-16,19.98,20.04,19.67,19.93,7618152
8-Dec-16,19.68,20.13,19.57,20.00,4633515
7-Dec-16,19.17,19.71,19.14,19.67,3740013
6-Dec-16,19.00,19.20,18.80,19.18,3995245
5-Dec-16,18.67,18.94,18.64,18.93,5894544
2-Dec-16,18.73,18.81,18.54,18.60,4682549
1-Dec-16,18.80,19.00,18.74,18.93,3752225
30-Nov-16,18.69,18.83,18.64,18.72,3715085
29-Nov-16,18.43,18.60,18.34,18.49,2104092
28-Nov-16,18.51,18.58,18.33,18.38,3030273
25-Nov-16,18.52,18.59,18.49,18.57,1054370
23-Nov-16,18.44,18.60,18.37,18.52,2756527
22-Nov-16,18.51,18.60,18.29,18.37,3316577
21-Nov-16,18.32,18.43,18.24,18.41,2114317
18-Nov-16,18.31,18.34,18.19,18.29,3182194
17-Nov-16,18.08,18.35,18.00,18.26,5119333
16-Nov-16,18.28,18.36,18.06,18.11,7444472
15-Nov-16,18.39,18.60,18.15,18.55,5693398
14-Nov-16,18.09,18.87,18.09,18.58,6629755
11-Nov-16,17.89,18.35,17.82,18.28,4768599
10-Nov-16,17.67,18.43,17.60,17.94,8284416
9-Nov-16,16.85,17.59,16.51,17.48,5487756
8-Nov-16,16.70,16.72,16.49,16.64,2713639
7-Nov-16,16.48,16.77,16.43,16.73,3623346
4-Nov-16,16.22,16.42,16.14,16.23,2594689
3-Nov-16,16.24,16.31,16.13,16.23,2539560
2-Nov-16,16.23,16.23,16.05,16.15,2925758
1-Nov-16,16.25,16.36,16.04,16.24,3694097
31-Oct-16,16.25,16.35,16.13,16.24,7133195
28-Oct-16,16.27,16.33,16.06,16.19,3251407
27-Oct-16,16.34,16.56,16.26,16.46,5595126
26-Oct-16,16.23,16.38,16.22,16.24,2853149
25-Oct-16,16.28,16.33,16.20,16.28,3045817
24-Oct-16,16.20,16.30,16.09,16.22,2687407
21-Oct-16,16.07,16.11,15.82,16.09,4245180
20-Oct-16,15.74,16.01,15.70,15.92,5414268
19-Oct-16,15.71,15.91,15.70,15.81,3172091
18-Oct-16,15.60,15.66,15.46,15.64,2732307
17-Oct-16,15.55,15.59,15.38,15.44,1987057
14-Oct-16,15.54,15.64,15.44,15.51,4527899
13-Oct-16,15.62,15.67,15.28,15.41,2855346
12-Oct-16,15.80,15.88,15.74,15.74,1587281
11-Oct-16,15.88,15.98,15.68,15.78,1700859
10-Oct-16,15.97,16.00,15.86,15.89,1464436
7-Oct-16,15.88,15.92,15.69,15.83,2645948
6-Oct-16,15.87,15.92,15.72,15.87,2293311
5-Oct-16,15.85,16.02,15.76,15.88,2247151
4-Oct-16,15.77,15.94,15.65,15.76,2670585
3-Oct-16,15.69,15.85,15.67,15.75,2884999
30-Sep-16,15.70,15.90,15.53,15.82,3707505
