Date,Open,High,Low,Close,Volume
9-Dec-16,16.00,16.14,15.80,15.84,2672008
8-Dec-16,15.56,16.12,15.52,15.97,3020681
7-Dec-16,15.26,15.70,15.26,15.56,3696274
6-Dec-16,15.09,15.36,14.80,15.32,3038047
5-Dec-16,14.76,15.08,14.71,15.06,3072171
2-Dec-16,14.54,14.79,14.52,14.63,2351629
1-Dec-16,14.31,14.60,14.27,14.53,2988737
30-Nov-16,14.57,14.60,14.34,14.35,3626416
29-Nov-16,14.80,14.86,14.42,14.50,2224594
28-Nov-16,14.84,14.91,14.75,14.82,1629360
25-Nov-16,14.92,14.97,14.81,14.86,1118273
23-Nov-16,14.93,14.95,14.76,14.90,1747696
22-Nov-16,15.04,15.10,14.86,14.90,1934247
21-Nov-16,14.73,14.99,14.66,14.98,2459192
18-Nov-16,14.89,14.92,14.66,14.67,1537449
17-Nov-16,14.86,14.96,14.79,14.89,1555226
16-Nov-16,14.90,14.96,14.78,14.90,2242143
15-Nov-16,14.95,15.07,14.67,14.94,3349549
14-Nov-16,15.22,15.34,14.95,14.96,2542901
11-Nov-16,15.01,15.22,14.96,15.18,2417312
10-Nov-16,14.95,15.19,14.89,15.05,3744921
9-Nov-16,14.54,14.94,14.43,14.86,3546082
8-Nov-16,14.68,14.77,14.57,14.66,2609199
7-Nov-16,14.50,14.87,14.48,14.70,2761617
4-Nov-16,14.74,14.74,14.22,14.24,3969096
3-Nov-16,14.59,14.98,14.56,14.72,3155184
2-Nov-16,14.61,15.10,14.55,14.58,5216693
1-Nov-16,15.92,16.22,14.40,14.54,11088026
31-Oct-16,18.18,18.20,17.80,17.84,2621454
28-Oct-16,17.41,18.14,17.41,18.09,2195541
27-Oct-16,17.77,17.80,17.32,17.37,1304973
26-Oct-16,17.37,17.75,17.32,17.68,1372209
25-Oct-16,17.28,17.47,17.26,17.44,1160183
24-Oct-16,17.28,17.47,17.24,17.32,773212
21-Oct-16,17.08,17.30,17.02,17.15,1265193
20-Oct-16,17.28,17.33,17.14,17.19,780451
19-Oct-16,17.25,17.51,17.23,17.33,1050397
18-Oct-16,17.20,17.28,17.12,17.22,609531
17-Oct-16,16.97,17.26,16.92,17.03,779435
14-Oct-16,17.00,17.21,16.92,16.97,570004
13-Oct-16,17.27,17.29,16.91,16.93,1185535
12-Oct-16,17.40,17.43,17.26,17.41,721643
11-Oct-16,17.58,17.63,17.27,17.39,1069812
10-Oct-16,17.67,17.78,17.61,17.62,895763
7-Oct-16,17.80,17.82,17.57,17.58,754205
6-Oct-16,17.72,17.93,17.62,17.82,1017303
5-Oct-16,17.91,17.97,17.69,17.72,888724
4-Oct-16,18.06,18.15,17.75,17.82,764204
3-Oct-16,18.10,18.15,17.97,18.05,774314
30-Sep-16,18.11,18.24,17.98,18.16,1186757
29-Sep-16,17.90,18.14,17.86,17.98,1550993
28-Sep-16,17.70,17.96,17.66,17.95,873728
27-Sep-16,17.57,17.76,17.57,17.67,1025986
26-Sep-16,17.70,17.75,17.55,17.60,1235117
23-Sep-16,17.81,17.90,17.74,17.77,1106845
22-Sep-16,17.74,17.88,17.67,17.82,1018994
21-Sep-16,17.65,17.76,17.35,17.60,1699291
20-Sep-16,17.87,17.88,17.53,17.54,916701
19-Sep-16,17.79,17.90,17.63,17.76,1135030
16-Sep-16,17.76,17.79,17.58,17.66,1760706
15-Sep-16,17.58,17.90,17.56,17.83,1104495
14-Sep-16,17.76,17.87,17.48,17.61,1433472
13-Sep-16,17.87,18.08,17.63,17.78,1598884
12-Sep-16,17.60,18.08,17.57,17.99,1474124
9-Sep-16,18.38,18.43,17.78,17.78,1330450
8-Sep-16,18.67,18.70,18.51,18.53,1099162
7-Sep-16,18.72,18.81,18.64,18.71,1048067
6-Sep-16,18.96,19.03,18.60,18.76,1105823
2-Sep-16,18.99,19.10,18.82,18.91,1419612
1-Sep-16,18.79,18.95,18.61,18.93,1350419
31-Aug-16,18.86,18.89,18.64,18.76,1953448
30-Aug-16,18.72,18.88,18.68,18.87,1156438
29-Aug-16,18.78,18.90,18.66,18.69,1496763
26-Aug-16,18.62,18.81,18.61,18.77,2685943
25-Aug-16,18.50,18.58,18.43,18.56,959581
24-Aug-16,18.53,18.61,18.49,18.54,1147196
23-Aug-16,18.46,18.56,18.42,18.51,974210
22-Aug-16,18.32,18.38,18.12,18.37,883978
19-Aug-16,18.42,18.55,18.30,18.37,1134794
18-Aug-16,18.42,18.60,18.38,18.49,1360965
17-Aug-16,18.52,18.61,18.44,18.60,1528627
16-Aug-16,18.55,18.59,18.45,18.52,766666
15-Aug-16,18.48,18.74,18.48,18.62,930947
12-Aug-16,18.43,18.53,18.38,18.45,855683
