Date,Open,High,Low,Close,Volume
19-Feb-16,37.82,37.87,36.23,36.54,15758577
18-Feb-16,38.43,38.70,37.59,38.07,2683645
17-Feb-16,38.11,39.04,37.96,38.61,2384165
16-Feb-16,36.36,38.34,36.35,37.97,1363203
12-Feb-16,35.63,36.27,35.62,36.01,1173880
11-Feb-16,35.67,35.97,35.20,35.35,1329614
10-Feb-16,37.08,37.42,36.05,36.10,1303670
9-Feb-16,37.17,37.65,36.17,36.88,1084939
8-Feb-16,37.95,37.95,36.63,37.55,1941047
5-Feb-16,40.90,41.15,38.16,38.28,1486273
4-Feb-16,40.44,41.56,40.27,40.94,1392409
3-Feb-16,40.52,40.98,39.38,40.53,1419250
2-Feb-16,41.19,41.19,40.26,40.31,1253457
1-Feb-16,40.25,41.65,39.89,41.38,1513207
29-Jan-16,39.26,40.69,39.02,40.51,2214340
28-Jan-16,39.42,39.59,38.69,38.98,1047663
27-Jan-16,39.44,39.73,38.82,39.16,836178
26-Jan-16,39.22,39.81,39.00,39.42,1041919
25-Jan-16,40.43,40.48,39.02,39.12,1459820
22-Jan-16,40.25,40.93,39.90,40.49,938967
21-Jan-16,39.55,40.67,39.25,39.88,1038832
20-Jan-16,40.62,40.62,38.18,39.43,1864201
19-Jan-16,41.68,41.88,40.57,40.88,1309848
15-Jan-16,41.66,41.91,40.90,41.29,1247500
14-Jan-16,42.90,43.00,42.26,42.36,1195223
13-Jan-16,43.34,44.15,42.85,42.90,1712849
12-Jan-16,44.34,44.37,42.61,43.14,2578716
11-Jan-16,44.60,44.79,43.95,44.15,1395166
8-Jan-16,44.95,45.22,44.38,44.43,1370399
7-Jan-16,46.20,46.22,44.81,44.94,1068486
6-Jan-16,47.15,47.22,46.45,46.73,1151037
5-Jan-16,47.50,47.66,47.13,47.60,816038
4-Jan-16,47.16,47.44,46.91,47.41,927503
31-Dec-15,48.21,48.27,47.49,47.72,465083
30-Dec-15,48.43,48.88,48.23,48.23,496181
29-Dec-15,48.75,49.19,48.47,48.69,656556
28-Dec-15,48.28,48.67,48.18,48.62,750491
24-Dec-15,48.20,48.78,48.09,48.48,382758
23-Dec-15,47.60,48.34,47.48,48.24,878483
22-Dec-15,46.91,47.74,46.76,47.44,785826
21-Dec-15,46.61,46.86,45.98,46.73,1258174
18-Dec-15,47.77,47.78,46.34,46.35,2286914
17-Dec-15,48.36,48.60,47.74,48.07,1098670
16-Dec-15,47.38,48.54,47.18,48.40,1199446
15-Dec-15,47.16,47.54,46.86,47.18,1367524
14-Dec-15,47.88,48.08,46.76,47.06,1706057
