Date,Open,High,Low,Close,Volume
9-Dec-16,1555.50,1559.18,1549.94,1557.98,333919
8-Dec-16,1535.36,1551.77,1522.76,1548.67,506505
7-Dec-16,1504.69,1527.80,1501.87,1527.04,389907
6-Dec-16,1506.96,1508.09,1493.99,1504.82,255320
5-Dec-16,1476.19,1502.87,1475.22,1499.76,350058
2-Dec-16,1481.48,1488.80,1466.98,1473.00,336892
1-Dec-16,1501.69,1504.12,1468.97,1479.66,572693
30-Nov-16,1523.25,1528.58,1500.21,1503.68,375620
29-Nov-16,1528.65,1532.90,1515.00,1520.27,327065
28-Nov-16,1517.30,1536.00,1513.11,1525.07,348940
25-Nov-16,1523.12,1527.99,1511.40,1521.68,174009
23-Nov-16,1530.92,1533.56,1510.89,1520.99,319016
22-Nov-16,1530.25,1535.90,1525.64,1535.42,320070
21-Nov-16,1512.00,1531.02,1507.20,1524.18,296359
18-Nov-16,1512.28,1529.00,1504.53,1507.35,426312
17-Nov-16,1502.54,1530.95,1500.19,1512.90,413476
16-Nov-16,1492.39,1517.00,1488.23,1503.23,366913
15-Nov-16,1499.97,1507.76,1485.60,1497.45,669081
14-Nov-16,1540.46,1541.92,1482.23,1489.18,801850
11-Nov-16,1548.10,1557.70,1530.87,1540.65,643516
10-Nov-16,1584.44,1600.93,1520.30,1554.32,1102306
9-Nov-16,1565.00,1575.00,1546.58,1570.26,912686
8-Nov-16,1540.00,1589.20,1540.00,1578.13,1560975
7-Nov-16,1437.45,1485.20,1435.79,1480.33,1395456
4-Nov-16,1429.05,1442.14,1422.19,1424.28,435291
3-Nov-16,1449.35,1456.52,1435.41,1438.10,367738
2-Nov-16,1468.48,1469.55,1441.79,1445.33,540224
1-Nov-16,1474.23,1480.01,1453.93,1467.00,562866
31-Oct-16,1478.30,1479.61,1472.28,1474.23,284405
28-Oct-16,1465.08,1483.00,1460.00,1474.82,600851
27-Oct-16,1475.10,1480.00,1461.08,1463.02,358829
