Date,Open,High,Low,Close,Volume
9-Dec-16,60.02,60.78,59.90,60.24,795101
8-Dec-16,61.38,61.53,60.54,60.64,977904
7-Dec-16,60.29,61.39,60.00,61.35,1093965
6-Dec-16,59.31,60.16,59.31,60.13,1143334
5-Dec-16,59.32,59.87,59.04,59.68,1073706
2-Dec-16,58.80,58.88,58.34,58.78,1346613
1-Dec-16,57.96,59.79,57.82,58.81,1287153
30-Nov-16,56.93,57.71,56.93,57.46,1476050
29-Nov-16,56.90,57.07,56.16,56.21,1419304
28-Nov-16,57.86,58.02,56.99,57.06,1032872
25-Nov-16,57.80,58.07,57.44,58.06,465386
23-Nov-16,57.72,58.18,57.50,57.83,1159734
22-Nov-16,58.69,58.71,57.96,57.99,794095
21-Nov-16,58.37,58.70,58.00,58.22,1002612
18-Nov-16,57.83,58.24,57.70,57.80,1728433
17-Nov-16,58.31,58.43,57.80,57.95,905239
16-Nov-16,58.37,58.74,58.27,58.29,1176070
15-Nov-16,59.85,60.04,58.70,58.90,1012079
14-Nov-16,59.73,60.31,59.56,59.94,881601
11-Nov-16,59.99,60.66,59.20,59.45,1228536
10-Nov-16,57.95,60.66,57.91,60.24,2371380
9-Nov-16,55.68,57.88,55.36,57.30,1618398
8-Nov-16,55.40,55.99,55.04,55.93,1405113
7-Nov-16,55.56,55.93,55.34,55.49,1766313
4-Nov-16,54.02,55.41,54.02,54.70,826589
3-Nov-16,54.13,54.29,53.80,54.15,1190553
2-Nov-16,54.95,54.95,53.85,53.92,1613873
1-Nov-16,55.13,55.36,54.30,54.92,1562808
31-Oct-16,55.47,55.87,54.91,55.13,1845342
28-Oct-16,55.10,55.55,54.76,55.15,1402856
27-Oct-16,55.45,55.60,54.77,54.83,926753
26-Oct-16,55.35,56.23,55.23,55.40,1252215
25-Oct-16,57.96,57.98,55.01,55.92,2338862
24-Oct-16,58.94,59.33,58.60,58.94,832070
21-Oct-16,57.60,58.50,57.38,58.37,798256
20-Oct-16,58.65,59.00,58.06,58.28,996102
19-Oct-16,59.11,59.53,58.26,58.95,750568
18-Oct-16,59.76,59.79,58.90,59.44,1103222
17-Oct-16,58.79,59.16,58.51,59.00,1128584
14-Oct-16,59.28,59.51,58.56,58.74,829621
13-Oct-16,58.93,58.97,58.03,58.81,791396
12-Oct-16,59.48,59.85,58.95,59.62,796865
11-Oct-16,59.38,59.86,58.62,59.15,1340641
10-Oct-16,60.58,60.88,59.78,59.78,719349
7-Oct-16,61.75,61.75,59.95,60.23,868695
6-Oct-16,61.84,62.19,61.08,61.57,1189522
5-Oct-16,62.36,63.05,62.19,62.23,1410282
4-Oct-16,64.10,64.39,62.01,62.18,1734542
3-Oct-16,63.66,64.18,63.55,64.00,1284943
30-Sep-16,63.09,64.75,63.05,64.24,1424377
29-Sep-16,63.08,63.67,62.77,62.95,1600198
28-Sep-16,62.08,63.43,61.80,63.28,1912792
27-Sep-16,60.65,61.50,60.32,61.46,992946
26-Sep-16,60.75,61.19,60.44,60.97,839434
23-Sep-16,61.84,62.00,61.18,61.26,1267558
22-Sep-16,61.47,63.08,61.42,62.25,1934941
21-Sep-16,60.00,60.58,59.90,60.51,1249371
20-Sep-16,60.10,60.16,59.51,59.53,620971
19-Sep-16,59.86,60.22,59.61,59.81,958850
16-Sep-16,58.64,59.42,58.20,59.40,3347337
15-Sep-16,58.86,59.26,58.50,59.01,2166720
14-Sep-16,58.73,59.07,58.28,58.78,1532837
13-Sep-16,59.75,60.05,58.64,58.81,1586914
12-Sep-16,59.38,60.76,59.10,60.59,1371345
9-Sep-16,61.54,61.73,59.88,59.89,2109084
8-Sep-16,63.01,63.01,62.04,62.17,1858646
7-Sep-16,63.53,63.80,63.10,63.38,934767
6-Sep-16,64.26,65.14,63.58,63.81,1326739
2-Sep-16,63.76,64.17,63.48,64.02,954486
1-Sep-16,62.94,63.49,62.42,63.21,1584932
31-Aug-16,64.06,64.26,63.61,64.05,944438
30-Aug-16,64.59,64.59,63.85,64.16,933453
29-Aug-16,63.84,65.02,63.71,64.78,1152454
26-Aug-16,63.91,64.43,63.36,63.70,1173685
25-Aug-16,64.47,64.53,63.82,63.98,1382737
24-Aug-16,65.10,65.14,64.20,64.51,1724695
23-Aug-16,65.24,65.82,65.07,65.12,1636140
22-Aug-16,65.32,65.72,65.13,65.24,1258452
19-Aug-16,66.00,66.22,64.26,65.79,2291113
18-Aug-16,66.63,66.76,66.35,66.53,631934
17-Aug-16,66.36,66.74,66.22,66.59,754730
16-Aug-16,66.60,66.83,66.18,66.38,1033987
15-Aug-16,65.92,66.99,65.82,66.77,1032597
12-Aug-16,65.60,65.86,65.07,65.63,720613
11-Aug-16,64.68,66.07,64.37,65.83,1127005
10-Aug-16,64.80,64.85,64.20,64.37,450336
9-Aug-16,64.30,64.67,64.18,64.51,547320
8-Aug-16,64.75,64.90,64.16,64.38,872940
5-Aug-16,62.73,64.56,62.70,64.56,1786188
4-Aug-16,62.29,63.04,62.20,62.25,714857
3-Aug-16,61.25,62.71,60.99,62.34,1296537
2-Aug-16,62.20,62.20,60.82,61.13,1674260
1-Aug-16,63.61,63.74,62.05,62.29,1716644
29-Jul-16,63.63,64.31,63.17,63.82,1380826
28-Jul-16,63.22,64.14,62.37,63.88,1367821
27-Jul-16,63.45,63.80,62.85,63.77,1604063
26-Jul-16,62.23,63.30,62.16,63.28,983458
25-Jul-16,62.56,62.60,61.75,62.06,879021
22-Jul-16,61.79,62.76,61.41,62.61,2630611
21-Jul-16,62.24,62.88,61.79,61.98,1078282
20-Jul-16,62.14,62.49,61.59,62.40,1307770
19-Jul-16,62.59,62.83,62.15,62.51,995116
18-Jul-16,63.31,63.55,62.64,62.97,653610
15-Jul-16,63.78,64.02,62.83,63.57,713320
14-Jul-16,64.00,64.02,63.39,63.41,1017828
13-Jul-16,63.95,63.95,62.93,63.24,1389843
12-Jul-16,62.85,63.78,62.64,63.60,1640699
11-Jul-16,61.82,62.33,61.51,62.20,1480913
8-Jul-16,60.01,61.54,59.73,61.43,1192763
7-Jul-16,59.26,59.87,58.94,59.32,1038763
6-Jul-16,57.72,58.75,57.20,58.74,988456
5-Jul-16,58.69,58.74,57.48,57.90,1072696
1-Jul-16,58.40,59.01,58.36,58.83,816476
30-Jun-16,57.92,58.30,57.31,58.29,1327469
29-Jun-16,57.27,58.00,56.73,57.70,1557532
28-Jun-16,57.24,57.28,56.13,56.44,2424824
27-Jun-16,57.01,57.05,55.53,56.28,1926217
24-Jun-16,58.40,59.24,57.61,57.83,2897833
23-Jun-16,61.48,61.63,61.17,61.51,1232230
22-Jun-16,61.66,61.75,60.57,60.62,1397882
21-Jun-16,62.14,62.23,61.38,61.49,1319188
20-Jun-16,62.26,62.70,62.03,62.28,1798574
17-Jun-16,60.47,61.23,60.17,61.20,3119166
16-Jun-16,59.17,60.36,58.81,60.28,1861155
15-Jun-16,59.51,60.18,59.10,59.80,1486968
14-Jun-16,58.19,59.26,58.09,59.18,1835958
13-Jun-16,59.03,59.22,58.48,58.53,988988
10-Jun-16,60.11,60.57,58.93,59.38,1129704
9-Jun-16,60.53,60.56,59.86,60.16,1030130
8-Jun-16,61.30,61.77,60.75,60.94,1278627
7-Jun-16,60.94,61.53,60.60,61.07,1688661
6-Jun-16,60.38,60.81,59.88,60.72,2124212
3-Jun-16,60.68,60.69,59.72,60.00,1403279
2-Jun-16,60.13,63.39,59.69,60.75,4322609
1-Jun-16,59.72,60.22,58.99,60.19,1285870
31-May-16,60.64,60.91,60.01,60.24,1103361
27-May-16,60.82,60.91,60.25,60.61,841339
26-May-16,61.55,62.13,60.77,60.84,1172069
25-May-16,60.54,61.42,60.40,61.35,1153586
24-May-16,59.68,60.32,59.35,60.08,988866
23-May-16,58.40,59.51,58.09,59.31,1064478
20-May-16,58.75,59.47,58.29,58.48,1036696
19-May-16,58.66,58.77,57.67,58.36,2136494
18-May-16,57.90,59.42,57.63,59.27,2288668
17-May-16,58.32,59.08,57.99,58.17,878274
16-May-16,57.80,59.12,57.66,58.57,1326262
13-May-16,59.14,59.54,57.54,57.65,1106564
12-May-16,59.30,59.84,58.55,59.22,1445994
11-May-16,58.42,59.40,57.94,58.90,1154820
10-May-16,57.86,58.42,57.62,58.31,1366057
9-May-16,57.96,58.19,57.33,57.52,1635116
6-May-16,56.73,58.15,56.48,58.14,1350579
5-May-16,57.32,57.61,56.72,56.90,1037743
4-May-16,57.63,58.06,56.49,56.88,729976
3-May-16,58.29,58.30,57.69,57.99,1200780
2-May-16,57.74,59.14,57.45,58.99,1554091
29-Apr-16,58.58,59.12,57.83,58.08,2583726
28-Apr-16,59.33,59.73,58.51,58.69,1269749
27-Apr-16,59.91,62.08,58.90,59.94,3762904
26-Apr-16,57.37,58.32,55.23,58.30,2404957
25-Apr-16,56.94,57.25,55.93,56.13,1846326
22-Apr-16,56.53,57.43,56.53,57.28,1043076
21-Apr-16,56.39,56.83,56.01,56.44,902490
20-Apr-16,55.83,56.65,55.61,56.39,992795
19-Apr-16,55.65,56.46,55.28,56.26,903038
18-Apr-16,54.63,55.45,54.45,55.17,1193935
15-Apr-16,55.22,55.36,54.93,55.11,886073
14-Apr-16,55.36,55.66,54.78,55.31,1209876
13-Apr-16,53.69,55.08,53.53,55.02,1191797
12-Apr-16,51.93,53.30,51.93,53.11,963889
11-Apr-16,51.87,52.34,51.60,51.70,619899
8-Apr-16,51.45,52.18,51.39,51.51,1099905
7-Apr-16,51.17,51.31,50.61,50.70,1762741
6-Apr-16,51.42,52.24,50.37,51.18,1701445
5-Apr-16,52.78,52.78,51.29,51.36,1618651
4-Apr-16,53.48,53.63,52.88,53.13,1205080
1-Apr-16,53.63,53.91,52.87,53.55,1420873
31-Mar-16,54.09,54.54,54.01,54.26,1227732
30-Mar-16,53.78,54.14,53.52,54.07,1012366
29-Mar-16,52.29,53.43,51.89,53.41,1630764
28-Mar-16,52.66,52.87,52.02,52.65,1029455
24-Mar-16,52.45,52.74,51.79,52.65,1315714
23-Mar-16,53.79,53.79,52.80,52.94,865706
22-Mar-16,53.72,54.32,53.47,53.95,625113
21-Mar-16,53.62,54.29,53.49,54.06,794071
18-Mar-16,54.12,54.39,53.65,53.80,2118823
17-Mar-16,51.99,53.86,51.67,53.81,1867154
16-Mar-16,50.22,52.01,50.10,51.75,1320748
15-Mar-16,49.99,50.40,49.30,50.25,943837
14-Mar-16,50.10,51.18,50.08,50.58,1487553
11-Mar-16,50.14,50.79,49.64,50.40,1394884
10-Mar-16,50.30,50.87,48.87,49.48,1443177
9-Mar-16,50.22,50.54,49.79,50.20,1039198
8-Mar-16,51.17,51.42,49.82,49.93,1086314
7-Mar-16,50.33,52.06,50.25,51.88,994774
4-Mar-16,50.81,51.25,50.23,50.54,2076335
3-Mar-16,50.60,51.11,50.24,50.88,1284700
2-Mar-16,48.99,50.64,48.77,50.61,1732847
