Date,Open,High,Low,Close,Volume
9-Dec-16,33.17,33.55,33.13,33.51,4871078
8-Dec-16,32.90,33.23,32.71,33.11,4636791
7-Dec-16,32.80,33.11,32.69,33.10,4298447
6-Dec-16,33.30,33.37,32.94,33.08,4690115
5-Dec-16,33.17,33.27,32.87,33.25,5499019
2-Dec-16,33.32,33.57,33.07,33.34,3488736
1-Dec-16,33.28,33.34,32.78,33.10,4619657
30-Nov-16,33.75,34.12,33.46,33.46,6759935
29-Nov-16,34.08,34.38,34.03,34.19,4035469
28-Nov-16,33.41,34.31,33.41,34.15,4966645
25-Nov-16,32.89,33.46,32.89,33.32,1783866
23-Nov-16,33.02,33.24,32.70,32.81,3219576
22-Nov-16,33.24,33.46,33.07,33.32,3352141
21-Nov-16,32.98,33.36,32.85,33.34,4023942
18-Nov-16,32.89,33.10,32.67,32.84,2901138
17-Nov-16,32.80,33.07,32.76,32.83,2987604
16-Nov-16,33.34,33.43,32.67,32.87,3562041
15-Nov-16,33.00,33.26,32.86,33.24,5239104
14-Nov-16,33.00,33.09,32.60,32.86,7600709
11-Nov-16,33.11,33.56,32.97,33.15,4951889
10-Nov-16,33.41,33.67,32.46,33.11,6914564
9-Nov-16,34.05,34.13,33.45,33.58,5569588
8-Nov-16,34.61,34.93,34.49,34.74,3378909
7-Nov-16,34.17,34.55,33.84,34.55,4026789
4-Nov-16,34.27,34.45,34.00,34.02,3861508
3-Nov-16,33.91,34.44,33.80,34.10,4769091
2-Nov-16,33.93,34.11,33.52,33.91,4624450
1-Nov-16,34.98,34.98,33.87,34.00,6690148
31-Oct-16,33.96,34.56,33.85,34.34,5208645
28-Oct-16,33.70,33.95,33.63,33.81,3562326
27-Oct-16,33.67,33.83,33.54,33.68,3846972
26-Oct-16,33.62,33.91,33.43,33.84,2950520
25-Oct-16,33.43,33.74,33.40,33.70,2796173
24-Oct-16,33.43,33.60,33.23,33.53,2485034
21-Oct-16,33.42,33.58,33.14,33.32,3454896
20-Oct-16,33.42,33.68,33.29,33.58,5049774
19-Oct-16,33.33,33.53,33.23,33.36,3401751
18-Oct-16,33.28,33.47,33.02,33.41,3877357
17-Oct-16,32.95,33.15,32.86,33.06,3411441
14-Oct-16,32.96,33.17,32.80,32.92,5691635
13-Oct-16,32.46,33.40,32.37,33.00,12995499
12-Oct-16,32.44,32.71,32.35,32.52,5738189
11-Oct-16,32.46,32.60,32.12,32.19,4339836
10-Oct-16,32.32,32.57,32.26,32.51,3945845
7-Oct-16,32.53,33.24,32.08,32.25,8085645
6-Oct-16,32.56,32.71,32.38,32.50,8117127
5-Oct-16,32.95,33.00,32.35,32.65,10898333
4-Oct-16,33.95,34.00,32.75,32.90,9571682
3-Oct-16,34.48,34.57,33.71,33.95,5283353
30-Sep-16,34.87,35.07,34.40,34.57,4998489
29-Sep-16,35.02,35.05,34.72,34.82,4647401
