Date,Open,High,Low,Close,Volume
9-Dec-16,222.00,224.40,218.31,219.13,895526
8-Dec-16,219.63,221.75,218.58,221.06,1016477
7-Dec-16,215.66,221.62,214.34,221.01,1108872
6-Dec-16,213.36,215.91,212.04,214.71,1084835
5-Dec-16,209.12,212.88,205.93,212.45,1258507
2-Dec-16,208.46,214.87,208.46,209.48,1004064
1-Dec-16,208.16,210.77,206.00,207.86,1110463
30-Nov-16,208.25,211.85,207.39,209.30,1655332
29-Nov-16,210.07,212.78,207.62,209.61,753862
28-Nov-16,206.03,210.37,206.03,209.49,1059980
25-Nov-16,204.62,208.34,204.58,205.73,324821
23-Nov-16,204.59,205.44,202.88,204.76,557717
22-Nov-16,203.29,205.25,200.72,205.10,1231254
21-Nov-16,203.97,205.99,201.75,201.93,771397
18-Nov-16,204.55,206.17,201.70,203.97,859954
17-Nov-16,208.59,209.03,204.31,204.61,576739
16-Nov-16,211.88,212.12,206.81,208.21,811644
15-Nov-16,216.77,219.22,211.34,212.12,1097204
14-Nov-16,213.94,217.36,208.60,216.45,1111556
11-Nov-16,215.29,218.36,213.43,214.18,1218506
10-Nov-16,217.53,218.43,211.26,214.74,1786738
9-Nov-16,210.63,218.73,206.65,217.46,1517739
8-Nov-16,211.99,217.27,210.91,216.38,1059855
7-Nov-16,208.28,211.86,206.70,211.73,610549
4-Nov-16,204.01,205.80,202.30,205.44,933441
3-Nov-16,205.31,205.31,202.78,203.76,811854
2-Nov-16,206.26,207.83,205.13,205.26,758485
1-Nov-16,213.26,213.26,205.00,205.72,1332566
31-Oct-16,209.09,213.87,208.00,213.72,1183316
28-Oct-16,203.69,208.89,203.69,207.75,1185088
27-Oct-16,210.12,210.88,200.65,202.25,2070582
26-Oct-16,212.05,213.75,210.89,213.28,782639
25-Oct-16,210.03,212.42,209.76,212.35,704913
24-Oct-16,210.68,213.01,209.74,211.50,1020382
21-Oct-16,213.07,214.28,210.91,211.05,846967
20-Oct-16,215.57,216.45,212.85,214.12,572902
19-Oct-16,215.91,215.91,213.28,215.19,671214
18-Oct-16,215.68,216.47,213.68,215.83,611447
17-Oct-16,214.22,215.67,213.61,215.11,541613
14-Oct-16,214.74,215.72,213.23,214.20,599108
13-Oct-16,211.37,215.10,211.12,214.23,546341
12-Oct-16,210.39,213.29,209.41,212.77,686059
11-Oct-16,210.57,211.70,209.03,209.72,526353
10-Oct-16,211.96,212.68,211.02,211.59,424980
7-Oct-16,211.96,214.66,210.96,212.05,713060
6-Oct-16,209.52,213.13,207.06,211.24,889131
5-Oct-16,213.49,214.85,208.31,208.89,985003
4-Oct-16,218.91,218.91,211.40,212.66,857057
3-Oct-16,222.60,222.60,216.50,216.56,742318
30-Sep-16,226.37,227.77,223.01,223.14,1298905
29-Sep-16,224.71,227.15,222.69,224.99,1171353
28-Sep-16,223.66,226.11,222.76,225.83,1009009
27-Sep-16,225.00,225.23,222.68,222.94,649085
26-Sep-16,221.86,224.79,221.57,223.95,600089
23-Sep-16,219.85,223.04,218.11,222.12,623756
22-Sep-16,217.91,222.66,217.91,221.80,886525
21-Sep-16,216.61,218.09,212.69,217.53,794897
20-Sep-16,215.98,218.10,214.93,216.84,850683
19-Sep-16,214.93,216.65,214.59,216.07,1036556
16-Sep-16,214.15,216.12,213.92,214.96,1266549
15-Sep-16,214.71,215.50,213.49,214.80,915459
14-Sep-16,214.93,216.37,214.51,215.10,812616
13-Sep-16,217.30,218.78,214.72,214.75,1183834
12-Sep-16,216.76,220.33,215.77,219.00,1260891
9-Sep-16,221.75,223.14,218.39,218.58,1017636
8-Sep-16,225.10,225.36,222.53,223.00,1401202
7-Sep-16,224.31,226.53,223.45,225.93,728383
6-Sep-16,226.66,226.66,221.50,224.37,1208671
2-Sep-16,226.10,229.19,224.57,226.79,665332
1-Sep-16,224.25,228.13,223.43,226.11,770250
31-Aug-16,223.65,226.08,222.36,223.94,1004173
30-Aug-16,225.94,226.12,221.82,223.77,729690
29-Aug-16,224.59,226.34,223.90,225.74,629521
26-Aug-16,225.82,227.27,221.51,224.00,655626
25-Aug-16,224.44,228.16,224.35,225.74,688894
24-Aug-16,226.49,226.50,223.08,223.93,757877
23-Aug-16,227.52,227.68,226.22,226.51,683598
22-Aug-16,224.87,227.06,224.03,226.78,786065
19-Aug-16,225.96,226.67,222.82,224.03,1224271
18-Aug-16,227.89,228.00,225.31,226.74,545415
17-Aug-16,228.12,228.90,226.21,227.90,645415
16-Aug-16,228.21,228.80,226.55,227.54,544150
15-Aug-16,230.42,230.80,228.35,229.09,686950
12-Aug-16,230.85,233.39,229.56,230.17,525648
11-Aug-16,231.29,232.96,229.00,230.83,833148
10-Aug-16,231.48,232.82,231.10,232.27,847694
9-Aug-16,230.22,232.63,228.50,231.84,731770
8-Aug-16,232.50,234.09,230.14,230.50,816622
5-Aug-16,230.79,234.61,229.11,232.76,964576
