Date,Open,High,Low,Close,Volume
9-Dec-16,87.69,87.69,86.86,87.16,1512953
8-Dec-16,87.06,87.97,86.92,87.63,2240682
7-Dec-16,85.08,87.10,84.94,87.01,2686951
6-Dec-16,85.13,85.43,84.56,84.91,2564249
5-Dec-16,85.38,85.89,84.89,85.44,2811297
2-Dec-16,84.75,85.70,84.70,84.88,2104372
1-Dec-16,83.92,85.80,83.60,84.98,3535515
30-Nov-16,83.10,83.81,82.32,83.08,4999424
29-Nov-16,83.36,83.50,82.30,82.39,2150536
28-Nov-16,84.80,85.03,84.02,84.09,3389337
25-Nov-16,84.82,84.92,84.51,84.89,972150
23-Nov-16,84.84,85.60,84.48,85.06,2684207
22-Nov-16,84.96,85.63,84.17,84.88,2853882
21-Nov-16,84.48,84.93,83.97,84.86,2118374
18-Nov-16,83.89,84.18,83.53,83.64,2220294
17-Nov-16,83.72,84.61,83.30,83.83,2293755
16-Nov-16,83.65,83.82,82.78,83.00,1601300
15-Nov-16,83.36,83.78,82.50,83.70,2991091
14-Nov-16,82.22,83.50,82.03,83.36,2602384
11-Nov-16,82.90,83.09,81.87,82.22,2186207
10-Nov-16,82.34,83.76,82.19,83.09,3188492
9-Nov-16,79.29,83.16,78.93,82.45,4490364
8-Nov-16,79.72,80.73,79.61,79.89,1617512
7-Nov-16,79.62,80.23,79.52,79.93,2051387
4-Nov-16,78.88,79.55,78.26,78.60,1568468
3-Nov-16,78.59,79.80,77.66,79.08,2530774
2-Nov-16,79.50,79.81,78.01,78.34,2959294
1-Nov-16,82.35,83.21,79.47,80.25,4351308
31-Oct-16,80.20,81.99,80.02,81.15,2819839
28-Oct-16,79.23,81.76,79.00,80.13,2977358
27-Oct-16,81.12,81.26,79.86,79.99,2434359
26-Oct-16,80.28,81.51,80.11,81.06,2064854
25-Oct-16,80.29,81.08,79.94,80.76,2263743
24-Oct-16,80.53,81.03,79.87,80.59,1490343
21-Oct-16,79.21,80.43,78.80,80.35,2070785
20-Oct-16,79.40,79.92,78.91,79.74,1407272
