Date,Open,High,Low,Close,Volume
9-Dec-16,20.61,20.70,19.87,19.99,2819681
8-Dec-16,20.33,20.65,20.12,20.45,3176824
7-Dec-16,20.31,20.37,19.91,20.17,2846971
6-Dec-16,19.90,20.56,19.76,20.37,3503957
5-Dec-16,20.22,20.78,20.10,20.20,3862160
2-Dec-16,19.44,19.95,19.15,19.85,3883828
1-Dec-16,20.23,20.33,19.52,19.58,4739446
30-Nov-16,18.32,19.73,18.32,19.66,5816407
29-Nov-16,16.49,17.22,16.06,16.95,3003742
28-Nov-16,18.43,18.44,17.28,17.32,2197597
25-Nov-16,18.29,18.43,18.00,18.21,859058
23-Nov-16,18.09,18.59,18.04,18.55,1878619
22-Nov-16,18.15,18.42,17.87,18.34,3631948
21-Nov-16,17.45,18.14,17.45,18.09,5313978
18-Nov-16,17.57,17.73,16.97,17.02,5343728
17-Nov-16,18.13,18.32,17.32,17.40,3957429
16-Nov-16,18.10,18.29,17.66,17.79,2178902
15-Nov-16,17.43,18.25,17.43,18.18,2685482
14-Nov-16,17.11,17.21,16.71,17.19,3072697
11-Nov-16,16.89,17.12,16.59,17.11,3629542
10-Nov-16,16.84,17.31,16.74,17.16,4609259
9-Nov-16,16.11,16.94,16.03,16.92,4569978
8-Nov-16,16.10,16.40,15.80,16.02,4156078
7-Nov-16,16.60,16.67,16.08,16.31,4260387
4-Nov-16,16.31,16.56,16.07,16.09,3171825
3-Nov-16,16.27,17.01,16.05,16.41,5747423
2-Nov-16,15.86,16.19,15.53,16.11,5561388
1-Nov-16,16.29,16.49,16.00,16.16,7180693
31-Oct-16,16.36,16.43,15.97,16.07,5597336
28-Oct-16,17.35,17.65,16.41,16.43,4678679
27-Oct-16,17.57,17.69,17.16,17.39,6504411
26-Oct-16,16.84,17.45,16.72,17.32,6342319
25-Oct-16,17.50,17.73,17.04,17.08,3452092
24-Oct-16,17.94,17.94,17.21,17.62,5351179
21-Oct-16,17.52,17.88,17.39,17.81,4807491
20-Oct-16,17.30,17.76,16.81,17.68,3204826
19-Oct-16,17.43,17.84,17.21,17.54,4379049
18-Oct-16,17.84,17.95,17.20,17.30,4074851
17-Oct-16,17.82,17.91,17.33,17.47,2817942
14-Oct-16,18.14,18.25,17.75,17.85,2673643
13-Oct-16,17.92,18.30,17.77,18.06,3529067
