Date,Open,High,Low,Close,Volume
9-Dec-16,19.43,20.40,19.27,20.37,3207709
8-Dec-16,18.78,19.22,18.54,19.21,1944349
7-Dec-16,18.57,18.93,18.22,18.62,2983504
6-Dec-16,17.82,18.66,17.48,18.60,4293472
5-Dec-16,17.78,18.26,17.62,18.08,3958940
2-Dec-16,17.64,18.26,17.36,17.42,5241523
1-Dec-16,18.34,18.56,17.63,18.07,4708933
30-Nov-16,16.77,17.92,16.71,17.82,5580400
29-Nov-16,15.60,15.66,15.06,15.50,4015944
28-Nov-16,16.70,16.75,16.19,16.21,3436930
25-Nov-16,16.35,16.61,16.30,16.50,1397626
23-Nov-16,15.97,16.53,15.97,16.51,2438450
22-Nov-16,16.36,16.45,15.73,16.23,3387136
21-Nov-16,16.36,16.75,15.88,16.08,4207077
18-Nov-16,15.24,15.95,15.24,15.72,7218243
17-Nov-16,15.29,15.74,15.14,15.16,2651887
16-Nov-16,15.45,15.51,14.94,15.11,3387137
15-Nov-16,15.13,15.60,15.13,15.55,4599167
14-Nov-16,14.23,15.00,14.18,14.97,4216203
11-Nov-16,14.29,14.34,13.67,14.28,1860293
10-Nov-16,14.03,14.59,13.95,14.47,2680007
9-Nov-16,13.84,14.30,13.68,14.12,2871720
8-Nov-16,13.52,13.83,13.38,13.69,2281836
7-Nov-16,13.90,13.90,13.44,13.65,2417731
4-Nov-16,13.92,14.03,13.44,13.59,3068590
3-Nov-16,13.70,14.36,13.70,14.01,3169909
2-Nov-16,13.59,14.00,13.22,13.57,5257544
1-Nov-16,13.51,13.88,13.27,13.81,4917657
31-Oct-16,13.39,13.56,13.02,13.27,5198195
28-Oct-16,13.90,14.06,13.39,13.49,3283975
27-Oct-16,14.25,14.36,13.80,13.98,3544088
26-Oct-16,13.57,14.16,13.54,14.09,4384996
25-Oct-16,13.99,14.38,13.77,13.79,3560037
24-Oct-16,14.65,14.65,13.92,14.10,3047108
21-Oct-16,14.46,14.72,14.37,14.56,2258397
20-Oct-16,14.28,14.58,14.21,14.57,3155711
19-Oct-16,14.22,14.84,14.21,14.47,3287167
18-Oct-16,14.52,14.64,14.04,14.09,2926909
17-Oct-16,14.59,14.78,14.06,14.23,3692789
14-Oct-16,14.71,14.82,14.37,14.55,1970608
13-Oct-16,14.50,14.85,14.36,14.72,2876228
12-Oct-16,14.89,15.00,14.65,14.68,3214591
11-Oct-16,15.09,15.25,14.78,15.03,2676475
10-Oct-16,15.23,15.59,15.20,15.33,3057588
7-Oct-16,14.92,15.27,14.73,14.99,2742077
6-Oct-16,15.42,15.70,15.06,15.12,5444606
5-Oct-16,14.86,15.33,14.72,15.27,6283547
4-Oct-16,14.85,15.00,14.32,14.49,3984679
3-Oct-16,14.97,15.20,14.35,14.73,4827097
30-Sep-16,15.29,15.33,14.95,15.16,4541871
29-Sep-16,14.63,15.72,14.56,15.16,8097072
28-Sep-16,13.33,14.62,13.02,14.60,8347269
27-Sep-16,13.27,13.46,13.01,13.35,4377094
26-Sep-16,13.43,13.85,13.17,13.56,4130546
23-Sep-16,13.84,14.16,13.28,13.36,5028217
22-Sep-16,13.81,14.38,13.80,14.06,4689090
21-Sep-16,12.89,13.52,12.78,13.49,3456987
20-Sep-16,12.86,13.12,12.55,12.76,3030213
19-Sep-16,12.87,13.16,12.51,12.87,4048727
16-Sep-16,12.42,12.74,12.21,12.72,4788569
15-Sep-16,12.58,12.83,12.38,12.70,4038098
14-Sep-16,12.46,12.99,12.31,12.59,4805169
