Date,Open,High,Low,Close,Volume
9-Dec-16,183.12,185.93,182.96,185.80,792892
8-Dec-16,182.63,183.77,182.63,183.29,1462814
7-Dec-16,183.72,183.95,182.79,183.51,962074
6-Dec-16,183.78,185.36,182.01,183.05,924253
5-Dec-16,183.17,184.93,181.16,181.64,570215
2-Dec-16,181.66,182.69,181.32,182.32,518486
1-Dec-16,181.41,182.64,181.23,181.83,668377
30-Nov-16,181.69,182.31,180.94,181.11,740824
29-Nov-16,181.63,182.20,180.98,181.10,293275
28-Nov-16,182.80,183.35,181.16,182.08,415468
25-Nov-16,184.22,184.60,182.20,183.13,172323
23-Nov-16,183.25,184.43,183.25,184.20,377750
22-Nov-16,182.70,183.87,181.78,183.79,582367
21-Nov-16,181.15,182.04,180.78,182.04,574601
18-Nov-16,181.10,181.86,179.96,180.12,319099
17-Nov-16,181.49,182.25,180.75,181.42,955963
16-Nov-16,181.38,181.71,180.02,181.28,611293
15-Nov-16,179.45,181.78,178.19,181.65,832895
14-Nov-16,179.06,180.24,178.96,179.58,729467
11-Nov-16,179.57,180.31,178.01,178.95,713816
10-Nov-16,177.09,180.50,176.60,179.81,1157496
9-Nov-16,173.26,177.23,171.57,176.95,970729
8-Nov-16,173.12,174.89,172.14,174.04,756770
7-Nov-16,171.32,173.04,171.26,172.85,549972
4-Nov-16,170.81,171.32,169.42,169.47,1033675
3-Nov-16,170.47,171.31,169.67,170.36,439086
2-Nov-16,171.68,171.97,169.96,170.07,724223
1-Nov-16,172.87,174.79,171.27,171.58,2830222
31-Oct-16,168.56,174.88,168.56,173.31,2107181
28-Oct-16,168.98,169.44,167.50,167.91,851878
27-Oct-16,170.30,170.52,167.75,168.48,678339
26-Oct-16,171.13,171.26,169.44,169.73,758347
25-Oct-16,171.47,172.36,170.45,171.34,471858
24-Oct-16,173.71,174.87,171.47,171.51,365433
21-Oct-16,171.47,172.93,170.40,172.40,352013
20-Oct-16,174.48,174.61,172.62,173.18,401532
19-Oct-16,172.86,174.70,172.17,174.56,438126
18-Oct-16,172.56,172.61,170.42,172.52,531515
17-Oct-16,172.69,172.92,171.32,171.43,451043
14-Oct-16,173.87,175.58,172.92,172.94,483411
13-Oct-16,174.86,175.02,173.58,173.88,376291
12-Oct-16,176.52,177.27,175.86,176.37,328009
11-Oct-16,179.23,179.23,175.28,176.86,644399
