Date,Open,High,Low,Close,Volume
9-Dec-16,67.78,67.78,66.91,67.62,2198682
8-Dec-16,68.13,68.44,67.47,67.70,2451256
7-Dec-16,67.38,68.30,67.05,68.26,2360186
6-Dec-16,67.26,67.50,66.70,67.26,2626176
5-Dec-16,67.69,67.92,66.87,67.15,2765717
2-Dec-16,67.45,67.88,67.19,67.36,2248663
1-Dec-16,67.46,67.95,67.09,67.38,2925465
30-Nov-16,68.45,68.72,67.58,67.59,4411627
29-Nov-16,68.60,68.85,68.21,68.57,2221271
28-Nov-16,68.79,69.00,68.28,68.36,2693812
25-Nov-16,69.55,69.55,68.86,69.04,1036448
23-Nov-16,68.81,69.74,68.53,69.25,2833186
22-Nov-16,68.65,69.81,68.55,68.94,7715524
21-Nov-16,68.02,68.36,67.56,67.93,4024478
18-Nov-16,67.72,68.84,66.60,68.00,6999124
17-Nov-16,64.11,65.53,63.11,65.53,4006257
16-Nov-16,63.09,64.09,62.92,63.86,3744476
15-Nov-16,64.00,64.01,61.98,63.09,4099789
14-Nov-16,63.73,64.47,63.57,63.60,3865045
11-Nov-16,63.13,63.90,62.52,63.64,3390878
10-Nov-16,63.13,64.64,62.93,63.24,3491177
9-Nov-16,61.53,63.00,61.00,62.86,2880823
8-Nov-16,62.59,63.69,62.28,62.85,2801695
7-Nov-16,61.91,62.88,61.63,62.59,3191896
4-Nov-16,61.03,62.14,61.03,61.40,2293754
3-Nov-16,62.32,62.39,61.20,61.28,2118712
2-Nov-16,62.18,62.41,61.83,62.11,1843283
1-Nov-16,62.40,62.69,61.82,62.11,3157912
31-Oct-16,62.43,62.57,61.90,62.54,3183384
28-Oct-16,62.19,62.55,61.78,62.28,2324665
27-Oct-16,63.50,63.62,62.08,62.31,2236454
26-Oct-16,63.06,63.98,63.00,63.50,2040013
25-Oct-16,63.04,63.33,62.56,63.13,1758017
24-Oct-16,63.73,63.93,63.14,63.39,2108066
21-Oct-16,63.19,63.42,62.77,63.40,1800110
20-Oct-16,63.47,64.00,63.24,63.41,2043059
19-Oct-16,64.60,64.60,63.03,63.36,3018958
18-Oct-16,64.66,64.90,63.54,63.55,2262729
17-Oct-16,64.70,65.05,64.28,64.39,2152897
14-Oct-16,64.94,65.14,64.54,64.66,1626664
13-Oct-16,64.62,64.83,64.05,64.81,2001996
12-Oct-16,63.92,64.95,63.85,64.90,2141609
11-Oct-16,64.15,64.16,63.54,63.75,1944584
10-Oct-16,64.68,64.99,64.08,64.20,1823514
7-Oct-16,64.67,65.29,63.95,64.28,1945338
6-Oct-16,64.24,64.54,63.83,64.37,1757512
5-Oct-16,64.25,65.40,64.24,64.48,2318339
4-Oct-16,64.14,64.69,64.02,64.26,1597497
3-Oct-16,63.97,64.64,63.74,64.23,2091079
30-Sep-16,63.87,64.53,63.53,64.30,2041974
29-Sep-16,63.41,63.95,63.19,63.35,1981956
28-Sep-16,64.49,64.51,63.23,63.43,2197746
27-Sep-16,63.64,64.60,63.64,64.39,2200689
26-Sep-16,64.12,64.26,63.48,63.76,1762763
23-Sep-16,63.58,64.62,63.58,64.26,1814476
22-Sep-16,63.58,64.28,63.50,63.98,2083184
21-Sep-16,63.46,63.46,62.50,63.35,2288204
20-Sep-16,62.54,63.01,62.37,62.91,2622345
19-Sep-16,62.07,62.81,61.93,62.53,2338934
16-Sep-16,61.81,62.02,61.31,61.93,2934647
15-Sep-16,61.09,62.09,60.84,61.95,1846312
14-Sep-16,61.17,61.61,61.04,61.30,1902895
13-Sep-16,61.41,62.00,60.81,61.17,2409674
12-Sep-16,60.86,61.79,60.79,61.71,2244050
9-Sep-16,62.20,62.42,60.77,60.78,3021015
8-Sep-16,62.64,63.00,62.45,62.72,2082880
7-Sep-16,62.10,63.03,62.10,62.86,2233449
6-Sep-16,62.53,62.75,61.83,62.75,2361336
2-Sep-16,62.55,62.84,62.13,62.73,1314830
1-Sep-16,62.46,62.51,61.63,62.38,1813488
31-Aug-16,62.22,62.42,61.82,62.24,2604329
30-Aug-16,62.91,63.08,62.08,62.30,2190701
29-Aug-16,63.23,63.61,62.91,63.11,2540311
26-Aug-16,63.46,63.90,62.95,63.26,2222529
25-Aug-16,63.83,64.02,62.90,63.41,3491973
24-Aug-16,64.17,64.31,63.66,63.87,2418966
23-Aug-16,64.76,64.97,64.17,64.30,2887615
22-Aug-16,65.07,65.26,64.37,64.45,4935669
19-Aug-16,64.50,66.28,64.20,65.06,7260000
18-Aug-16,62.49,63.65,62.30,62.88,4835301
17-Aug-16,61.88,62.38,61.68,62.30,2979823
16-Aug-16,62.33,63.07,61.82,61.87,4645856
15-Aug-16,63.33,63.62,63.02,63.22,3216616
12-Aug-16,61.50,63.14,61.30,63.12,3110717
11-Aug-16,61.72,62.37,61.09,61.96,2441674
10-Aug-16,61.02,61.33,60.50,61.06,2595385
9-Aug-16,61.54,61.69,60.58,60.80,3192817
8-Aug-16,61.82,61.88,61.24,61.51,2294003
5-Aug-16,61.73,62.14,61.49,61.85,2157445
4-Aug-16,61.44,61.80,61.17,61.49,2060450
3-Aug-16,60.21,61.32,59.57,61.32,2520824
2-Aug-16,61.37,61.65,60.33,60.68,2118781
1-Aug-16,61.72,62.02,61.08,61.58,2103350
29-Jul-16,61.31,61.89,61.08,61.83,2159743
28-Jul-16,61.40,61.70,60.90,61.33,2405926
27-Jul-16,61.83,62.35,61.23,61.39,3415906
26-Jul-16,61.04,62.02,61.04,61.98,3674932
25-Jul-16,59.92,61.26,59.83,61.13,2774993
22-Jul-16,59.60,60.19,59.13,59.97,1976735
21-Jul-16,59.32,59.50,58.90,59.22,1570395
20-Jul-16,59.22,59.50,59.06,59.32,1751393
19-Jul-16,58.89,59.29,58.82,59.21,2208263
18-Jul-16,58.41,59.37,58.32,58.95,2184675
15-Jul-16,58.34,58.34,57.89,58.19,2187051
14-Jul-16,58.24,58.26,57.80,58.02,1862314
13-Jul-16,58.23,58.51,57.70,58.04,2238022
