Date,Open,High,Low,Close,Volume
9-Dec-16,17.09,17.45,17.04,17.39,751131
8-Dec-16,16.75,17.13,16.56,17.07,890890
7-Dec-16,16.27,16.72,16.19,16.68,1061261
6-Dec-16,16.10,16.28,16.00,16.20,1189580
5-Dec-16,15.76,16.28,15.74,16.12,1094063
2-Dec-16,16.39,16.47,15.66,15.70,1282126
1-Dec-16,17.41,17.47,16.30,16.35,1348999
30-Nov-16,17.64,17.68,17.17,17.39,1592643
29-Nov-16,17.41,17.58,17.21,17.49,1301939
28-Nov-16,17.69,17.89,17.30,17.36,1291800
25-Nov-16,17.83,17.93,17.62,17.76,591357
23-Nov-16,17.70,17.90,17.60,17.74,811580
22-Nov-16,17.80,17.86,17.46,17.75,963871
21-Nov-16,17.63,17.86,17.48,17.78,915102
18-Nov-16,17.75,17.84,17.40,17.57,1585490
17-Nov-16,17.50,17.87,17.50,17.82,1379334
16-Nov-16,17.40,17.60,17.25,17.55,1706958
15-Nov-16,17.10,17.43,16.94,17.40,1620565
14-Nov-16,17.02,17.43,17.02,17.18,1580974
11-Nov-16,16.69,17.07,16.65,16.99,1801359
10-Nov-16,16.44,16.86,16.28,16.74,1649485
9-Nov-16,16.06,16.49,16.04,16.40,1303436
8-Nov-16,16.46,16.60,16.26,16.35,1279643
7-Nov-16,16.46,16.84,16.37,16.49,1453167
4-Nov-16,16.25,16.50,16.10,16.20,2327176
3-Nov-16,17.00,17.49,16.14,16.25,3229019
2-Nov-16,17.80,17.81,17.39,17.48,1951703
1-Nov-16,17.71,17.90,17.40,17.75,2156308
31-Oct-16,18.08,18.10,17.54,17.75,3807101
28-Oct-16,17.96,18.33,17.96,18.05,2930654
27-Oct-16,18.90,18.90,17.90,17.99,3034465
26-Oct-16,18.93,19.04,18.75,18.80,1525974
25-Oct-16,19.04,19.40,18.83,19.08,2435414
24-Oct-16,19.31,19.40,18.89,19.00,1098139
21-Oct-16,19.07,19.20,18.84,19.18,1681358
20-Oct-16,19.35,19.35,19.00,19.24,1558888
19-Oct-16,19.50,19.70,19.38,19.39,1945878
18-Oct-16,19.74,19.76,19.51,19.52,1144003
17-Oct-16,19.78,19.79,19.50,19.66,1208988
14-Oct-16,20.40,20.45,19.66,19.81,2073412
13-Oct-16,20.11,20.32,19.81,20.20,1323987
12-Oct-16,20.20,20.54,20.12,20.30,1334594
11-Oct-16,20.48,20.58,20.06,20.22,1845638
10-Oct-16,20.81,20.93,20.43,20.51,1775599
7-Oct-16,22.32,22.35,20.30,20.70,4385113
6-Oct-16,22.49,22.68,22.20,22.33,1958397
5-Oct-16,23.64,23.64,22.02,22.47,3330225
4-Oct-16,23.78,24.64,23.49,23.55,2138098
3-Oct-16,22.65,24.37,22.65,23.81,4136480
30-Sep-16,46.89,47.46,46.89,47.16,1487089
29-Sep-16,48.36,48.45,46.74,46.77,1388250
28-Sep-16,48.15,48.66,48.09,48.33,1119008
27-Sep-16,48.21,48.39,47.52,48.15,11693419
26-Sep-16,48.69,48.87,48.15,48.24,1113014
23-Sep-16,49.29,49.71,48.94,48.99,488483
22-Sep-16,49.50,49.86,49.41,49.56,521922
21-Sep-16,48.18,49.23,48.18,49.08,496436
20-Sep-16,48.09,48.21,47.76,47.94,457013
19-Sep-16,47.49,48.08,47.43,47.91,582915
16-Sep-16,47.01,47.55,46.68,47.43,689297
15-Sep-16,47.91,47.91,46.41,47.28,510196
14-Sep-16,47.67,47.98,47.36,47.58,387697
13-Sep-16,48.60,48.69,47.46,47.64,605721
12-Sep-16,49.05,49.68,48.51,49.14,734132
9-Sep-16,50.94,51.15,49.32,49.32,502975
8-Sep-16,51.27,51.57,50.97,51.33,357436
7-Sep-16,50.97,51.60,50.88,51.27,607031
6-Sep-16,51.36,51.42,50.73,51.06,277908
2-Sep-16,50.88,51.96,50.88,51.48,424040
1-Sep-16,51.24,51.44,50.40,50.58,509722
31-Aug-16,51.30,51.57,51.03,51.30,393946
30-Aug-16,51.51,51.63,51.15,51.48,236421
29-Aug-16,51.48,51.84,51.27,51.42,268318
26-Aug-16,51.78,52.11,51.03,51.36,243092
25-Aug-16,51.57,52.17,51.36,51.66,378929
24-Aug-16,51.78,51.96,51.54,51.63,375670
19-Aug-16,51.06,51.27,50.96,51.06,241066
18-Aug-16,50.70,51.44,50.55,51.33,311106
17-Aug-16,51.24,51.30,50.58,50.76,363157
16-Aug-16,51.39,52.02,51.15,51.39,402609
15-Aug-16,51.33,51.93,51.33,51.69,319577
12-Aug-16,51.60,51.94,51.09,51.18,273643
11-Aug-16,52.41,52.77,50.86,51.72,595413
10-Aug-16,53.01,53.16,52.24,52.80,751122
9-Aug-16,52.47,52.94,52.02,52.83,693824
8-Aug-16,52.32,52.68,51.96,52.32,469896
5-Aug-16,52.29,52.43,51.90,52.32,472384
4-Aug-16,51.96,52.41,51.48,51.87,676141
3-Aug-16,53.31,53.48,51.51,51.93,817641
2-Aug-16,53.46,53.74,53.30,53.37,537026
1-Aug-16,53.07,54.09,53.07,53.67,440541
29-Jul-16,53.34,53.84,52.98,53.76,518477
28-Jul-16,53.31,53.85,52.86,53.34,238393
27-Jul-16,53.67,53.88,52.83,53.34,425211
26-Jul-16,53.58,54.10,53.32,53.37,496988
25-Jul-16,53.64,54.03,53.13,53.55,397456
22-Jul-16,53.70,53.91,53.43,53.79,478470
21-Jul-16,54.15,54.48,53.43,53.70,594936
20-Jul-16,54.21,54.33,53.70,53.94,659475
19-Jul-16,54.15,54.24,53.67,54.00,562501
18-Jul-16,54.24,54.24,53.25,53.97,511149
15-Jul-16,54.42,54.54,52.53,53.67,1604650
14-Jul-16,56.28,56.85,55.77,55.86,777995
13-Jul-16,56.70,56.79,55.68,55.86,1142205
12-Jul-16,59.28,59.49,56.40,56.43,2274190
11-Jul-16,54.00,55.68,53.64,55.35,2187067
8-Jul-16,51.75,54.72,51.60,54.09,1736271
7-Jul-16,50.19,51.75,49.96,51.46,1061050
6-Jul-16,49.50,50.31,49.14,50.28,365224
5-Jul-16,50.55,50.91,49.23,49.62,409789
1-Jul-16,50.61,51.18,49.86,50.73,422423
30-Jun-16,48.99,50.79,48.78,50.76,734455
29-Jun-16,48.06,49.05,47.79,49.02,369629
28-Jun-16,46.65,47.58,46.53,47.43,506000
27-Jun-16,47.04,47.19,45.93,46.11,670397
24-Jun-16,48.15,48.87,47.52,47.52,1182166
23-Jun-16,49.02,50.37,48.78,50.31,422553
22-Jun-16,48.99,49.47,48.48,48.48,333936
21-Jun-16,49.41,49.41,48.63,48.78,320782
20-Jun-16,49.65,49.92,49.32,49.32,385856
17-Jun-16,48.12,49.35,48.12,48.93,683154
16-Jun-16,47.67,48.27,47.37,48.18,286726
15-Jun-16,47.73,48.45,47.52,48.00,409785
14-Jun-16,47.43,47.76,46.92,47.49,633434
13-Jun-16,48.24,48.45,47.61,47.76,453123
10-Jun-16,49.86,50.04,48.33,48.48,445748
9-Jun-16,50.19,50.52,49.83,50.22,227698
8-Jun-16,50.19,50.61,50.16,50.40,341290
7-Jun-16,49.71,50.01,49.41,49.77,357028
6-Jun-16,49.38,49.95,49.35,49.71,293345
3-Jun-16,49.50,49.53,48.93,49.17,319377
2-Jun-16,49.20,49.62,48.96,49.62,354177
1-Jun-16,48.81,49.62,48.66,49.38,447111
31-May-16,49.35,49.38,48.75,48.87,509209
27-May-16,48.78,49.23,48.61,49.08,508862
26-May-16,49.05,49.14,48.30,48.66,380223
25-May-16,47.82,49.05,47.82,48.93,675480
24-May-16,47.04,47.79,46.72,47.61,642578
23-May-16,46.86,47.07,46.50,46.83,587878
20-May-16,46.80,47.19,46.50,46.92,556194
19-May-16,46.74,47.61,46.29,46.44,2119578
18-May-16,47.22,47.76,46.71,47.13,485889
17-May-16,47.88,48.18,47.10,47.25,591892
16-May-16,47.76,48.15,47.34,47.88,553297
13-May-16,48.33,48.75,47.61,47.70,432824
12-May-16,49.17,49.25,47.84,48.45,550486
11-May-16,50.67,50.67,48.45,48.87,799205
10-May-16,49.77,50.55,49.56,50.55,497521
9-May-16,49.68,49.71,48.87,49.32,411977
6-May-16,49.38,49.90,49.14,49.41,583165
5-May-16,50.19,50.67,49.35,49.50,573857
4-May-16,50.85,51.12,49.56,49.80,754485
3-May-16,52.05,52.20,48.94,50.85,966514
2-May-16,52.62,52.89,51.93,52.77,556405
29-Apr-16,52.41,52.76,51.72,52.20,300024
28-Apr-16,53.04,53.55,52.41,52.47,264091
27-Apr-16,52.71,53.40,52.50,53.40,246760
26-Apr-16,52.41,52.86,51.90,52.77,279650
25-Apr-16,52.59,52.71,51.78,52.08,400541
22-Apr-16,52.41,53.04,52.41,52.80,505385
21-Apr-16,53.10,53.37,52.06,52.20,412834
20-Apr-16,52.08,53.46,52.08,53.10,425462
19-Apr-16,52.38,52.59,51.70,52.08,362467
18-Apr-16,51.54,52.38,51.24,52.18,548877
15-Apr-16,50.40,51.72,50.40,51.63,596853
14-Apr-16,50.94,50.94,49.92,50.67,577552
13-Apr-16,50.52,50.96,49.47,50.88,624103
12-Apr-16,49.17,50.34,49.02,50.25,845781
11-Apr-16,47.58,49.95,47.58,48.90,654452
8-Apr-16,48.30,48.72,48.03,48.54,431154
7-Apr-16,48.84,49.26,47.40,47.79,639578
