Date,Open,High,Low,Close,Volume
9-Dec-16,145.81,146.68,144.92,146.30,2080460
8-Dec-16,148.66,148.84,144.96,146.16,2616327
7-Dec-16,149.30,149.30,147.83,148.89,1829735
6-Dec-16,148.04,149.40,146.79,149.12,1363779
5-Dec-16,150.90,151.18,148.94,149.07,1356341
2-Dec-16,149.36,150.74,149.12,149.92,1133524
1-Dec-16,149.50,149.87,148.09,149.24,1594639
30-Nov-16,151.74,151.93,149.37,149.54,3176905
29-Nov-16,148.97,150.86,148.97,150.54,1985569
28-Nov-16,148.62,149.57,148.34,148.90,1365326
25-Nov-16,148.63,149.49,148.04,148.55,672649
23-Nov-16,148.04,148.67,146.86,147.88,1597223
22-Nov-16,146.90,147.93,146.27,147.76,1834488
21-Nov-16,146.53,147.25,145.86,146.10,2021714
18-Nov-16,145.00,146.27,144.36,146.04,1977439
17-Nov-16,146.33,146.40,144.26,144.96,2679580
16-Nov-16,147.27,148.37,145.21,146.16,1747635
15-Nov-16,150.13,151.10,146.66,147.29,2470301
14-Nov-16,149.66,150.72,148.79,149.73,2338746
11-Nov-16,147.88,148.39,146.61,148.26,2204655
10-Nov-16,148.48,148.93,145.60,147.71,2907915
9-Nov-16,142.97,152.58,142.97,146.71,7226998
8-Nov-16,136.18,137.37,136.07,136.51,1598201
7-Nov-16,134.70,135.95,134.10,135.91,2086508
4-Nov-16,134.00,134.80,132.91,132.97,2261563
3-Nov-16,135.25,135.33,132.89,134.14,2567315
2-Nov-16,134.68,137.00,134.31,135.27,2785161
1-Nov-16,136.93,137.32,134.79,135.08,1532586
31-Oct-16,137.06,137.80,136.42,136.61,1503787
28-Oct-16,136.43,138.03,135.65,137.19,2080552
27-Oct-16,142.40,142.40,135.64,136.28,3892591
26-Oct-16,139.64,142.37,139.40,141.28,2303903
25-Oct-16,138.18,140.10,137.60,139.75,1623107
24-Oct-16,137.28,138.08,137.26,137.66,757664
21-Oct-16,136.52,137.57,135.31,136.73,1130814
20-Oct-16,137.35,137.85,136.09,137.31,1184510
19-Oct-16,137.73,137.83,136.84,137.40,881987
18-Oct-16,138.16,138.27,136.88,137.63,798470
17-Oct-16,137.42,138.27,137.15,137.28,1133924
14-Oct-16,138.25,138.69,137.34,137.34,1092815
13-Oct-16,137.00,138.37,136.78,138.10,1169199
12-Oct-16,136.07,138.13,136.07,137.58,1268305
11-Oct-16,137.00,137.46,136.02,136.30,1191374
10-Oct-16,137.29,137.99,136.96,137.30,883570
7-Oct-16,137.39,137.56,136.58,136.78,1614942
6-Oct-16,137.29,138.42,136.71,138.25,1616056
5-Oct-16,137.12,137.64,136.71,137.13,1736456
4-Oct-16,137.77,139.15,136.41,137.17,3902927
3-Oct-16,135.00,137.54,134.83,137.17,1681825
30-Sep-16,136.93,137.17,134.44,136.13,2584754
29-Sep-16,139.11,139.53,135.97,136.54,1801150
28-Sep-16,139.50,139.85,138.57,139.37,1167237
27-Sep-16,138.73,139.61,138.16,139.11,1164560
26-Sep-16,138.27,139.07,137.79,138.54,1052912
23-Sep-16,138.54,139.08,138.21,138.58,849077
22-Sep-16,139.74,140.22,139.12,139.47,1009532
21-Sep-16,137.92,139.19,137.27,139.12,1407164
20-Sep-16,138.17,138.25,137.17,137.66,1256923
19-Sep-16,137.28,138.23,137.26,137.51,803475
16-Sep-16,137.49,137.50,136.64,136.76,1476407
15-Sep-16,136.64,138.07,135.84,137.71,1009900
14-Sep-16,137.59,138.00,136.24,136.64,1166175
13-Sep-16,136.24,137.77,136.24,137.14,1957893
12-Sep-16,135.78,137.41,135.58,136.92,1845386
9-Sep-16,138.85,139.07,136.08,136.08,2218350
8-Sep-16,139.61,140.07,139.05,139.68,1275488
7-Sep-16,140.86,141.16,139.45,140.00,1652977
6-Sep-16,140.17,141.69,140.17,141.16,1525706
2-Sep-16,140.34,140.65,139.26,140.13,1496183
1-Sep-16,140.39,140.77,138.83,139.96,1272159
31-Aug-16,140.25,140.35,139.59,140.13,1225210
30-Aug-16,141.61,141.78,139.73,140.35,972968
29-Aug-16,140.61,141.94,140.61,141.40,915535
26-Aug-16,141.81,142.55,140.64,140.92,1152878
25-Aug-16,140.73,142.19,140.13,141.78,1096155
24-Aug-16,140.82,141.39,139.92,141.07,990275
23-Aug-16,142.88,143.13,141.13,141.18,1399982
22-Aug-16,142.44,143.25,142.21,142.65,992390
19-Aug-16,142.22,142.70,141.88,142.50,1407595
18-Aug-16,141.57,142.72,141.57,142.59,1296472
17-Aug-16,140.90,142.14,140.54,142.07,1242243
16-Aug-16,142.24,142.52,140.62,141.21,1353237
15-Aug-16,142.13,143.39,142.11,142.52,1326284
12-Aug-16,142.00,142.73,141.57,142.25,1191575
11-Aug-16,141.03,142.56,140.58,142.32,1962086
10-Aug-16,140.32,140.96,140.12,140.79,1946943
9-Aug-16,140.10,140.50,139.74,140.12,1247121
8-Aug-16,140.53,140.73,139.77,139.96,1390480
5-Aug-16,141.00,141.38,140.04,140.76,1721452
4-Aug-16,141.00,141.43,140.16,140.47,1365909
3-Aug-16,141.32,142.14,140.30,140.68,1562835
