Date,Open,High,Low,Close,Volume
9-Dec-16,39.47,39.50,38.96,39.32,8682476
8-Dec-16,39.65,39.89,39.22,39.42,17535849
7-Dec-16,39.27,39.38,38.86,39.37,9692935
6-Dec-16,39.20,39.30,38.70,39.27,7894595
5-Dec-16,39.14,39.66,38.90,39.00,11255725
2-Dec-16,39.30,39.41,38.46,38.76,12058289
1-Dec-16,39.11,39.69,38.80,39.61,15163489
30-Nov-16,39.07,39.35,38.56,38.66,12973858
29-Nov-16,38.40,38.65,38.15,38.46,6958551
28-Nov-16,38.52,38.79,38.32,38.35,7060043
25-Nov-16,39.00,39.00,38.62,38.99,3418536
23-Nov-16,38.44,39.22,38.11,39.11,11089126
22-Nov-16,38.30,38.42,37.74,38.24,11477950
21-Nov-16,37.71,38.15,37.64,38.10,11882248
18-Nov-16,37.16,37.80,37.00,37.48,10446735
17-Nov-16,36.66,37.33,36.35,37.04,9376496
16-Nov-16,36.67,37.34,36.45,36.70,10700104
15-Nov-16,36.33,37.23,36.04,37.20,16471741
14-Nov-16,36.43,37.71,36.29,36.76,22461970
11-Nov-16,34.97,36.12,34.85,36.08,11738653
10-Nov-16,34.26,35.63,34.23,35.26,23741559
9-Nov-16,32.55,33.90,32.42,33.71,23315631
8-Nov-16,32.11,32.52,31.91,32.41,6872884
7-Nov-16,31.76,32.31,31.76,32.31,7413419
4-Nov-16,31.18,31.42,30.66,30.90,6657943
3-Nov-16,31.16,31.44,31.01,31.15,4740658
2-Nov-16,31.45,31.45,30.87,31.06,8889239
1-Nov-16,31.90,32.14,31.30,31.65,6145452
31-Oct-16,32.04,32.18,31.68,31.70,5283711
28-Oct-16,32.20,32.44,31.54,31.89,6961761
27-Oct-16,32.33,32.45,32.03,32.16,6650638
26-Oct-16,31.47,32.21,31.40,32.15,7960428
25-Oct-16,32.11,32.22,31.68,31.71,5801981
24-Oct-16,32.49,32.54,32.12,32.19,6305328
21-Oct-16,31.79,32.40,31.72,32.27,8214714
20-Oct-16,32.46,32.57,32.09,32.17,6499463
19-Oct-16,32.32,32.82,32.20,32.54,9095115
18-Oct-16,32.38,32.45,31.98,32.21,10294773
17-Oct-16,31.99,32.10,31.14,31.69,13842578
14-Oct-16,31.94,32.21,31.65,31.97,7684029
13-Oct-16,31.55,31.55,30.90,31.43,8958987
12-Oct-16,31.93,32.06,31.71,31.73,4321427
11-Oct-16,32.40,32.61,31.65,31.90,7041914
10-Oct-16,32.67,32.86,32.40,32.45,4260134
7-Oct-16,32.43,32.63,32.18,32.40,7524548
6-Oct-16,32.60,32.65,32.11,32.43,7737633
5-Oct-16,32.00,32.89,31.98,32.61,9919132
4-Oct-16,31.61,32.15,31.54,31.85,9514140
3-Oct-16,31.56,31.82,31.35,31.48,5643545
30-Sep-16,31.03,31.76,30.85,31.57,8757009
29-Sep-16,31.05,31.42,30.55,30.69,7154291
28-Sep-16,31.00,31.09,30.62,31.06,4705241
27-Sep-16,30.28,30.75,29.86,30.73,6376692
26-Sep-16,30.43,30.75,30.34,30.46,7806509
23-Sep-16,31.15,31.24,30.62,30.67,5727548
22-Sep-16,31.40,31.63,31.20,31.24,6949755
21-Sep-16,30.98,31.29,30.69,31.13,9267962
20-Sep-16,31.14,31.17,30.71,30.75,4335119
19-Sep-16,30.72,31.35,30.60,30.89,6921699
16-Sep-16,30.68,30.71,30.41,30.53,7553443
15-Sep-16,30.27,31.03,30.17,30.93,9462115
14-Sep-16,30.40,30.53,30.06,30.21,7300916
13-Sep-16,30.46,30.69,30.15,30.44,8564500
12-Sep-16,30.40,30.99,30.09,30.87,12056532
9-Sep-16,30.92,31.32,30.64,30.65,6911113
8-Sep-16,30.82,31.13,30.75,30.92,6000457
7-Sep-16,30.52,30.86,30.46,30.77,6639554
6-Sep-16,31.32,31.47,30.40,30.73,8764783
2-Sep-16,31.12,31.37,30.68,31.27,6039262
1-Sep-16,31.64,31.85,30.63,30.98,8278303
31-Aug-16,31.65,31.87,31.16,31.46,9889333
30-Aug-16,31.16,31.64,31.16,31.61,7895752
29-Aug-16,31.02,31.41,30.99,31.05,7450543
26-Aug-16,30.60,31.04,30.47,30.95,10696912
25-Aug-16,30.22,30.49,30.14,30.49,5667509
24-Aug-16,30.45,30.50,30.22,30.23,6628238
23-Aug-16,30.42,30.53,30.26,30.42,5820931
22-Aug-16,30.29,30.38,30.09,30.18,4291503
19-Aug-16,30.15,30.60,30.05,30.45,6290096
18-Aug-16,30.08,30.35,29.96,30.19,3517729
17-Aug-16,30.08,30.26,29.99,30.11,6933626
16-Aug-16,30.12,30.42,29.98,30.14,5060649
15-Aug-16,29.86,30.27,29.82,30.21,5774858
12-Aug-16,29.53,29.75,29.23,29.70,6475368
11-Aug-16,29.71,30.00,29.58,29.92,5727900
10-Aug-16,30.00,30.08,29.50,29.56,10265225
9-Aug-16,30.07,30.25,29.91,30.09,6036189
8-Aug-16,30.00,30.20,29.90,30.06,9275861
5-Aug-16,29.00,29.94,29.00,29.93,13442691
4-Aug-16,28.32,28.51,28.09,28.49,4772815
3-Aug-16,27.87,28.56,27.87,28.39,9956042
2-Aug-16,28.31,28.68,27.71,27.93,9156784
1-Aug-16,28.55,28.66,28.26,28.34,8122552
29-Jul-16,28.50,28.64,28.10,28.42,6984602
28-Jul-16,28.60,28.80,28.37,28.71,4669872
27-Jul-16,28.70,29.03,28.51,28.71,10091372
26-Jul-16,28.09,28.69,28.03,28.65,9072396
25-Jul-16,28.18,28.40,28.02,28.26,7094810
22-Jul-16,28.00,28.20,27.86,28.18,6419459
21-Jul-16,27.98,27.99,27.74,27.86,11274786
20-Jul-16,27.67,27.94,27.19,27.92,9585408
19-Jul-16,27.10,27.53,26.86,27.48,8148026
18-Jul-16,27.60,27.61,26.81,27.10,9533723
15-Jul-16,27.22,27.35,26.82,27.03,8349396
14-Jul-16,27.12,27.33,26.78,26.92,7718209
13-Jul-16,26.65,26.80,26.17,26.43,6926565
12-Jul-16,26.35,26.90,26.35,26.76,12062762
11-Jul-16,25.99,26.24,25.73,25.78,11568050
8-Jul-16,25.89,26.11,25.61,25.73,15380437
7-Jul-16,24.82,25.35,24.76,25.26,16159197
6-Jul-16,24.12,24.79,23.82,24.67,12349538
5-Jul-16,24.77,24.80,24.19,24.34,10403543
1-Jul-16,25.20,25.56,24.93,25.11,10774882
30-Jun-16,25.36,25.48,24.82,25.31,18897620
29-Jun-16,25.10,25.40,24.87,25.30,26042690
28-Jun-16,24.59,24.83,24.33,24.56,25247395
27-Jun-16,25.40,25.44,24.02,24.05,31760961
24-Jun-16,27.34,27.77,26.15,26.15,26534729
23-Jun-16,28.86,29.70,28.71,29.69,12661722
22-Jun-16,28.38,28.65,28.30,28.34,6112131
21-Jun-16,28.77,28.81,28.32,28.38,9976443
20-Jun-16,28.97,29.29,28.60,28.65,9790167
17-Jun-16,28.55,28.94,28.27,28.38,10044652
16-Jun-16,28.09,28.54,27.75,28.51,11362494
15-Jun-16,28.20,28.90,28.10,28.46,14057603
14-Jun-16,27.95,28.45,27.75,27.98,11708626
13-Jun-16,28.26,28.59,28.06,28.14,6301353
10-Jun-16,28.55,28.67,28.24,28.45,10613927
9-Jun-16,29.18,29.23,28.64,29.09,8899545
8-Jun-16,29.43,29.68,29.37,29.45,4479050
7-Jun-16,29.91,29.91,29.38,29.50,6489954
6-Jun-16,29.29,29.92,29.21,29.80,8125358
3-Jun-16,29.99,30.03,28.93,29.22,13893215
2-Jun-16,30.64,30.91,30.60,30.84,7579420
1-Jun-16,30.21,30.96,29.93,30.81,7820906
31-May-16,30.99,31.07,30.54,30.58,7562392
27-May-16,30.26,30.64,30.11,30.63,5581531
26-May-16,30.61,30.68,29.98,30.15,6253982
25-May-16,30.39,30.90,30.35,30.64,7709360
24-May-16,29.51,30.28,29.45,30.22,7248637
23-May-16,29.32,29.51,29.08,29.28,6265234
20-May-16,29.19,29.58,29.08,29.44,8608517
19-May-16,29.02,29.52,28.54,28.96,8802621
18-May-16,28.00,29.41,27.90,29.29,14324884
17-May-16,27.69,28.11,27.52,27.92,8666911
16-May-16,27.53,27.90,27.42,27.69,6188669
13-May-16,27.86,28.36,27.43,27.53,6594325
12-May-16,28.01,28.26,27.63,27.94,5654001
11-May-16,27.89,28.20,27.78,27.79,5703035
10-May-16,27.42,28.06,27.32,28.01,5397741
9-May-16,27.30,27.63,27.16,27.27,4000106
6-May-16,27.23,27.64,26.95,27.31,6859783
5-May-16,27.60,27.74,27.29,27.54,6359830
4-May-16,27.67,28.06,27.38,27.54,6423445
3-May-16,28.30,28.30,27.68,28.00,6673575
2-May-16,28.44,28.83,28.02,28.79,7043822
29-Apr-16,28.79,28.84,28.11,28.41,9854152
28-Apr-16,29.52,29.83,28.93,28.98,6967148
27-Apr-16,29.73,30.23,29.56,29.90,7916438
26-Apr-16,29.67,29.88,29.53,29.86,6036189
25-Apr-16,29.67,29.86,29.40,29.63,5087984
22-Apr-16,29.26,29.95,29.24,29.72,7449691
21-Apr-16,29.15,29.46,29.00,29.13,7311534
20-Apr-16,28.85,29.22,28.59,29.09,7706304
19-Apr-16,28.87,28.90,28.26,28.77,8969058
18-Apr-16,28.43,28.89,28.27,28.85,5555368
15-Apr-16,29.10,29.18,28.42,28.53,12243029
14-Apr-16,28.51,28.98,28.39,28.74,8125575
13-Apr-16,27.89,28.67,27.80,28.62,7722507
12-Apr-16,27.19,27.58,27.02,27.45,7572536
11-Apr-16,26.90,27.44,26.86,27.04,7361884
8-Apr-16,26.78,27.05,26.48,26.61,6726029
7-Apr-16,27.44,27.53,26.27,26.39,9126964
6-Apr-16,27.39,27.94,27.37,27.83,6736946
5-Apr-16,27.63,27.70,27.12,27.39,6727234
4-Apr-16,28.35,28.52,27.92,27.99,4987212
1-Apr-16,27.74,28.45,27.51,28.38,6896244
31-Mar-16,28.15,28.33,27.95,28.02,7659790
30-Mar-16,28.25,28.55,27.84,28.17,6563589
29-Mar-16,27.80,28.09,27.56,28.02,8661690
28-Mar-16,28.12,28.22,27.69,28.09,6378170
24-Mar-16,27.57,28.11,27.40,28.09,6642905
23-Mar-16,28.43,28.57,27.90,28.03,7162161
22-Mar-16,27.92,28.62,27.80,28.41,7009822
21-Mar-16,28.34,29.04,27.84,28.28,7724415
18-Mar-16,27.86,28.40,27.79,28.37,12716381
17-Mar-16,26.66,27.92,26.65,27.67,9625152
16-Mar-16,27.67,28.20,26.75,26.92,15966414
15-Mar-16,27.48,27.74,27.29,27.74,7197200
14-Mar-16,28.00,28.12,27.51,27.84,6564022
11-Mar-16,27.02,28.26,26.95,28.20,11599849
10-Mar-16,26.84,26.88,25.98,26.64,14320375
9-Mar-16,26.92,27.03,26.32,26.55,6938105
8-Mar-16,27.10,27.30,26.36,26.67,11156121
7-Mar-16,26.92,27.59,26.59,27.53,8388369
4-Mar-16,27.45,27.83,26.94,27.15,10308238
3-Mar-16,26.57,27.18,26.28,27.11,9577902
2-Mar-16,26.41,26.78,26.31,26.74,9784467
1-Mar-16,25.37,26.53,25.27,26.39,15668582
29-Feb-16,25.35,25.56,25.01,25.05,11176368
26-Feb-16,24.43,25.71,24.39,25.46,16588212
25-Feb-16,23.74,24.10,23.57,24.09,8114894
24-Feb-16,23.65,23.83,23.00,23.68,12107384
23-Feb-16,24.45,24.50,23.96,24.13,10410226
22-Feb-16,24.71,25.10,24.33,24.54,11225297
19-Feb-16,23.96,24.67,23.95,24.44,9175459
18-Feb-16,24.50,24.59,23.84,24.16,9019197
17-Feb-16,23.99,24.64,23.96,24.48,12632248
16-Feb-16,23.55,23.77,23.05,23.58,9858040
12-Feb-16,22.80,23.02,22.18,22.82,10288457
11-Feb-16,21.89,22.40,21.51,22.22,22278787
10-Feb-16,23.60,24.11,22.68,22.70,17126329
9-Feb-16,22.89,23.84,22.85,23.34,17235610
8-Feb-16,23.75,23.82,23.14,23.61,18076209
5-Feb-16,24.94,25.47,24.26,24.36,10783441
4-Feb-16,24.31,25.17,24.30,24.97,13893071
3-Feb-16,24.33,24.58,22.92,24.38,23511279
2-Feb-16,24.85,24.87,23.88,24.11,10281166
1-Feb-16,25.43,25.49,24.97,25.28,9458866
29-Jan-16,25.13,25.63,24.72,25.53,13835375
28-Jan-16,25.53,25.70,24.65,24.82,12099398
27-Jan-16,25.36,26.02,24.99,25.25,10316704
26-Jan-16,25.39,25.74,25.14,25.45,11635014
25-Jan-16,25.72,25.95,25.12,25.17,15258972
22-Jan-16,25.11,25.90,24.78,25.83,20091699
21-Jan-16,25.29,25.48,24.36,24.38,27541814
20-Jan-16,25.89,25.89,24.36,25.27,28587216
19-Jan-16,28.05,28.09,26.23,26.51,13843273
15-Jan-16,26.98,27.52,26.53,27.02,19228904
14-Jan-16,27.88,28.39,26.91,28.12,9824493
13-Jan-16,29.11,29.46,27.46,27.71,12162295
12-Jan-16,29.04,29.42,28.81,29.24,10914359
11-Jan-16,29.21,29.38,28.24,28.74,15918072
8-Jan-16,29.51,29.82,28.93,29.00,15311810
7-Jan-16,29.93,30.21,28.97,29.18,15041365
6-Jan-16,31.25,31.38,30.52,30.79,8809035
5-Jan-16,32.02,32.23,31.57,31.88,5948178
4-Jan-16,31.95,32.08,31.47,31.98,9591934
31-Dec-15,32.98,33.47,32.70,32.93,6026361
30-Dec-15,33.42,33.72,33.23,33.25,3142111
29-Dec-15,33.39,33.62,33.29,33.56,4152757
28-Dec-15,32.91,33.11,32.60,33.11,3901954
24-Dec-15,33.00,33.26,32.89,33.05,1464437
23-Dec-15,33.14,33.17,32.74,33.06,6389806
22-Dec-15,32.55,32.99,32.16,32.90,5330933
21-Dec-15,32.23,32.40,31.87,32.21,6950140
18-Dec-15,32.89,33.03,31.90,31.91,14251002
17-Dec-15,34.03,34.11,33.08,33.21,7335312
16-Dec-15,33.62,34.00,32.82,33.81,15136399
15-Dec-15,32.69,33.29,32.69,33.18,10842136
14-Dec-15,32.05,32.61,31.62,32.25,11823710
