Date,Open,High,Low,Close,Volume
9-Dec-16,271.09,273.42,270.43,270.92,701471
8-Dec-16,268.68,272.00,267.61,271.36,825041
7-Dec-16,265.82,269.78,263.89,269.78,789520
6-Dec-16,267.04,268.47,265.23,266.46,622239
5-Dec-16,264.68,266.53,263.06,266.40,846913
2-Dec-16,265.87,265.88,261.65,265.06,1066160
1-Dec-16,268.16,269.46,264.00,265.88,1260563
30-Nov-16,276.64,277.01,268.46,268.67,1184932
29-Nov-16,274.34,277.49,272.56,276.32,838146
28-Nov-16,273.70,275.16,272.94,274.02,1026084
25-Nov-16,272.06,275.00,271.77,274.97,377205
23-Nov-16,268.21,273.01,268.21,272.41,794598
22-Nov-16,265.99,269.95,265.69,268.78,1107990
21-Nov-16,260.24,266.30,260.05,266.14,874193
18-Nov-16,262.71,264.33,260.00,260.29,809933
17-Nov-16,263.26,264.56,262.07,262.71,847282
16-Nov-16,264.29,264.78,261.76,261.98,750947
15-Nov-16,264.62,266.63,262.65,265.73,1053292
14-Nov-16,262.44,263.63,261.24,263.38,1286527
11-Nov-16,263.91,265.35,260.56,261.76,988451
10-Nov-16,258.21,269.08,258.17,265.01,2067690
9-Nov-16,249.70,258.10,248.10,257.74,1357194
8-Nov-16,248.80,253.09,248.51,252.19,1268601
7-Nov-16,246.47,248.68,245.09,247.97,1005966
4-Nov-16,242.78,245.47,242.50,242.54,815938
3-Nov-16,243.95,245.05,241.28,241.52,678562
2-Nov-16,240.95,243.72,240.40,242.48,931284
1-Nov-16,245.85,245.85,239.48,240.63,1341992
31-Oct-16,246.28,247.41,243.76,244.86,964504
28-Oct-16,247.11,248.71,241.74,244.73,1713248
27-Oct-16,249.29,250.04,246.13,247.60,1173887
26-Oct-16,247.54,251.92,247.00,249.23,1614189
25-Oct-16,255.55,258.00,246.68,247.61,6005407
24-Oct-16,278.53,279.07,276.22,277.88,923158
21-Oct-16,273.64,277.63,272.98,277.14,736093
20-Oct-16,272.56,277.22,272.26,275.83,957486
19-Oct-16,270.76,272.15,269.02,271.50,628785
18-Oct-16,271.31,271.54,268.70,270.85,419245
17-Oct-16,268.48,270.43,268.32,269.59,507967
14-Oct-16,271.10,271.23,268.38,268.40,534687
13-Oct-16,267.18,270.52,266.07,269.46,617419
12-Oct-16,267.48,269.68,266.49,269.03,521365
11-Oct-16,269.64,270.04,265.60,267.41,1250634
