Date,Open,High,Low,Close,Volume
9-Dec-16,129.30,130.68,128.61,130.49,700923
8-Dec-16,128.31,129.20,127.66,128.76,502467
7-Dec-16,127.00,129.00,126.82,128.65,586478
6-Dec-16,126.14,126.86,125.47,126.75,797570
5-Dec-16,125.31,126.14,124.76,126.01,667159
2-Dec-16,125.24,126.17,124.59,125.28,608595
1-Dec-16,125.33,125.73,124.20,124.74,819931
30-Nov-16,126.55,127.76,125.95,125.95,1238270
29-Nov-16,127.35,127.81,126.39,127.27,609868
28-Nov-16,126.22,127.81,125.63,126.99,911685
25-Nov-16,126.22,127.42,125.86,126.46,298181
23-Nov-16,126.51,127.57,125.15,125.58,786817
22-Nov-16,127.05,127.66,126.47,126.92,762982
21-Nov-16,124.58,126.50,124.51,126.46,1072883
18-Nov-16,124.47,125.57,123.82,124.85,1954399
17-Nov-16,127.42,127.42,122.05,124.85,1769433
16-Nov-16,128.80,130.98,128.77,129.95,1185682
15-Nov-16,129.33,130.86,128.56,128.80,865266
14-Nov-16,126.79,129.68,126.34,128.82,1033551
11-Nov-16,127.02,127.48,125.62,127.06,1058327
10-Nov-16,130.49,130.49,126.67,127.49,1110337
9-Nov-16,130.45,131.38,128.30,131.21,755126
8-Nov-16,130.39,133.86,130.39,132.58,778164
7-Nov-16,129.81,131.56,129.52,131.47,695751
4-Nov-16,130.22,130.51,129.18,129.27,494492
3-Nov-16,131.06,131.95,129.95,130.22,614313
2-Nov-16,131.03,131.65,130.56,130.66,564787
1-Nov-16,131.33,132.28,130.50,130.95,556857
31-Oct-16,131.79,132.07,130.80,131.31,638858
28-Oct-16,129.57,132.37,129.57,131.92,857476
27-Oct-16,130.80,130.80,129.16,129.28,542877
26-Oct-16,130.50,131.26,130.15,130.48,542418
25-Oct-16,129.80,130.43,129.59,130.19,521053
24-Oct-16,130.05,130.48,129.14,129.89,596639
21-Oct-16,129.59,130.22,128.75,130.01,723310
20-Oct-16,132.79,132.97,129.57,129.78,1155977
19-Oct-16,132.60,133.05,131.80,132.82,728385
18-Oct-16,133.42,133.66,132.11,132.22,746127
17-Oct-16,133.59,133.81,132.76,133.06,383219
14-Oct-16,133.97,134.46,133.33,133.52,432038
13-Oct-16,132.27,134.39,131.84,133.92,709889
12-Oct-16,132.07,132.88,132.01,132.59,621662
11-Oct-16,134.31,134.31,131.96,132.17,824589
10-Oct-16,133.73,134.89,133.11,134.40,588427
7-Oct-16,133.37,133.37,132.58,132.94,718267
6-Oct-16,132.83,133.50,132.31,133.08,510812
5-Oct-16,133.56,133.90,132.50,133.10,1376372
4-Oct-16,135.07,135.35,132.82,133.18,939403
3-Oct-16,135.00,135.92,134.84,135.39,554889
30-Sep-16,135.27,136.06,135.18,135.54,703069
29-Sep-16,134.66,135.59,134.41,134.77,893434
28-Sep-16,133.19,134.79,133.00,134.72,1089928
27-Sep-16,136.32,136.32,133.15,133.65,1481061
26-Sep-16,136.99,138.23,136.45,137.72,817254
23-Sep-16,136.38,137.45,136.38,137.18,1024449
22-Sep-16,137.30,138.28,136.00,137.87,609029
21-Sep-16,135.36,136.64,134.60,136.33,841047
20-Sep-16,137.38,137.60,135.68,135.69,585216
19-Sep-16,136.82,137.86,136.77,137.03,756989
16-Sep-16,137.09,137.26,135.92,137.03,1479422
15-Sep-16,136.89,137.90,136.41,137.68,687371
14-Sep-16,136.85,137.54,136.04,136.95,962061
13-Sep-16,137.61,137.81,136.21,136.44,1334823
12-Sep-16,136.69,138.06,136.15,137.83,997884
9-Sep-16,138.80,138.85,135.90,135.93,1211528
8-Sep-16,139.41,140.28,138.75,139.58,537965
7-Sep-16,141.38,141.62,139.87,140.14,737251
6-Sep-16,141.50,142.08,140.79,141.82,702236
2-Sep-16,140.94,142.24,140.92,141.47,552693
1-Sep-16,141.23,141.72,140.06,140.66,1140153
31-Aug-16,139.78,141.83,139.50,141.79,1951732
30-Aug-16,140.86,141.26,139.23,139.76,715607
29-Aug-16,139.40,141.93,139.32,141.49,970858
26-Aug-16,140.89,141.45,138.47,138.98,1393641
25-Aug-16,142.08,142.94,140.68,140.99,1324232
