Date,Open,High,Low,Close,Volume
9-Dec-16,11.51,11.52,11.22,11.24,4465296
8-Dec-16,11.40,11.65,11.25,11.52,6342284
7-Dec-16,10.86,11.44,10.80,11.37,5753352
6-Dec-16,10.65,10.83,10.35,10.78,4986769
5-Dec-16,10.47,10.98,10.47,10.55,10202185
2-Dec-16,10.39,10.56,10.29,10.39,4274636
1-Dec-16,10.17,10.51,10.08,10.34,5428657
30-Nov-16,9.85,10.17,9.77,10.07,4736176
29-Nov-16,9.73,9.83,9.68,9.75,3316942
28-Nov-16,9.69,9.76,9.61,9.67,2096523
25-Nov-16,9.80,9.80,9.72,9.75,743296
23-Nov-16,9.69,9.80,9.65,9.80,1541961
22-Nov-16,9.59,9.73,9.56,9.68,4774569
21-Nov-16,9.55,9.61,9.43,9.51,3911415
18-Nov-16,9.83,9.83,9.36,9.48,6604641
17-Nov-16,9.50,9.83,9.49,9.81,4666248
16-Nov-16,9.30,9.52,9.29,9.48,2458633
15-Nov-16,9.29,9.45,9.08,9.44,3393639
14-Nov-16,9.07,9.48,9.00,9.30,6107935
11-Nov-16,8.81,9.06,8.62,8.99,6388244
10-Nov-16,8.49,8.97,8.45,8.88,11029671
9-Nov-16,7.62,8.54,7.62,8.39,22096417
8-Nov-16,7.11,7.18,7.01,7.10,2365815
7-Nov-16,7.08,7.18,7.05,7.11,2822176
4-Nov-16,7.00,7.08,6.97,6.98,5143651
3-Nov-16,7.05,7.10,6.96,7.01,3015250
2-Nov-16,7.02,7.09,6.93,7.03,5739694
1-Nov-16,7.11,7.20,7.05,7.08,10530950
31-Oct-16,7.15,7.20,7.04,7.05,4432018
28-Oct-16,7.15,7.18,7.05,7.12,4333297
27-Oct-16,7.26,7.26,7.12,7.14,4002393
26-Oct-16,7.09,7.23,7.09,7.20,2151964
25-Oct-16,7.16,7.24,7.06,7.11,1405094
24-Oct-16,7.22,7.26,7.13,7.19,2456459
21-Oct-16,7.12,7.20,7.09,7.14,2995273
20-Oct-16,7.27,7.41,7.11,7.12,4038485
19-Oct-16,7.24,7.31,7.18,7.23,3742335
18-Oct-16,7.23,7.27,7.08,7.25,2669047
17-Oct-16,7.21,7.32,7.17,7.18,2972052
14-Oct-16,7.12,7.27,7.11,7.20,2542682
13-Oct-16,7.12,7.15,6.99,7.08,2399396
12-Oct-16,7.20,7.32,7.18,7.20,2004626
11-Oct-16,7.32,7.36,7.19,7.22,5062709
10-Oct-16,7.42,7.50,7.34,7.36,1394888
7-Oct-16,7.38,7.44,7.31,7.36,1814023
6-Oct-16,7.47,7.49,7.36,7.37,1542266
5-Oct-16,7.49,7.57,7.45,7.48,4960281
4-Oct-16,7.42,7.50,7.39,7.44,3440030
3-Oct-16,7.38,7.50,7.37,7.39,1480621
30-Sep-16,7.39,7.50,7.35,7.47,2499750
29-Sep-16,7.50,7.57,7.29,7.34,1596681
28-Sep-16,7.47,7.51,7.37,7.49,849994
27-Sep-16,7.26,7.44,7.23,7.44,1559710
26-Sep-16,7.37,7.38,7.28,7.28,1271711
23-Sep-16,7.42,7.59,7.41,7.43,1371498
22-Sep-16,7.39,7.49,7.32,7.45,2102019
21-Sep-16,7.35,7.42,7.25,7.33,1669605
20-Sep-16,7.37,7.41,7.28,7.30,1258480
19-Sep-16,7.64,7.64,7.24,7.30,2290383
16-Sep-16,7.41,7.54,7.19,7.39,4686207
15-Sep-16,7.22,7.51,7.19,7.49,2288212
14-Sep-16,7.38,7.41,7.16,7.23,2734176
13-Sep-16,7.47,7.51,7.27,7.38,1776600
12-Sep-16,7.35,7.61,7.28,7.58,1902127
9-Sep-16,7.44,7.52,7.39,7.41,2484623
8-Sep-16,7.48,7.56,7.43,7.52,1525846
7-Sep-16,7.28,7.50,7.23,7.50,2128129
6-Sep-16,7.40,7.41,7.27,7.28,1587577
2-Sep-16,7.42,7.44,7.33,7.39,1429579
1-Sep-16,7.42,7.47,7.32,7.36,1647188
31-Aug-16,7.44,7.50,7.33,7.42,2182592
30-Aug-16,7.36,7.44,7.29,7.43,2359029
29-Aug-16,7.29,7.37,7.27,7.34,2089400
26-Aug-16,7.20,7.34,7.17,7.26,1982312
25-Aug-16,7.16,7.23,7.12,7.19,2428539
24-Aug-16,7.25,7.35,7.18,7.19,1316169
23-Aug-16,7.31,7.37,7.25,7.26,1509223
22-Aug-16,7.29,7.36,7.20,7.27,1633485
19-Aug-16,7.33,7.38,7.27,7.34,1459517
18-Aug-16,7.31,7.43,7.22,7.36,1848103
17-Aug-16,7.37,7.42,7.27,7.32,1508534
16-Aug-16,7.35,7.39,7.28,7.34,1406333
15-Aug-16,7.27,7.36,7.27,7.36,1455799
12-Aug-16,7.19,7.27,7.18,7.26,1580966
11-Aug-16,7.21,7.28,7.16,7.22,1625646
10-Aug-16,7.32,7.32,7.07,7.18,3311505
9-Aug-16,7.14,7.28,7.09,7.09,2512666
8-Aug-16,7.22,7.32,7.07,7.15,1264908
5-Aug-16,7.23,7.34,7.18,7.24,1982182
4-Aug-16,7.14,7.26,7.09,7.16,3360062
3-Aug-16,7.08,7.15,7.03,7.14,3408867
2-Aug-16,7.12,7.15,7.04,7.10,3062225
1-Aug-16,7.17,7.21,7.10,7.14,3228384
29-Jul-16,7.13,7.25,7.10,7.19,2800142
28-Jul-16,7.11,7.13,7.00,7.13,3475803
27-Jul-16,7.08,7.14,7.01,7.11,2832728
26-Jul-16,7.04,7.12,7.01,7.05,2559698
25-Jul-16,7.15,7.18,7.04,7.06,3462699
22-Jul-16,7.02,7.28,7.01,7.15,2925662
21-Jul-16,7.24,7.40,7.00,7.00,3768318
20-Jul-16,7.10,7.28,7.05,7.27,2065233
19-Jul-16,7.12,7.20,7.08,7.10,2302001
18-Jul-16,7.10,7.17,7.08,7.17,2372988
15-Jul-16,7.14,7.16,7.04,7.10,4477560
14-Jul-16,7.11,7.13,7.00,7.11,2914923
13-Jul-16,7.00,7.00,6.86,6.96,2411007
12-Jul-16,6.83,6.96,6.80,6.93,2422817
11-Jul-16,6.71,6.77,6.68,6.76,1743938
8-Jul-16,6.46,6.68,6.46,6.65,3051661
7-Jul-16,6.26,6.43,6.23,6.37,2825793
6-Jul-16,6.07,6.27,6.06,6.24,2930123
5-Jul-16,6.20,6.30,6.04,6.11,3319502
1-Jul-16,6.16,6.29,6.16,6.25,2676305
30-Jun-16,6.11,6.19,5.99,6.18,4640829
29-Jun-16,5.81,6.11,5.73,6.06,6566881
28-Jun-16,5.63,5.77,5.61,5.67,3759369
27-Jun-16,5.84,5.90,5.56,5.58,3284855
24-Jun-16,6.10,6.24,5.94,5.94,12384601
23-Jun-16,6.19,6.38,6.17,6.37,3540844
22-Jun-16,6.13,6.20,6.09,6.09,2042765
21-Jun-16,6.28,6.28,6.09,6.11,3308534
20-Jun-16,6.31,6.49,6.26,6.28,2121638
17-Jun-16,6.25,6.29,6.17,6.23,3934516
16-Jun-16,6.27,6.29,6.17,6.25,2783479
15-Jun-16,6.26,6.43,6.23,6.31,3300573
14-Jun-16,6.68,6.71,6.25,6.26,5254466
13-Jun-16,6.80,6.84,6.68,6.72,2717577
10-Jun-16,7.01,7.04,6.80,6.85,2847351
9-Jun-16,7.11,7.19,7.01,7.10,2894919
8-Jun-16,7.18,7.24,7.16,7.19,3085122
7-Jun-16,7.16,7.22,7.12,7.15,2827141
6-Jun-16,7.05,7.20,7.02,7.17,2973356
3-Jun-16,6.97,7.09,6.80,7.05,6005725
2-Jun-16,6.83,7.06,6.82,6.99,6339557
1-Jun-16,6.82,6.87,6.70,6.87,2643973
31-May-16,6.74,6.97,6.67,6.87,5023357
27-May-16,6.72,6.89,6.67,6.74,3094793
26-May-16,6.54,6.82,6.52,6.70,6614200
25-May-16,6.36,6.55,6.36,6.54,3175630
24-May-16,6.25,6.38,6.19,6.37,2065299
23-May-16,6.23,6.32,6.19,6.19,2256194
20-May-16,6.15,6.32,6.11,6.24,4263466
19-May-16,6.24,6.34,6.12,6.14,3201592
18-May-16,6.20,6.34,6.16,6.27,7022718
17-May-16,6.26,6.36,6.22,6.23,7195097
16-May-16,6.33,6.45,6.27,6.29,3356535
13-May-16,6.38,6.48,6.29,6.33,1737996
12-May-16,6.53,6.61,6.32,6.39,2980502
11-May-16,6.66,6.72,6.48,6.50,1573863
10-May-16,6.52,6.79,6.52,6.69,2097832
9-May-16,6.59,6.74,6.40,6.52,4577896
6-May-16,6.50,6.67,6.50,6.66,3078980
5-May-16,6.61,6.69,6.41,6.54,3074801
4-May-16,6.53,6.68,6.47,6.58,2178469
3-May-16,6.72,6.78,6.57,6.58,3314943
2-May-16,6.76,6.86,6.68,6.82,3472319
29-Apr-16,6.78,6.81,6.60,6.77,3583620
28-Apr-16,6.82,6.90,6.72,6.80,5268875
27-Apr-16,6.77,6.87,6.66,6.82,3318462
26-Apr-16,6.79,6.91,6.75,6.80,3687682
25-Apr-16,6.59,6.83,6.47,6.78,7966135
22-Apr-16,6.82,6.92,6.58,6.65,8297149
21-Apr-16,7.21,7.21,6.76,6.82,8356788
20-Apr-16,6.70,6.89,6.61,6.79,9926594
19-Apr-16,6.76,6.78,6.63,6.67,4315121
18-Apr-16,6.62,6.74,6.59,6.71,3562802
15-Apr-16,6.76,6.81,6.58,6.65,3120205
14-Apr-16,6.77,6.87,6.70,6.73,2641784
13-Apr-16,6.44,6.83,6.24,6.78,3776267
12-Apr-16,6.26,6.36,6.25,6.36,3007816
11-Apr-16,6.18,6.33,6.16,6.25,2829782
8-Apr-16,6.37,6.43,6.13,6.16,13005801
7-Apr-16,6.36,6.45,6.29,6.30,3189539
6-Apr-16,6.38,6.54,6.25,6.41,2038114
5-Apr-16,6.35,6.42,6.31,6.35,2295020
4-Apr-16,6.48,6.50,6.32,6.42,2258130
1-Apr-16,6.29,6.52,6.21,6.48,3005649
31-Mar-16,6.50,6.58,6.33,6.36,4187954
30-Mar-16,6.62,6.63,6.50,6.53,5574329
29-Mar-16,6.32,6.58,6.17,6.56,5298626
28-Mar-16,6.31,6.36,6.11,6.35,2174273
24-Mar-16,6.29,6.33,6.16,6.27,3717278
23-Mar-16,6.56,6.56,6.27,6.33,2599702
22-Mar-16,6.64,6.64,6.40,6.61,2128701
21-Mar-16,6.59,6.67,6.44,6.54,2097091
18-Mar-16,6.15,6.55,6.14,6.54,9191978
17-Mar-16,6.02,6.29,5.94,6.24,2519104
16-Mar-16,5.92,6.06,5.87,6.04,2618461
15-Mar-16,6.06,6.06,5.86,5.92,3826161
14-Mar-16,6.16,6.18,6.05,6.09,1883863
11-Mar-16,6.18,6.21,6.10,6.20,2003287
10-Mar-16,6.09,6.16,5.98,6.09,3603820
9-Mar-16,6.27,6.27,5.98,6.06,2363646
8-Mar-16,6.22,6.24,6.07,6.08,2508787
7-Mar-16,6.42,6.50,6.19,6.28,4353544
4-Mar-16,6.32,6.61,6.27,6.47,4579373
3-Mar-16,6.19,6.39,6.11,6.29,3670369
2-Mar-16,6.09,6.20,5.94,6.19,5986811
1-Mar-16,5.86,6.16,5.79,6.06,5831213
29-Feb-16,5.97,6.04,5.84,5.84,2823647
26-Feb-16,5.84,5.97,5.57,5.95,2348756
25-Feb-16,5.87,5.95,5.68,5.93,2417527
24-Feb-16,5.98,5.99,5.62,5.89,2990424
23-Feb-16,6.03,6.10,5.92,6.03,2837622
22-Feb-16,5.92,6.10,5.85,6.06,4551472
19-Feb-16,5.89,5.98,5.69,5.85,2920012
18-Feb-16,6.12,6.12,5.84,5.93,3046451
17-Feb-16,6.00,6.15,5.92,6.13,3549875
16-Feb-16,5.77,5.98,5.41,5.94,1723518
12-Feb-16,5.80,5.82,5.59,5.70,3977070
11-Feb-16,5.59,5.77,5.42,5.73,4486472
10-Feb-16,5.43,5.80,5.43,5.70,3397338
9-Feb-16,5.70,5.91,5.34,5.40,5749535
8-Feb-16,6.07,6.07,5.70,5.78,2867414
5-Feb-16,6.05,6.19,5.98,6.14,2173086
4-Feb-16,5.72,6.12,5.72,6.06,2833327
3-Feb-16,5.91,6.06,5.50,5.85,5275599
2-Feb-16,6.29,6.29,5.86,5.86,4270258
1-Feb-16,6.34,6.46,6.25,6.35,3770336
29-Jan-16,6.11,6.43,6.11,6.40,4151639
28-Jan-16,6.27,6.67,5.99,6.06,3108086
27-Jan-16,6.06,6.43,6.06,6.23,6485078
26-Jan-16,6.03,6.33,6.03,6.28,4745774
25-Jan-16,6.06,6.14,5.96,6.00,5142231
22-Jan-16,6.09,6.25,5.97,6.06,7827415
21-Jan-16,5.45,6.69,5.45,6.02,11256268
20-Jan-16,5.28,5.47,5.09,5.41,4144184
19-Jan-16,5.48,5.60,5.25,5.38,5083158
15-Jan-16,5.35,5.51,5.27,5.42,2987087
14-Jan-16,5.66,5.76,5.46,5.47,2780811
13-Jan-16,5.94,6.06,5.61,5.64,6209124
12-Jan-16,5.89,5.92,5.54,5.61,3433290
11-Jan-16,5.84,5.90,5.79,5.83,4171704
8-Jan-16,5.87,5.89,5.80,5.83,3690735
7-Jan-16,5.98,6.05,5.74,5.82,4646852
6-Jan-16,6.29,6.32,6.09,6.10,3026105
5-Jan-16,6.70,6.70,6.33,6.39,4048941
4-Jan-16,6.40,6.68,6.39,6.54,4132078
31-Dec-15,6.48,6.64,6.44,6.52,2434277
30-Dec-15,6.56,6.60,6.50,6.52,1683079
29-Dec-15,6.49,6.59,6.42,6.58,2602803
28-Dec-15,6.47,6.52,6.40,6.44,2649959
24-Dec-15,6.49,6.59,6.46,6.51,745000
23-Dec-15,6.38,6.49,6.32,6.49,2447294
22-Dec-15,6.33,6.38,6.25,6.36,2805998
21-Dec-15,6.32,6.40,6.24,6.32,2807604
18-Dec-15,6.48,6.48,6.23,6.31,7052680
17-Dec-15,6.75,6.77,6.46,6.48,2989729
16-Dec-15,6.60,6.90,6.29,6.75,4274042
15-Dec-15,6.40,6.58,6.39,6.57,4351971
14-Dec-15,6.48,6.55,6.33,6.37,3924241
