Date,Open,High,Low,Close,Volume
9-Dec-16,172.92,177.86,172.29,176.20,598489
8-Dec-16,172.32,173.50,171.97,173.21,439251
7-Dec-16,169.74,173.04,169.20,172.90,404793
6-Dec-16,169.52,170.44,167.83,169.61,333172
5-Dec-16,167.91,170.34,167.35,169.03,383624
2-Dec-16,167.25,168.11,166.25,167.27,386893
1-Dec-16,167.14,169.18,166.27,167.31,493691
30-Nov-16,168.63,169.30,167.04,167.20,463605
29-Nov-16,168.35,168.42,167.00,167.81,625875
28-Nov-16,170.39,170.61,168.32,168.38,384495
25-Nov-16,169.50,170.96,169.20,170.58,153832
23-Nov-16,172.00,172.01,169.15,169.18,378719
22-Nov-16,168.90,171.95,168.66,170.78,648873
21-Nov-16,168.51,169.70,167.10,168.55,351433
18-Nov-16,167.20,168.28,166.80,167.77,236543
17-Nov-16,166.86,168.38,164.82,167.55,191943
16-Nov-16,167.75,168.50,166.59,166.61,469028
15-Nov-16,167.77,168.54,166.48,168.51,703219
14-Nov-16,166.92,168.87,166.92,167.61,570105
11-Nov-16,166.40,168.40,165.53,166.47,750372
10-Nov-16,161.79,166.67,161.55,166.64,745118
9-Nov-16,155.74,161.58,155.74,160.43,545396
8-Nov-16,157.44,158.74,156.34,158.07,363526
7-Nov-16,156.45,157.90,155.88,157.76,431144
4-Nov-16,152.55,154.57,151.94,153.88,491533
3-Nov-16,152.36,152.99,151.77,152.75,282316
2-Nov-16,152.24,153.40,151.93,152.36,317477
1-Nov-16,154.58,154.58,151.67,152.10,343732
31-Oct-16,154.01,154.74,153.07,154.10,350727
28-Oct-16,154.49,155.11,153.04,153.21,340782
27-Oct-16,155.70,155.70,153.53,153.73,546131
26-Oct-16,156.00,156.81,154.74,154.98,817840
25-Oct-16,159.29,159.29,156.13,156.76,731007
24-Oct-16,159.07,160.96,157.66,159.72,868699
21-Oct-16,157.62,159.16,155.44,158.57,1192756
20-Oct-16,150.95,164.67,150.95,159.06,2061454
19-Oct-16,149.21,149.46,147.87,149.11,680260
18-Oct-16,150.55,150.86,149.36,149.56,403378
17-Oct-16,147.51,149.98,147.40,149.17,592376
14-Oct-16,147.13,148.71,146.91,147.33,510741
13-Oct-16,145.90,146.57,145.17,145.97,470105
12-Oct-16,146.95,147.76,146.71,147.38,357559
11-Oct-16,149.00,149.00,145.86,146.70,566935
10-Oct-16,150.89,151.27,148.76,149.28,578814
7-Oct-16,152.66,152.66,150.23,150.29,516404
6-Oct-16,150.82,153.34,149.77,152.91,597257
5-Oct-16,150.63,151.34,150.34,151.17,355305
4-Oct-16,150.97,151.52,149.45,150.43,328988
3-Oct-16,151.18,152.83,150.23,150.67,388019
30-Sep-16,150.19,152.50,149.49,151.96,506663
29-Sep-16,150.96,151.92,149.19,149.20,338428
28-Sep-16,151.16,151.71,149.75,150.89,433042
27-Sep-16,150.80,151.87,150.38,150.94,432218
26-Sep-16,151.40,151.75,150.63,150.98,398486
23-Sep-16,152.37,152.38,151.35,151.79,308646
22-Sep-16,150.28,152.88,150.28,152.80,417227
21-Sep-16,149.60,150.38,148.82,149.90,361718
20-Sep-16,149.95,149.95,148.53,149.48,334120
19-Sep-16,148.67,149.79,148.33,149.36,470871
16-Sep-16,147.93,148.23,146.71,147.99,471903
15-Sep-16,146.89,149.07,146.44,148.50,299548
14-Sep-16,146.82,147.74,146.22,147.26,507689
13-Sep-16,146.69,147.68,146.08,146.76,427090
12-Sep-16,146.78,148.32,146.34,147.78,405154
9-Sep-16,150.01,150.46,147.50,147.52,690234
8-Sep-16,150.92,152.26,150.72,151.28,489815
7-Sep-16,152.78,153.34,151.14,151.32,700288
6-Sep-16,154.41,154.75,151.40,152.77,439907
2-Sep-16,154.07,154.07,153.12,153.68,239666
1-Sep-16,153.53,154.16,151.65,153.19,342802
31-Aug-16,154.48,154.74,152.82,153.29,482158
30-Aug-16,155.19,155.19,153.85,154.57,336936
29-Aug-16,154.20,155.71,154.20,155.13,239958
26-Aug-16,155.98,156.40,153.72,154.10,284971
25-Aug-16,154.52,155.66,154.34,155.34,360464
24-Aug-16,154.46,155.76,153.98,155.02,441457
23-Aug-16,153.76,155.10,153.36,154.75,386245
22-Aug-16,153.42,153.61,152.33,153.20,333759
19-Aug-16,153.19,154.22,152.55,153.92,403894
18-Aug-16,152.97,154.47,152.53,153.51,464602
17-Aug-16,151.60,152.99,150.82,152.84,360676
16-Aug-16,153.35,154.46,151.23,152.02,323245
15-Aug-16,153.84,154.13,152.15,153.64,692048
12-Aug-16,156.17,156.47,153.15,153.52,498673
11-Aug-16,156.56,157.47,156.10,156.80,282857
10-Aug-16,156.02,156.62,155.26,155.81,254701
9-Aug-16,154.92,157.07,154.92,156.07,340875
8-Aug-16,156.95,157.25,154.86,155.13,375959
5-Aug-16,153.94,156.49,153.76,156.40,483314
4-Aug-16,154.61,154.73,153.10,153.44,365915
3-Aug-16,154.49,154.61,153.36,154.30,467275
2-Aug-16,156.93,156.99,154.00,154.29,402829
1-Aug-16,157.00,157.92,156.07,157.08,446503
29-Jul-16,155.16,157.52,154.26,157.17,546037
28-Jul-16,155.75,156.29,154.63,155.45,361615
27-Jul-16,157.08,157.75,155.88,155.95,425627
26-Jul-16,158.74,158.74,157.25,157.79,398601
25-Jul-16,157.97,158.25,157.79,158.15,444080
22-Jul-16,156.83,159.69,156.39,158.28,454413
21-Jul-16,155.31,159.89,155.31,156.04,1008822
20-Jul-16,160.56,161.72,160.20,161.62,553258
19-Jul-16,160.00,160.65,159.14,160.07,440554
18-Jul-16,161.74,161.74,160.79,161.31,484470
15-Jul-16,163.03,163.67,162.22,162.41,293400
14-Jul-16,163.85,163.98,162.12,162.70,372980
13-Jul-16,163.48,163.48,162.04,162.40,264467
12-Jul-16,162.10,162.72,161.03,162.70,390271
11-Jul-16,160.75,161.94,160.28,161.40,325141
8-Jul-16,158.69,160.32,158.32,160.16,485088
7-Jul-16,156.06,157.57,156.06,157.25,375957
6-Jul-16,154.59,156.57,154.46,156.34,549092
5-Jul-16,156.97,156.97,153.85,155.04,558533
1-Jul-16,158.03,159.16,157.53,158.00,658022
30-Jun-16,154.83,157.84,153.84,157.82,854532
29-Jun-16,152.68,154.47,151.54,154.21,474205
28-Jun-16,149.81,151.33,149.27,151.26,621395
27-Jun-16,148.73,149.90,147.50,148.03,633510
24-Jun-16,151.23,152.05,149.18,150.13,1045208
23-Jun-16,153.88,155.68,153.88,155.62,546805
22-Jun-16,154.49,154.97,152.05,152.36,393414
21-Jun-16,154.39,155.20,153.99,154.52,470825
20-Jun-16,154.57,156.27,153.68,154.20,280605
17-Jun-16,153.87,154.24,152.07,152.97,398757
16-Jun-16,152.00,153.91,151.25,153.49,545302
15-Jun-16,153.57,153.98,152.83,153.05,257556
14-Jun-16,153.25,153.67,151.71,153.51,417586
13-Jun-16,155.20,156.13,153.84,153.91,265952
10-Jun-16,159.00,159.00,155.50,155.90,504746
9-Jun-16,159.35,160.57,158.42,160.35,278681
8-Jun-16,159.24,160.28,158.85,159.65,422589
7-Jun-16,159.25,159.94,158.82,159.50,406418
6-Jun-16,159.57,159.68,158.27,159.00,358273
3-Jun-16,161.80,162.01,158.86,159.10,739299
2-Jun-16,163.38,163.38,160.15,162.29,645575
1-Jun-16,160.92,163.60,160.11,163.44,356432
31-May-16,162.73,163.00,161.18,161.82,461347
27-May-16,162.48,163.52,162.04,162.55,337417
26-May-16,162.49,163.26,161.32,162.69,327425
25-May-16,164.59,165.00,162.25,162.67,345372
24-May-16,163.00,164.58,162.18,164.39,293903
23-May-16,161.81,162.65,161.13,162.17,277489
20-May-16,162.47,162.72,161.23,162.20,1189948
19-May-16,162.29,162.32,160.30,161.72,401408
18-May-16,163.00,164.25,162.29,163.30,461692
17-May-16,163.68,165.33,163.08,164.04,643258
16-May-16,161.79,164.24,161.15,163.80,416673
13-May-16,162.90,163.42,161.00,161.61,408319
12-May-16,162.95,163.79,161.22,163.29,390301
11-May-16,162.39,163.79,161.70,162.86,517806
10-May-16,160.24,162.65,159.67,162.64,335483
9-May-16,159.79,160.37,158.75,159.44,380404
6-May-16,158.00,160.30,157.87,160.05,385770
5-May-16,157.75,159.19,157.36,158.45,416900
4-May-16,155.81,157.90,155.44,157.71,494095
3-May-16,158.15,158.62,155.43,156.50,600466
2-May-16,159.68,160.10,158.59,159.44,390869
29-Apr-16,160.09,160.99,159.04,159.28,415211
28-Apr-16,161.87,164.32,160.64,161.11,411742
27-Apr-16,161.78,162.98,160.67,162.68,432459
26-Apr-16,162.36,163.49,161.14,161.78,385131
25-Apr-16,160.80,161.73,159.49,161.67,633140
22-Apr-16,160.44,162.35,159.76,160.65,900842
21-Apr-16,162.00,162.00,158.61,160.20,823284
20-Apr-16,161.11,161.92,160.10,161.33,767229
19-Apr-16,161.92,162.30,160.26,161.60,643583
18-Apr-16,160.04,161.62,159.95,161.14,444748
15-Apr-16,161.10,161.20,159.90,160.84,289007
14-Apr-16,159.73,161.17,158.74,160.71,540989
13-Apr-16,157.34,159.58,157.06,159.51,346128
12-Apr-16,156.18,157.15,155.38,156.21,406877
11-Apr-16,158.25,158.63,155.78,156.17,347884
8-Apr-16,157.06,158.80,156.21,157.80,487314
7-Apr-16,155.27,157.36,153.95,155.29,805103
6-Apr-16,153.15,156.99,152.72,156.72,599633
5-Apr-16,153.55,154.30,152.51,153.66,498274
4-Apr-16,158.90,158.90,154.40,154.90,500290
1-Apr-16,156.00,159.36,155.50,159.24,516613
31-Mar-16,158.91,158.91,156.49,156.99,671498
30-Mar-16,159.00,160.00,158.35,158.54,202041
29-Mar-16,156.94,158.94,156.06,158.78,276269
28-Mar-16,157.78,158.54,156.84,158.10,258320
24-Mar-16,155.02,158.10,154.28,157.84,433869
23-Mar-16,156.72,157.09,155.26,155.81,282845
22-Mar-16,157.90,158.21,156.22,156.87,467422
21-Mar-16,155.64,158.57,154.90,158.02,375947
18-Mar-16,156.34,157.04,155.33,155.33,730082
17-Mar-16,155.81,156.33,155.23,156.00,665659
16-Mar-16,154.29,156.52,153.85,155.91,302987
15-Mar-16,152.67,155.25,152.34,154.97,328042
14-Mar-16,152.26,154.45,152.25,154.10,370563
11-Mar-16,151.53,153.41,151.53,152.80,293192
10-Mar-16,152.16,152.25,148.45,150.36,535127
9-Mar-16,152.37,152.80,150.50,151.37,403144
8-Mar-16,152.03,153.10,150.22,151.96,475347
7-Mar-16,153.48,155.44,152.91,153.87,439270
4-Mar-16,153.90,156.00,152.89,154.04,671733
3-Mar-16,150.81,154.52,149.86,154.07,658332
2-Mar-16,149.74,151.61,149.32,150.81,578285
1-Mar-16,146.14,151.05,144.92,150.55,728066
29-Feb-16,146.67,147.84,144.61,144.67,407874
26-Feb-16,145.31,147.87,144.72,147.23,399487
25-Feb-16,145.75,146.22,143.31,144.54,530734
24-Feb-16,143.47,145.99,142.55,145.75,491176
23-Feb-16,146.12,147.82,144.32,144.54,341890
22-Feb-16,146.73,147.67,146.30,147.39,512159
19-Feb-16,144.15,145.93,143.97,145.22,494526
18-Feb-16,143.65,145.10,143.01,144.90,624159
17-Feb-16,143.18,144.02,141.70,143.45,544985
16-Feb-16,142.48,143.75,140.91,141.88,508384
12-Feb-16,139.72,140.98,138.68,140.01,714397
11-Feb-16,138.54,140.65,135.91,138.03,649076
10-Feb-16,136.83,143.35,136.83,141.36,1216026
9-Feb-16,134.36,137.56,134.08,135.78,864259
8-Feb-16,138.13,138.87,133.09,135.41,1628622
5-Feb-16,144.72,144.72,138.42,139.90,1255377
4-Feb-16,154.61,154.61,143.49,145.15,2108374
3-Feb-16,155.84,155.98,149.89,153.14,893596
2-Feb-16,160.00,160.00,153.42,154.55,951156
1-Feb-16,158.45,162.03,156.97,161.10,504857
29-Jan-16,158.18,161.56,157.54,161.56,580115
28-Jan-16,158.73,159.57,155.53,157.23,537567
27-Jan-16,158.45,161.94,157.32,158.10,408600
26-Jan-16,154.63,159.18,154.28,159.06,472795
25-Jan-16,153.00,154.60,152.56,153.43,828638
22-Jan-16,152.14,154.25,150.59,153.10,630275
21-Jan-16,152.52,153.91,149.54,150.51,846474
20-Jan-16,153.81,154.77,147.51,152.81,935081
19-Jan-16,158.00,158.12,155.74,155.92,840555
15-Jan-16,159.03,161.12,155.09,157.30,713588
14-Jan-16,161.90,164.04,159.51,163.08,418200
13-Jan-16,165.00,165.59,161.38,161.51,477346
12-Jan-16,164.25,165.55,162.53,164.83,383055
11-Jan-16,163.13,163.91,160.65,163.05,430519
8-Jan-16,165.11,166.14,162.02,162.52,468215
7-Jan-16,165.00,166.24,163.82,164.24,400054
6-Jan-16,166.29,168.61,166.04,167.79,463326
5-Jan-16,168.94,169.95,167.10,168.34,349279
4-Jan-16,168.79,169.50,166.50,168.53,413770
31-Dec-15,172.00,173.22,171.34,171.43,165654
30-Dec-15,173.79,174.51,172.29,172.42,140869
29-Dec-15,173.53,174.52,172.33,173.91,178270
28-Dec-15,171.36,172.40,170.14,172.10,207432
24-Dec-15,172.28,172.56,171.26,171.86,106316
23-Dec-15,171.11,172.96,170.59,172.36,446697
22-Dec-15,169.60,170.91,167.94,170.29,251614
21-Dec-15,167.79,169.66,166.10,168.47,433509
18-Dec-15,169.21,170.57,166.65,166.69,668317
17-Dec-15,171.73,172.39,169.34,170.45,333449
16-Dec-15,170.08,171.73,169.03,171.26,337190
