Date	Open	High	Low	Close	Volume	Label
9-Dec-16	225.41	226.53	225.37	226.51	88005766	226
8-Dec-16	224.57	225.7	224.26	225.15	99714387	225.41
7-Dec-16	221.52	224.67	221.38	224.6	110738050	224.57
6-Dec-16	221.22	221.74	220.66	221.7	59877377	221.52
5-Dec-16	220.65	221.4	220.42	221	67837821	221.22
2-Dec-16	219.67	220.25	219.26	219.68	74840347	220.65
1-Dec-16	220.73	220.73	219.15	219.57	79040487	219.67
30-Nov-16	221.63	221.82	220.31	220.38	113291793	220.73
29-Nov-16	220.52	221.44	220.17	220.91	69886690	221.63
28-Nov-16	221.16	221.48	220.36	220.48	76572511	220.52
25-Nov-16	221.1	221.56	221.01	221.52	37872255	221.16
23-Nov-16	219.98	220.76	219.75	220.7	56620237	221.1
22-Nov-16	220.51	220.79	219.73	220.58	67428957	219.98
21-Nov-16	219.17	220.18	219	220.15	72402638	220.51
18-Nov-16	219.07	219.27	218.29	218.5	86265751	219.17
17-Nov-16	218.05	219.06	217.92	218.99	69797191	219.07
16-Nov-16	217.56	218.14	217.42	217.87	65617697	218.05
15-Nov-16	217.04	218.28	216.8	218.28	91652580	217.56
14-Nov-16	217.03	217.27	215.72	216.59	94579982	217.04
11-Nov-16	216.08	216.7	215.32	216.42	100552732	217.03
10-Nov-16	217.3	218.31	215.22	216.92	172113313	216.08
9-Nov-16	212.37	217.1	212.34	216.38	258428972	217.3
8-Nov-16	212.69	214.77	212.38	214.11	106772138	212.37
7-Nov-16	211.45	213.19	211.3	213.15	109794861	212.69
4-Nov-16	208.91	209.89	208.38	208.55	109122059	211.45
3-Nov-16	209.99	210.24	208.46	208.78	88939346	208.91
2-Nov-16	210.65	211.1	209.23	209.74	103330806	209.99
1-Nov-16	212.93	212.99	209.6	211.01	122781818	210.65
31-Oct-16	212.93	213.19	212.36	212.55	61272507	212.93
28-Oct-16	213.14	213.93	211.71	212.54	140623183	212.93
27-Oct-16	214.58	214.62	213.08	213.17	77220213	213.14
26-Oct-16	213.21	214.42	212.93	213.74	75705478	214.58
25-Oct-16	214.68	214.98	213.98	214.17	66542329	213.21
24-Oct-16	215	215.32	214.48	214.89	60146592	214.68
21-Oct-16	212.96	214.08	212.76	213.98	89089092	215
20-Oct-16	213.87	214.53	213.11	213.88	73639830	212.96
19-Oct-16	214.02	214.64	213.6	214.28	66519224	213.87
18-Oct-16	214.24	214.31	213.27	213.71	76869656	214.02
17-Oct-16	213.09	213.39	212.17	212.38	58275674	214.24
14-Oct-16	214.15	214.69	213.03	213.12	93346237	213.09
13-Oct-16	212.16	213.59	211.21	213.01	101356960	214.15
12-Oct-16	213.59	214.32	213.01	213.71	73866117	212.16
11-Oct-16	215.66	215.74	212.58	213.43	130367373	213.59
10-Oct-16	216.16	216.7	215.98	216.16	51855023	215.66
7-Oct-16	216.1	216.3	214.19	215.04	89788255	216.16
6-Oct-16	215.37	216.04	214.74	215.78	62927376	216.1
5-Oct-16	215.41	216.13	215.33	215.63	72815963	215.37
4-Oct-16	215.91	216.17	213.99	214.68	119948052	215.41
3-Oct-16	215.82	216.04	215.04	215.78	83512057	215.91
30-Sep-16	215.65	217.12	215.36	216.3	117202914	215.82
29-Sep-16	216.4	216.87	214.04	214.68	128070615	215.65
28-Sep-16	215.83	216.82	214.71	216.64	87411015	216.4
27-Sep-16	214.05	215.68	213.62	215.57	78494829	215.83
26-Sep-16	215.02	215.23	214.01	214.24	89827305	214.05
23-Sep-16	216.72	216.88	215.88	215.99	73630921	215.02
22-Sep-16	217	217.53	216.71	217.18	76678713	216.72
21-Sep-16	214.24	216.03	213.44	215.82	110284425	217
20-Sep-16	214.41	214.59	213.38	213.42	69665279	214.24
19-Sep-16	214.13	214.88	213.03	213.41	80250490	214.41
16-Sep-16	213.48	213.69	212.57	213.37	155236354	214.13
15-Sep-16	212.96	215.73	212.75	215.28	145736123	213.48
14-Sep-16	213.29	214.7	212.5	213.15	134185491	212.96
13-Sep-16	214.84	215.15	212.5	213.23	182828839	213.29
12-Sep-16	212.39	216.81	212.31	216.34	168110913	214.84
9-Sep-16	216.97	217.03	213.25	213.28	221589073	212.39
8-Sep-16	218.62	218.94	218.15	218.51	74102880	216.97
7-Sep-16	218.84	219.22	218.3	219.01	76554855	218.62
6-Sep-16	218.7	219.12	217.86	219.03	56702089	218.84
2-Sep-16	218.39	218.87	217.7	218.37	79293856	218.7
1-Sep-16	217.37	217.73	216.03	217.39	97844207	218.39
31-Aug-16	217.61	217.75	216.46	217.38	85269453	217.37
30-Aug-16	218.26	218.59	217.35	218	58114543	217.61
29-Aug-16	217.44	218.66	217.4	218.36	70502167	218.26
26-Aug-16	217.92	219.12	216.25	217.29	122506348	217.44
25-Aug-16	217.4	218.19	217.22	217.7	69224776	217.92
24-Aug-16	218.8	218.91	217.36	217.85	71728949	217.4
23-Aug-16	219.25	219.6	218.9	218.97	53399159	218.8
22-Aug-16	218.26	218.8	217.83	218.53	61368766	219.25
19-Aug-16	218.31	218.75	217.74	218.54	75443004	218.26
18-Aug-16	218.34	218.9	218.21	218.86	52989266	218.31
17-Aug-16	218	218.53	217.02	218.37	75134339	218.34
16-Aug-16	218.6	218.68	217.96	217.96	53213621	218
15-Aug-16	218.89	219.5	218.88	219.09	49813482	218.6
12-Aug-16	218.29	218.71	217.99	218.46	61313544	218.89
11-Aug-16	218.26	218.94	217.95	218.65	72504270	218.29
10-Aug-16	218.31	218.4	217.23	217.64	57941092	218.26
9-Aug-16	218.13	218.76	217.8	218.18	51251728	218.31
8-Aug-16	218.4	218.52	217.74	218.05	39906479	218.13
5-Aug-16	217.21	218.23	217.07	218.18	71892161	218.4
4-Aug-16	216.31	216.78	214.25	216.41	46585528	217.21
3-Aug-16	215.48	216.24	215.13	216.18	53993626	216.31
