Date,Open,High,Low,Close,Volume
9-Dec-16,54.78,54.99,54.20,54.84,4207317
8-Dec-16,54.67,55.39,54.46,54.79,4461781
7-Dec-16,53.70,54.52,53.21,54.46,5171773
6-Dec-16,52.62,53.87,52.62,53.79,6024757
5-Dec-16,52.75,53.21,52.34,52.54,4323215
2-Dec-16,52.55,52.57,51.81,52.04,3788783
1-Dec-16,52.44,53.04,52.01,52.71,3998212
30-Nov-16,51.98,52.32,51.85,51.95,4102669
29-Nov-16,51.73,51.75,51.13,51.14,5059670
28-Nov-16,51.57,52.09,51.34,51.56,5407392
25-Nov-16,52.32,52.48,52.03,52.46,1428086
23-Nov-16,52.28,52.43,51.72,52.36,3971448
22-Nov-16,51.98,52.29,51.67,52.08,5154334
21-Nov-16,52.00,52.12,51.40,51.72,2944812
18-Nov-16,51.30,51.93,51.06,51.78,5794119
17-Nov-16,50.94,51.66,50.66,51.40,5789575
16-Nov-16,51.96,52.01,50.74,50.79,6520249
15-Nov-16,51.62,52.46,50.99,52.38,6567355
14-Nov-16,50.97,52.65,50.96,52.22,7304367
11-Nov-16,49.65,50.68,49.17,50.58,4668467
10-Nov-16,48.69,50.14,48.56,49.88,7885869
9-Nov-16,47.65,48.51,46.47,48.14,6362018
8-Nov-16,45.98,46.09,45.49,45.60,5611278
7-Nov-16,45.75,46.34,45.74,46.18,3626141
4-Nov-16,44.96,45.44,44.49,44.87,2519413
3-Nov-16,44.96,45.32,44.73,44.91,2304001
2-Nov-16,45.08,45.13,44.45,44.74,3512721
1-Nov-16,45.50,45.89,44.78,45.31,3312554
31-Oct-16,45.43,45.57,45.19,45.23,2624209
28-Oct-16,45.80,45.82,44.93,45.22,2613483
27-Oct-16,45.89,46.12,45.42,45.66,4222013
26-Oct-16,45.05,45.64,44.88,45.55,2646294
25-Oct-16,45.33,45.80,45.16,45.17,3991617
24-Oct-16,45.90,46.23,45.44,45.45,3868006
21-Oct-16,45.52,46.11,44.63,45.66,5676333
20-Oct-16,46.18,46.88,46.09,46.43,5872748
19-Oct-16,45.58,46.52,45.48,46.21,4008195
18-Oct-16,45.18,45.41,44.78,45.36,3850400
17-Oct-16,45.09,45.24,44.45,44.71,2936923
14-Oct-16,45.23,45.63,44.91,45.03,4041016
13-Oct-16,45.19,45.19,44.25,44.76,4218415
12-Oct-16,45.58,46.03,45.52,45.70,2480937
11-Oct-16,46.09,46.25,45.35,45.63,3032207
10-Oct-16,46.16,46.47,46.05,46.16,2725556
7-Oct-16,45.79,46.01,45.18,45.69,2819418
6-Oct-16,45.90,46.21,45.27,45.79,3875112
5-Oct-16,44.91,46.08,44.86,45.73,4896753
4-Oct-16,43.97,45.00,43.87,44.73,4735254
3-Oct-16,43.41,44.17,43.41,43.77,3526588
30-Sep-16,43.41,44.09,43.13,43.80,3614508
29-Sep-16,43.52,44.09,42.87,43.15,2477251
28-Sep-16,43.60,43.63,42.99,43.59,2495702
27-Sep-16,42.57,43.34,42.36,43.33,2895276
26-Sep-16,43.80,43.87,42.70,42.72,3765472
23-Sep-16,44.00,44.55,43.90,44.18,3346577
22-Sep-16,44.44,44.55,44.10,44.15,3201966
21-Sep-16,44.03,44.61,43.82,44.29,3958354
20-Sep-16,44.15,44.34,43.74,43.78,2073327
19-Sep-16,43.95,44.32,43.65,43.86,2433497
16-Sep-16,43.81,43.88,43.46,43.71,4119975
15-Sep-16,42.86,44.16,42.86,44.11,3289128
14-Sep-16,43.67,44.15,43.35,43.41,4491431
13-Sep-16,43.51,43.95,43.01,43.79,4760002
12-Sep-16,43.15,44.21,42.83,44.13,4001967
9-Sep-16,43.81,44.07,43.38,43.39,3200311
8-Sep-16,43.59,43.99,43.48,43.88,2851493
7-Sep-16,43.20,43.61,42.95,43.56,2832650
6-Sep-16,43.93,43.97,43.10,43.39,2196142
2-Sep-16,43.94,44.15,43.64,43.97,2312095
1-Sep-16,44.19,44.24,43.40,43.79,2983670
31-Aug-16,44.04,44.21,43.52,44.07,3063256
30-Aug-16,43.65,44.00,43.54,44.00,2513687
29-Aug-16,43.15,43.72,42.99,43.58,2861375
26-Aug-16,42.97,43.30,42.63,43.16,3662943
25-Aug-16,42.71,42.86,42.61,42.73,2495671
24-Aug-16,42.82,43.02,42.56,42.70,1975528
23-Aug-16,42.93,43.12,42.69,42.69,2068286
22-Aug-16,42.72,42.97,42.59,42.88,2031661
19-Aug-16,42.76,42.90,42.52,42.86,2533970
18-Aug-16,42.54,42.95,42.43,42.85,3390769
17-Aug-16,42.06,42.54,42.00,42.49,4173997
16-Aug-16,41.83,42.22,41.76,42.11,3281618
15-Aug-16,42.03,42.22,41.95,42.10,3561315
12-Aug-16,41.68,41.86,41.46,41.84,2058809
11-Aug-16,42.12,42.33,41.80,42.04,2260923
10-Aug-16,42.50,42.66,41.85,41.91,1673563
9-Aug-16,42.70,42.78,42.44,42.58,2383709
8-Aug-16,43.00,43.28,42.50,42.64,3156429
5-Aug-16,42.45,43.13,42.38,42.90,4873294
4-Aug-16,42.03,42.28,41.81,41.95,2314602
3-Aug-16,41.52,42.10,41.50,42.05,2370757
2-Aug-16,41.82,41.90,41.07,41.37,3709361
1-Aug-16,42.42,42.59,41.81,41.88,2344229
29-Jul-16,42.37,42.76,42.11,42.29,3110940
28-Jul-16,42.22,42.59,41.98,42.46,2739087
27-Jul-16,42.61,42.81,42.20,42.35,3250253
26-Jul-16,42.30,42.58,42.18,42.56,3400407
25-Jul-16,42.22,42.42,42.02,42.30,3530820
22-Jul-16,42.25,42.69,41.79,42.40,5897092
21-Jul-16,43.15,43.66,43.14,43.17,2971961
20-Jul-16,43.45,43.50,42.95,43.27,2252579
19-Jul-16,43.03,43.53,42.94,43.27,2080215
18-Jul-16,43.37,43.66,43.29,43.39,2706641
15-Jul-16,43.99,44.19,43.35,43.50,5892418
14-Jul-16,43.89,44.08,43.45,43.86,4680569
13-Jul-16,42.58,42.81,42.26,42.74,5120411
12-Jul-16,42.40,43.06,42.40,42.67,6395602
11-Jul-16,41.80,42.20,41.78,41.87,4486791
8-Jul-16,41.49,41.88,41.22,41.44,4554252
7-Jul-16,40.19,41.05,40.14,40.70,3487492
6-Jul-16,39.07,40.33,38.75,40.18,5226759
5-Jul-16,40.15,40.31,39.23,39.50,4210161
1-Jul-16,40.73,41.16,40.52,40.71,3266892
30-Jun-16,40.41,41.10,39.99,41.08,4592556
29-Jun-16,39.67,40.12,39.26,40.04,3831869
28-Jun-16,38.64,39.23,38.30,39.20,4385917
27-Jun-16,39.86,39.88,37.71,37.84,7606787
24-Jun-16,40.38,41.65,39.99,40.54,8642603
23-Jun-16,42.29,43.22,42.29,43.21,2960074
22-Jun-16,41.74,42.35,41.63,41.69,1990557
21-Jun-16,41.79,41.84,41.23,41.67,2760739
20-Jun-16,42.05,42.51,41.56,41.64,4138357
17-Jun-16,40.80,41.38,40.69,41.26,4342646
16-Jun-16,40.63,40.88,40.14,40.75,3847396
15-Jun-16,41.04,41.80,40.81,41.01,2983930
14-Jun-16,41.80,42.13,40.55,40.75,4118766
13-Jun-16,42.14,42.68,41.85,41.89,3502313
10-Jun-16,42.32,42.58,42.07,42.48,2964038
9-Jun-16,43.16,43.16,42.44,42.97,3329506
8-Jun-16,43.33,43.70,43.33,43.49,1952868
7-Jun-16,43.58,43.94,43.35,43.40,2945399
6-Jun-16,43.50,44.26,43.41,43.97,3303488
3-Jun-16,43.17,43.44,42.22,43.33,4249413
2-Jun-16,43.71,44.09,43.38,44.04,2133432
1-Jun-16,43.23,43.95,42.85,43.83,3248089
31-May-16,44.06,44.17,43.37,43.82,4327162
27-May-16,43.34,43.94,43.21,43.82,2572496
26-May-16,43.71,43.84,43.10,43.34,2719721
25-May-16,43.47,44.32,43.47,43.98,3900909
24-May-16,42.84,43.31,42.65,43.11,3399133
23-May-16,42.55,42.81,41.97,42.49,3653729
20-May-16,42.92,43.26,42.36,42.55,3909164
19-May-16,42.48,43.18,42.10,42.62,4995573
18-May-16,41.06,42.84,40.91,42.81,6090730
17-May-16,40.92,41.57,40.59,41.10,4016512
16-May-16,40.62,41.27,40.57,41.08,3332145
13-May-16,41.24,41.80,40.39,40.56,3026064
12-May-16,41.63,42.01,40.94,41.35,3830330
11-May-16,41.21,41.92,40.81,41.40,4427963
10-May-16,40.71,41.54,40.61,41.46,4813338
9-May-16,40.46,40.88,40.06,40.36,3815873
6-May-16,40.08,40.66,39.91,40.63,3038579
5-May-16,40.50,40.89,40.15,40.36,4793754
4-May-16,40.81,41.33,40.24,40.64,4412210
3-May-16,41.43,41.63,41.09,41.43,4163861
2-May-16,42.05,42.23,41.50,42.13,4709703
29-Apr-16,41.76,42.01,41.46,41.74,5403404
28-Apr-16,42.09,42.62,41.84,42.07,3501092
27-Apr-16,42.60,43.03,42.07,42.57,4908560
26-Apr-16,41.98,42.73,41.77,42.44,4830927
25-Apr-16,41.95,42.01,41.22,41.99,4257333
22-Apr-16,40.81,42.34,40.73,41.96,7783190
21-Apr-16,39.87,40.21,39.71,39.87,3361956
20-Apr-16,39.40,39.87,39.16,39.77,3355457
19-Apr-16,38.78,39.25,38.69,39.24,2697592
18-Apr-16,38.20,38.89,38.08,38.66,2685249
15-Apr-16,38.77,38.84,38.28,38.47,3764039
14-Apr-16,38.34,39.31,38.34,38.69,5047593
13-Apr-16,37.25,38.58,37.20,38.45,7005908
12-Apr-16,36.11,36.91,36.11,36.75,4813947
11-Apr-16,35.82,36.51,35.79,36.03,3352406
8-Apr-16,35.77,36.29,35.53,35.63,2636173
7-Apr-16,35.64,35.94,35.10,35.35,4789604
6-Apr-16,35.63,36.34,35.43,36.15,3617173
5-Apr-16,36.04,36.24,35.71,35.75,3942211
4-Apr-16,36.59,37.01,36.33,36.50,2863819
1-Apr-16,35.98,36.71,35.42,36.62,3786240
31-Mar-16,36.47,36.47,35.81,36.08,4404207
30-Mar-16,36.52,36.96,36.22,36.49,2393456
29-Mar-16,36.48,36.50,35.75,36.33,3134131
28-Mar-16,36.64,37.02,36.42,36.78,2224471
24-Mar-16,36.17,36.69,35.76,36.60,3311928
23-Mar-16,36.95,37.06,36.60,36.63,2709206
22-Mar-16,36.88,37.17,36.62,36.97,2579819
21-Mar-16,37.01,37.56,36.80,37.11,2380543
18-Mar-16,37.00,37.49,36.79,37.19,6852175
17-Mar-16,36.25,36.79,35.75,36.63,3251657
16-Mar-16,36.69,37.25,36.04,36.39,3380123
15-Mar-16,36.39,36.89,36.31,36.84,2270306
14-Mar-16,36.77,37.12,36.63,36.89,2597893
11-Mar-16,36.07,37.03,35.99,36.99,3499869
10-Mar-16,35.40,35.78,34.89,35.67,5811545
9-Mar-16,35.79,35.85,34.79,35.05,5941394
8-Mar-16,36.40,36.43,35.34,35.42,6526672
7-Mar-16,36.77,36.91,36.43,36.74,2974218
4-Mar-16,36.92,37.54,36.73,37.05,3832819
3-Mar-16,35.88,36.56,35.87,36.55,3434382
2-Mar-16,35.06,36.08,34.97,35.99,4770976
1-Mar-16,33.54,35.01,33.45,35.01,5429378
29-Feb-16,34.40,34.40,33.18,33.18,6802190
26-Feb-16,34.18,35.01,33.98,34.54,3897055
25-Feb-16,33.62,34.06,33.46,33.80,3911359
