Date,Open,High,Low,Close,Volume
9-Dec-16,79.93,80.41,79.90,80.30,1859684
8-Dec-16,79.67,79.91,79.22,79.90,2185694
7-Dec-16,78.90,79.68,78.59,79.68,2386081
6-Dec-16,79.65,79.70,79.31,79.55,2045231
5-Dec-16,79.20,79.52,79.13,79.49,2666997
2-Dec-16,78.95,79.25,78.78,79.02,1450233
1-Dec-16,79.19,79.48,78.54,78.78,1982621
30-Nov-16,79.69,79.86,79.12,79.20,2001269
29-Nov-16,80.00,80.16,79.66,79.70,1608948
28-Nov-16,80.06,80.23,79.74,79.74,1267369
25-Nov-16,80.24,80.29,79.87,80.29,546148
23-Nov-16,78.86,80.05,78.64,80.02,2868742
22-Nov-16,79.91,79.98,78.51,78.90,2002185
21-Nov-16,80.20,80.66,79.96,80.27,5271991
18-Nov-16,80.07,80.27,79.87,80.02,2300482
17-Nov-16,79.66,80.28,79.56,80.22,1249321
16-Nov-16,79.14,80.09,79.14,79.77,1647677
15-Nov-16,78.68,80.53,78.60,79.75,3209469
14-Nov-16,79.49,79.49,78.47,78.47,2338084
11-Nov-16,79.81,79.81,79.17,79.40,1399003
10-Nov-16,79.62,79.98,79.39,79.73,1959463
9-Nov-16,79.18,80.11,78.42,79.21,1801347
8-Nov-16,78.84,79.13,78.38,78.95,1970667
7-Nov-16,78.57,79.00,78.57,78.96,1316232
4-Nov-16,77.55,78.33,77.47,77.98,1046171
3-Nov-16,77.87,78.15,77.32,77.44,1394363
2-Nov-16,77.76,78.15,77.59,77.64,1382375
1-Nov-16,77.75,78.11,77.54,77.81,2503556
31-Oct-16,77.84,78.20,77.51,77.84,1958811
28-Oct-16,78.88,79.19,77.94,77.97,5671608
27-Oct-16,78.94,79.39,78.86,79.01,1569324
26-Oct-16,78.78,79.28,78.64,78.70,1333726
25-Oct-16,79.52,79.54,78.87,79.01,2315660
24-Oct-16,79.65,79.81,79.12,79.42,2750866
21-Oct-16,79.12,79.50,78.92,79.36,1918934
20-Oct-16,78.65,79.74,78.65,79.63,2970722
19-Oct-16,79.26,80.13,78.67,78.70,6970414
18-Oct-16,78.87,79.68,78.62,79.44,4591556
17-Oct-16,77.95,78.22,77.64,77.66,2090215
14-Oct-16,78.40,78.71,77.94,77.98,1422465
13-Oct-16,77.97,78.45,77.75,78.16,2430458
12-Oct-16,78.63,78.76,78.26,78.35,1565785
11-Oct-16,79.89,80.05,78.12,78.41,12729347
10-Oct-16,80.86,81.53,80.86,81.28,2393816
7-Oct-16,80.70,81.00,80.44,80.86,1298267
6-Oct-16,80.07,81.01,80.04,80.74,2598327
5-Oct-16,79.92,80.37,79.76,80.31,1487541
4-Oct-16,80.25,80.71,79.55,79.83,2393253
3-Oct-16,79.43,80.21,79.43,80.16,1381402
30-Sep-16,79.29,80.12,79.20,79.76,2650776
29-Sep-16,79.45,79.65,78.76,78.96,2345676
28-Sep-16,79.64,79.87,79.35,79.73,1165718
27-Sep-16,79.02,79.95,79.00,79.91,2345013
26-Sep-16,79.50,79.70,78.99,79.06,1866214
23-Sep-16,79.65,79.88,79.40,79.64,1174683
22-Sep-16,79.70,79.90,79.52,79.61,2229774
21-Sep-16,78.88,79.54,78.64,79.44,2371775
20-Sep-16,79.37,79.53,78.89,78.89,1942552
19-Sep-16,79.50,79.74,79.01,79.04,2480657
16-Sep-16,78.67,79.35,78.27,79.19,2393616
15-Sep-16,78.33,78.77,78.13,78.65,1126634
14-Sep-16,78.02,78.61,78.00,78.18,2093783
13-Sep-16,78.36,78.65,78.03,78.14,1403915
12-Sep-16,77.70,79.00,77.62,78.84,2026019
9-Sep-16,78.94,79.01,78.04,78.04,4263959
8-Sep-16,79.32,79.59,79.20,79.39,1854779
7-Sep-16,78.90,79.68,78.86,79.18,4492622
6-Sep-16,78.55,79.08,78.26,78.90,2020975
2-Sep-16,78.40,78.74,78.26,78.65,1887097
1-Sep-16,78.03,78.40,77.79,78.14,3352735
31-Aug-16,79.19,79.19,77.35,77.92,4419619
30-Aug-16,78.25,79.15,77.76,78.63,9929214
29-Aug-16,78.27,78.64,77.64,78.25,9116633
26-Aug-16,77.71,78.18,75.34,78.01,13183950
25-Aug-16,81.73,81.99,73.40,77.82,33124904
24-Aug-16,82.76,82.90,81.79,81.88,2835459
23-Aug-16,83.00,83.15,82.67,82.75,1958505
22-Aug-16,82.81,82.98,82.49,82.88,2297646
19-Aug-16,82.73,82.98,82.30,82.98,2880522
18-Aug-16,83.04,83.32,82.81,82.92,1414204
17-Aug-16,83.58,83.75,83.03,83.20,2837302
16-Aug-16,83.50,83.63,83.29,83.38,2371063
15-Aug-16,83.58,83.83,83.41,83.64,1108518
12-Aug-16,83.55,83.69,83.18,83.64,1420454
11-Aug-16,83.58,83.83,83.45,83.67,1948249
10-Aug-16,83.65,83.96,83.32,83.45,1153386
9-Aug-16,83.48,83.81,83.47,83.72,1854141
8-Aug-16,83.80,84.00,83.46,83.51,1877099
5-Aug-16,83.47,83.94,83.44,83.90,1032576
4-Aug-16,83.31,83.61,83.31,83.45,1043777
