Date,Open,High,Low,Close,Volume
9-Dec-16,120.79,121.18,119.76,120.50,609041
8-Dec-16,120.45,121.62,119.89,120.95,693256
7-Dec-16,118.18,120.59,118.18,120.58,709497
6-Dec-16,118.95,119.27,118.01,118.64,995778
5-Dec-16,119.25,119.82,118.58,119.15,799897
2-Dec-16,118.91,119.20,118.12,118.23,888643
1-Dec-16,119.09,119.91,118.54,118.82,826933
30-Nov-16,119.94,120.78,118.45,118.63,857081
29-Nov-16,119.40,120.86,119.25,119.93,632602
28-Nov-16,121.32,121.58,119.53,119.64,1123768
25-Nov-16,120.61,121.60,120.50,121.60,380631
23-Nov-16,121.22,121.56,119.70,120.40,1504019
22-Nov-16,121.41,121.51,120.34,120.98,1075409
21-Nov-16,122.19,122.50,120.71,121.13,798656
18-Nov-16,121.99,123.13,121.36,121.56,548935
17-Nov-16,123.23,123.54,121.90,122.02,706892
16-Nov-16,123.32,123.32,121.78,123.03,892765
15-Nov-16,121.78,122.71,120.70,122.69,990956
14-Nov-16,126.07,126.72,121.53,121.89,2509259
11-Nov-16,124.71,126.32,124.32,125.78,1807316
10-Nov-16,120.64,125.18,120.64,125.07,1805906
9-Nov-16,116.83,120.65,116.00,119.90,1221293
8-Nov-16,117.08,118.49,116.58,117.94,1250287
7-Nov-16,116.52,117.31,115.65,117.27,1665847
4-Nov-16,114.20,115.47,114.10,114.58,1344282
3-Nov-16,114.03,114.34,113.38,114.07,1244870
2-Nov-16,113.79,114.56,112.91,113.49,1377710
1-Nov-16,113.77,114.35,112.86,113.60,1758588
31-Oct-16,114.35,114.74,113.38,113.84,1394802
28-Oct-16,114.59,115.35,113.65,114.39,2106808
27-Oct-16,120.28,120.28,111.89,115.03,2488600
26-Oct-16,116.80,117.33,115.50,116.77,2010648
25-Oct-16,119.05,119.48,116.58,117.02,1552114
24-Oct-16,120.43,120.88,119.08,119.52,877131
21-Oct-16,119.26,119.91,119.13,119.71,664818
20-Oct-16,119.12,120.72,118.74,120.23,1162483
19-Oct-16,120.45,120.70,119.54,119.61,752968
18-Oct-16,121.26,121.49,119.89,120.00,879448
17-Oct-16,121.25,121.25,120.06,120.23,517023
14-Oct-16,121.56,122.15,121.03,121.23,757867
13-Oct-16,119.88,121.53,119.15,120.83,1018233
12-Oct-16,122.68,122.68,119.25,121.05,2668816
11-Oct-16,120.81,120.81,116.95,117.66,1867227
10-Oct-16,122.68,122.98,121.27,121.68,761420
7-Oct-16,123.87,124.16,122.26,122.27,881399
6-Oct-16,124.43,124.86,123.61,124.16,822039
5-Oct-16,123.64,124.82,123.03,124.49,843575
4-Oct-16,122.71,123.42,122.20,123.17,1129487
3-Oct-16,122.80,123.01,121.99,122.76,526087
30-Sep-16,122.39,123.44,122.08,122.98,901888
29-Sep-16,123.18,123.66,121.65,121.73,1199314
28-Sep-16,122.60,123.60,122.25,123.51,986575
