Date,Open,High,Low,Close,Volume
9-Dec-16,54.76,55.28,54.13,55.15,3305605
8-Dec-16,54.41,54.61,54.11,54.33,3078657
7-Dec-16,54.01,54.72,53.86,54.53,3258380
6-Dec-16,53.95,54.09,53.48,53.95,2781529
5-Dec-16,53.61,53.92,53.37,53.48,3479250
2-Dec-16,53.50,54.11,53.47,53.59,3961820
1-Dec-16,53.02,53.15,52.71,53.10,3628141
30-Nov-16,53.60,53.89,53.24,53.25,4459693
29-Nov-16,53.75,54.17,53.67,53.89,2715928
28-Nov-16,53.82,53.89,53.44,53.71,2582283
25-Nov-16,53.78,54.10,53.71,53.93,1262884
23-Nov-16,53.87,54.23,53.41,53.56,2385361
22-Nov-16,53.76,54.42,53.63,54.10,4122877
21-Nov-16,53.17,53.75,53.17,53.73,2808817
18-Nov-16,53.23,53.66,53.02,53.14,4043887
17-Nov-16,53.15,53.59,52.76,53.36,4294638
16-Nov-16,52.89,53.44,52.59,53.13,4000493
15-Nov-16,53.50,53.72,53.18,53.50,3721768
14-Nov-16,52.91,53.87,52.75,53.49,5135034
11-Nov-16,53.20,53.28,52.80,53.13,2809959
10-Nov-16,53.84,53.95,53.03,53.22,5246277
9-Nov-16,52.85,54.29,51.99,54.16,6068345
8-Nov-16,53.08,54.66,52.99,54.19,9650649
7-Nov-16,50.35,53.37,50.35,52.76,14925252
4-Nov-16,47.85,48.14,47.69,48.04,6442987
3-Nov-16,47.95,48.14,47.59,47.85,3417035
2-Nov-16,48.05,48.16,47.65,47.77,3600331
1-Nov-16,48.10,48.40,47.86,48.08,3669666
31-Oct-16,48.11,48.28,47.98,48.12,2843192
28-Oct-16,47.48,48.28,47.43,47.99,3530760
27-Oct-16,47.31,47.57,47.14,47.45,3789925
26-Oct-16,47.38,47.50,47.24,47.26,2356623
25-Oct-16,47.86,47.91,47.31,47.44,3429008
24-Oct-16,47.67,48.03,47.66,47.74,2484904
21-Oct-16,47.48,47.62,47.25,47.49,3739479
