Date,Open,High,Low,Close,Volume
9-Dec-16,118.70,119.19,117.87,119.19,2138835
8-Dec-16,118.38,119.26,118.17,118.38,2046154
7-Dec-16,116.48,118.36,116.22,117.99,2316808
6-Dec-16,116.39,116.87,115.80,116.83,1785849
5-Dec-16,116.05,116.12,114.80,115.87,2041512
2-Dec-16,114.95,115.96,114.86,115.65,1885339
1-Dec-16,114.22,115.52,113.85,115.41,2347458
30-Nov-16,113.61,114.01,113.18,113.35,2756400
29-Nov-16,113.90,114.12,113.50,113.70,1783451
28-Nov-16,113.35,114.24,113.35,113.81,1467312
25-Nov-16,113.47,113.88,113.10,113.45,686329
23-Nov-16,112.67,113.23,112.44,113.07,1004781
22-Nov-16,111.94,112.62,111.83,112.40,1647657
21-Nov-16,112.01,112.34,111.25,111.84,1388161
18-Nov-16,111.25,112.12,110.82,111.82,1718010
17-Nov-16,110.97,111.48,110.40,111.18,1505601
16-Nov-16,111.45,111.56,110.70,111.35,1717250
15-Nov-16,111.98,112.03,111.36,111.85,1823890
14-Nov-16,110.77,112.25,110.65,112.18,3220149
11-Nov-16,109.48,110.58,109.10,110.28,1962328
10-Nov-16,107.30,109.79,106.64,109.62,2748905
9-Nov-16,103.45,107.52,103.45,106.94,3662179
8-Nov-16,105.43,108.16,105.16,108.01,2082597
7-Nov-16,106.22,106.22,104.92,105.36,1804175
4-Nov-16,106.07,106.07,104.57,104.67,1864913
3-Nov-16,106.02,106.47,105.53,105.72,1691778
2-Nov-16,106.28,106.59,105.35,105.62,1718577
1-Nov-16,108.60,108.60,106.02,106.24,2564616
31-Oct-16,108.93,109.02,107.88,108.18,2162143
28-Oct-16,108.60,109.03,107.59,108.43,2245084
27-Oct-16,109.32,109.32,107.97,108.02,2545986
26-Oct-16,108.73,109.33,108.04,108.82,2644584
25-Oct-16,109.36,109.90,108.77,109.03,2569774
24-Oct-16,109.10,109.48,108.83,109.07,2524826
21-Oct-16,108.53,109.22,106.86,108.35,3768289
20-Oct-16,112.83,113.51,109.25,109.52,4606513
19-Oct-16,115.66,116.91,115.12,116.23,2728791
18-Oct-16,116.14,116.19,114.99,115.18,1454045
17-Oct-16,115.00,115.43,114.72,114.98,1349961
14-Oct-16,115.84,116.20,115.08,115.08,1350619
13-Oct-16,114.99,115.31,114.15,115.06,1237549
12-Oct-16,113.92,115.53,113.73,115.35,1468104
11-Oct-16,114.48,114.87,113.67,114.00,1180736
10-Oct-16,114.94,115.47,114.63,115.14,803592
7-Oct-16,113.77,114.85,113.52,114.53,1604520
6-Oct-16,113.19,113.43,112.11,113.18,1336523
5-Oct-16,112.94,113.51,112.49,113.10,1098659
4-Oct-16,113.31,113.31,111.27,112.32,1532680
3-Oct-16,114.27,114.42,112.60,113.00,1234620
30-Sep-16,114.18,115.06,114.18,114.55,1361208
29-Sep-16,114.81,115.06,113.64,113.87,1212640
28-Sep-16,114.70,115.09,114.18,115.01,862025
27-Sep-16,113.89,114.80,113.74,114.41,1758557
26-Sep-16,115.07,115.07,113.77,113.94,1617972
23-Sep-16,116.63,116.68,115.31,115.31,1141120
22-Sep-16,116.42,116.98,116.13,116.73,1107009
21-Sep-16,114.89,115.98,114.60,115.93,1496573
20-Sep-16,115.87,115.92,114.72,114.79,1080903
19-Sep-16,115.13,116.00,114.42,115.09,1227540
16-Sep-16,114.51,115.10,113.60,114.67,3499756
15-Sep-16,113.47,115.22,113.47,114.94,1391921
14-Sep-16,114.39,114.50,113.48,113.71,1612085
13-Sep-16,114.36,114.81,113.95,114.26,1664137
12-Sep-16,114.13,115.75,113.70,115.52,2343772
9-Sep-16,116.38,116.38,114.42,114.44,2010893
8-Sep-16,118.04,118.34,116.89,116.90,1584956
7-Sep-16,118.49,118.87,118.25,118.68,1149599
6-Sep-16,118.52,119.31,118.39,119.29,1156408
2-Sep-16,118.06,119.32,118.06,118.84,1090336
1-Sep-16,118.90,118.90,117.67,118.35,1462458
31-Aug-16,118.21,119.05,118.02,118.71,1589647
30-Aug-16,117.16,119.10,117.16,118.47,1482418
29-Aug-16,117.63,118.72,117.49,118.48,1277833
26-Aug-16,118.07,118.80,116.64,117.14,1578970
25-Aug-16,117.13,118.05,116.98,117.75,823103
24-Aug-16,116.66,117.24,115.97,117.11,1013986
23-Aug-16,117.28,117.70,116.61,116.63,870964
22-Aug-16,117.40,117.40,116.31,116.95,1137234
19-Aug-16,117.38,117.61,116.98,117.47,1108625
18-Aug-16,117.37,117.82,117.05,117.82,1271362
17-Aug-16,117.10,117.63,116.61,117.42,1224235
16-Aug-16,117.94,118.44,116.98,116.98,1102829
15-Aug-16,118.58,118.75,118.08,118.35,1029741
12-Aug-16,118.58,118.86,118.37,118.51,815691
11-Aug-16,118.70,118.90,118.36,118.60,986930
10-Aug-16,117.95,118.36,117.82,118.23,953712
9-Aug-16,118.30,118.53,118.09,118.18,976895
8-Aug-16,118.42,118.85,117.70,118.15,1226524
5-Aug-16,118.41,118.76,117.96,118.58,1236042
4-Aug-16,118.10,118.45,117.50,117.88,1905130
3-Aug-16,117.28,117.99,117.13,117.98,1337860
2-Aug-16,116.71,117.16,116.51,117.03,1106304
1-Aug-16,116.26,116.90,116.00,116.81,1509090
29-Jul-16,117.34,117.68,116.13,116.22,2169132
28-Jul-16,116.58,117.68,116.21,117.61,1268336
27-Jul-16,117.14,117.50,116.19,116.43,1976870
26-Jul-16,117.71,118.13,117.00,117.65,1358112
25-Jul-16,117.00,117.53,116.47,117.45,1265545
22-Jul-16,116.72,117.61,115.87,117.15,1068025
21-Jul-16,116.39,116.87,115.00,116.72,1807349
