Date,Open,High,Low,Close,Volume
9-Dec-16,90.81,90.92,89.64,90.18,1773748
8-Dec-16,92.34,93.02,90.13,90.94,2535894
7-Dec-16,88.75,93.06,88.52,92.00,3037832
6-Dec-16,88.25,89.40,87.42,88.73,2751526
5-Dec-16,85.53,88.79,85.21,88.61,4794828
2-Dec-16,82.59,85.30,82.47,84.91,2510815
1-Dec-16,82.18,83.78,81.35,82.21,2208691
30-Nov-16,82.51,83.33,80.56,81.35,3846514
29-Nov-16,83.66,84.57,81.90,82.16,2354649
28-Nov-16,86.40,86.40,84.12,84.36,1614466
25-Nov-16,86.12,86.66,85.65,86.48,880766
23-Nov-16,86.96,87.55,85.67,86.04,1818279
22-Nov-16,85.17,87.82,84.54,87.25,3108177
21-Nov-16,84.24,84.94,82.42,84.70,3596823
18-Nov-16,85.86,85.86,83.12,83.22,3917544
17-Nov-16,87.84,90.54,85.80,86.56,8929123
16-Nov-16,86.11,87.40,85.62,85.74,1478859
15-Nov-16,86.67,87.12,85.14,86.03,1568186
14-Nov-16,85.40,86.53,84.71,86.31,1786690
11-Nov-16,84.32,85.56,82.82,85.38,1435880
10-Nov-16,83.24,85.77,83.20,84.61,2766449
9-Nov-16,79.29,83.80,79.03,83.24,2488548
8-Nov-16,80.25,80.83,79.55,79.96,1159632
7-Nov-16,80.87,81.63,79.86,80.43,1339356
4-Nov-16,79.66,81.25,79.17,79.92,1308353
3-Nov-16,80.00,80.66,78.32,79.66,1685425
2-Nov-16,82.50,82.90,79.01,79.94,2757606
1-Nov-16,88.48,88.81,82.60,83.17,3996836
31-Oct-16,83.12,85.36,83.05,84.97,2255366
28-Oct-16,82.77,83.93,82.08,83.52,1495232
27-Oct-16,84.39,84.55,83.07,83.21,1400542
26-Oct-16,82.32,84.41,82.26,84.33,1527439
25-Oct-16,82.07,82.95,81.17,82.80,1559072
24-Oct-16,81.91,82.43,81.25,81.90,1169253
21-Oct-16,80.26,81.99,79.78,81.80,1581183
20-Oct-16,79.33,80.97,79.09,80.85,1926674
19-Oct-16,82.23,82.42,79.50,79.82,2188082
18-Oct-16,81.30,82.93,81.03,81.44,1519072
17-Oct-16,81.50,82.42,80.17,80.47,1394781
14-Oct-16,82.30,82.60,80.84,81.66,1410919
13-Oct-16,80.00,81.99,79.56,81.76,1728057
12-Oct-16,81.28,81.28,79.83,80.74,1524063
11-Oct-16,81.44,82.68,80.59,81.27,1826212
10-Oct-16,80.81,81.15,80.06,80.31,1388560
7-Oct-16,81.61,81.93,78.86,79.98,1531407
6-Oct-16,82.00,82.60,80.95,81.28,2086301
5-Oct-16,80.98,83.44,80.94,82.41,1966538
4-Oct-16,79.68,81.30,79.68,80.24,1860159
3-Oct-16,79.27,79.98,78.49,79.43,1607518
30-Sep-16,77.99,79.89,76.92,79.56,2529543
29-Sep-16,82.21,83.12,76.70,77.57,4538295
28-Sep-16,83.52,84.27,82.06,82.86,2402955
27-Sep-16,81.36,83.16,80.78,82.89,1922970
26-Sep-16,83.73,84.32,81.62,81.85,2339079
23-Sep-16,82.78,84.12,82.50,83.61,2227209
22-Sep-16,82.13,83.74,82.03,82.95,1871792
21-Sep-16,81.75,82.47,80.13,81.79,2624156
20-Sep-16,83.21,83.28,81.02,81.02,2445524
19-Sep-16,82.35,84.89,81.65,83.54,2733628
16-Sep-16,80.85,82.98,80.84,81.98,2575313
15-Sep-16,79.74,82.39,79.74,81.25,2241234
14-Sep-16,81.46,82.68,79.52,79.76,3346957
13-Sep-16,81.12,81.90,80.45,81.15,2073931
12-Sep-16,78.78,81.85,78.13,81.54,3313588
9-Sep-16,80.98,81.75,79.13,79.14,3750116
8-Sep-16,80.00,81.82,79.40,81.50,3645248
7-Sep-16,76.71,79.75,76.42,79.68,4312243
6-Sep-16,74.81,76.71,74.65,76.65,2270321
2-Sep-16,73.87,74.72,72.95,74.55,1957385
1-Sep-16,75.29,75.41,73.03,73.31,2325103
31-Aug-16,75.63,76.82,74.59,75.42,2560797
30-Aug-16,74.07,75.88,73.57,75.83,2057261
29-Aug-16,73.50,74.29,73.38,73.75,2097498
26-Aug-16,74.05,74.89,73.01,73.95,1735407
25-Aug-16,75.90,75.90,73.57,74.10,2792851
24-Aug-16,75.11,76.12,74.83,75.90,1936371
23-Aug-16,74.66,76.01,74.46,75.15,1799745
22-Aug-16,75.49,75.60,73.81,74.42,1716212
19-Aug-16,75.25,76.30,74.91,76.07,1491537
18-Aug-16,75.93,76.08,74.37,75.75,2390546
17-Aug-16,76.79,77.23,75.62,75.85,2293985
16-Aug-16,76.23,77.13,76.05,76.92,1765443
15-Aug-16,75.83,76.50,75.09,76.40,1521117
12-Aug-16,76.34,76.35,74.62,75.37,1770051
11-Aug-16,76.24,76.88,74.68,75.99,2660168
10-Aug-16,76.49,77.57,75.35,75.76,2223862
9-Aug-16,77.67,77.69,75.23,76.49,2007842
8-Aug-16,75.45,77.85,75.15,77.47,3025245
5-Aug-16,74.27,75.57,74.27,74.71,2403700
