Date,Open,High,Low,Close,Volume
9-Dec-16,43.84,43.87,43.36,43.56,1627837
8-Dec-16,43.81,44.48,43.67,44.09,1409606
7-Dec-16,42.91,43.54,42.76,43.44,1417836
6-Dec-16,43.01,43.17,42.66,42.85,2135869
5-Dec-16,43.08,43.40,42.74,42.87,1504893
2-Dec-16,42.92,43.01,42.47,42.72,1191355
1-Dec-16,42.60,43.24,42.57,43.07,2796904
30-Nov-16,43.18,43.25,42.14,42.27,2700926
29-Nov-16,42.24,42.48,42.00,42.02,1217169
28-Nov-16,42.35,42.77,42.00,42.11,2216171
25-Nov-16,42.99,43.08,42.67,42.89,511403
23-Nov-16,43.47,43.47,42.68,43.04,1393608
22-Nov-16,42.72,42.86,42.37,42.60,1663259
21-Nov-16,42.92,42.92,42.16,42.56,1715470
18-Nov-16,42.51,42.67,42.09,42.55,1497865
17-Nov-16,41.60,42.61,41.48,42.54,1867050
16-Nov-16,41.98,42.11,41.40,41.47,1871514
15-Nov-16,41.14,42.26,40.96,42.25,1953922
14-Nov-16,40.96,41.90,40.90,41.43,2216303
11-Nov-16,39.79,40.44,39.63,40.39,2782053
10-Nov-16,40.08,41.21,39.88,40.00,5385908
9-Nov-16,38.33,40.08,36.97,39.35,5287500
8-Nov-16,36.42,36.80,36.24,36.54,2357409
7-Nov-16,36.46,36.87,36.33,36.52,2141152
4-Nov-16,36.34,36.57,35.79,35.79,1646195
3-Nov-16,35.81,36.63,35.81,36.34,2872336
2-Nov-16,35.20,35.74,35.16,35.64,2932284
1-Nov-16,35.66,36.10,34.91,35.38,2103656
31-Oct-16,35.36,35.69,35.26,35.40,1581743
28-Oct-16,36.26,36.29,35.01,35.18,2180706
27-Oct-16,36.86,36.90,35.99,36.19,3530892
26-Oct-16,35.10,35.54,34.82,35.32,2108900
25-Oct-16,35.83,35.93,35.23,35.28,1803497
24-Oct-16,36.19,36.26,35.68,35.81,1332192
21-Oct-16,36.03,36.09,35.78,35.97,1318910
20-Oct-16,36.49,36.78,36.31,36.45,1412965
19-Oct-16,36.64,36.82,36.55,36.61,954614
18-Oct-16,36.80,36.97,36.49,36.55,779969
17-Oct-16,36.49,36.65,36.32,36.46,1518119
14-Oct-16,36.50,36.96,36.31,36.37,1902627
13-Oct-16,36.44,36.49,35.85,36.05,3068580
12-Oct-16,36.70,36.98,36.57,36.87,1295753
11-Oct-16,36.49,36.89,36.34,36.64,2267793
10-Oct-16,36.67,36.81,36.42,36.55,1104490
7-Oct-16,36.48,36.71,36.05,36.33,1247837
6-Oct-16,36.61,36.93,36.27,36.58,1047695
5-Oct-16,35.85,36.68,35.79,36.41,1372003
4-Oct-16,35.30,35.72,35.25,35.65,1695555
3-Oct-16,35.06,35.33,34.96,35.10,990506
30-Sep-16,34.90,35.50,34.69,35.31,1200601
29-Sep-16,35.11,35.50,34.55,34.69,1093694
28-Sep-16,35.07,35.37,34.68,35.22,932052
27-Sep-16,34.19,34.88,33.98,34.85,1817533
