Date,Open,High,Low,Close,Volume
9-Dec-16,104.89,105.48,104.03,104.99,4098752
8-Dec-16,106.32,106.62,104.74,105.37,3862023
7-Dec-16,103.49,106.50,102.72,106.33,4936148
6-Dec-16,103.00,103.31,102.30,103.15,3228379
5-Dec-16,103.32,103.75,102.81,102.84,3459291
2-Dec-16,103.38,103.60,102.02,102.65,3510987
1-Dec-16,101.84,103.96,101.61,103.39,4748212
30-Nov-16,101.36,102.73,101.26,101.33,6190737
29-Nov-16,100.53,101.05,100.10,100.57,2945866
28-Nov-16,101.32,101.39,100.43,100.69,3533805
25-Nov-16,101.45,102.16,101.13,102.10,1680892
23-Nov-16,100.71,101.70,100.66,101.39,3154390
22-Nov-16,101.10,101.22,100.39,100.49,3350906
21-Nov-16,100.10,101.63,100.00,100.75,3385295
18-Nov-16,98.93,100.00,98.60,99.83,3653396
17-Nov-16,97.72,98.94,97.48,98.81,4377253
16-Nov-16,98.38,99.06,97.72,98.01,2866059
15-Nov-16,99.18,99.54,97.92,99.11,4263230
14-Nov-16,97.52,100.63,97.51,99.43,6616974
11-Nov-16,97.05,97.70,95.67,96.88,6664208
10-Nov-16,95.13,98.79,95.03,97.49,8952910
9-Nov-16,87.88,94.96,87.88,93.95,9655178
8-Nov-16,90.79,90.96,89.72,90.60,4268481
7-Nov-16,90.00,90.88,89.85,90.75,4556539
4-Nov-16,88.70,89.48,88.38,88.76,3745735
3-Nov-16,88.68,89.64,88.25,88.77,4468624
2-Nov-16,88.08,89.31,87.74,88.69,4437434
1-Nov-16,88.65,88.89,87.06,87.89,3980465
31-Oct-16,88.75,89.07,88.11,88.18,3681197
28-Oct-16,88.94,89.32,87.79,88.37,3784440
27-Oct-16,89.21,89.39,88.58,88.82,4367098
26-Oct-16,90.02,90.02,88.63,89.05,4750218
25-Oct-16,89.73,90.42,89.15,89.99,5599063
24-Oct-16,90.78,91.49,89.77,89.88,7037950
21-Oct-16,89.57,91.50,89.37,90.37,8288705
20-Oct-16,94.40,95.00,89.81,90.64,16101886
19-Oct-16,96.65,98.44,96.26,97.12,3707266
18-Oct-16,97.60,98.07,96.67,96.72,3565833
17-Oct-16,96.71,97.12,96.44,96.77,2363346
14-Oct-16,97.07,98.26,96.83,96.84,4927443
13-Oct-16,95.39,97.11,94.30,96.74,4312261
12-Oct-16,96.74,96.80,95.57,95.91,3419728
11-Oct-16,97.32,97.48,96.01,96.54,4202412
10-Oct-16,98.52,98.72,97.26,97.35,3041851
7-Oct-16,98.42,98.64,97.31,98.07,3275299
6-Oct-16,98.36,98.80,97.95,98.35,3088733
5-Oct-16,97.21,98.84,96.98,98.54,3225349
4-Oct-16,97.57,98.16,96.57,96.67,2626283
3-Oct-16,97.18,97.89,97.06,97.35,2378679
30-Sep-16,96.78,98.00,96.61,97.53,5190834
29-Sep-16,96.24,96.79,95.50,95.96,2671884
28-Sep-16,94.98,96.23,94.94,96.16,2533466
27-Sep-16,94.13,95.36,93.79,94.85,3167357
26-Sep-16,94.11,94.46,93.53,94.18,3625109
23-Sep-16,94.78,94.93,94.22,94.33,2912890
22-Sep-16,95.78,96.17,95.03,95.08,2960852
21-Sep-16,93.61,95.22,93.61,95.03,2523985
20-Sep-16,93.53,93.68,92.91,93.14,2477440
19-Sep-16,92.97,93.68,92.73,93.09,3195742
16-Sep-16,92.50,93.14,91.76,92.38,5185704
15-Sep-16,92.28,93.24,91.32,92.94,3402644
14-Sep-16,92.38,93.33,92.20,92.72,2883876
13-Sep-16,93.05,93.63,91.98,92.44,3717155
12-Sep-16,91.91,94.70,91.47,93.81,4670682
9-Sep-16,95.44,96.06,92.72,92.72,4321088
8-Sep-16,96.30,96.85,95.75,96.63,2096343
7-Sep-16,95.69,97.05,95.69,96.28,2437461
6-Sep-16,95.63,96.09,95.24,95.97,2269090
2-Sep-16,95.61,95.95,94.87,95.28,2095882
1-Sep-16,95.64,95.98,94.68,95.29,2068143
31-Aug-16,95.33,95.88,94.65,95.53,2864139
30-Aug-16,96.00,96.28,95.48,95.85,2427253
29-Aug-16,94.86,96.18,94.40,96.06,2746204
26-Aug-16,95.35,95.98,94.74,95.12,2531777
25-Aug-16,95.32,95.82,94.96,95.08,1853032
24-Aug-16,96.01,96.06,95.27,95.48,2504179
23-Aug-16,95.91,96.23,95.58,96.01,2301131
22-Aug-16,95.30,95.80,95.06,95.33,1947891
19-Aug-16,95.69,95.85,95.27,95.68,3027181
18-Aug-16,94.17,96.05,93.63,95.83,5063393
17-Aug-16,92.77,94.64,92.65,94.57,4718492
16-Aug-16,92.21,93.00,91.88,92.89,3787453
15-Aug-16,92.46,93.27,92.28,92.50,2734009
12-Aug-16,92.67,92.67,91.74,91.90,2899244
11-Aug-16,92.72,93.45,92.61,92.96,2525110
10-Aug-16,93.41,93.45,92.22,92.44,2568238
9-Aug-16,93.75,94.18,93.00,93.07,2416526
8-Aug-16,93.88,94.95,93.67,93.86,2491911
5-Aug-16,93.17,94.65,92.62,93.85,3146705
4-Aug-16,92.37,93.09,91.94,92.67,2245940
3-Aug-16,91.54,93.19,91.40,92.87,3907395
2-Aug-16,92.39,92.59,90.68,91.30,3786974
1-Aug-16,92.92,93.65,92.41,93.06,2797409
29-Jul-16,92.55,93.31,92.26,93.05,2801094
28-Jul-16,91.44,93.41,91.07,93.08,3104119
27-Jul-16,92.73,92.95,90.94,91.63,3523143
26-Jul-16,92.38,93.01,91.83,93.01,2890131
25-Jul-16,92.71,92.76,91.86,92.28,2744520
22-Jul-16,90.87,93.02,90.29,92.85,4208536
21-Jul-16,91.00,92.30,90.72,90.93,6661076
20-Jul-16,92.73,94.32,92.49,94.12,4245006
19-Jul-16,93.46,94.05,92.88,93.95,3351325
18-Jul-16,93.98,94.36,93.08,94.12,2721159
15-Jul-16,94.97,95.34,93.71,93.98,4030880
14-Jul-16,94.92,96.00,94.42,94.70,5332148
13-Jul-16,92.55,94.79,92.04,94.14,5898876
12-Jul-16,91.78,92.72,91.43,92.06,4120819
11-Jul-16,90.71,91.63,90.69,91.39,5423185
8-Jul-16,88.94,91.29,88.47,90.69,6448508
7-Jul-16,87.99,88.47,87.58,88.03,4798736
6-Jul-16,86.59,87.52,86.01,87.44,3740501
5-Jul-16,86.85,87.49,86.77,87.16,4305715
1-Jul-16,87.25,88.19,87.12,87.34,3772738
30-Jun-16,86.74,87.39,84.80,87.25,5839474
