Date,Open,High,Low,Close,Volume
9-Dec-16,51.90,52.08,51.59,52.04,8612883
8-Dec-16,51.56,52.29,51.56,51.90,10423462
7-Dec-16,50.74,51.40,50.49,51.36,9558952
6-Dec-16,50.53,50.77,50.23,50.73,9259103
5-Dec-16,50.41,50.63,50.19,50.36,7209623
2-Dec-16,50.35,50.42,49.84,50.00,5864800
1-Dec-16,49.81,50.62,49.63,50.39,10571287
30-Nov-16,49.57,49.77,49.43,49.62,6887102
29-Nov-16,49.12,49.35,49.01,49.10,5726555
28-Nov-16,49.14,49.45,48.78,48.90,5887308
25-Nov-16,49.36,49.50,49.12,49.42,2631496
23-Nov-16,49.30,49.50,49.08,49.35,7054399
22-Nov-16,49.27,49.57,48.76,49.03,10580088
21-Nov-16,49.32,49.39,49.01,49.28,5184051
18-Nov-16,48.74,49.40,48.66,49.23,9090546
17-Nov-16,48.10,48.77,47.98,48.68,9369781
16-Nov-16,47.59,48.39,47.59,47.87,10900937
15-Nov-16,48.26,48.73,48.04,48.70,13446676
14-Nov-16,48.07,48.75,47.81,48.73,15228080
11-Nov-16,47.57,47.96,47.42,47.90,9661099
10-Nov-16,47.05,48.50,46.98,47.61,17493969
9-Nov-16,45.45,46.93,45.13,46.67,14953341
8-Nov-16,44.78,45.09,44.59,44.98,4516325
7-Nov-16,44.66,44.93,44.65,44.92,6908844
4-Nov-16,44.15,44.40,43.82,43.93,6284059
3-Nov-16,44.01,44.48,43.92,44.05,5532838
2-Nov-16,44.24,44.33,43.92,44.00,7793969
1-Nov-16,44.88,45.00,44.10,44.46,9440337
31-Oct-16,44.82,44.96,44.69,44.76,7262159
28-Oct-16,44.79,44.90,44.39,44.64,8548425
27-Oct-16,44.43,45.14,44.38,44.70,12715565
26-Oct-16,43.72,44.37,43.70,44.23,6012469
25-Oct-16,43.96,44.17,43.78,43.84,5589554
24-Oct-16,44.08,44.15,43.94,44.02,4919544
21-Oct-16,43.59,43.89,43.50,43.85,6422391
20-Oct-16,43.59,44.09,43.52,43.95,8553044
19-Oct-16,44.19,44.19,42.85,43.58,10319343
18-Oct-16,43.14,43.20,42.83,43.01,6297949
17-Oct-16,42.88,43.06,42.52,42.72,6288114
14-Oct-16,43.32,43.44,42.72,42.85,5785382
13-Oct-16,43.01,43.01,42.37,42.88,6522003
12-Oct-16,43.36,43.68,43.28,43.40,4025201
11-Oct-16,43.79,43.84,43.06,43.29,6334699
10-Oct-16,43.92,43.99,43.67,43.80,4797371
7-Oct-16,43.89,43.96,43.39,43.70,6560314
6-Oct-16,43.75,44.00,43.45,43.89,12170205
5-Oct-16,43.06,43.81,43.02,43.65,6858522
4-Oct-16,42.74,43.15,42.50,42.85,8364680
3-Oct-16,42.69,42.82,42.45,42.66,5421920
30-Sep-16,42.70,43.16,42.58,42.89,7613621
29-Sep-16,42.66,43.24,42.35,42.48,7683871
28-Sep-16,42.79,42.97,42.38,42.81,4482646
27-Sep-16,42.32,42.92,42.17,42.90,6747795
26-Sep-16,42.69,42.78,42.40,42.47,8526228
23-Sep-16,42.75,43.27,42.70,42.96,5960313
22-Sep-16,43.37,43.54,43.12,43.17,4788200
21-Sep-16,43.25,43.43,42.97,43.26,7157051
20-Sep-16,43.18,43.25,42.82,43.02,7091991
19-Sep-16,42.74,43.12,42.58,42.86,5492619
16-Sep-16,42.73,42.79,42.41,42.60,9204925
15-Sep-16,42.44,43.11,42.18,43.03,10511072
14-Sep-16,43.16,43.44,42.86,42.92,6161420
13-Sep-16,43.31,43.46,42.96,43.23,7898552
12-Sep-16,43.19,43.91,42.83,43.80,9275984
9-Sep-16,43.84,43.96,43.41,43.41,6671213
8-Sep-16,43.63,43.94,43.58,43.84,6421655
7-Sep-16,43.74,43.88,43.57,43.66,7524192
6-Sep-16,44.12,44.18,43.61,43.86,6601841
2-Sep-16,44.20,44.22,43.93,44.16,4257445
1-Sep-16,44.25,44.26,43.66,44.03,5195535
31-Aug-16,44.10,44.23,43.75,44.15,6994746
30-Aug-16,43.82,44.10,43.78,44.08,5560605
29-Aug-16,43.51,44.11,43.51,43.84,7241274
26-Aug-16,43.45,43.63,43.18,43.40,6590665
25-Aug-16,43.28,43.55,43.25,43.40,5771885
24-Aug-16,43.50,43.66,43.16,43.24,8589783
23-Aug-16,43.45,43.66,43.43,43.44,4160538
22-Aug-16,43.20,43.40,43.16,43.37,3386637
19-Aug-16,43.16,43.41,43.01,43.35,3977552
18-Aug-16,43.11,43.29,43.04,43.22,4652549
17-Aug-16,43.08,43.38,43.02,43.22,6347953
16-Aug-16,42.74,43.13,42.72,43.02,4833035
15-Aug-16,42.77,43.04,42.77,42.98,5279100
12-Aug-16,42.48,42.77,42.39,42.73,4349232
11-Aug-16,42.66,42.92,42.42,42.82,6211571
10-Aug-16,42.94,42.99,42.44,42.50,3746842
9-Aug-16,42.94,43.05,42.73,42.83,3698294
8-Aug-16,42.99,43.15,42.86,42.94,4461190
5-Aug-16,42.63,42.97,42.37,42.97,7568899
4-Aug-16,42.03,42.26,41.96,42.03,4167689
3-Aug-16,41.55,42.25,41.47,42.13,6723229
2-Aug-16,41.51,41.68,41.12,41.43,5858271
1-Aug-16,42.15,42.22,41.61,41.68,5488901
29-Jul-16,41.92,42.34,41.92,42.17,5802687
28-Jul-16,41.88,42.20,41.70,42.08,3934941
27-Jul-16,41.96,42.20,41.87,42.01,5483498
26-Jul-16,41.82,42.14,41.77,41.97,4879463
25-Jul-16,42.10,42.18,41.79,41.97,4752829
22-Jul-16,41.98,42.24,41.83,42.19,5021510
21-Jul-16,41.97,42.18,41.83,41.88,5160261
20-Jul-16,42.10,42.16,41.90,41.97,4924347
19-Jul-16,41.71,42.04,41.60,41.97,6774574
18-Jul-16,41.73,42.09,41.73,41.88,8616154
15-Jul-16,42.40,42.50,41.44,41.89,9964732
14-Jul-16,41.38,41.51,41.17,41.25,12183364
13-Jul-16,40.75,40.90,40.47,40.63,6239897
12-Jul-16,40.56,40.86,40.53,40.67,6378092
11-Jul-16,40.40,40.52,40.24,40.30,4417223
8-Jul-16,39.84,40.26,39.84,40.09,6015163
7-Jul-16,39.16,39.62,39.02,39.23,5510582
6-Jul-16,38.73,39.32,38.63,39.20,6255745
5-Jul-16,39.67,39.78,38.90,39.06,5955852
1-Jul-16,40.15,40.26,39.91,40.06,4684419
30-Jun-16,39.97,40.34,39.59,40.33,8765097
29-Jun-16,39.59,39.75,39.14,39.68,6242185
28-Jun-16,39.09,39.22,38.48,39.08,10100584
27-Jun-16,39.23,39.26,38.49,38.69,13020329
24-Jun-16,40.22,41.12,39.83,39.86,13335733
23-Jun-16,41.92,42.24,41.88,42.23,7393729
22-Jun-16,41.35,41.86,41.32,41.35,4486938
21-Jun-16,41.48,41.51,41.09,41.37,4447771
20-Jun-16,41.75,42.00,41.16,41.22,5766545
17-Jun-16,41.06,41.32,40.79,41.11,8413002
16-Jun-16,40.65,41.08,40.34,41.06,6459216
15-Jun-16,41.25,41.62,40.98,41.02,7863875
14-Jun-16,41.53,41.77,40.94,41.19,8446008
13-Jun-16,41.71,42.12,41.67,41.68,6688722
10-Jun-16,42.03,42.22,41.87,41.96,7329345
9-Jun-16,42.46,42.58,42.03,42.54,5936909
8-Jun-16,42.64,43.01,42.63,42.81,5018131
7-Jun-16,42.94,43.00,42.66,42.66,7263993
6-Jun-16,42.45,43.15,42.31,42.88,7748602
3-Jun-16,42.28,42.51,41.77,42.37,11485567
2-Jun-16,42.88,43.10,42.70,43.06,4216540
1-Jun-16,42.45,43.06,42.33,43.00,5170828
31-May-16,43.16,43.20,42.65,42.82,6605756
27-May-16,42.78,42.95,42.63,42.95,3905024
26-May-16,42.91,43.05,42.59,42.67,4371977
25-May-16,42.58,43.23,42.52,42.96,7807453
24-May-16,42.01,42.48,41.86,42.28,5611225
23-May-16,41.75,41.87,41.42,41.66,6422288
20-May-16,41.74,42.20,41.64,41.74,5781258
19-May-16,41.40,41.70,41.02,41.52,9539800
18-May-16,40.75,41.77,40.70,41.62,12624334
17-May-16,41.38,41.43,40.57,40.72,14330061
16-May-16,41.24,41.96,41.12,41.69,13572296
13-May-16,41.79,42.11,41.23,41.43,6954383
12-May-16,42.12,42.31,41.70,41.94,7285079
11-May-16,41.90,42.38,41.87,41.87,5812625
10-May-16,41.74,42.16,41.66,42.06,6404410
9-May-16,41.61,42.00,41.48,41.54,4297081
6-May-16,41.41,41.81,41.36,41.78,5306419
5-May-16,41.82,42.00,41.54,41.65,5947599
4-May-16,42.04,42.28,41.39,41.72,8812167
3-May-16,42.33,42.56,42.00,42.50,6568217
2-May-16,43.02,43.16,42.62,42.97,8855494
29-Apr-16,42.83,43.08,42.47,42.69,10544522
28-Apr-16,43.04,43.56,42.93,43.13,6641440
27-Apr-16,43.38,43.94,43.26,43.53,9686127
26-Apr-16,43.08,43.49,42.91,43.37,7892055
25-Apr-16,43.03,43.18,42.76,43.05,8604717
22-Apr-16,42.70,43.43,42.61,43.30,9224011
21-Apr-16,42.65,42.80,42.40,42.56,10082306
20-Apr-16,41.96,42.94,41.79,42.73,9568927
19-Apr-16,41.48,41.92,41.39,41.91,11361464
18-Apr-16,41.03,41.30,40.84,41.21,7566170
15-Apr-16,41.45,41.56,40.95,41.10,7041578
14-Apr-16,41.00,41.65,40.92,41.28,9317492
13-Apr-16,40.77,41.42,40.67,41.10,10461020
12-Apr-16,39.74,40.35,39.54,40.26,7653069
11-Apr-16,39.58,40.04,39.41,39.53,7313852
8-Apr-16,39.48,39.85,39.28,39.38,4988667
7-Apr-16,39.75,39.81,38.83,39.10,8338079
6-Apr-16,39.90,40.13,39.57,40.09,5286781
5-Apr-16,40.25,40.41,39.84,40.05,6223931
4-Apr-16,40.68,40.85,40.42,40.68,4683397
1-Apr-16,40.31,40.78,40.00,40.70,5209263
31-Mar-16,40.86,41.03,40.47,40.59,6573958
30-Mar-16,40.61,41.21,40.54,40.99,6293156
29-Mar-16,40.31,40.47,39.79,40.39,5840649
28-Mar-16,40.84,40.96,40.52,40.69,4147041
24-Mar-16,40.73,40.84,40.46,40.78,6330961
23-Mar-16,41.20,41.53,41.06,41.19,6708570
22-Mar-16,41.02,41.54,40.81,41.32,5751536
21-Mar-16,41.23,41.49,41.06,41.38,5201381
18-Mar-16,41.00,41.42,40.86,41.32,10073741
17-Mar-16,40.38,40.78,40.05,40.69,6824025
16-Mar-16,40.64,41.12,40.37,40.54,5932628
15-Mar-16,40.14,40.84,40.07,40.79,7049639
14-Mar-16,40.47,40.59,39.97,40.49,6349508
11-Mar-16,39.93,40.49,39.61,40.46,7754049
10-Mar-16,39.94,40.19,39.08,39.51,7442915
9-Mar-16,40.14,40.14,39.62,39.76,5476190
8-Mar-16,40.22,40.38,39.74,39.85,6069301
7-Mar-16,40.65,40.93,40.49,40.77,4284817
4-Mar-16,40.91,41.21,40.61,41.03,6128022
3-Mar-16,40.48,40.78,40.22,40.77,5694844
2-Mar-16,39.99,40.53,39.84,40.53,7463986
1-Mar-16,38.69,39.90,38.69,39.90,6569144
29-Feb-16,39.25,39.31,38.51,38.52,7391984
26-Feb-16,39.49,39.77,39.08,39.29,7200011
25-Feb-16,38.62,39.14,38.47,39.14,6335553
24-Feb-16,38.27,38.54,37.48,38.44,9219984
23-Feb-16,39.95,40.08,38.82,38.87,9191394
22-Feb-16,40.10,40.39,40.00,40.23,8154947
19-Feb-16,39.28,39.72,39.06,39.46,10909471
18-Feb-16,40.09,40.14,39.31,39.49,7669539
17-Feb-16,40.61,40.71,40.07,40.12,7859463
16-Feb-16,39.65,40.52,39.28,40.19,11161020
12-Feb-16,38.24,39.15,38.00,39.10,12370012
11-Feb-16,38.00,38.08,37.07,37.45,12408138
10-Feb-16,39.94,40.29,39.02,39.04,9328258
9-Feb-16,38.84,39.71,38.52,39.40,12689661
8-Feb-16,39.67,40.04,38.97,39.53,13872707
5-Feb-16,40.20,40.55,39.94,40.09,10179225
4-Feb-16,39.28,40.20,39.17,40.11,9262521
3-Feb-16,38.93,39.34,37.98,39.28,10452411
2-Feb-16,39.27,39.27,38.59,38.75,6971989
1-Feb-16,39.89,40.02,39.55,39.80,6240088
29-Jan-16,39.31,40.08,39.20,40.06,11630565
28-Jan-16,39.51,39.80,39.00,39.22,8983635
27-Jan-16,39.12,39.99,38.83,39.18,7611672
26-Jan-16,38.44,39.27,38.29,39.02,7655436
25-Jan-16,39.29,39.35,38.23,38.29,10228452
22-Jan-16,39.30,39.63,39.03,39.37,8942869
21-Jan-16,38.94,39.45,38.50,38.52,12501605
20-Jan-16,38.30,39.33,38.26,38.87,13473022
19-Jan-16,39.47,39.87,38.75,39.13,11311262
