Date,Open,High,Low,Close,Volume
9-Dec-16,90.57,91.38,90.45,91.24,526099
8-Dec-16,90.30,90.73,89.97,90.54,734712
7-Dec-16,89.32,90.54,88.58,90.22,757982
6-Dec-16,90.50,90.70,88.67,89.78,634209
5-Dec-16,90.40,90.54,89.71,90.10,1110999
2-Dec-16,89.27,90.00,88.51,89.78,557818
1-Dec-16,89.95,90.18,88.43,88.67,719253
30-Nov-16,91.30,91.36,89.35,89.83,877115
29-Nov-16,91.09,91.87,91.09,91.36,520549
28-Nov-16,91.66,92.13,91.00,91.08,629746
25-Nov-16,91.89,92.45,91.60,92.14,317563
23-Nov-16,89.76,91.62,89.50,91.62,621019
22-Nov-16,89.33,90.04,88.59,89.99,637667
21-Nov-16,88.35,89.83,88.35,89.66,658576
18-Nov-16,89.28,89.98,87.99,88.25,1659820
17-Nov-16,88.73,89.65,88.73,89.52,579073
16-Nov-16,89.22,89.60,88.44,88.62,714988
15-Nov-16,88.11,89.56,88.03,89.36,608998
14-Nov-16,88.03,88.80,87.52,87.84,993091
11-Nov-16,88.58,89.16,87.85,87.99,666722
10-Nov-16,89.34,89.98,87.53,88.85,1091209
9-Nov-16,89.52,90.00,85.76,88.51,1723280
8-Nov-16,91.03,92.06,90.20,91.69,626249
7-Nov-16,90.41,91.12,89.86,91.07,626040
4-Nov-16,89.68,90.27,89.10,89.14,814531
3-Nov-16,89.84,90.37,89.37,89.46,535075
2-Nov-16,89.71,90.43,89.16,89.39,709325
1-Nov-16,91.14,91.24,89.22,89.70,1148214
31-Oct-16,90.02,91.58,88.97,90.73,1184811
28-Oct-16,89.97,91.09,89.67,90.09,772294
27-Oct-16,88.33,90.73,87.78,89.95,2571345
26-Oct-16,94.78,94.78,93.38,94.08,1340995
25-Oct-16,97.47,97.69,95.34,95.45,759508
24-Oct-16,97.89,98.19,97.30,97.57,696678
21-Oct-16,99.43,99.43,96.77,97.25,1585300
20-Oct-16,96.87,106.70,96.63,100.29,8171111
19-Oct-16,96.38,97.01,96.14,96.93,439937
18-Oct-16,96.75,97.23,96.16,96.38,630446
17-Oct-16,95.76,95.93,95.24,95.87,513192
14-Oct-16,96.71,96.79,95.70,95.76,693528
13-Oct-16,96.51,96.68,95.85,96.28,924100
12-Oct-16,97.50,97.70,97.12,97.14,501565
11-Oct-16,98.63,98.74,96.59,97.22,819896
10-Oct-16,99.48,100.42,98.80,98.91,1166207
7-Oct-16,98.94,99.26,98.35,99.02,643839
6-Oct-16,98.99,99.12,98.44,98.87,575008
5-Oct-16,99.51,99.73,99.00,99.11,770993
4-Oct-16,99.36,99.92,98.88,99.23,546970
3-Oct-16,99.02,99.56,98.20,99.43,520515
30-Sep-16,99.12,100.07,99.07,99.53,1152026
29-Sep-16,99.41,99.49,97.85,98.54,706527
28-Sep-16,98.73,99.66,98.73,99.55,534998
27-Sep-16,97.88,99.00,97.62,98.81,419826
26-Sep-16,97.74,98.04,97.33,97.65,381375
23-Sep-16,98.31,98.78,97.96,98.17,626520
22-Sep-16,98.01,98.73,97.51,98.50,547507
21-Sep-16,96.23,97.98,96.23,97.77,535866
20-Sep-16,96.73,96.92,95.66,96.01,412754
19-Sep-16,95.93,96.91,95.43,96.05,470374
16-Sep-16,96.08,96.36,95.49,95.87,1018620
15-Sep-16,94.60,96.39,94.45,96.15,515462
14-Sep-16,94.59,95.16,94.05,94.58,745913
13-Sep-16,95.02,95.40,94.42,94.67,649139
12-Sep-16,93.05,95.72,93.00,95.46,647857
9-Sep-16,96.21,96.29,93.62,93.63,587173
8-Sep-16,97.15,97.48,96.91,97.00,411594
7-Sep-16,96.33,97.45,96.06,97.27,562514
6-Sep-16,96.63,96.95,95.89,96.49,517743
2-Sep-16,95.93,96.67,95.13,96.41,700177
1-Sep-16,96.36,96.45,95.28,95.89,424422
31-Aug-16,96.35,96.51,95.54,96.13,498666
30-Aug-16,96.08,96.68,95.90,96.39,632389
29-Aug-16,95.41,96.31,95.41,96.31,492391
26-Aug-16,94.91,95.42,94.41,95.37,455764
25-Aug-16,94.32,95.33,93.87,94.64,574919
24-Aug-16,95.01,95.93,94.24,94.46,652776
23-Aug-16,95.55,95.60,95.07,95.07,364348
22-Aug-16,94.30,95.35,94.26,95.22,583600
19-Aug-16,93.55,94.58,93.36,94.55,2662562
18-Aug-16,93.58,93.95,93.42,93.95,438642
17-Aug-16,93.75,94.04,93.03,93.71,662883
16-Aug-16,94.64,94.88,93.64,93.64,726191
15-Aug-16,95.24,95.26,94.53,94.83,505418
12-Aug-16,94.96,94.96,94.19,94.92,421505
11-Aug-16,95.34,95.49,95.05,95.14,461742
10-Aug-16,94.93,95.24,94.49,95.21,458294
9-Aug-16,95.06,95.42,94.66,94.86,685000
8-Aug-16,95.25,95.47,94.74,95.01,418502
5-Aug-16,95.08,95.33,94.81,95.25,665826
4-Aug-16,94.63,95.21,94.59,94.82,648019
3-Aug-16,94.46,94.86,94.10,94.65,882874
2-Aug-16,94.84,94.98,94.15,94.46,807552
1-Aug-16,94.44,95.38,94.44,94.84,1164421
29-Jul-16,94.09,95.06,93.39,94.74,1180328
28-Jul-16,90.37,94.33,90.10,94.03,1894807
27-Jul-16,87.72,88.91,87.17,88.50,1159964
26-Jul-16,86.66,87.75,86.47,87.72,593123
25-Jul-16,87.04,87.04,86.32,86.63,347198
22-Jul-16,86.85,87.23,86.04,87.04,650997
21-Jul-16,86.90,87.24,86.34,86.73,560016
20-Jul-16,86.78,87.54,86.59,87.11,464480
19-Jul-16,86.14,86.52,86.00,86.40,416240
18-Jul-16,86.30,86.99,85.94,86.48,411222
15-Jul-16,86.94,87.30,86.34,86.41,627690
14-Jul-16,86.95,86.97,86.33,86.55,336265
13-Jul-16,86.77,86.85,86.20,86.39,322897
12-Jul-16,86.00,86.92,85.78,86.26,785312
11-Jul-16,85.32,85.92,85.08,85.80,498448
8-Jul-16,84.21,85.09,84.06,84.99,564709
7-Jul-16,82.74,83.86,82.73,83.82,763272
6-Jul-16,80.73,82.94,80.73,82.74,657053
5-Jul-16,82.40,82.65,81.60,81.80,660870
1-Jul-16,82.34,82.88,82.02,82.60,565653
30-Jun-16,80.73,82.23,80.49,82.23,868264
29-Jun-16,79.79,80.73,79.53,80.61,571971
28-Jun-16,78.45,79.30,78.43,79.21,540760
27-Jun-16,79.42,79.54,77.64,78.04,1248273
24-Jun-16,82.33,83.15,80.06,80.11,1649425
23-Jun-16,83.90,84.31,83.66,84.31,769679
22-Jun-16,82.43,84.25,82.43,83.08,1308653
21-Jun-16,82.12,82.54,82.01,82.24,669426
20-Jun-16,81.60,82.23,81.58,81.68,693768
17-Jun-16,81.60,82.02,80.72,81.02,1222119
16-Jun-16,82.35,82.40,81.13,81.81,970008
15-Jun-16,83.72,83.93,82.56,82.61,524337
14-Jun-16,83.52,83.57,82.97,83.44,386917
13-Jun-16,84.84,85.33,83.73,83.79,769560
10-Jun-16,85.07,85.40,84.29,85.30,863580
9-Jun-16,85.49,86.24,84.79,85.57,600512
8-Jun-16,84.41,85.58,84.38,85.52,512259
7-Jun-16,83.41,84.77,83.41,84.52,645830
6-Jun-16,83.25,84.35,83.24,84.13,596599
3-Jun-16,83.37,83.61,82.97,83.36,524565
2-Jun-16,82.52,83.64,82.52,83.64,587351
1-Jun-16,82.76,82.76,82.12,82.66,587571
31-May-16,82.05,82.92,81.75,82.79,1294538
27-May-16,81.95,82.18,81.72,82.05,422182
26-May-16,82.49,82.69,81.80,81.90,664625
25-May-16,83.48,83.58,82.44,82.60,740538
24-May-16,83.30,83.91,82.51,83.37,1042662
23-May-16,83.73,83.98,83.01,83.07,379540
20-May-16,83.37,84.27,82.68,83.76,658395
19-May-16,83.02,83.32,82.39,82.91,490032
18-May-16,83.19,84.64,82.97,83.56,1137578
17-May-16,83.91,84.54,83.14,83.58,1116212
16-May-16,82.04,84.00,82.04,83.95,873662
13-May-16,81.98,82.58,81.82,82.11,547709
12-May-16,82.17,82.47,81.69,82.26,671111
11-May-16,81.96,82.77,81.86,81.97,527428
10-May-16,82.32,82.45,81.50,82.26,460644
9-May-16,81.46,82.42,81.26,82.11,503195
6-May-16,80.84,81.52,80.51,81.47,521350
5-May-16,81.25,81.65,81.03,81.28,686052
4-May-16,81.75,81.85,81.07,81.20,570934
3-May-16,81.75,82.28,81.67,81.92,940167
2-May-16,81.39,82.06,81.13,82.06,685337
29-Apr-16,81.99,82.03,80.57,81.18,956955
28-Apr-16,82.94,85.52,82.07,82.43,1469246
27-Apr-16,84.51,85.25,84.00,84.86,810791
26-Apr-16,84.83,85.14,83.86,84.26,578442
25-Apr-16,84.96,85.44,84.40,84.61,452750
22-Apr-16,85.00,85.71,84.52,85.17,440941
21-Apr-16,85.46,86.10,84.57,85.01,656907
20-Apr-16,85.17,85.97,84.27,85.63,680556
19-Apr-16,85.20,85.65,84.75,85.12,644042
18-Apr-16,83.98,85.13,83.00,85.01,584913
15-Apr-16,83.66,83.99,83.35,83.93,918406
14-Apr-16,82.66,83.80,82.57,83.50,673160
13-Apr-16,81.68,82.96,81.65,82.79,514204
12-Apr-16,80.34,81.42,79.91,81.21,405770
11-Apr-16,80.38,80.81,80.20,80.24,386900
8-Apr-16,80.66,80.76,79.80,80.12,323344
7-Apr-16,81.31,81.46,80.02,80.41,488492
6-Apr-16,80.58,81.90,80.46,81.89,569026
5-Apr-16,81.34,81.65,80.51,80.62,380287
4-Apr-16,81.50,82.62,81.24,82.05,657686
1-Apr-16,79.74,81.32,79.32,81.15,503189
31-Mar-16,79.71,80.40,79.64,80.02,705581
30-Mar-16,80.06,80.18,79.54,79.80,406204
29-Mar-16,77.97,79.58,77.95,79.53,403111
28-Mar-16,78.03,78.12,77.53,77.94,293278
24-Mar-16,78.02,78.16,77.17,77.73,392419
23-Mar-16,79.40,79.40,78.58,78.69,445066
22-Mar-16,78.46,79.57,78.41,79.42,406406
21-Mar-16,78.70,79.27,78.45,78.76,503236
18-Mar-16,77.12,79.22,76.70,78.97,984502
17-Mar-16,77.38,77.71,75.92,76.73,675635
16-Mar-16,77.58,78.20,77.10,77.42,613933
15-Mar-16,78.42,78.58,77.59,77.70,586798
14-Mar-16,78.92,79.55,78.64,79.03,409962
11-Mar-16,78.11,79.48,77.66,79.26,1144085
10-Mar-16,78.09,78.65,77.06,77.72,770077
9-Mar-16,79.68,79.68,77.86,78.03,1011431
8-Mar-16,79.10,79.73,78.79,79.47,815547
7-Mar-16,78.84,80.00,78.37,79.70,465141
4-Mar-16,79.05,79.78,78.88,79.21,332342
3-Mar-16,78.76,79.15,78.16,79.07,534884
