Date,Open,High,Low,Close,Volume
9-Dec-16,57.02,57.24,56.47,56.55,2695144
8-Dec-16,57.75,57.83,56.77,57.08,2665684
7-Dec-16,56.41,57.53,56.25,57.39,1951548
6-Dec-16,56.82,57.01,56.14,56.65,2455698
5-Dec-16,55.95,57.38,55.79,57.18,2843837
2-Dec-16,55.62,56.39,55.12,55.79,2699954
1-Dec-16,54.88,56.00,54.76,55.77,3015852
30-Nov-16,55.59,55.69,54.42,54.51,4214843
29-Nov-16,57.01,57.01,55.49,55.63,3384163
28-Nov-16,57.08,57.22,56.21,56.89,2471891
25-Nov-16,57.23,57.64,56.96,57.26,1285408
23-Nov-16,57.99,58.35,56.76,57.16,3611328
22-Nov-16,55.56,58.21,55.35,58.05,6614948
21-Nov-16,54.57,55.40,54.54,55.30,4104086
18-Nov-16,56.71,56.84,54.44,54.52,3715944
17-Nov-16,56.33,56.84,55.85,56.84,2503763
16-Nov-16,56.34,56.57,55.91,56.13,2198726
15-Nov-16,57.35,57.65,56.00,56.65,2825488
14-Nov-16,57.37,58.30,57.22,57.35,2595039
11-Nov-16,55.94,57.17,55.82,57.05,2321697
10-Nov-16,55.50,56.85,55.40,56.33,3113311
9-Nov-16,53.88,55.32,52.67,55.18,2885793
8-Nov-16,54.83,54.97,54.05,54.56,2163660
7-Nov-16,54.51,54.97,54.25,54.90,2042308
4-Nov-16,53.41,54.18,53.41,53.54,1902731
3-Nov-16,54.09,54.18,53.27,53.44,2005720
2-Nov-16,53.65,54.60,53.65,53.92,1947803
1-Nov-16,54.28,54.68,53.41,54.02,2038151
31-Oct-16,54.29,54.37,53.80,54.21,2952104
28-Oct-16,54.60,54.92,53.82,54.32,2698538
27-Oct-16,54.14,54.55,54.04,54.39,2977162
26-Oct-16,53.00,54.54,52.81,54.11,3167246
25-Oct-16,52.02,53.25,51.76,53.07,4902418
24-Oct-16,54.45,55.70,52.79,53.07,11516097
21-Oct-16,54.00,54.93,53.56,54.67,3787260
20-Oct-16,54.43,54.61,54.01,54.30,3072813
19-Oct-16,54.63,54.78,54.30,54.62,2661826
18-Oct-16,54.75,54.82,54.30,54.48,1625996
17-Oct-16,54.57,54.79,54.08,54.14,1751973
14-Oct-16,54.90,55.23,54.60,54.60,1759945
13-Oct-16,54.38,54.93,53.77,54.65,1989161
12-Oct-16,54.27,54.90,54.19,54.73,2032638
11-Oct-16,55.13,55.14,54.12,54.18,2076836
10-Oct-16,54.97,55.38,54.82,55.04,1658564
7-Oct-16,54.83,55.07,54.16,54.56,2707339
6-Oct-16,54.62,54.94,54.29,54.68,3021923
5-Oct-16,55.77,56.15,54.51,54.71,4592686
4-Oct-16,55.67,56.48,55.46,56.19,4921525
3-Oct-16,55.95,56.20,55.71,55.98,1667660
30-Sep-16,56.05,56.37,55.78,56.05,3108172
29-Sep-16,55.72,56.17,55.34,55.39,2739126
28-Sep-16,56.56,56.60,55.20,55.67,5291853
27-Sep-16,56.06,56.61,55.57,56.58,2295545
26-Sep-16,56.87,56.87,55.73,55.82,2627090
23-Sep-16,56.83,57.10,56.76,56.95,2961547
22-Sep-16,56.89,57.29,56.64,56.88,1930239
21-Sep-16,56.76,56.81,56.09,56.72,2824976
20-Sep-16,56.98,57.08,56.00,56.14,2895530
19-Sep-16,56.61,56.99,56.22,56.58,2882065
16-Sep-16,55.86,56.26,55.36,56.16,8338894
15-Sep-16,55.25,56.68,55.21,56.20,8732814
14-Sep-16,58.67,58.71,57.75,58.04,2987847
13-Sep-16,60.05,60.05,58.25,58.48,2708097
12-Sep-16,60.69,60.69,58.30,59.64,2367017
9-Sep-16,59.64,59.68,58.42,58.43,2246240
8-Sep-16,60.44,60.62,59.63,59.84,2385920
7-Sep-16,59.50,60.62,59.26,60.62,3684202
6-Sep-16,58.92,60.22,58.92,59.78,3201354
2-Sep-16,60.92,61.11,59.57,60.03,3085068
1-Sep-16,61.34,61.58,60.86,61.56,3150298
31-Aug-16,62.31,62.58,61.34,62.05,2191238
30-Aug-16,63.51,63.58,62.25,62.52,2258088
29-Aug-16,63.91,64.59,63.81,64.04,1307526
26-Aug-16,64.22,64.90,63.71,63.99,918991
25-Aug-16,64.21,64.90,63.92,64.22,1339126
24-Aug-16,65.02,65.15,64.42,64.56,2008554
23-Aug-16,64.60,65.20,64.35,65.12,2020588
22-Aug-16,64.75,65.12,64.40,64.47,2287034
19-Aug-16,63.96,64.97,63.95,64.84,1969611
18-Aug-16,63.74,64.20,63.62,64.19,1976222
17-Aug-16,63.76,63.95,63.53,63.77,1347201
16-Aug-16,63.97,64.39,63.74,63.92,1321136
15-Aug-16,63.92,64.48,63.86,63.98,1501717
12-Aug-16,63.60,64.07,63.45,63.86,1459392
11-Aug-16,62.76,64.00,62.37,63.93,2461182
