Date,Open,High,Low,Close,Volume
9-Dec-16,81.99,82.50,81.34,82.13,758167
8-Dec-16,80.17,81.67,80.17,81.61,520145
7-Dec-16,79.69,80.20,78.85,80.16,683901
6-Dec-16,79.08,79.91,79.03,79.81,1122125
5-Dec-16,78.56,79.66,78.32,79.46,681140
2-Dec-16,77.94,78.57,77.24,78.35,653739
1-Dec-16,78.45,79.18,77.24,77.57,1009866
30-Nov-16,79.12,79.19,77.98,78.85,984590
29-Nov-16,80.28,80.68,79.03,79.12,822729
28-Nov-16,80.63,81.26,79.72,80.13,509001
25-Nov-16,79.90,81.49,79.69,81.22,248268
23-Nov-16,79.92,80.70,79.54,79.79,658055
22-Nov-16,81.07,81.07,79.74,79.90,476568
21-Nov-16,80.18,81.03,79.35,80.67,465722
18-Nov-16,80.87,81.17,79.85,80.04,578976
17-Nov-16,79.85,81.08,79.60,80.97,559325
16-Nov-16,78.66,79.78,78.09,79.69,765673
15-Nov-16,79.33,80.07,78.63,78.75,703911
14-Nov-16,81.23,82.28,78.74,78.81,922506
11-Nov-16,80.74,81.52,80.38,81.36,630290
10-Nov-16,82.23,83.12,80.31,81.05,861572
9-Nov-16,79.99,82.47,79.54,82.05,997709
8-Nov-16,81.47,81.99,81.26,81.48,553489
7-Nov-16,81.15,81.90,80.35,81.88,814005
4-Nov-16,80.41,80.92,79.73,79.77,1436794
3-Nov-16,80.84,81.48,80.27,80.39,612273
2-Nov-16,82.81,82.82,80.81,80.83,1243630
1-Nov-16,84.00,84.94,82.29,83.09,886946
31-Oct-16,84.61,84.93,83.89,84.02,1222985
28-Oct-16,83.17,86.98,80.76,84.63,2206049
27-Oct-16,79.64,80.94,79.02,80.76,1327741
26-Oct-16,79.44,79.95,78.84,79.22,797125
25-Oct-16,80.10,81.19,79.46,79.64,1089051
24-Oct-16,81.63,81.90,80.80,81.37,1349210
21-Oct-16,80.70,84.16,80.62,81.56,2909340
20-Oct-16,75.86,76.72,75.21,76.56,759825
19-Oct-16,75.84,76.20,75.74,75.90,561372
18-Oct-16,76.01,76.05,75.59,75.69,597865
17-Oct-16,75.80,75.95,75.15,75.20,370973
14-Oct-16,75.66,76.29,75.33,75.71,801206
13-Oct-16,75.60,75.60,74.46,75.21,609253
12-Oct-16,75.36,76.31,75.14,76.25,793617
11-Oct-16,76.52,76.54,75.26,75.47,455001
10-Oct-16,76.57,77.06,76.48,76.57,431161
7-Oct-16,77.45,77.83,76.01,76.36,578333
6-Oct-16,77.68,77.80,77.04,77.28,833653
5-Oct-16,78.21,78.44,77.49,77.85,966411
4-Oct-16,78.78,79.26,77.87,78.04,904364
3-Oct-16,78.52,79.94,78.36,78.83,1144156
30-Sep-16,78.40,78.91,77.45,78.24,883838
29-Sep-16,79.37,79.44,78.19,78.21,1009298
28-Sep-16,78.65,79.65,78.54,79.42,738263
27-Sep-16,78.46,78.97,78.27,78.64,853888
26-Sep-16,77.87,78.59,77.68,78.23,677501
23-Sep-16,78.71,79.24,78.47,78.53,765553
22-Sep-16,78.98,79.49,77.99,78.48,1095008
21-Sep-16,78.14,79.02,77.21,78.92,1133431
20-Sep-16,77.71,78.12,77.46,77.67,1207226
19-Sep-16,76.51,77.48,76.42,77.20,1156513
16-Sep-16,77.19,77.23,76.26,76.88,1446714
15-Sep-16,75.65,77.67,75.52,77.21,2751992
14-Sep-16,75.60,76.47,75.21,75.77,2701489
13-Sep-16,75.51,75.84,74.76,75.38,1185047
12-Sep-16,74.68,76.36,74.60,76.21,1055392
9-Sep-16,75.73,76.54,74.68,74.86,961929
8-Sep-16,76.78,76.98,75.78,76.45,954419
7-Sep-16,76.14,77.20,76.07,77.08,1244595
6-Sep-16,79.06,79.06,76.12,76.20,1976308
2-Sep-16,75.32,82.88,75.01,79.02,4924337
1-Sep-16,74.36,75.06,74.31,74.81,889960
31-Aug-16,74.09,74.70,74.01,74.45,905990
30-Aug-16,74.50,74.99,74.28,74.32,1389302
29-Aug-16,75.00,75.38,74.50,74.54,757343
26-Aug-16,75.23,75.77,74.69,75.01,691334
25-Aug-16,74.44,75.11,74.44,75.02,1050463
24-Aug-16,75.13,75.67,74.28,74.43,1231607
23-Aug-16,75.74,76.10,75.25,75.38,917950
22-Aug-16,74.90,75.77,74.90,75.17,1714370
19-Aug-16,74.23,75.50,74.16,75.05,2270565
18-Aug-16,75.23,75.61,74.12,74.20,1583866
17-Aug-16,76.08,76.16,74.67,75.22,3046050
16-Aug-16,81.47,81.58,75.88,75.97,3473493
15-Aug-16,83.18,83.43,81.72,81.81,1318687
12-Aug-16,84.49,84.66,83.12,83.25,493315
11-Aug-16,84.59,84.85,84.35,84.67,621172
10-Aug-16,85.18,85.25,84.33,84.59,499832
9-Aug-16,84.24,85.22,84.06,84.88,952113
8-Aug-16,84.60,84.84,84.18,84.41,497009
5-Aug-16,84.36,85.36,84.13,84.72,603724
4-Aug-16,85.11,85.76,84.03,84.10,774655
3-Aug-16,84.04,85.14,83.73,84.86,776692
2-Aug-16,85.30,85.30,83.86,84.23,767327
1-Aug-16,86.35,86.60,85.18,85.62,926844
29-Jul-16,83.45,87.19,83.00,86.61,1755253
28-Jul-16,84.12,84.83,83.56,84.25,831192
27-Jul-16,84.04,84.33,83.30,83.99,641376
26-Jul-16,84.38,84.90,83.77,83.95,509925
25-Jul-16,83.41,84.20,83.24,84.19,587863
22-Jul-16,82.95,83.60,82.88,83.47,828804
21-Jul-16,84.16,84.37,82.82,82.82,687411
20-Jul-16,83.28,84.54,83.02,84.33,1301985
19-Jul-16,83.00,83.32,82.79,83.12,967468
18-Jul-16,84.00,84.33,83.39,83.41,749003
15-Jul-16,85.01,85.01,83.63,84.04,1109031
14-Jul-16,85.02,85.47,84.56,84.69,1189115
13-Jul-16,85.36,85.57,84.41,84.41,892145
12-Jul-16,85.58,85.71,84.73,84.99,826001
11-Jul-16,86.12,86.76,85.20,85.23,514815
8-Jul-16,84.08,85.83,83.60,85.60,1320098
7-Jul-16,82.85,83.74,82.61,83.40,682892
6-Jul-16,83.63,83.79,82.40,82.98,894068
5-Jul-16,85.18,85.22,83.96,84.19,729754
1-Jul-16,86.44,86.48,85.05,85.34,753800
30-Jun-16,84.94,86.48,84.52,86.46,980116
29-Jun-16,83.43,84.80,82.98,84.49,689003
28-Jun-16,81.51,83.14,81.20,82.91,834200
27-Jun-16,83.36,83.62,80.47,80.84,863573
24-Jun-16,84.70,86.27,83.52,84.18,971605
23-Jun-16,86.67,87.78,86.32,87.28,477674
22-Jun-16,86.44,86.93,85.91,85.99,520563
21-Jun-16,85.99,86.76,85.46,86.44,520879
20-Jun-16,85.05,86.25,84.73,85.68,401146
17-Jun-16,84.91,84.91,84.06,84.35,697516
16-Jun-16,84.20,85.19,83.83,85.14,329349
15-Jun-16,85.23,85.82,84.76,84.87,602131
14-Jun-16,83.42,85.02,83.42,84.99,861108
13-Jun-16,84.41,85.29,83.37,83.44,528801
10-Jun-16,84.59,84.92,84.01,84.66,466824
9-Jun-16,84.54,85.15,84.46,85.10,488936
8-Jun-16,84.79,85.29,84.06,84.91,909540
7-Jun-16,84.81,85.45,84.23,84.88,598039
6-Jun-16,84.74,85.14,83.86,84.82,326458
3-Jun-16,84.75,85.36,83.94,84.61,398179
2-Jun-16,85.01,85.56,84.74,85.32,460775
1-Jun-16,85.00,85.56,84.71,85.38,565999
31-May-16,85.06,86.14,84.25,85.46,683219
27-May-16,84.85,85.10,84.24,84.95,470512
26-May-16,84.69,85.23,84.10,84.76,502105
25-May-16,84.72,85.16,84.22,84.31,530954
24-May-16,83.59,84.73,83.04,84.56,427258
23-May-16,83.11,84.18,82.87,83.25,534498
20-May-16,83.36,83.98,82.95,83.16,476844
19-May-16,83.54,83.57,82.06,82.90,609276
18-May-16,83.37,84.29,82.70,83.70,709558
17-May-16,85.29,86.00,83.33,83.52,1294965
16-May-16,84.73,85.97,84.11,85.15,779739
13-May-16,84.86,85.84,84.72,84.72,499373
12-May-16,84.95,85.49,84.40,84.96,656660
11-May-16,85.67,86.41,84.74,84.78,733837
10-May-16,84.97,85.70,83.58,85.61,769813
9-May-16,84.88,85.34,84.23,84.50,804631
6-May-16,84.30,85.32,84.04,85.19,690467
5-May-16,85.14,85.70,84.28,84.41,1085195
4-May-16,86.63,86.73,84.83,84.93,1032021
3-May-16,87.51,87.59,86.50,87.16,723296
2-May-16,86.49,88.37,85.30,88.13,1401578
29-Apr-16,91.53,91.99,86.17,86.40,1592040
28-Apr-16,89.23,91.23,89.09,89.42,961959
27-Apr-16,88.71,89.77,88.22,89.41,732445
26-Apr-16,89.49,90.39,88.68,89.16,885012
25-Apr-16,88.36,89.41,88.22,89.28,1649082
22-Apr-16,88.37,89.00,87.84,88.64,611134
21-Apr-16,89.49,89.80,88.24,88.53,574990
20-Apr-16,88.82,89.95,87.72,89.29,649010
19-Apr-16,89.88,89.91,88.12,88.79,896145
18-Apr-16,88.63,89.90,88.35,89.66,600424
15-Apr-16,89.00,89.24,88.28,88.70,625007
14-Apr-16,89.52,89.98,89.05,89.11,637763
13-Apr-16,89.35,89.81,88.79,89.52,734032
12-Apr-16,89.53,89.55,88.13,88.61,2376238
11-Apr-16,90.28,91.28,89.02,89.08,571881
8-Apr-16,90.03,90.26,89.30,89.76,496775
7-Apr-16,89.34,90.22,88.76,89.59,767079
6-Apr-16,88.79,89.86,88.79,89.84,696279
5-Apr-16,89.18,89.69,88.52,88.71,696667
4-Apr-16,90.13,91.14,89.49,89.55,523338
1-Apr-16,88.19,89.67,87.35,89.64,881155
31-Mar-16,89.21,89.87,88.47,88.54,959699
30-Mar-16,89.45,89.70,88.85,89.59,854221
29-Mar-16,88.41,89.48,88.04,89.11,664494
