Date,Open,High,Low,Close,Volume
9-Dec-16,7.70,7.75,7.67,7.70,1187618
8-Dec-16,7.68,7.75,7.57,7.74,1192974
7-Dec-16,7.52,7.71,7.44,7.67,1244229
6-Dec-16,7.72,7.73,7.46,7.49,1602513
5-Dec-16,7.27,7.72,7.27,7.68,1603611
2-Dec-16,7.21,7.32,7.17,7.27,1628811
1-Dec-16,7.40,7.46,7.11,7.20,1431455
30-Nov-16,7.37,7.50,7.31,7.41,1577191
29-Nov-16,7.61,7.67,7.33,7.41,1200248
28-Nov-16,7.76,7.78,7.54,7.58,1441796
25-Nov-16,7.62,7.79,7.57,7.72,728103
23-Nov-16,7.43,7.59,7.41,7.56,1144268
22-Nov-16,7.31,7.50,7.27,7.49,1470289
21-Nov-16,7.50,7.50,7.28,7.33,1897280
18-Nov-16,7.27,7.48,7.25,7.40,2016920
17-Nov-16,7.02,7.43,7.02,7.22,2437862
16-Nov-16,7.13,7.15,6.86,7.02,4484757
15-Nov-16,7.06,7.16,6.79,7.07,2836648
14-Nov-16,7.01,7.04,6.82,6.99,2335971
11-Nov-16,6.70,7.10,6.66,6.94,2621815
10-Nov-16,7.03,7.04,6.63,6.65,3010779
9-Nov-16,7.05,7.22,6.82,6.96,3031800
8-Nov-16,7.52,7.52,7.13,7.14,2989845
7-Nov-16,7.34,7.54,7.05,7.23,3562472
4-Nov-16,6.87,7.50,6.80,7.24,5183743
3-Nov-16,6.96,7.03,6.71,6.78,3186582
2-Nov-16,7.60,7.60,6.95,6.96,3824928
1-Nov-16,7.87,7.93,7.50,7.58,1811851
31-Oct-16,7.99,8.11,7.61,7.85,2567163
28-Oct-16,8.29,8.29,8.07,8.10,1273278
27-Oct-16,8.18,8.24,7.92,8.23,1849285
26-Oct-16,8.22,8.30,8.11,8.17,1225223
25-Oct-16,8.27,8.31,8.16,8.24,1248299
24-Oct-16,8.40,8.55,8.22,8.29,1365120
21-Oct-16,8.32,8.46,8.26,8.37,1055944
20-Oct-16,8.35,8.44,8.24,8.36,1405597
19-Oct-16,8.44,8.55,8.35,8.38,1126575
18-Oct-16,8.42,8.52,8.32,8.40,1430486
17-Oct-16,8.35,8.50,8.27,8.47,1973640
14-Oct-16,8.43,8.54,8.37,8.38,1073231
13-Oct-16,8.39,8.51,8.22,8.44,1400850
12-Oct-16,8.34,8.52,8.28,8.36,1147066
11-Oct-16,8.54,8.62,8.20,8.30,2098499
10-Oct-16,8.79,8.88,8.53,8.56,1712427
7-Oct-16,9.20,9.30,8.75,8.81,2577684
6-Oct-16,9.35,9.48,9.11,9.21,1275697
5-Oct-16,9.63,9.79,9.37,9.42,1258509
4-Oct-16,9.95,9.98,9.61,9.63,1949068
3-Oct-16,10.07,10.10,9.84,9.92,1774083
30-Sep-16,10.37,10.40,10.04,10.05,1665552
29-Sep-16,10.22,10.46,10.15,10.32,1437815
28-Sep-16,10.13,10.39,10.11,10.35,1324015
27-Sep-16,10.19,10.34,10.08,10.31,1378663
26-Sep-16,9.89,10.24,9.88,10.15,1535001
23-Sep-16,9.82,10.04,9.82,9.93,1989561
22-Sep-16,9.60,9.98,9.59,9.90,2760794
