Date,Open,High,Low,Close,Volume
9-Dec-16,77.40,78.00,77.00,77.87,710082
8-Dec-16,76.93,78.02,76.38,77.21,1917778
7-Dec-16,75.33,77.01,74.93,76.93,867944
6-Dec-16,74.19,75.21,74.03,75.09,1010689
5-Dec-16,72.84,74.00,72.84,73.96,1121993
2-Dec-16,73.51,73.51,72.27,72.32,929503
1-Dec-16,72.40,73.84,72.12,73.84,1150637
30-Nov-16,72.97,73.14,71.87,71.99,1019197
29-Nov-16,73.21,73.62,72.76,72.86,742577
28-Nov-16,73.91,73.97,72.13,73.00,1546991
25-Nov-16,74.65,74.69,74.17,74.20,432366
23-Nov-16,73.66,74.54,73.66,74.51,880916
22-Nov-16,73.31,74.44,73.17,74.33,842929
21-Nov-16,72.36,73.30,72.30,73.19,772250
18-Nov-16,72.44,72.81,72.05,72.26,819747
17-Nov-16,71.25,72.50,71.25,72.47,796982
16-Nov-16,71.30,72.18,71.09,71.25,1209750
15-Nov-16,71.75,71.83,70.91,71.62,1226522
14-Nov-16,69.80,71.82,69.76,71.65,1571986
11-Nov-16,68.87,69.54,68.61,69.47,752681
10-Nov-16,68.60,69.80,68.35,68.94,1147621
9-Nov-16,66.14,68.47,65.48,68.05,885500
8-Nov-16,66.08,67.48,65.59,67.26,1021778
7-Nov-16,65.45,66.49,65.27,66.41,1152528
4-Nov-16,64.54,65.02,64.18,64.24,1213986
3-Nov-16,65.45,65.59,64.36,64.40,1354678
2-Nov-16,65.40,65.81,64.72,65.04,1268328
1-Nov-16,66.12,66.17,65.14,65.39,1055064
31-Oct-16,65.34,66.16,65.32,65.84,1041555
28-Oct-16,64.34,65.41,64.14,64.98,1484904
27-Oct-16,63.50,64.27,62.60,64.19,1914596
26-Oct-16,65.91,65.97,63.20,63.32,3428130
25-Oct-16,67.72,68.85,67.27,67.86,1649643
24-Oct-16,69.12,69.38,67.98,68.00,943995
21-Oct-16,68.26,68.29,67.70,67.89,649383
20-Oct-16,68.54,68.77,67.84,68.65,561228
19-Oct-16,68.50,69.02,68.38,68.60,646206
18-Oct-16,67.94,68.44,67.90,68.22,468831
17-Oct-16,67.67,67.93,67.23,67.35,511025
14-Oct-16,67.73,68.15,67.26,67.77,972093
13-Oct-16,65.50,67.60,64.65,67.20,2082560
12-Oct-16,67.61,68.19,67.42,67.63,1106497
11-Oct-16,67.62,68.08,67.00,67.50,1187521
10-Oct-16,67.26,68.37,67.26,67.90,754033
7-Oct-16,67.63,67.63,66.62,66.94,917745
6-Oct-16,66.97,67.22,66.40,67.05,782540
5-Oct-16,66.91,67.41,66.82,66.96,564869
4-Oct-16,67.13,67.32,66.75,66.82,877523
3-Oct-16,67.44,67.44,66.47,66.90,947351
30-Sep-16,67.25,67.59,66.83,67.33,1598687
29-Sep-16,67.42,67.95,66.87,67.06,1346596
28-Sep-16,67.25,67.79,67.01,67.47,1038793
27-Sep-16,67.10,67.64,66.98,67.35,588060
26-Sep-16,68.22,68.22,66.86,67.15,1514213
23-Sep-16,68.27,69.04,68.22,68.90,586048
22-Sep-16,68.25,68.83,68.10,68.67,579355
21-Sep-16,67.98,68.04,67.12,67.93,586508
20-Sep-16,67.97,68.71,67.72,67.79,455028
19-Sep-16,68.15,68.58,67.55,67.74,687407
16-Sep-16,67.71,68.07,67.25,67.78,1346366
15-Sep-16,67.13,68.14,66.83,68.05,733568
14-Sep-16,66.95,67.61,66.43,67.10,682015
13-Sep-16,67.17,67.67,66.52,66.81,844741
12-Sep-16,66.32,67.96,66.00,67.78,1187331
9-Sep-16,68.89,69.14,66.88,66.88,1511929
8-Sep-16,70.14,70.26,69.41,69.51,1104014
7-Sep-16,70.09,70.30,69.81,70.21,889221
6-Sep-16,70.68,70.70,69.90,70.08,960315
2-Sep-16,70.89,71.15,70.49,70.70,588367
1-Sep-16,70.98,71.50,70.38,70.74,883262
31-Aug-16,71.22,71.57,70.74,70.79,993726
30-Aug-16,71.56,71.83,71.25,71.45,701047
29-Aug-16,70.87,71.97,70.87,71.44,670233
26-Aug-16,71.17,71.82,70.61,70.83,626284
25-Aug-16,70.64,71.33,70.55,71.17,637759
24-Aug-16,71.23,71.51,70.67,70.87,731700
23-Aug-16,71.73,71.97,71.46,71.74,658023
22-Aug-16,71.56,71.62,70.92,71.59,792413
19-Aug-16,70.69,71.82,70.50,71.78,1287160
18-Aug-16,70.85,71.33,70.59,71.09,931283
17-Aug-16,70.11,70.87,69.88,70.86,1437718
16-Aug-16,69.87,70.29,69.78,70.07,790338
15-Aug-16,69.52,70.20,69.39,70.11,578773
12-Aug-16,69.19,69.58,69.00,69.38,847590
11-Aug-16,69.88,70.30,69.26,69.51,1023675
10-Aug-16,69.66,70.08,69.32,69.67,1012330
9-Aug-16,69.61,69.98,69.03,69.45,963072
8-Aug-16,69.59,69.84,69.22,69.67,1143555
5-Aug-16,69.32,69.72,69.18,69.40,852977
4-Aug-16,68.77,69.26,68.60,69.04,1066425
3-Aug-16,68.87,69.39,68.38,68.69,1302051
2-Aug-16,69.76,69.84,68.04,69.02,2056013
1-Aug-16,70.72,70.99,68.34,69.69,3758595
29-Jul-16,71.20,71.78,70.24,71.02,1963195
28-Jul-16,70.47,71.73,70.01,71.44,1481331
27-Jul-16,72.99,72.99,69.55,70.64,4328917
26-Jul-16,76.66,77.45,76.66,77.19,1998106
25-Jul-16,77.09,77.63,76.84,77.01,1107980
