Date,Open,High,Low,Close,Volume
9-Dec-16,96.41,96.49,91.15,91.88,9967063
8-Dec-16,102.23,102.23,90.00,90.72,12682416
7-Dec-16,101.28,102.09,100.05,101.99,1769534
6-Dec-16,99.00,102.30,98.75,102.18,2892115
5-Dec-16,99.56,100.39,97.97,98.37,1678578
2-Dec-16,98.00,99.60,97.40,98.64,1956209
1-Dec-16,101.00,101.00,97.33,99.27,3881878
30-Nov-16,101.80,104.90,101.52,101.99,2618280
29-Nov-16,101.18,102.55,99.20,99.79,2687208
28-Nov-16,101.41,103.15,100.76,102.00,2746211
25-Nov-16,101.51,102.20,100.47,101.55,1170433
23-Nov-16,97.95,101.53,97.55,101.32,4268352
22-Nov-16,97.06,98.31,96.00,98.10,2690278
21-Nov-16,94.71,98.45,94.25,97.38,5209692
18-Nov-16,91.23,94.00,90.89,92.35,3224745
17-Nov-16,87.79,90.66,87.35,90.44,3636867
16-Nov-16,86.78,87.92,85.90,86.57,1826073
15-Nov-16,84.95,87.55,84.88,86.87,2288989
14-Nov-16,84.50,85.99,82.76,84.51,2480650
11-Nov-16,84.79,85.53,82.51,84.98,3252570
10-Nov-16,89.16,89.65,84.80,85.30,3564909
9-Nov-16,85.35,88.53,84.60,87.84,2799065
8-Nov-16,87.90,88.48,86.18,86.67,3439413
7-Nov-16,89.95,90.00,87.32,87.86,2792095
4-Nov-16,88.23,89.20,86.57,88.04,3223764
3-Nov-16,92.21,92.93,86.73,87.53,9050363
2-Nov-16,97.77,98.11,95.86,96.52,2542447
1-Nov-16,96.43,99.75,95.95,98.23,3722286
31-Oct-16,94.66,95.05,93.42,94.55,1341583
28-Oct-16,94.29,95.55,93.75,94.18,2079828
27-Oct-16,97.05,97.05,93.12,94.18,1850970
26-Oct-16,95.23,97.55,95.23,95.75,1804155
25-Oct-16,96.65,96.67,95.15,95.57,1172867
24-Oct-16,96.82,97.89,96.40,96.80,1500116
21-Oct-16,95.50,96.23,94.50,95.27,1927743
20-Oct-16,95.14,97.24,95.01,96.00,1498395
19-Oct-16,92.79,95.94,92.79,95.52,1852291
18-Oct-16,94.49,94.88,92.57,92.98,1183293
17-Oct-16,91.23,94.14,91.06,93.10,1887896
14-Oct-16,95.67,96.34,91.91,93.37,2885527
13-Oct-16,95.75,95.79,92.82,94.95,3060697
12-Oct-16,97.33,97.91,96.00,96.43,2034376
11-Oct-16,99.83,101.06,97.38,97.70,2791455
10-Oct-16,97.19,99.49,97.01,98.67,1813584
7-Oct-16,97.63,97.98,96.14,97.01,2166200
6-Oct-16,97.50,98.60,97.10,97.74,1969182
5-Oct-16,96.32,98.37,95.88,97.94,2699876
4-Oct-16,99.27,99.59,96.16,96.38,3288398
3-Oct-16,100.29,101.25,98.93,99.28,4234930
30-Sep-16,98.14,98.45,94.80,97.42,6737905
29-Sep-16,101.17,103.63,100.00,100.59,2858128
28-Sep-16,101.56,101.75,98.50,101.66,3047427
27-Sep-16,100.14,102.11,99.77,100.74,3779094
26-Sep-16,101.55,101.67,99.66,100.81,2622791
23-Sep-16,101.08,102.55,98.38,102.14,5126297
22-Sep-16,103.51,104.08,101.72,102.29,3839946
21-Sep-16,104.09,105.22,101.51,103.00,4015225
20-Sep-16,103.73,104.82,102.42,103.49,2818628
19-Sep-16,108.28,108.43,103.45,103.96,4273689
16-Sep-16,108.65,109.27,106.72,108.57,3835578
15-Sep-16,106.88,109.50,104.73,108.68,5714621
14-Sep-16,104.50,107.68,103.26,107.25,4912286
13-Sep-16,103.06,104.79,102.20,103.71,4456506
12-Sep-16,97.57,104.07,97.08,104.01,7002796
9-Sep-16,96.37,98.50,95.23,98.41,6349210
8-Sep-16,95.94,96.71,95.02,95.78,2793600
7-Sep-16,93.49,95.24,93.25,94.35,2616950
6-Sep-16,92.96,93.88,91.82,92.79,2029869
2-Sep-16,93.80,94.05,91.11,92.38,3025424
1-Sep-16,93.58,95.26,93.00,93.17,6804992
31-Aug-16,89.27,90.95,88.50,89.32,2147174
30-Aug-16,90.86,91.81,89.64,90.15,2159719
29-Aug-16,89.35,91.80,89.30,90.72,2150993
26-Aug-16,90.69,91.30,88.87,89.85,3116401
25-Aug-16,91.62,92.46,90.06,90.51,2758296
