Date,Open,High,Low,Close,Volume
9-Dec-16,36.96,37.29,35.93,36.06,16775691
8-Dec-16,38.48,39.14,36.57,37.37,27017989
7-Dec-16,36.24,38.19,36.01,37.49,23864381
6-Dec-16,34.66,35.99,34.50,35.95,19570500
5-Dec-16,34.22,35.31,33.78,35.21,18706062
2-Dec-16,31.66,33.65,31.50,33.61,13634876
1-Dec-16,32.66,32.83,31.84,32.03,12981326
30-Nov-16,32.38,32.83,31.91,32.34,18482027
29-Nov-16,30.59,31.93,30.24,31.16,25798236
28-Nov-16,32.92,33.40,31.96,32.17,19480123
25-Nov-16,32.87,33.78,32.42,33.23,10655345
23-Nov-16,31.70,33.11,31.23,33.06,25621606
22-Nov-16,29.72,32.40,29.49,32.21,28316673
21-Nov-16,28.66,28.98,28.17,28.78,12353933
18-Nov-16,28.92,29.42,28.31,28.57,16104329
17-Nov-16,28.79,29.49,28.20,29.17,17784918
16-Nov-16,27.90,28.53,27.89,28.47,15496990
15-Nov-16,26.87,28.65,26.36,28.53,26977725
14-Nov-16,27.05,27.83,26.52,27.78,26140103
11-Nov-16,24.93,25.78,24.27,25.71,20557582
10-Nov-16,24.98,25.20,24.10,24.66,27033237
9-Nov-16,24.41,25.08,23.86,24.56,41319529
8-Nov-16,20.49,21.39,20.26,20.96,19548604
7-Nov-16,20.55,20.95,20.01,20.63,19101684
4-Nov-16,19.20,20.18,19.01,19.86,22665412
3-Nov-16,18.03,19.63,18.02,19.20,25580430
2-Nov-16,17.20,18.77,17.05,17.82,28793106
1-Nov-16,19.86,19.92,18.40,18.71,23299156
31-Oct-16,19.42,19.52,18.92,19.34,16353879
28-Oct-16,19.54,20.04,19.04,19.31,20379467
27-Oct-16,19.86,20.00,19.36,19.52,18899012
26-Oct-16,19.44,20.26,19.36,20.09,22313353
25-Oct-16,19.95,20.93,19.45,19.47,26302890
24-Oct-16,20.21,20.21,19.41,19.62,16654082
21-Oct-16,19.14,20.42,18.94,19.78,30957253
20-Oct-16,18.11,19.74,17.74,19.46,40553865
19-Oct-16,17.29,18.68,17.28,18.48,24121182
18-Oct-16,17.43,17.47,16.76,17.17,13708019
17-Oct-16,16.94,17.40,16.50,16.98,14976293
14-Oct-16,16.85,16.95,16.32,16.42,12119276
13-Oct-16,16.80,16.81,16.16,16.45,16312973
12-Oct-16,17.39,17.80,17.35,17.50,8383825
11-Oct-16,17.57,17.70,17.23,17.48,12475651
10-Oct-16,18.00,18.52,17.90,17.95,9514471
7-Oct-16,18.36,18.37,17.16,17.68,16175245
6-Oct-16,17.43,18.32,17.30,17.93,11672824
5-Oct-16,17.66,17.96,17.25,17.62,11929960
4-Oct-16,18.65,18.65,17.48,17.52,16377595
3-Oct-16,18.94,19.04,18.54,18.72,10620374
30-Sep-16,19.23,19.28,18.46,18.86,15237340
29-Sep-16,20.00,20.28,18.63,19.01,23414505
28-Sep-16,19.82,20.14,19.22,20.13,18335856
27-Sep-16,18.93,19.37,18.66,19.23,16630416
26-Sep-16,19.05,19.75,18.96,19.55,17376933
23-Sep-16,18.51,19.31,18.50,18.95,19508384
22-Sep-16,18.54,18.94,17.99,18.20,23123398
21-Sep-16,16.90,17.98,16.86,17.90,23897777
20-Sep-16,16.76,16.95,16.50,16.64,12423303
19-Sep-16,16.44,17.23,16.41,16.81,21796843
16-Sep-16,15.79,16.25,15.72,15.91,15740364
15-Sep-16,16.28,16.46,15.84,16.06,14525655
14-Sep-16,16.21,16.58,15.96,16.28,17827740
13-Sep-16,17.02,17.02,16.02,16.35,20319163
12-Sep-16,16.77,17.55,16.50,17.43,22914306
9-Sep-16,18.20,18.20,16.80,17.03,25154417
8-Sep-16,19.07,19.12,18.42,18.56,14762614
7-Sep-16,19.29,19.57,19.09,19.16,10412765
6-Sep-16,19.06,19.56,18.70,19.48,12176220
