Date,Open,High,Low,Close,Volume
9-Dec-16,58.94,59.10,58.25,59.02,1336801
8-Dec-16,58.07,58.84,57.60,58.80,1488758
7-Dec-16,57.84,58.19,57.32,58.08,1544126
6-Dec-16,57.09,57.94,57.03,57.92,1364104
5-Dec-16,57.71,58.22,57.24,57.27,2162063
2-Dec-16,57.24,58.21,56.71,56.91,2257277
1-Dec-16,58.40,59.02,57.24,57.46,2290964
30-Nov-16,60.15,60.35,58.14,58.18,2349029
29-Nov-16,60.59,60.95,60.42,60.47,1021988
28-Nov-16,60.66,60.79,60.05,60.44,1856353
25-Nov-16,59.04,60.88,59.04,60.75,434714
23-Nov-16,59.86,60.55,59.06,60.51,1346874
22-Nov-16,58.57,59.97,58.57,59.85,2663838
21-Nov-16,60.14,60.64,59.59,59.88,1390153
18-Nov-16,60.74,60.95,60.04,60.16,1294559
17-Nov-16,60.36,61.20,60.36,60.95,1366977
16-Nov-16,59.97,60.68,59.19,60.57,1200051
15-Nov-16,58.89,60.11,58.50,59.97,1411655
14-Nov-16,60.31,60.41,58.45,58.68,2372042
11-Nov-16,60.89,61.19,60.10,60.22,1407048
10-Nov-16,61.95,62.17,60.85,61.08,1973560
9-Nov-16,62.92,62.92,59.95,61.19,2048874
8-Nov-16,61.05,61.28,59.52,61.00,1221346
7-Nov-16,61.54,61.55,60.30,61.12,2983449
4-Nov-16,55.19,61.75,55.01,60.60,3712587
3-Nov-16,59.98,60.47,59.22,59.55,2487571
2-Nov-16,58.65,60.61,58.65,59.74,2664983
1-Nov-16,58.63,59.58,57.82,58.40,2461041
31-Oct-16,56.93,57.72,56.22,57.57,2060169
28-Oct-16,55.62,57.65,55.62,57.05,2109549
27-Oct-16,56.09,56.19,55.39,55.83,1172481
26-Oct-16,56.47,56.61,55.58,55.85,1524182
25-Oct-16,58.09,58.09,56.70,56.76,1721163
24-Oct-16,58.64,58.76,57.88,57.98,802568
21-Oct-16,58.63,58.63,57.84,58.30,994430
20-Oct-16,59.20,59.98,58.63,59.05,1264613
19-Oct-16,59.10,59.59,58.67,59.41,1193775
18-Oct-16,58.92,59.47,58.82,59.06,1061503
17-Oct-16,58.59,59.02,58.28,58.33,1697584
14-Oct-16,58.21,58.90,57.98,58.70,2110450
13-Oct-16,57.44,57.86,57.02,57.82,1797555
12-Oct-16,57.90,57.96,57.59,57.80,1133115
11-Oct-16,59.65,59.65,57.65,57.89,1334463
10-Oct-16,59.93,60.27,59.73,59.79,789596
7-Oct-16,59.33,59.76,59.00,59.67,1351238
6-Oct-16,58.71,59.11,58.26,59.08,1449841
5-Oct-16,58.91,59.12,58.74,58.94,1286882
4-Oct-16,58.98,59.44,58.57,58.90,1502697
3-Oct-16,59.07,59.67,58.60,59.04,1681803
30-Sep-16,59.36,59.66,59.01,59.43,1505778
29-Sep-16,59.36,59.62,58.76,59.10,1646609
28-Sep-16,59.42,59.66,59.05,59.64,1053203
27-Sep-16,58.89,59.61,58.75,59.55,927946
26-Sep-16,59.02,59.10,58.57,58.83,1624543
23-Sep-16,60.11,60.36,59.35,59.36,1749097
22-Sep-16,59.99,60.10,59.11,60.01,2069028
21-Sep-16,59.76,60.18,59.34,59.89,1487296
20-Sep-16,59.94,60.08,59.44,59.57,1126097
19-Sep-16,59.96,60.30,59.64,59.72,1266763
16-Sep-16,60.10,60.15,59.24,59.63,1827971
15-Sep-16,58.97,60.35,58.97,60.03,1043498
14-Sep-16,59.28,59.83,58.93,59.23,1476724
13-Sep-16,60.16,60.38,59.29,59.38,929496
12-Sep-16,59.98,60.84,59.13,60.78,1371903
9-Sep-16,59.86,60.30,59.02,59.03,1327313
8-Sep-16,61.08,61.47,60.31,60.35,1155393
7-Sep-16,61.11,61.49,60.89,61.13,1008107
6-Sep-16,61.64,61.66,60.86,61.20,1258908
2-Sep-16,62.98,62.98,61.32,61.70,869610
1-Sep-16,61.64,61.90,61.12,61.65,994841
31-Aug-16,61.50,61.68,61.15,61.46,1059788
30-Aug-16,61.78,61.90,61.27,61.50,816672
29-Aug-16,61.49,62.03,61.46,61.87,983630
26-Aug-16,60.41,61.58,60.41,61.36,2032147
25-Aug-16,60.00,60.94,59.51,60.78,1901767
24-Aug-16,60.20,60.37,59.91,59.97,1261987
23-Aug-16,60.55,60.76,60.07,60.21,1196202
22-Aug-16,60.81,60.82,59.93,60.47,988507
19-Aug-16,59.88,60.81,59.51,60.77,1336211
18-Aug-16,59.75,60.17,59.61,60.01,1029488
17-Aug-16,59.93,60.08,59.47,59.72,1481094
16-Aug-16,60.94,60.94,60.09,60.09,972824
15-Aug-16,61.15,61.46,60.88,60.97,814200
12-Aug-16,60.94,61.42,60.83,61.02,802110
11-Aug-16,61.46,61.61,60.97,61.44,1009031
10-Aug-16,61.16,61.55,60.84,61.26,844440
9-Aug-16,60.74,61.20,60.45,61.13,1190276
8-Aug-16,61.89,62.17,60.74,60.90,2145574
5-Aug-16,64.08,64.54,61.96,61.99,1886124
4-Aug-16,64.89,64.90,63.22,63.69,2605449
3-Aug-16,64.47,65.16,64.02,65.14,1782765
2-Aug-16,64.20,64.75,63.70,64.63,2281681
1-Aug-16,64.00,64.49,63.73,64.23,1823711
29-Jul-16,63.23,64.18,63.22,64.04,2190152
28-Jul-16,62.60,63.36,62.59,63.10,743752
27-Jul-16,63.07,63.26,62.51,62.59,1112882
26-Jul-16,62.48,63.08,62.20,63.07,741260
25-Jul-16,62.71,62.94,62.29,62.45,505779
22-Jul-16,62.71,62.83,62.32,62.73,886465
21-Jul-16,63.07,63.45,62.29,62.47,643524
20-Jul-16,63.05,63.47,62.99,63.23,826673
19-Jul-16,62.71,62.86,62.49,62.81,633931
18-Jul-16,63.02,63.22,62.39,62.77,945627
15-Jul-16,63.67,63.75,62.89,62.96,998276
14-Jul-16,63.53,63.75,63.19,63.26,1077509
13-Jul-16,63.22,63.70,62.86,62.98,1359637
12-Jul-16,64.14,64.40,63.07,63.13,1385413
11-Jul-16,63.45,63.90,63.31,63.74,987036
8-Jul-16,63.16,63.44,62.56,63.39,1428193
7-Jul-16,62.58,62.82,62.03,62.50,1157059
6-Jul-16,62.00,62.87,61.55,62.74,1630419
5-Jul-16,62.18,62.47,61.45,62.15,1394857
1-Jul-16,62.15,62.42,61.84,62.33,1370706
30-Jun-16,61.72,62.05,61.36,62.04,1642697
29-Jun-16,60.56,61.56,60.08,61.46,1695495
28-Jun-16,59.80,60.55,59.41,60.55,1810190
27-Jun-16,60.70,61.29,58.84,59.36,2270090
24-Jun-16,62.39,63.08,61.27,61.30,7121596
23-Jun-16,63.90,64.84,63.55,64.21,2059591
22-Jun-16,63.46,63.75,63.29,63.47,1023503
21-Jun-16,63.33,63.66,63.02,63.40,1257270
20-Jun-16,63.99,64.42,63.31,63.32,1815764
17-Jun-16,63.14,63.47,62.50,63.21,6418705
16-Jun-16,63.20,63.56,62.49,63.50,1763353
15-Jun-16,64.30,64.52,63.29,63.33,1266019
14-Jun-16,64.41,64.55,63.70,64.28,1387142
13-Jun-16,64.22,65.83,64.13,64.73,2704824
10-Jun-16,64.12,64.25,63.41,63.61,1215671
9-Jun-16,64.04,64.59,63.84,64.43,965906
8-Jun-16,62.58,64.36,62.37,64.34,1673858
7-Jun-16,62.84,63.20,62.67,62.79,1006012
6-Jun-16,62.64,62.97,62.46,62.75,843980
3-Jun-16,62.85,62.94,62.41,62.65,803700
2-Jun-16,62.21,63.02,62.21,63.00,1013569
1-Jun-16,62.16,62.92,61.96,62.48,1398789
31-May-16,62.69,62.69,61.85,62.16,1670869
27-May-16,63.04,63.04,61.87,62.47,1322183
26-May-16,61.67,61.99,61.45,61.72,1069865
