"time","close","high","low","open","volumefrom","volumeto"
"2015-08-06",3,3,3,3,112.39,337.17
"2015-08-07",1.22,3,0.254,3,2104.43,1414.01
"2015-08-08",1.22,1.22,1.22,1.22,0,0
"2015-08-09",1.22,1.22,1.22,1.22,0,0
"2015-08-10",0.993,1.22,0.65,1.22,9486.09,7419.73
"2015-08-11",1.3,1.31,0.905,0.993,2140.46,2376.28
"2015-08-12",1.91,1.91,1.27,1.3,3163.29,4923.22
"2015-08-13",1.8,2.1,1.8,1.91,5800.73,11070.41
"2015-08-14",1.79,1.8,1.5,1.8,8728.24,14845.3
"2015-08-15",1.37,1.79,0.521,1.79,9962.97,11229.27
"2015-08-16",1.3,1.58,1.25,1.37,3967.05,5599.29
"2015-08-17",1.36,1.36,1.15,1.3,2293.32,2754.47
"2015-08-18",1.25,1.36,0.991,1.36,4958.69,5887.8
"2015-08-19",1.55,1.55,1.25,1.25,1448.2,2029.68
"2015-08-20",1.45,1.55,1.44,1.55,7432.63,10903.35
"2015-08-21",1.4,1.47,1.4,1.45,286.28,403.9
"2015-08-22",1.38,1.41,1.34,1.4,387.56,525.81
"2015-08-23",1.24,1.58,1.24,1.58,5142.72,6493.59
"2015-08-24",1.26,1.28,1.22,1.24,1150.65,1448.63
"2015-08-25",1.17,1.26,1.1,1.26,2546.83,2946.87
"2015-08-26",1.14,1.19,1.14,1.17,230.3,269.07
"2015-08-27",1.29,1.3,1.14,1.14,20767.1,26922.13
"2015-08-28",1.18,1.29,1.15,1.29,329.64,383.37
"2015-08-29",1.31,1.33,1.17,1.18,8741.45,11284.31
"2015-08-30",1.31,1.32,0.933,1.31,3329.66,4055.34
"2015-08-31",1.34,1.38,1.29,1.31,894.21,1220.61
"2015-09-01",1.16,1.37,1.14,1.34,555,744.92
"2015-09-02",1.24,1.32,1.16,1.16,2889.01,3738.69
"2015-09-03",1.24,1.24,1.22,1.24,18.64,23.16
"2015-09-04",1.37,1.37,1.24,1.24,7887.05,10444.58
"2015-09-05",1.34,1.39,1.34,1.37,438.34,627.35
"2015-09-06",1.32,1.34,1.26,1.34,519.44,689.38
"2015-09-07",1.3,1.32,1.3,1.32,82.23,103.93
"2015-09-08",1.25,1.3,1.25,1.3,72.43,91.39
"2015-09-09",1.16,1.28,1.15,1.25,2869.54,3364.75
"2015-09-10",1.01,1.26,0.886,1.16,3050.42,3277.86
"2015-09-11",1.12,1.18,0.956,0.959,543.92,550.49
"2015-09-12",0.886,1.12,0.885,1.12,3855.5,3756.04
"2015-09-13",0.955,0.962,0.886,0.886,870.32,805.59
"2015-09-14",0.95,1,0.804,0.955,2558.87,2273.61
"2015-09-15",0.957,0.957,0.942,0.95,69.81,66.41
"2015-09-16",0.923,0.957,0.837,0.957,235.85,215.7
"2015-09-17",0.854,0.924,0.854,0.923,855.85,747.28
"2015-09-18",0.9,0.9,0.838,0.854,307.16,275.01
"2015-09-19",0.93,0.944,0.899,0.9,32.82,29.52
"2015-09-20",0.899,0.967,0.899,0.93,180.51,172.52
"2015-09-21",0.874,0.935,0.874,0.899,200.59,176.69
"2015-09-22",0.902,0.933,0.869,0.874,14.71,13.25
"2015-09-23",0.826,0.902,0.818,0.902,753.11,622.04
"2015-09-24",0.691,0.826,0.685,0.826,2962.95,2208.29
"2015-09-25",0.71,0.743,0.686,0.691,218.98,159.45
"2015-09-26",0.766,0.789,0.706,0.71,14.55,10.93
"2015-09-27",0.616,0.766,0.609,0.766,5990.69,3789.18
"2015-09-28",0.593,0.662,0.558,0.616,20473.7,11634.6
"2015-09-29",0.726,0.754,0.551,0.593,821.99,589.36
"2015-09-30",0.668,0.729,0.668,0.726,775.99,542.77
"2015-10-01",0.664,0.676,0.664,0.668,441.27,293.58
"2015-10-02",0.699,0.703,0.662,0.664,99.67,68.79
"2015-10-03",0.675,0.699,0.675,0.699,437.42,295.74
"2015-10-04",0.656,0.748,0.615,0.676,379.48,268.19
"2015-10-05",0.63,0.696,0.63,0.656,1071.03,715.73
"2015-10-06",0.613,0.699,0.613,0.63,2350.54,1464.37
"2015-10-07",0.621,0.65,0.6,0.613,5865.66,3742.72
"2015-10-08",0.637,0.637,0.575,0.621,2368.75,1415.61
"2015-10-09",0.635,0.669,0.635,0.637,242.35,162.13
"2015-10-10",0.611,0.72,0.611,0.635,16.01,9.79
"2015-10-11",0.646,0.664,0.606,0.611,44.17,29.05
"2015-10-12",0.602,0.651,0.602,0.646,778.5,477.91
"2015-10-13",0.509,0.602,0.502,0.602,3379.46,1887.14
"2015-10-14",0.597,0.597,0.497,0.509,281.3,142.35
"2015-10-15",0.524,0.597,0.522,0.597,407.62,215.08
"2015-10-16",0.537,0.545,0.519,0.524,1591.58,855.31
"2015-10-17",0.506,0.539,0.506,0.537,1104.66,568.37
"2015-10-18",0.494,0.507,0.484,0.506,2000.57,1006.73
"2015-10-19",0.444,0.495,0.444,0.494,2051.99,945.21
"2015-10-20",0.425,0.464,0.425,0.444,1479.18,643.3
"2015-10-21",0.609,0.611,0.413,0.426,3857.28,2019.86
"2015-10-22",0.57,0.609,0.51,0.609,4027.26,2290.62
"2015-10-23",0.545,0.57,0.529,0.57,296.28,156.31
"2015-10-24",0.636,0.671,0.545,0.545,1466,921.94
"2015-10-25",0.709,0.711,0.636,0.636,1776.92,1189.72
"2015-10-26",0.836,0.879,0.704,0.71,2132.67,1745.83
"2015-10-27",0.968,1.01,0.82,0.836,5080.53,4699.79
"2015-10-28",1.11,1.18,0.931,0.968,5868.51,6367.73
"2015-10-29",1.14,1.33,1.1,1.11,3560.32,4387.58
"2015-10-30",0.876,1.14,0.876,1.14,862.97,842.3
"2015-10-31",1.05,1.07,0.876,0.876,230.73,222.62
"2015-11-01",0.972,1.07,0.972,1.05,7289,7278.7
"2015-11-02",0.981,1.09,0.924,0.988,4601.93,4499.57
"2015-11-03",0.829,1,0.69,0.981,5818.12,5167.99
"2015-11-04",0.904,0.989,0.828,0.829,1239.1,1094.85
"2015-11-05",0.941,1.02,0.837,0.904,3221.72,3115.61
"2015-11-06",0.933,0.966,0.87,0.96,1347.58,1195.35
"2015-11-07",0.996,1,0.907,0.933,3628.42,3523.59
"2015-11-08",1.01,1.08,0.928,0.996,8854.98,9172.52
"2015-11-09",0.902,1.03,0.902,1.01,7731.33,7534.01
"2015-11-10",0.747,0.941,0.734,0.902,12236.84,9803.46
"2015-11-11",0.894,0.896,0.747,0.747,2352.34,2037.86
"2015-11-12",0.897,0.905,0.849,0.894,1868.38,1627.3
"2015-11-13",0.88,0.91,0.878,0.897,524.56,469.05
"2015-11-14",0.918,0.918,0.871,0.88,872.27,785.24
"2015-11-15",0.926,0.927,0.708,0.918,3015.5,2704.4
"2015-11-16",1,1.01,0.922,0.926,9822.06,9695.55
"2015-11-17",1,1,0.96,1,3381.06,3312.07
"2015-11-18",0.962,1,0.943,1,1621.44,1619.13
"2015-11-19",0.923,1.02,0.918,0.962,168.9,157.36
"2015-11-20",0.974,0.986,0.922,0.923,404.38,392.04
"2015-11-21",0.993,0.999,0.953,0.974,251.16,248.98
"2015-11-22",0.934,0.993,0.932,0.993,818.33,775.88
"2015-11-23",0.934,0.966,0.91,0.934,591.67,544.62
"2015-11-24",0.867,0.934,0.863,0.934,3163.94,2786.44
"2015-11-25",0.872,0.927,0.814,0.867,5881.15,5126.65
"2015-11-26",0.881,0.9,0.864,0.872,933.14,831.53
"2015-11-27",0.925,0.925,0.88,0.881,1106.38,1004.39
"2015-11-28",0.881,0.925,0.862,0.925,2708.13,2380.31
"2015-11-29",0.902,0.903,0.866,0.881,490.98,430.89
"2015-11-30",0.87,0.903,0.859,0.902,2868.99,2502.08
"2015-12-01",0.827,0.893,0.807,0.87,4041.77,3303.53
"2015-12-02",0.826,0.827,0.798,0.827,1123.65,908.15
"2015-12-03",0.841,0.844,0.807,0.826,643.53,529.66
"2015-12-04",0.855,0.87,0.832,0.841,935.34,794.43
"2015-12-05",0.839,0.876,0.839,0.855,915.71,784.34
"2015-12-06",0.81,0.839,0.796,0.839,1682.97,1372.68
"2015-12-07",0.812,0.881,0.784,0.81,6863,5424.9
"2015-12-08",0.804,0.843,0.759,0.812,9660.52,7568.11
"2015-12-09",0.843,0.869,0.783,0.804,7075.4,5898.88
"2015-12-10",0.899,0.924,0.785,0.843,7054.57,5976.73
"2015-12-11",0.967,1,0.899,0.899,5606.38,5395.9
"2015-12-12",0.934,0.98,0.921,0.967,1052.86,994.47
"2015-12-13",0.989,0.996,0.922,0.934,4654.56,4597.62
"2015-12-14",0.999,1,0.968,0.989,8028.55,8049.37
"2015-12-15",0.823,1.08,0.823,0.999,6207.83,5927.52
"2015-12-16",0.937,0.974,0.823,0.823,661.36,617.83
"2015-12-17",0.92,0.947,0.9,0.937,410.09,376.47
"2015-12-18",0.92,0.92,0.883,0.92,2389.02,2166.88
"2015-12-19",1.04,1.06,0.893,0.92,1453.06,1380.78
"2015-12-20",0.901,1.04,0.869,1.04,2585.56,2540.34
"2015-12-21",0.889,0.985,0.453,0.901,8989.26,6920.87
"2015-12-22",0.857,0.933,0.847,0.889,562.86,498.47
"2015-12-23",0.867,0.88,0.847,0.857,1412.67,1216.12
"2015-12-24",0.899,0.899,0.841,0.867,365.41,313.95
"2015-12-25",0.853,0.986,0.85,0.899,2826.94,2673.21
"2015-12-26",0.914,0.915,0.841,0.853,1358.1,1168.48
"2015-12-27",0.869,0.917,0.84,0.914,3695.91,3218
"2015-12-28",0.908,0.916,0.835,0.869,668.88,610.17
"2015-12-29",0.933,0.956,0.873,0.908,4391.08,3957.68
"2015-12-30",0.94,0.968,0.92,0.933,892.49,854.19
"2015-12-31",0.957,1.06,0.919,0.94,47.26,43.41
"2016-01-01",0.967,0.967,0.95,0.957,80.86,77.84
"2016-01-02",0.972,1.02,0.967,0.967,519.52,506.05
"2016-01-03",0.951,0.992,0.922,0.972,774.86,735.34
"2016-01-04",0.942,0.958,0.853,0.952,1077.37,1017.49
"2016-01-05",0.965,0.966,0.939,0.942,1195.43,1147.11
"2016-01-06",0.957,0.972,0.931,0.965,1745.73,1684.61
"2016-01-07",0.998,1.02,0.965,0.967,7185.68,7074.17
"2016-01-08",0.996,1.01,0.974,0.998,3113.22,3088.73
"2016-01-09",1.02,1.12,0.992,0.996,1772.01,1814.52
"2016-01-10",1.08,1.1,1.01,1.02,8599.5,9089.3
"2016-01-11",1.13,1.26,1.06,1.08,23329.71,26979.84
"2016-01-12",1.14,1.21,1.07,1.21,8238.22,9033.23
"2016-01-13",1.15,1.16,1.1,1.14,1801.38,2077.17
"2016-01-14",1.2,1.33,1.16,1.16,6977.01,8843.4
"2016-01-15",1.22,1.3,1.17,1.2,6771.31,8316.43
"2016-01-16",1.27,1.3,1.21,1.22,1705.38,2182.11
"2016-01-17",1.45,1.55,1.3,1.3,33773.13,49401.01
"2016-01-18",1.27,1.45,1.27,1.45,3029.92,4079.09
"2016-01-19",1.53,1.61,1.27,1.27,5144.5,7820.16
