"time","close","high","low","open","volumefrom","volumeto"
"2017-03-29",53.05,53.05,52.78,52.89,14694.48,778154.89
"2017-03-29",53.65,53.9,52.98,53.05,59946.53,3208512.4
"2017-03-29",52.87,53.69,52.84,53.65,27623.81,1471825.14
"2017-03-29",52.98,53.07,52.66,52.87,10791.68,570238.45
"2017-03-29",52.93,53.1,51.91,52.98,38089.7,1998846.88
"2017-03-29",53,53.03,52.59,52.93,18185.37,960990.26
"2017-03-29",52.81,53.24,52.57,53,22961.45,1220370.98
"2017-03-29",52.81,52.93,52.73,52.81,10324.33,545452.96
"2017-03-30",52.72,52.93,52.71,52.81,6518.04,344021.38
"2017-03-30",52.41,52.72,52.34,52.72,15862.94,831528.42
"2017-03-30",52.32,52.57,52.24,52.41,18022.21,943078.56
"2017-03-30",52.02,52.37,52,52.32,12686.89,661600.8
"2017-03-30",51.44,52.16,51.39,52.02,29202.7,1507935.87
"2017-03-30",51.79,51.87,51.38,51.44,21143.97,1090347.84
"2017-03-30",52.13,52.18,51.71,51.79,12618.24,655290.79
"2017-03-30",52.69,52.74,52.03,52.13,14631.94,767688.07
"2017-03-30",52.34,52.75,52.1,52.69,14698.58,767588.44
"2017-03-30",52.82,53.01,52.33,52.34,27063.8,1427826.62
"2017-03-30",52.4,52.98,52.38,52.82,14044.25,739129.72
"2017-03-30",52.39,52.63,52.33,52.4,8994.19,471721.04
"2017-03-30",52.42,52.58,52.32,52.39,11215.17,588756.14
"2017-03-30",52.13,52.45,51.9,52.42,20410.91,1064726.31
"2017-03-30",52.22,52.33,52.11,52.13,10567.51,551943.07
"2017-03-30",52.17,52.3,52.11,52.22,7980.32,416695.19
"2017-03-30",52.4,52.53,52.05,52.17,23062.62,1208272.25
"2017-03-30",52.08,52.4,51.99,52.4,15067.12,785028.11
"2017-03-30",51.99,52.12,51.71,52.08,24949.12,1292224.96
"2017-03-30",51.77,51.99,51.7,51.99,12641.71,654202.08
"2017-03-30",51.31,51.79,50.84,51.77,51572.98,2636300.99
"2017-03-30",51.46,51.53,51.04,51.31,14839,762682.72
"2017-03-30",50.62,51.8,50.61,51.46,23838.03,1216922.23
"2017-03-30",50.13,50.81,50.08,50.62,35377.15,1781017.54
"2017-03-31",50.61,50.61,49.16,50.13,60293.08,3001211.42
"2017-03-31",50.75,50.98,50.55,50.61,13481.46,685693.09
"2017-03-31",50.06,51.09,50,50.75,15784.44,798086.58
"2017-03-31",50.21,50.29,49.7,50.06,21967.47,1097961
"2017-03-31",50.41,50.51,50.21,50.21,8152.94,410615.07
"2017-03-31",50.83,50.98,50.4,50.41,9626.23,488069.86
"2017-03-31",50.46,50.84,50.31,50.83,13699.54,691382.37
"2017-03-31",50.68,50.78,50.36,50.46,14320.99,723230.04
"2017-03-31",50.31,50.71,50.28,50.68,10903.45,550022.37
"2017-03-31",49.86,50.36,49.84,50.31,20303.28,1019049.62
"2017-03-31",49.17,49.97,48.74,49.86,63998.5,3152666.62
"2017-03-31",47.33,49.17,47.18,49.17,107117,5158580.95
"2017-03-31",49.04,49.62,47.04,47.33,89578.65,4332420.57
"2017-03-31",48.55,49.31,48.05,49.04,40667.88,1975340.43
"2017-03-31",49,49.08,47.97,48.55,35500.33,1718785.47
"2017-03-31",48.39,49.05,48.05,49,22203.93,1074898.04
"2017-03-31",48.35,48.46,48.17,48.39,15290.96,739700.79
"2017-03-31",48.61,48.78,48.33,48.35,19917.82,967816.1
"2017-03-31",49.22,49.22,48.49,48.61,18854.3,924985.43
"2017-03-31",49.86,50.06,49.13,49.22,27927.56,1389285.88
"2017-03-31",49.87,49.98,49.58,49.86,12677.87,631305.89
"2017-03-31",49.8,49.98,49.64,49.87,6063.14,301927.81
"2017-03-31",49.87,49.87,49.54,49.8,5218.33,259516.78
"2017-03-31",49.97,49.99,49.76,49.87,5898.02,293788.03
"2017-04-01",49.93,49.99,49.69,49.97,6050.72,301828.04
"2017-04-01",49.96,50.02,49.88,49.93,5782.57,289065.28
"2017-04-01",49.78,49.99,49.74,49.96,5803.22,289273.45
"2017-04-01",49.15,49.85,48.94,49.78,14698.11,724700.43
"2017-04-01",49.29,49.29,48.85,49.15,12499.26,614011.95
"2017-04-01",49.71,49.85,48.71,49.29,19878.56,981002.88
"2017-04-01",49.88,50.24,49.23,49.71,13258.6,660228.36
"2017-04-01",49.64,49.89,49.45,49.88,11414.97,567172.86
"2017-04-01",49.44,49.7,48.94,49.64,14692.63,721547.6
"2017-04-01",49.4,49.44,48.95,49.44,4357.68,214010.36
"2017-04-01",50.21,50.21,49.13,49.4,19846.05,982482.09
"2017-04-01",50.96,51.44,50.17,50.21,50840.09,2585850.96
"2017-04-01",50.67,51.47,50.67,50.96,21997.39,1124747.23
"2017-04-01",50.79,50.84,50.6,50.67,11844.42,601682.66
"2017-04-01",51.19,51.2,50.79,50.79,10213.69,520862.58
"2017-04-01",51.2,51.38,51.03,51.19,11724.79,601257.59
"2017-04-01",51.57,51.77,51.08,51.2,22598.77,1164743.31
"2017-04-01",51.17,51.64,50.88,51.57,14624.49,749010.63
"2017-04-01",50.58,51.17,50.24,51.17,17703.12,894135.25
"2017-04-01",50.56,50.8,50.48,50.58,5067.82,256898.28
"2017-04-01",50.77,50.82,50.4,50.56,5287.92,267728.52
"2017-04-01",50.6,50.97,50.53,50.77,7146.17,363745.56
"2017-04-01",50.53,50.77,50.53,50.6,3756.61,190399.59
"2017-04-01",50.57,50.69,50.44,50.53,3517.08,177942.72
"2017-04-02",50.43,50.61,50.2,50.57,7557.41,380917.61
"2017-04-02",50.62,50.71,50.38,50.43,2885.4,146045.66
"2017-04-02",50.25,50.63,50.23,50.62,4694.16,236422.69
"2017-04-02",49.93,50.32,49.75,50.25,17207.91,860871.75
"2017-04-02",50.94,50.94,49.88,49.93,18837.03,953421.67
"2017-04-02",50.62,50.97,50.53,50.94,7768.25,393685.07
"2017-04-02",50.24,50.62,49.9,50.62,7059.25,353907.61
"2017-04-02",50.19,50.51,50.13,50.24,5173.51,260373.89
"2017-04-02",50.68,50.69,49.98,50.19,11209.37,563331.21
"2017-04-02",50.44,50.91,50.37,50.68,11744.87,595627.33
"2017-04-02",50.23,50.47,50.06,50.44,16621.48,833236.51
"2017-04-02",49.09,50.28,49.05,50.23,56571.3,2796844.55
"2017-04-02",49.28,49.87,49.01,49.09,25048.12,1239566.2
"2017-04-02",48.46,49.34,48.33,49.28,73858.28,3601116.39
"2017-04-02",49.65,49.66,48.41,48.46,45749.17,2241191.85
"2017-04-02",49.53,50.7,48.16,49.65,124736.85,6149841.11
"2017-04-02",49.81,49.92,47.9,49.53,91545.82,4435731.8
