trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
16722982,BTC-USD,BUY,2017-06-13T22:31:07.887Z,0.39678916,BTC,2725.16,0,-1081.3139472656,USD
16723264,BTC-USD,SELL,2017-06-13T22:53:45.108Z,0.01000000,BTC,2708.99,0.06772475,27.02217525,USD
16723265,BTC-USD,SELL,2017-06-13T22:53:45.108Z,0.38678916,BTC,2708.98,2.619510246642,1045.184588410158,USD
16724598,BTC-USD,BUY,2017-06-13T23:42:58.407Z,0.39528245,BTC,2712.51,0,-1072.2075984495,USD
16725027,BTC-USD,SELL,2017-06-14T00:01:17.096Z,0.39528245,BTC,2708.13,0,1070.4762613185,USD
16726675,BTC-USD,BUY,2017-06-14T00:56:17.027Z,0.39186651,BTC,2731.75,0,-1070.4813386925,USD
16727769,BTC-USD,SELL,2017-06-14T01:40:17.925Z,0.39186651,BTC,2776.42,0,1087.9860156942,USD
16728721,BTC-USD,BUY,2017-06-14T02:09:02.052Z,0.39112973,BTC,2781.65,0,-1087.9860134545,USD
16729942,BTC-USD,SELL,2017-06-14T03:06:02.855Z,0.39112973,BTC,2777.96,0,1086.5427447508,USD
16730120,BTC-USD,BUY,2017-06-14T03:16:24.871Z,0.39002898,BTC,2785.80,0,-1086.542732484,USD
16730492,BTC-USD,SELL,2017-06-14T03:22:45.598Z,0.39002898,BTC,2773.84,0,1081.8779858832,USD
16732564,BTC-USD,BUY,2017-06-14T04:55:38.297Z,0.39128159,BTC,2764.96,0,-1081.8779450864,USD
16733027,BTC-USD,SELL,2017-06-14T05:26:53.554Z,0.39128159,BTC,2771.96,0,1084.6169162164,USD
16733056,BTC-USD,BUY,2017-06-14T05:29:56.438Z,0.39097274,BTC,2774.15,0,-1084.617026671,USD
16733891,BTC-USD,SELL,2017-06-14T06:03:13.642Z,0.39097274,BTC,2804.23,0,1096.3774866902,USD
16734397,BTC-USD,BUY,2017-06-14T06:14:03.038Z,0.38816001,BTC,2824.55,0,-1096.3773562455,USD
16734750,BTC-USD,SELL,2017-06-14T06:26:13.389Z,0.35634159,BTC,2801.34,0,998.2339497306,USD
16734751,BTC-USD,SELL,2017-06-14T06:26:14.990Z,0.03181842,BTC,2801.34,0,89.1342126828,USD
16737113,BTC-USD,BUY,2017-06-14T08:26:25.954Z,0.39055242,BTC,2784.18,0,-1087.3682367156,USD
16737324,BTC-USD,SELL,2017-06-14T08:44:14.759Z,0.39055242,BTC,2770.87,0,1082.1699840054,USD
16738583,BTC-USD,BUY,2017-06-14T10:41:23.202Z,0.28850000,BTC,2780.69,0,-802.229065,USD
16738606,BTC-USD,BUY,2017-06-14T10:43:52.956Z,0.10066586,BTC,2780.89,0,-279.9406834154,USD
16739026,BTC-USD,SELL,2017-06-14T11:22:56.874Z,0.38916586,BTC,2776.83,0,1080.6474350238,USD
16751194,BTC-USD,BUY,2017-06-14T14:53:36.131Z,0.41152319,BTC,2625.97,0,-1080.6475512443,USD
16753005,BTC-USD,SELL,2017-06-14T15:35:09.135Z,0.01000000,BTC,2625.38,0,26.2538,USD
16753031,BTC-USD,SELL,2017-06-14T15:35:24.290Z,0.26021818,BTC,2625.11,0,683.1013464998,USD
16753032,BTC-USD,SELL,2017-06-14T15:35:24.299Z,0.14130501,BTC,2625.11,0,370.9411948011,USD
16760016,BTC-USD,BUY,2017-06-14T17:39:47.691Z,0.36085427,BTC,2556.85,0,-922.6502402495,USD
16761941,BTC-USD,SELL,2017-06-14T18:26:11.052Z,0.31867929,BTC,2580.91,2.05620641588475,820.42635993801525,USD
16761942,BTC-USD,SELL,2017-06-14T18:26:11.052Z,0.04217498,BTC,2580.02,0.272030729749,108.540261169851,USD
16762456,BTC-USD,BUY,2017-06-14T18:39:35.906Z,0.41925027,BTC,2591.80,0,-1086.612849786,USD
16762911,BTC-USD,SELL,2017-06-14T18:52:00.831Z,0.41925027,BTC,2574.48,0,1079.3514351096,USD
16763335,BTC-USD,BUY,2017-06-14T19:05:05.878Z,0.12289925,BTC,2589.91,0,-318.2979965675,USD
16763342,BTC-USD,BUY,2017-06-14T19:05:39.900Z,0.25000000,BTC,2589.91,0,-647.4775,USD
16763343,BTC-USD,BUY,2017-06-14T19:05:40.415Z,0.04385324,BTC,2589.91,0,-113.5759448084,USD
16763572,BTC-USD,SELL,2017-06-14T19:14:37.044Z,0.41670000,BTC,2572.89,0,1072.123263,USD
16766975,BTC-USD,BUY,2017-06-14T20:45:13.162Z,0.30000000,BTC,2546.60,0,-763.98,USD
16766980,BTC-USD,BUY,2017-06-14T20:45:31.724Z,0.12100180,BTC,2546.60,0,-308.14318388,USD
16768670,BTC-USD,SELL,2017-06-14T21:34:40.503Z,0.42105429,BTC,2514.19,0,1058.6104853751,USD
16777336,BTC-USD,BUY,2017-06-14T23:06:14.552Z,0.04499759,BTC,2429.78,0,-109.3342442302,USD
16778015,BTC-USD,SELL,2017-06-14T23:18:16.391Z,0.04400000,BTC,2428.17,0,106.83948,USD
16781024,BTC-USD,BUY,2017-06-15T00:34:57.111Z,0.43407252,BTC,2433.04,0,-1056.1158040608,USD
16781235,BTC-USD,SELL,2017-06-15T00:39:37.407Z,0.00233423,BTC,2423.00,0,5.65583929,USD
16781261,BTC-USD,SELL,2017-06-15T00:41:05.021Z,0.12536826,BTC,2421.09,0,303.5278406034,USD
16781267,BTC-USD,SELL,2017-06-15T00:41:10.126Z,0.09091233,BTC,2421.09,0,220.1069330397,USD
16781268,BTC-USD,SELL,2017-06-15T00:41:15.993Z,0.03000000,BTC,2421.09,0,72.6327,USD
16781269,BTC-USD,SELL,2017-06-15T00:41:29.143Z,0.05006225,BTC,2421.09,0,121.2052128525,USD
16781272,BTC-USD,SELL,2017-06-15T00:41:39.554Z,0.13639304,BTC,2421.09,0,330.2198252136,USD
16781539,BTC-USD,BUY,2017-06-15T00:48:30.632Z,0.14288792,BTC,2446.98,0,-349.6438824816,USD
16781591,BTC-USD,BUY,2017-06-15T00:49:44.124Z,0.28735648,BTC,2448.89,0,-703.7044103072,USD
