Date,Open,High,Low,Close,Volume
9-Dec-16,121.33,123.46,120.86,123.31,2227331
8-Dec-16,121.67,122.39,121.27,121.74,1449505
7-Dec-16,118.65,121.65,118.45,121.57,2024090
6-Dec-16,118.13,118.89,117.73,118.41,1973602
5-Dec-16,117.86,118.58,117.29,117.72,2052296
2-Dec-16,117.63,118.25,116.17,117.29,1922836
1-Dec-16,119.50,120.05,117.12,117.66,2260397
30-Nov-16,121.01,121.14,119.43,119.43,2635490
29-Nov-16,120.74,121.52,120.37,120.94,1484017
28-Nov-16,120.53,121.39,120.09,120.76,2075644
25-Nov-16,119.90,120.78,119.59,120.74,783672
23-Nov-16,119.36,120.29,119.07,119.82,1966491
22-Nov-16,119.92,120.39,119.32,119.48,2251828
21-Nov-16,118.70,119.88,118.43,119.68,1694583
18-Nov-16,118.25,118.56,117.87,118.43,2123479
17-Nov-16,117.50,118.54,117.21,118.37,1313635
16-Nov-16,116.19,118.03,115.76,117.32,2147097
15-Nov-16,117.55,117.84,115.38,115.99,3119949
14-Nov-16,119.17,119.59,116.20,117.25,3622499
11-Nov-16,119.66,121.00,118.71,119.18,3201775
10-Nov-16,117.34,120.80,117.29,120.33,4357469
9-Nov-16,115.88,118.00,114.66,117.21,5797624
8-Nov-16,119.90,121.00,119.51,119.81,2118807
7-Nov-16,118.11,120.00,118.11,119.97,2311082
4-Nov-16,117.04,118.12,116.44,117.23,2068333
3-Nov-16,118.13,118.50,116.66,116.95,2086406
2-Nov-16,116.14,119.20,116.00,118.61,5361141
1-Nov-16,116.50,116.70,115.46,116.14,2444386
31-Oct-16,115.63,116.56,115.47,116.24,1877768
28-Oct-16,115.85,116.58,115.03,115.67,1656236
27-Oct-16,115.65,116.11,115.20,115.46,1871613
26-Oct-16,114.79,115.90,114.51,115.45,1830897
25-Oct-16,115.54,115.87,114.95,115.27,1456836
24-Oct-16,116.02,116.50,115.48,115.80,1539785
21-Oct-16,115.95,116.00,114.91,115.59,1979120
20-Oct-16,116.60,117.14,115.96,116.05,2247838
19-Oct-16,116.71,117.51,116.13,116.82,2263239
18-Oct-16,117.70,118.26,117.35,117.53,2472902
17-Oct-16,118.25,118.25,116.75,116.85,1904916
14-Oct-16,118.46,119.16,117.86,118.25,2508485
13-Oct-16,117.08,118.50,116.03,118.11,3106637
12-Oct-16,117.41,117.97,116.71,117.62,2366466
11-Oct-16,117.38,117.44,116.21,116.97,2708225
10-Oct-16,116.38,117.98,116.38,117.46,2157553
7-Oct-16,118.52,118.64,115.93,116.00,3034302
6-Oct-16,118.21,118.81,117.68,118.52,2504502
5-Oct-16,118.49,118.71,117.51,118.21,2875146
4-Oct-16,121.18,121.44,117.76,118.24,3973660
3-Oct-16,121.59,122.47,120.64,120.86,3667521
30-Sep-16,121.78,123.03,121.78,122.17,4815794
29-Sep-16,120.56,124.96,120.35,121.64,7643380
28-Sep-16,115.68,117.06,115.37,116.65,3640306
27-Sep-16,113.75,116.22,113.75,116.13,3134703
26-Sep-16,112.45,113.95,112.45,113.73,3224170
23-Sep-16,110.51,113.79,109.50,113.09,2265179
22-Sep-16,111.98,114.27,111.91,113.66,2596154
21-Sep-16,111.49,111.89,110.75,111.70,2466908
20-Sep-16,111.18,111.75,110.70,110.70,1995841
19-Sep-16,110.61,111.28,110.14,110.50,1785685
16-Sep-16,110.33,110.49,109.12,109.88,2604902
15-Sep-16,109.64,111.42,108.83,110.72,2905821
14-Sep-16,110.75,111.54,109.29,109.80,2328081
13-Sep-16,111.58,111.96,110.17,110.53,2483203
12-Sep-16,110.22,112.96,110.11,112.76,2370856
9-Sep-16,111.71,112.09,110.33,110.39,3282650
8-Sep-16,114.43,114.56,112.25,112.30,3078476
7-Sep-16,115.37,115.86,114.94,115.12,1485099
6-Sep-16,115.83,116.00,114.83,115.36,1479152
2-Sep-16,115.50,116.26,115.24,115.66,1536857
1-Sep-16,114.75,115.50,114.04,115.06,1572686
31-Aug-16,114.93,115.38,114.48,115.00,1999417
30-Aug-16,114.98,115.55,114.73,115.35,1319021
29-Aug-16,115.08,115.56,114.35,114.85,1367742
26-Aug-16,115.17,116.20,114.54,115.20,1419341
25-Aug-16,114.24,115.26,113.67,115.04,1869256
24-Aug-16,115.47,115.72,114.27,114.57,2266773
23-Aug-16,113.94,115.90,113.64,115.48,2385087
22-Aug-16,112.73,113.85,112.36,113.76,1459186
19-Aug-16,112.21,113.15,111.73,113.05,1519042
18-Aug-16,112.74,113.13,111.92,112.35,2406432
17-Aug-16,113.09,113.72,112.41,112.93,1566925
16-Aug-16,113.10,113.26,112.34,112.98,1998463
15-Aug-16,113.00,114.11,112.75,113.60,2284399
12-Aug-16,113.20,113.55,112.67,113.03,1414708
11-Aug-16,113.53,113.99,113.38,113.39,1297603
10-Aug-16,113.19,113.48,112.77,113.22,1498624
9-Aug-16,113.47,113.81,112.75,112.88,1820130
8-Aug-16,114.60,114.75,113.49,113.68,1481921
5-Aug-16,113.20,114.74,112.54,114.60,2746681
4-Aug-16,113.17,113.99,112.69,113.71,2215283
3-Aug-16,112.81,113.61,112.59,113.61,1601604
2-Aug-16,112.64,112.99,112.08,112.83,2120103
1-Aug-16,112.58,113.55,112.30,112.88,2235284
29-Jul-16,112.40,113.12,111.33,112.81,2678733
28-Jul-16,113.93,113.93,111.92,112.08,2224616
27-Jul-16,114.45,114.45,113.21,113.71,2275836
26-Jul-16,113.40,114.42,112.96,114.26,2796082
25-Jul-16,112.78,113.11,112.06,113.07,1834053
22-Jul-16,112.78,113.13,111.85,112.86,1982764
21-Jul-16,115.07,115.29,111.97,112.36,2482538
20-Jul-16,113.87,116.05,113.87,115.45,2665657
19-Jul-16,113.65,114.04,113.04,113.37,1826968
18-Jul-16,115.18,115.32,113.91,114.14,2390690
15-Jul-16,116.48,116.64,114.25,115.09,2749041
14-Jul-16,117.50,118.00,116.66,116.77,1502076
13-Jul-16,117.00,117.16,116.29,116.83,1537156
12-Jul-16,115.90,117.42,115.60,116.50,2435689
11-Jul-16,115.70,115.98,115.13,115.46,1523057
8-Jul-16,113.73,115.24,113.17,115.11,1962819
7-Jul-16,113.51,113.90,112.51,112.70,2050523
6-Jul-16,112.63,113.52,111.96,113.52,2667246
5-Jul-16,113.51,113.56,112.62,113.10,2041071
1-Jul-16,113.66,114.23,113.29,113.52,2195489
30-Jun-16,112.32,113.31,112.11,113.29,3682559
29-Jun-16,111.67,112.02,110.90,111.76,3603021
28-Jun-16,110.60,111.00,109.58,110.56,2873006
27-Jun-16,110.34,110.75,108.66,109.29,3648356
24-Jun-16,112.77,114.90,110.93,111.45,6814335
23-Jun-16,118.54,118.91,116.50,118.91,2858771
22-Jun-16,119.94,120.78,118.92,119.03,3275540
21-Jun-16,119.61,119.84,119.20,119.43,2040394
20-Jun-16,119.10,120.33,118.90,119.05,2092724
17-Jun-16,118.09,118.11,116.79,117.57,2216526
16-Jun-16,116.82,118.52,116.63,118.30,1569607
15-Jun-16,118.30,118.39,117.33,117.45,1453261
14-Jun-16,117.08,118.32,116.75,118.09,1425344
13-Jun-16,117.86,118.94,117.03,117.08,1992268
10-Jun-16,118.50,118.89,117.94,118.27,1452092
9-Jun-16,118.35,119.53,117.80,119.44,1197211
8-Jun-16,119.59,119.95,118.54,119.32,2072203
7-Jun-16,119.94,120.15,119.24,119.65,1317339
6-Jun-16,119.00,119.76,118.52,119.60,1202927
3-Jun-16,118.88,119.00,117.91,118.90,1196682
2-Jun-16,118.70,119.27,118.00,119.24,1605730
1-Jun-16,118.21,119.12,118.11,119.01,1202931
31-May-16,118.89,119.15,118.09,118.97,1955714
27-May-16,118.84,118.94,117.77,118.94,1317257
26-May-16,118.59,119.20,118.05,118.41,1435852
25-May-16,119.23,119.72,118.47,118.55,2123320
24-May-16,116.58,119.21,116.58,119.12,2066213
23-May-16,116.69,116.69,115.84,116.18,1256186
20-May-16,116.10,116.91,116.10,116.47,1529520
19-May-16,116.27,116.27,114.59,116.03,1719780
18-May-16,116.06,117.35,115.46,116.52,1362722
17-May-16,117.31,117.50,115.87,116.22,2136228
16-May-16,115.62,117.59,115.01,117.15,2609579
13-May-16,116.22,116.63,115.14,115.44,1796439
12-May-16,116.42,116.63,115.47,116.36,2114261
11-May-16,116.99,116.99,115.86,115.98,1576780
10-May-16,115.59,116.95,115.48,116.94,1621904
9-May-16,115.28,116.23,115.00,115.47,1452862
6-May-16,113.82,115.67,113.35,115.55,1917402
5-May-16,113.65,114.43,113.47,114.08,1704623
4-May-16,112.26,113.91,112.26,113.55,1821862
3-May-16,113.48,113.88,112.25,113.30,2026424
2-May-16,112.90,114.70,112.31,114.40,2290818
29-Apr-16,114.19,114.19,112.29,112.92,2451129
28-Apr-16,114.99,116.04,113.98,114.33,2028155
27-Apr-16,114.14,115.67,114.14,115.48,1990597
26-Apr-16,114.41,115.06,113.84,114.61,2177413
25-Apr-16,113.86,114.25,113.24,114.10,1805592
22-Apr-16,114.00,114.96,113.64,113.95,2634569
21-Apr-16,115.33,116.17,114.44,114.48,2327084
20-Apr-16,115.50,116.18,115.09,115.54,2220911
19-Apr-16,115.61,115.83,114.38,115.10,1822998
18-Apr-16,114.27,115.68,113.95,115.59,2237268
15-Apr-16,114.76,115.31,114.34,114.82,2295293
14-Apr-16,115.00,115.27,114.14,114.75,2062235
13-Apr-16,113.87,115.02,113.47,114.96,4350800
12-Apr-16,113.33,114.50,112.92,114.39,2715406
11-Apr-16,112.94,114.00,112.80,113.10,2460567
8-Apr-16,112.92,113.23,111.85,112.83,1627291
7-Apr-16,113.73,114.02,111.79,112.10,3068873
6-Apr-16,113.99,114.95,113.74,114.67,2918856
