Date,Open,High,Low,Close,Volume
9-Dec-16,74.54,74.82,72.49,73.14,2106681
8-Dec-16,72.99,74.25,72.75,73.88,2153639
7-Dec-16,70.98,72.96,70.52,72.94,2648413
6-Dec-16,71.02,71.50,70.26,71.00,2196847
5-Dec-16,70.84,71.23,70.15,70.60,2445010
2-Dec-16,68.66,70.26,68.42,70.11,3248119
1-Dec-16,73.56,74.18,68.66,69.01,5518525
30-Nov-16,74.36,74.75,73.62,74.24,3803292
29-Nov-16,74.17,74.86,73.45,74.53,2917965
28-Nov-16,74.01,74.46,73.53,74.16,3126685
25-Nov-16,73.45,74.32,72.91,74.20,1998287
23-Nov-16,73.67,74.11,72.61,73.59,5923012
22-Nov-16,73.05,74.87,72.52,72.89,7844320
21-Nov-16,68.75,69.91,68.71,69.82,3583465
18-Nov-16,67.92,68.58,67.62,68.47,1580079
17-Nov-16,67.89,68.32,67.38,68.21,1610762
16-Nov-16,68.14,68.50,67.68,67.88,3532334
15-Nov-16,66.73,68.49,66.47,68.21,3345093
14-Nov-16,65.42,66.82,65.33,66.46,4326318
11-Nov-16,64.29,65.44,64.10,65.32,2172195
10-Nov-16,65.21,65.97,63.45,64.25,2189018
9-Nov-16,63.08,65.29,62.50,64.97,2448840
8-Nov-16,64.08,65.40,63.71,64.85,2224478
7-Nov-16,64.53,64.55,63.96,64.36,2982679
4-Nov-16,62.89,64.02,62.89,63.43,2136527
3-Nov-16,63.75,64.03,63.34,63.85,2329504
2-Nov-16,63.79,64.18,63.40,63.66,2359632
1-Nov-16,64.40,64.40,62.84,63.60,3643421
31-Oct-16,64.04,64.44,63.74,64.10,2175818
28-Oct-16,63.45,64.29,63.35,63.53,2412153
27-Oct-16,63.87,64.16,63.06,63.27,2067995
26-Oct-16,63.57,63.75,63.10,63.44,2576590
25-Oct-16,64.02,64.26,63.74,64.06,3077982
24-Oct-16,63.53,64.05,63.44,64.02,1316285
21-Oct-16,63.13,63.33,62.22,62.91,1827129
20-Oct-16,62.28,63.68,61.67,63.47,4556524
19-Oct-16,61.84,62.07,61.27,61.91,1380441
18-Oct-16,62.33,62.84,62.02,62.14,2759160
17-Oct-16,61.65,62.29,61.33,61.70,2475889
14-Oct-16,61.11,62.71,60.97,62.06,3834677
13-Oct-16,60.80,60.86,59.54,60.71,3570863
12-Oct-16,62.15,62.16,60.70,61.19,3305068
11-Oct-16,63.31,63.65,61.64,62.10,3533134
10-Oct-16,64.78,64.88,63.34,63.35,2117272
7-Oct-16,64.62,64.62,63.74,64.42,1852115
6-Oct-16,64.60,64.83,64.04,64.74,1355332
5-Oct-16,64.48,65.18,63.80,64.68,2089080
4-Oct-16,64.21,64.93,63.98,64.24,1572049
3-Oct-16,64.29,64.74,64.06,64.25,1921072
30-Sep-16,64.14,64.98,63.41,64.45,3104694
29-Sep-16,63.99,64.27,62.93,63.74,1820057
28-Sep-16,64.02,64.13,63.27,63.93,2313234
27-Sep-16,62.28,63.93,61.81,63.81,2551061
26-Sep-16,62.79,62.98,62.22,62.28,3196399
23-Sep-16,63.70,63.82,63.23,63.23,3185537
22-Sep-16,63.89,64.02,63.37,63.68,2323994
21-Sep-16,62.60,63.40,62.52,63.30,2042296
20-Sep-16,62.69,62.91,62.25,62.34,2304243
19-Sep-16,62.42,63.05,62.21,62.46,2167214
16-Sep-16,62.77,62.85,61.46,62.05,2947780
15-Sep-16,60.88,62.72,60.87,62.65,3235543
14-Sep-16,60.51,61.18,60.12,60.92,1908652
13-Sep-16,60.39,60.87,59.94,60.45,3161657
12-Sep-16,59.13,60.67,59.01,60.62,2520706
9-Sep-16,60.83,61.12,59.37,59.62,3609639
8-Sep-16,61.66,61.80,61.12,61.41,2025771
7-Sep-16,62.54,62.86,61.44,61.65,2215593
6-Sep-16,63.24,63.43,62.51,62.73,1779421
2-Sep-16,63.29,63.53,62.91,63.15,1989268
1-Sep-16,62.10,63.07,61.60,63.06,1813998
31-Aug-16,62.90,62.96,62.36,62.56,1860575
30-Aug-16,63.06,63.35,62.65,62.90,1432509
29-Aug-16,63.09,63.45,62.81,62.89,1512936
26-Aug-16,63.00,63.53,62.57,62.96,2144860
25-Aug-16,62.82,63.04,62.56,62.72,2336706
24-Aug-16,63.59,63.84,62.70,62.70,2613121
23-Aug-16,64.38,64.74,63.79,63.80,1935956
22-Aug-16,64.40,64.41,63.75,63.84,1942015
19-Aug-16,63.92,64.58,63.83,64.14,1965377
18-Aug-16,64.30,64.85,63.75,64.13,2130647
17-Aug-16,64.26,64.84,63.16,64.20,3247680
16-Aug-16,65.15,65.15,64.59,64.88,2476438
15-Aug-16,64.24,65.49,64.24,65.27,2534051
12-Aug-16,64.06,64.36,63.77,64.24,1357770
11-Aug-16,63.99,64.14,62.87,64.14,1325096
10-Aug-16,64.00,64.00,63.16,63.79,2054856
9-Aug-16,63.88,64.15,63.62,63.82,1933754
8-Aug-16,63.83,63.94,63.29,63.44,1839219
5-Aug-16,63.50,63.73,63.07,63.69,1843420
4-Aug-16,63.07,63.39,62.70,63.34,1783760
3-Aug-16,62.65,63.58,62.24,62.87,1899912
2-Aug-16,63.78,63.84,62.49,62.84,2740483
1-Aug-16,64.19,64.32,63.54,63.98,2669902
29-Jul-16,64.20,64.44,63.50,63.83,3241859
28-Jul-16,63.46,64.39,62.75,64.22,4724066
27-Jul-16,66.78,66.91,62.95,63.33,14962962
26-Jul-16,61.15,64.22,61.08,62.87,5045954
25-Jul-16,60.49,60.59,60.20,60.53,1195634
22-Jul-16,60.05,60.44,59.66,60.40,823680
21-Jul-16,60.65,60.65,59.72,59.95,1379456
20-Jul-16,60.43,60.92,60.15,60.69,1397803
19-Jul-16,60.09,60.48,59.89,60.27,1366072
18-Jul-16,60.50,60.83,60.26,60.43,1836765
15-Jul-16,60.25,60.25,59.97,60.15,1985333
14-Jul-16,60.00,60.18,59.67,60.02,1721921
13-Jul-16,59.27,59.62,58.99,59.52,2478024
12-Jul-16,58.68,59.03,58.26,58.99,1311340
11-Jul-16,57.99,58.55,57.84,58.25,1788541
8-Jul-16,56.51,57.79,56.43,57.74,2287085
7-Jul-16,55.49,56.36,55.29,55.95,1382024
6-Jul-16,55.15,55.60,54.55,55.46,1434020
5-Jul-16,55.99,56.40,55.04,55.36,1711623
1-Jul-16,56.15,56.92,55.84,56.63,1910891
30-Jun-16,55.75,56.69,55.40,56.64,2573300
