Date,Open,High,Low,Close,Volume
9-Dec-16,45.93,46.56,45.53,46.56,2997085
8-Dec-16,45.04,46.05,44.98,45.97,3303444
7-Dec-16,44.66,45.26,44.54,45.20,4164253
6-Dec-16,44.00,45.00,43.99,44.68,3397817
5-Dec-16,44.12,44.35,43.50,43.90,2925478
2-Dec-16,44.42,44.74,43.92,44.00,3289978
1-Dec-16,43.15,44.40,43.15,44.31,3983866
30-Nov-16,42.86,43.47,42.85,43.23,3529343
29-Nov-16,43.17,43.25,42.61,42.77,3203893
28-Nov-16,43.51,43.69,42.99,43.11,2867335
25-Nov-16,43.47,43.57,43.24,43.55,1776687
23-Nov-16,43.57,43.64,42.92,43.25,4138631
22-Nov-16,43.86,43.92,43.20,43.51,2733564
21-Nov-16,43.38,43.97,43.38,43.65,2727715
18-Nov-16,42.92,43.61,42.92,43.49,3289861
17-Nov-16,43.28,43.35,42.76,43.00,3595439
16-Nov-16,43.68,43.68,42.76,43.26,3435910
15-Nov-16,42.86,43.52,42.85,43.49,4292804
14-Nov-16,41.58,42.97,41.44,42.88,5139734
11-Nov-16,43.57,43.79,41.60,41.73,7004536
10-Nov-16,46.42,46.57,45.05,45.18,3959864
9-Nov-16,46.84,46.92,45.07,46.28,5372568
8-Nov-16,46.95,47.88,46.93,47.72,3131985
7-Nov-16,47.46,47.59,46.93,47.05,3425947
4-Nov-16,47.38,47.55,46.89,46.92,2804080
3-Nov-16,47.05,47.87,47.05,47.43,4376488
2-Nov-16,46.75,47.88,46.66,47.26,6221043
1-Nov-16,45.37,47.34,45.36,46.75,9705990
31-Oct-16,43.70,44.20,43.51,43.57,3867303
28-Oct-16,43.17,43.96,43.10,43.59,2628577
27-Oct-16,43.37,43.42,42.76,43.08,2156683
26-Oct-16,42.42,43.45,42.31,43.28,2856310
25-Oct-16,42.62,42.83,42.38,42.53,1879561
24-Oct-16,42.60,42.97,42.37,42.51,1324330
21-Oct-16,41.92,42.43,41.61,42.32,1721734
20-Oct-16,42.12,42.51,41.98,42.18,2044776
19-Oct-16,41.96,42.27,41.49,42.22,1797611
18-Oct-16,42.24,42.38,41.97,41.98,2143688
17-Oct-16,42.13,42.30,41.78,41.85,2054731
14-Oct-16,42.42,42.85,42.13,42.13,1790042
13-Oct-16,41.96,42.53,41.63,42.25,2155561
12-Oct-16,42.32,42.65,42.10,42.39,1823783
11-Oct-16,43.17,43.28,42.07,42.34,2316559
10-Oct-16,42.91,43.32,42.86,43.27,1885862
7-Oct-16,43.20,43.26,42.48,42.65,1782482
6-Oct-16,43.07,43.46,43.03,43.16,2433860
5-Oct-16,42.79,43.46,42.66,43.27,2629671
4-Oct-16,42.80,43.52,42.70,42.79,3343554
3-Oct-16,41.98,42.97,41.95,42.90,3024587
30-Sep-16,41.70,42.39,41.59,42.17,2848458
29-Sep-16,41.81,42.16,41.38,41.53,2146245
