Date,Open,High,Low,Close,Volume
9-Dec-16,98.07,98.30,97.57,98.22,3350650
8-Dec-16,97.53,98.36,97.36,98.19,2075682
7-Dec-16,95.33,97.72,95.33,97.57,2245264
6-Dec-16,96.15,96.45,95.15,96.00,1817753
5-Dec-16,95.86,96.22,95.45,96.05,2485664
2-Dec-16,95.46,96.10,94.99,95.24,1711203
1-Dec-16,95.99,96.20,95.20,95.77,2056944
30-Nov-16,97.14,97.54,96.01,96.02,2812477
29-Nov-16,96.71,97.37,96.43,97.04,1590936
28-Nov-16,96.63,96.94,96.00,96.57,1968349
25-Nov-16,96.68,97.15,96.50,96.92,724798
23-Nov-16,96.59,97.43,96.47,96.65,2968015
22-Nov-16,95.65,96.59,95.34,96.39,2433464
21-Nov-16,94.47,95.62,94.38,95.59,2251978
18-Nov-16,94.31,94.60,93.95,94.39,1636557
17-Nov-16,93.15,94.43,93.09,94.38,2030773
16-Nov-16,92.34,93.35,91.60,93.27,1962015
15-Nov-16,92.13,92.62,91.88,92.34,2034154
14-Nov-16,91.40,92.36,90.90,91.89,2961381
11-Nov-16,90.94,91.94,90.45,91.08,2098022
10-Nov-16,91.44,91.89,90.13,91.39,2555420
9-Nov-16,87.89,91.20,87.58,90.90,2861443
8-Nov-16,90.75,91.60,90.55,91.15,1668288
7-Nov-16,90.35,90.86,89.94,90.60,2244789
4-Nov-16,88.03,89.75,88.03,89.08,2093152
3-Nov-16,89.97,90.00,88.91,89.33,2514517
2-Nov-16,88.10,90.89,88.10,89.98,5357148
1-Nov-16,87.30,87.50,86.53,86.92,3065622
31-Oct-16,87.57,87.71,86.98,87.06,2488570
28-Oct-16,86.74,87.65,86.60,87.16,2129318
27-Oct-16,87.36,87.43,86.63,86.66,1773701
26-Oct-16,87.26,87.74,87.02,87.19,1331494
25-Oct-16,87.55,87.75,87.20,87.50,1299210
24-Oct-16,87.34,87.81,87.19,87.67,1025500
21-Oct-16,86.49,86.82,85.48,86.72,1277715
20-Oct-16,87.20,87.56,86.49,86.84,1420374
19-Oct-16,87.58,87.73,87.34,87.43,906356
18-Oct-16,88.12,88.37,87.32,87.38,1109553
17-Oct-16,87.58,87.70,86.98,87.24,1235269
14-Oct-16,87.32,88.05,86.91,87.56,1381436
