Date,Open,High,Low,Close,Volume
9-Dec-16,82.29,83.08,80.66,81.11,2371297
8-Dec-16,80.58,82.77,80.00,81.74,4003357
7-Dec-16,76.26,80.92,75.42,80.34,7717440
6-Dec-16,71.27,77.87,70.73,76.32,7002108
5-Dec-16,70.44,72.41,70.15,71.18,2230221
2-Dec-16,69.02,70.87,68.06,70.57,3173622
1-Dec-16,72.77,73.24,69.00,69.22,4349874
30-Nov-16,72.71,74.72,70.55,72.61,8438398
29-Nov-16,75.31,75.98,75.03,75.26,2834539
28-Nov-16,75.52,76.31,74.93,75.18,1614447
25-Nov-16,75.51,76.18,75.05,75.83,786332
23-Nov-16,75.04,75.45,74.00,75.15,1352249
22-Nov-16,75.49,75.78,74.68,75.21,1990244
21-Nov-16,77.40,77.65,75.44,75.52,2183339
18-Nov-16,78.21,78.40,76.48,76.90,2243358
17-Nov-16,77.54,78.58,77.08,78.46,1774738
16-Nov-16,74.92,78.42,74.79,77.57,4173256
15-Nov-16,73.86,75.75,73.75,75.15,2192775
14-Nov-16,74.37,75.18,73.44,73.55,2451590
11-Nov-16,73.20,74.04,72.88,73.81,2710504
10-Nov-16,73.50,75.18,71.68,73.49,2917554
9-Nov-16,69.54,73.93,69.51,72.63,3060867
8-Nov-16,71.77,72.99,71.36,72.69,1519589
7-Nov-16,70.81,72.12,70.32,72.00,2361589
4-Nov-16,67.15,70.24,67.15,69.44,2714110
3-Nov-16,68.91,69.21,67.52,67.61,1422980
2-Nov-16,70.18,70.40,67.87,68.68,2032670
1-Nov-16,72.40,72.40,69.38,70.10,1957511
31-Oct-16,72.29,72.66,71.48,72.28,1397631
28-Oct-16,70.71,72.44,70.59,71.86,1502059
27-Oct-16,71.22,72.12,70.46,70.58,1216293
26-Oct-16,71.23,72.00,70.60,70.66,1118942
25-Oct-16,72.07,72.41,70.92,71.36,1754365
24-Oct-16,71.73,72.75,71.20,72.22,1342082
21-Oct-16,70.85,71.34,70.00,71.18,1117542
20-Oct-16,70.75,71.40,70.07,71.13,1127374
19-Oct-16,70.13,70.94,69.86,70.78,957167
18-Oct-16,69.92,70.32,69.55,70.13,1047236
17-Oct-16,69.33,69.86,68.77,68.85,1080445
14-Oct-16,71.23,71.23,69.29,69.46,1169268
13-Oct-16,69.66,69.70,68.40,69.29,1690586
