Date,Open,High,Low,Close,Volume
9-Dec-16,60.30,60.99,60.25,60.99,2329412
8-Dec-16,59.81,60.36,59.35,60.18,2877593
7-Dec-16,59.73,60.34,59.46,60.25,2444672
6-Dec-16,59.39,59.64,59.01,59.47,3343439
5-Dec-16,58.43,59.22,57.90,59.20,3400602
2-Dec-16,58.63,59.17,58.33,58.70,2130017
1-Dec-16,58.82,58.89,57.89,58.16,3539252
30-Nov-16,60.50,60.50,59.05,59.05,3515291
29-Nov-16,60.63,61.45,60.59,61.27,2770373
28-Nov-16,60.00,61.14,59.95,60.90,2705334
25-Nov-16,59.07,59.95,59.05,59.72,984818
23-Nov-16,58.64,59.25,58.60,58.82,2438466
22-Nov-16,59.32,59.39,58.88,59.17,4091374
21-Nov-16,58.62,59.38,58.61,59.32,2462338
18-Nov-16,58.84,59.23,58.31,58.44,2775742
17-Nov-16,58.80,59.32,58.80,58.86,2306133
16-Nov-16,59.46,59.68,58.53,58.99,2755393
15-Nov-16,58.97,59.74,58.95,59.46,3537934
14-Nov-16,59.59,59.68,58.16,58.72,7074577
11-Nov-16,59.76,60.88,59.55,59.99,3539837
10-Nov-16,61.00,61.00,58.57,59.74,5057574
9-Nov-16,62.01,62.01,61.02,61.25,3160934
8-Nov-16,62.89,63.68,62.86,63.23,2970789
7-Nov-16,62.63,63.28,61.62,63.24,3102530
4-Nov-16,63.25,63.74,62.36,62.40,2966923
3-Nov-16,62.47,63.37,62.18,62.92,2401806
2-Nov-16,62.74,62.89,61.92,62.61,3156164
1-Nov-16,64.55,64.90,63.11,63.38,4536329
31-Oct-16,63.59,65.25,63.57,64.84,4076402
28-Oct-16,63.23,63.85,63.16,63.41,2351889
27-Oct-16,63.31,63.47,62.76,63.19,2305032
26-Oct-16,63.35,63.87,62.94,63.53,2250805
25-Oct-16,62.82,63.71,62.77,63.46,2535075
24-Oct-16,62.76,63.13,62.48,63.03,1677416
21-Oct-16,62.59,62.80,62.20,62.48,1782741
20-Oct-16,63.22,63.41,62.77,62.91,1682700
19-Oct-16,63.38,63.44,62.86,63.19,2351365
18-Oct-16,63.27,63.48,62.46,63.37,2833853
17-Oct-16,62.50,63.14,62.43,62.97,2767877
14-Oct-16,62.25,62.84,61.97,62.30,2490069
13-Oct-16,61.86,63.01,61.80,62.53,3456987
12-Oct-16,61.43,62.19,61.43,62.00,2648442
11-Oct-16,61.98,62.28,61.28,61.34,2157746
10-Oct-16,61.97,62.31,61.72,62.21,1633689
7-Oct-16,62.70,63.15,61.75,61.79,3345269
6-Oct-16,62.07,62.51,61.72,62.25,3195839
5-Oct-16,62.19,63.03,61.98,62.18,3825863
4-Oct-16,63.47,63.47,61.82,62.18,3586483
3-Oct-16,64.04,64.06,63.05,63.51,2813361
30-Sep-16,64.80,65.07,63.75,64.21,4152613
29-Sep-16,65.42,65.42,64.10,64.50,3632120
28-Sep-16,65.65,65.78,64.78,65.36,2516232
27-Sep-16,66.66,66.96,65.37,65.50,2229779
26-Sep-16,66.66,66.74,66.15,66.36,1745753
23-Sep-16,66.48,66.87,66.09,66.66,2031124
22-Sep-16,66.51,66.79,66.20,66.60,2582455
21-Sep-16,64.95,66.27,64.91,66.19,3381417
20-Sep-16,65.23,65.69,65.01,65.01,2233058
19-Sep-16,65.00,65.49,64.81,65.42,2185863
16-Sep-16,64.16,64.88,63.88,64.81,3751526
15-Sep-16,63.94,64.48,63.71,64.30,2461836
14-Sep-16,64.76,64.76,63.70,64.02,2820620
13-Sep-16,64.52,64.90,63.56,63.81,3845791
12-Sep-16,63.68,64.89,63.68,64.71,2815071
9-Sep-16,65.51,65.60,63.62,63.71,3341289
8-Sep-16,65.89,66.35,65.77,66.10,1834065
7-Sep-16,65.97,66.24,65.65,66.05,1992804
6-Sep-16,65.51,66.17,65.40,66.04,2430990
2-Sep-16,64.57,65.37,64.48,65.24,2206681
1-Sep-16,64.41,64.70,64.22,64.41,2030777
31-Aug-16,64.55,64.61,64.07,64.57,3163296
30-Aug-16,65.21,65.50,64.26,64.32,3295131
29-Aug-16,64.87,65.37,64.82,65.18,2269259
26-Aug-16,66.42,66.91,64.63,64.69,3314639
25-Aug-16,66.41,66.64,66.22,66.37,1594196
24-Aug-16,66.12,66.47,65.76,66.34,1584100
23-Aug-16,66.64,66.99,66.28,66.28,1858475
22-Aug-16,66.56,66.90,66.32,66.52,1595111
19-Aug-16,67.11,67.36,66.14,66.37,2056772
18-Aug-16,66.37,67.42,66.27,67.40,3464238
17-Aug-16,65.75,66.62,65.08,66.50,3340030
16-Aug-16,66.36,66.44,65.68,65.68,2380905
15-Aug-16,67.71,67.80,66.49,66.52,1943847
12-Aug-16,67.94,68.18,67.51,67.55,1373256
11-Aug-16,67.60,67.73,67.21,67.72,2133553
10-Aug-16,67.47,67.76,67.22,67.56,1289089
9-Aug-16,67.19,67.60,66.99,67.39,1747173
8-Aug-16,67.44,67.84,67.00,67.15,1876469
5-Aug-16,68.48,68.56,67.63,67.85,3774802
4-Aug-16,68.57,69.04,68.39,68.64,1797590
3-Aug-16,68.84,69.03,68.12,68.45,1959429
2-Aug-16,68.95,69.26,68.58,69.01,1894225
1-Aug-16,68.87,69.48,68.87,69.31,1669534
29-Jul-16,68.84,69.56,68.82,69.30,2490159
28-Jul-16,68.97,69.22,68.58,68.92,2641214
27-Jul-16,69.54,69.63,68.25,68.86,3190530
26-Jul-16,70.24,70.27,69.33,69.74,2375136
25-Jul-16,70.08,70.16,69.45,69.77,1966570
22-Jul-16,69.47,70.25,69.16,70.06,2452846
21-Jul-16,69.18,69.45,68.70,69.43,3198286
20-Jul-16,69.80,69.87,69.21,69.35,1458523
19-Jul-16,70.00,70.10,69.32,69.77,1821588
18-Jul-16,69.73,70.12,69.68,69.95,1581401
15-Jul-16,69.44,69.74,69.17,69.64,2264316
14-Jul-16,69.46,69.90,69.15,69.38,2473277
13-Jul-16,69.92,70.14,69.63,70.01,2007135
12-Jul-16,70.25,70.42,69.51,69.58,2866106
11-Jul-16,70.43,70.76,69.68,70.70,2065126
8-Jul-16,70.02,70.81,69.45,70.71,2690534
7-Jul-16,70.96,70.98,70.12,70.28,2989803
6-Jul-16,70.81,71.32,70.43,71.27,2990387
5-Jul-16,70.29,70.92,70.15,70.81,1935179
1-Jul-16,70.46,70.49,69.45,70.14,2113614
30-Jun-16,68.82,70.10,68.58,70.09,2858386
29-Jun-16,68.90,69.08,68.32,68.72,2522403
