Date,Open,High,Low,Close,Volume
9-Dec-16,11.85,11.96,11.70,11.92,4492687
8-Dec-16,11.57,11.92,11.51,11.84,4463478
7-Dec-16,11.39,11.64,11.35,11.62,5863292
6-Dec-16,11.39,11.46,11.30,11.33,4712436
5-Dec-16,11.16,11.39,11.07,11.34,6499240
2-Dec-16,11.09,11.30,11.06,11.18,5521035
1-Dec-16,11.36,11.46,10.98,11.03,5480033
30-Nov-16,11.73,11.79,11.45,11.45,5507069
29-Nov-16,11.88,12.01,11.84,11.88,6530491
28-Nov-16,11.72,11.97,11.72,11.94,5435373
25-Nov-16,11.34,11.64,11.34,11.63,2851423
23-Nov-16,11.29,11.44,11.25,11.34,5093548
22-Nov-16,11.42,11.50,11.32,11.41,5732295
21-Nov-16,11.45,11.62,11.37,11.55,4347679
18-Nov-16,11.42,11.67,11.38,11.40,6746816
17-Nov-16,11.35,11.51,11.31,11.43,3138857
16-Nov-16,11.50,11.53,11.25,11.35,4207765
15-Nov-16,11.27,11.56,11.27,11.54,6126392
14-Nov-16,11.19,11.25,11.08,11.22,10628501
11-Nov-16,11.53,11.57,11.13,11.26,5538869
10-Nov-16,11.98,12.02,11.41,11.47,6489283
9-Nov-16,12.30,12.30,11.91,12.01,6599042
8-Nov-16,12.44,12.48,12.29,12.43,4825106
7-Nov-16,12.27,12.43,12.21,12.41,6915229
4-Nov-16,11.52,12.47,11.25,12.11,10314545
3-Nov-16,11.46,11.84,11.44,11.75,6656169
2-Nov-16,11.59,11.59,11.25,11.46,9286360
1-Nov-16,11.77,11.81,11.60,11.65,5119969
31-Oct-16,11.70,11.92,11.68,11.77,5699894
28-Oct-16,11.72,11.82,11.59,11.65,6259477
27-Oct-16,12.00,12.05,11.76,11.82,4578720
26-Oct-16,11.98,12.04,11.88,12.00,3757924
25-Oct-16,12.01,12.08,11.91,12.02,3173319
24-Oct-16,12.11,12.14,11.96,12.05,3445779
21-Oct-16,11.94,12.08,11.87,12.02,4317496
20-Oct-16,12.15,12.26,12.04,12.05,4042413
19-Oct-16,11.90,12.16,11.88,12.12,5087998
18-Oct-16,11.85,11.95,11.74,11.87,5544302
17-Oct-16,11.60,11.73,11.60,11.71,6197650
14-Oct-16,11.72,11.88,11.55,11.57,5647506
13-Oct-16,11.61,11.85,11.51,11.73,5451984
12-Oct-16,11.54,11.72,11.50,11.67,5039778
11-Oct-16,11.62,11.65,11.45,11.52,4010074
10-Oct-16,11.67,11.76,11.61,11.67,4412851
7-Oct-16,11.73,11.83,11.58,11.59,6837857
6-Oct-16,11.79,11.83,11.60,11.66,8281937
5-Oct-16,12.00,12.06,11.77,11.86,14013528
4-Oct-16,12.38,12.38,11.87,11.95,9760238
3-Oct-16,12.64,12.75,12.21,12.47,8951245
30-Sep-16,12.91,13.00,12.82,12.85,5867949
29-Sep-16,13.14,13.14,12.80,12.90,6109405
28-Sep-16,13.13,13.16,12.96,13.15,5722533
27-Sep-16,13.10,13.14,12.87,13.08,4674105
26-Sep-16,13.23,13.27,13.10,13.12,2636128
23-Sep-16,13.13,13.32,13.10,13.26,3955833
22-Sep-16,13.17,13.22,13.00,13.19,3388915
21-Sep-16,12.81,13.11,12.78,13.10,5100929
20-Sep-16,12.74,12.84,12.67,12.78,4173307
19-Sep-16,12.59,12.73,12.52,12.70,3410750
16-Sep-16,12.48,12.57,12.35,12.54,5634683
15-Sep-16,12.27,12.62,12.22,12.55,5541724
14-Sep-16,12.42,12.58,12.26,12.32,5306128
13-Sep-16,12.49,12.54,12.30,12.39,5888257
12-Sep-16,12.28,12.65,12.24,12.59,6041463
9-Sep-16,12.79,12.82,12.32,12.33,4979773
8-Sep-16,13.00,13.03,12.88,12.95,6269937
7-Sep-16,12.85,13.08,12.80,13.03,8097152
6-Sep-16,12.30,12.85,12.25,12.84,7370491
2-Sep-16,12.04,12.26,12.04,12.23,3502161
1-Sep-16,12.07,12.09,11.84,12.01,5600329
31-Aug-16,12.00,12.08,11.92,12.07,6618523
30-Aug-16,12.16,12.18,11.98,12.02,3245651
29-Aug-16,12.07,12.22,12.02,12.15,2851358
26-Aug-16,12.16,12.31,11.96,12.02,5161432
25-Aug-16,12.09,12.16,12.02,12.11,2631868
24-Aug-16,12.17,12.18,12.04,12.08,2799586
23-Aug-16,12.35,12.40,12.17,12.18,4733308
22-Aug-16,12.22,12.32,12.16,12.29,2751051
19-Aug-16,12.40,12.41,12.16,12.22,4115603
18-Aug-16,12.27,12.50,12.24,12.50,5215520
17-Aug-16,12.00,12.31,11.89,12.28,6745135
16-Aug-16,12.01,12.08,11.95,12.00,5935006
15-Aug-16,12.24,12.33,12.09,12.09,3011722
12-Aug-16,12.24,12.37,12.20,12.22,3451913
11-Aug-16,12.19,12.24,12.11,12.24,3343717
10-Aug-16,12.05,12.19,12.05,12.18,3237256
9-Aug-16,12.18,12.25,12.03,12.07,3806025
8-Aug-16,12.28,12.32,12.14,12.18,3218185
5-Aug-16,12.44,12.52,12.10,12.23,6722797
4-Aug-16,12.38,12.44,12.21,12.41,3850873
3-Aug-16,12.21,12.59,12.14,12.40,4452692
2-Aug-16,12.14,12.23,12.07,12.18,4365379
1-Aug-16,12.33,12.37,12.13,12.17,4826519
29-Jul-16,12.22,12.40,12.13,12.35,5621382
28-Jul-16,12.24,12.30,12.10,12.25,2243981
27-Jul-16,12.62,12.66,12.26,12.37,4206968
26-Jul-16,12.66,12.68,12.54,12.61,3532385
25-Jul-16,12.64,12.72,12.60,12.67,3189091
22-Jul-16,12.58,12.68,12.52,12.65,2738356
21-Jul-16,12.55,12.61,12.47,12.59,3563489
20-Jul-16,12.50,12.58,12.39,12.56,3038502
19-Jul-16,12.50,12.52,12.35,12.51,3343406
18-Jul-16,12.63,12.63,12.51,12.57,2273702
15-Jul-16,12.55,12.68,12.52,12.63,3749596
14-Jul-16,12.64,12.68,12.44,12.52,2987457
13-Jul-16,12.57,12.64,12.40,12.63,5046495
12-Jul-16,12.57,12.68,12.47,12.48,3396785
11-Jul-16,12.32,12.56,12.24,12.55,3808214
8-Jul-16,12.15,12.32,12.03,12.32,4182449
7-Jul-16,12.21,12.26,12.00,12.10,4849624
6-Jul-16,12.13,12.25,12.02,12.23,4760601
5-Jul-16,12.25,12.29,12.05,12.20,5444374
