Date,Open,High,Low,Close,Volume
9-Dec-16,68.78,69.21,67.50,69.06,4460264
8-Dec-16,69.76,70.15,69.42,69.62,2309256
7-Dec-16,68.54,69.59,68.40,69.46,2362297
6-Dec-16,68.75,68.85,68.15,68.58,3293893
5-Dec-16,68.64,68.99,68.18,68.69,3036291
2-Dec-16,70.00,70.26,68.15,68.29,4695274
1-Dec-16,71.52,71.60,70.13,70.48,2972782
30-Nov-16,71.76,71.93,71.25,71.38,2149609
29-Nov-16,71.11,71.61,71.07,71.28,1143129
28-Nov-16,71.31,71.61,70.83,70.99,1442582
25-Nov-16,71.62,71.91,71.34,71.73,594374
23-Nov-16,71.45,71.89,71.11,71.62,1579666
22-Nov-16,71.78,71.80,70.95,71.18,2185312
21-Nov-16,72.52,72.85,71.55,71.65,2096857
18-Nov-16,72.36,72.77,72.15,72.50,2493856
17-Nov-16,71.77,72.62,71.65,72.39,1586830
16-Nov-16,72.08,72.34,71.75,71.83,1808918
15-Nov-16,72.07,72.50,71.58,72.50,2012955
14-Nov-16,72.72,73.56,72.18,72.28,2514119
11-Nov-16,72.83,73.31,72.28,72.61,1845929
10-Nov-16,72.22,73.95,71.72,73.25,2908887
9-Nov-16,70.44,72.07,69.85,71.60,2518511
8-Nov-16,69.59,70.43,69.34,70.09,1548698
7-Nov-16,69.48,69.72,69.36,69.59,1669362
4-Nov-16,69.00,69.06,68.37,68.56,1976387
3-Nov-16,68.72,69.22,68.58,68.84,1686037
2-Nov-16,68.39,68.81,68.17,68.39,1147293
1-Nov-16,69.18,69.21,67.92,68.39,1797823
31-Oct-16,68.86,69.18,68.72,68.87,2136969
28-Oct-16,70.48,70.99,68.22,68.51,2726381
27-Oct-16,70.17,70.39,69.56,70.21,2270530
26-Oct-16,69.24,70.01,69.24,69.80,1206881
25-Oct-16,70.00,70.00,69.32,69.64,1313114
24-Oct-16,69.73,70.14,69.63,70.02,1377685
21-Oct-16,69.17,69.55,68.67,69.38,1766431
20-Oct-16,70.32,70.54,69.66,69.76,1721620
19-Oct-16,70.51,71.00,70.41,70.54,2153067
18-Oct-16,71.12,71.22,70.12,70.30,1910614
17-Oct-16,70.98,71.00,70.56,70.62,1296800
14-Oct-16,71.14,71.77,70.91,70.96,1214704
13-Oct-16,71.00,71.26,70.16,70.61,1590701
12-Oct-16,71.02,71.73,71.01,71.62,1611941
11-Oct-16,71.59,71.64,70.73,70.98,1350623
10-Oct-16,71.64,72.02,71.55,71.68,1036140
7-Oct-16,71.67,72.02,71.24,71.38,1246319
6-Oct-16,72.06,72.20,71.65,72.07,1197572
5-Oct-16,71.72,72.08,71.66,71.90,1618558
4-Oct-16,71.70,71.83,71.20,71.50,2665489
3-Oct-16,71.62,71.94,71.25,71.57,1555931
30-Sep-16,71.85,72.28,71.56,71.87,1546004
29-Sep-16,72.42,72.57,71.27,71.56,1280265
28-Sep-16,72.44,72.66,71.91,72.47,1058924
27-Sep-16,71.87,72.61,71.50,72.42,1338661
26-Sep-16,72.31,72.39,71.75,72.02,1537909
23-Sep-16,73.36,73.50,72.74,72.74,1334120
22-Sep-16,73.69,73.95,73.45,73.52,1477723
21-Sep-16,72.92,73.53,72.79,73.50,1746269
20-Sep-16,72.54,72.92,72.15,72.45,1435320
19-Sep-16,71.67,72.32,71.60,72.02,2000808
16-Sep-16,72.02,72.02,71.30,71.34,2413941
15-Sep-16,71.83,72.46,71.81,72.34,1515737
14-Sep-16,71.87,72.26,71.60,71.80,1723052
13-Sep-16,72.64,72.75,71.69,71.83,2141411
12-Sep-16,72.07,73.67,71.72,73.42,2717870
9-Sep-16,72.81,73.34,72.40,72.40,2261111
8-Sep-16,73.54,73.55,72.90,72.94,1608004
7-Sep-16,73.47,73.78,73.26,73.53,1150773
6-Sep-16,73.95,73.95,73.32,73.66,1247337
2-Sep-16,74.08,74.36,73.65,73.99,1184142
1-Sep-16,74.28,74.36,73.37,73.87,1415585
31-Aug-16,74.37,74.50,73.62,74.18,1736987
30-Aug-16,73.78,74.37,73.78,74.28,1380634
29-Aug-16,72.95,73.99,72.92,73.70,1368364
26-Aug-16,72.95,73.58,72.42,72.75,2050389
25-Aug-16,72.52,73.05,72.51,72.99,2153858
24-Aug-16,72.70,72.86,72.56,72.70,1331791
23-Aug-16,72.70,72.99,72.69,72.78,1210290
22-Aug-16,72.25,72.68,72.12,72.64,1111633
19-Aug-16,72.03,73.04,71.67,72.88,1779549
18-Aug-16,72.75,72.75,71.97,72.26,1669467
17-Aug-16,72.41,72.69,72.25,72.67,1372103
16-Aug-16,72.63,72.65,72.20,72.20,1420362
15-Aug-16,72.96,73.15,72.64,72.68,1895732
12-Aug-16,72.89,73.15,72.60,72.69,1243341
11-Aug-16,73.20,73.86,73.05,73.07,2260598
10-Aug-16,73.06,73.18,72.92,73.17,1776759
9-Aug-16,73.00,73.20,72.72,73.11,1425238
8-Aug-16,73.22,73.34,72.93,73.08,1269612
5-Aug-16,72.42,73.32,72.21,73.07,1829361
4-Aug-16,71.79,72.07,71.51,71.96,1476305
3-Aug-16,71.79,72.25,71.53,71.97,1816493
2-Aug-16,71.64,71.80,71.15,71.62,1750683
1-Aug-16,71.91,72.24,71.33,71.58,2671631
29-Jul-16,71.87,73.88,71.12,72.28,3397376
28-Jul-16,73.12,73.51,72.83,73.32,1972684
27-Jul-16,73.59,73.95,73.34,73.36,1534851
26-Jul-16,73.39,73.73,73.26,73.69,1534154
25-Jul-16,73.61,73.61,73.13,73.25,1024769
22-Jul-16,73.47,73.50,73.17,73.49,1385763
21-Jul-16,73.51,73.62,73.16,73.33,1022238
20-Jul-16,73.65,73.76,73.30,73.45,1339873
19-Jul-16,73.05,73.52,72.90,73.21,1424604
18-Jul-16,73.37,73.63,73.19,73.21,1502255
15-Jul-16,73.93,74.14,73.21,73.36,2564606
14-Jul-16,74.00,74.11,73.70,73.70,2385399
13-Jul-16,73.36,73.60,73.11,73.28,1900162
12-Jul-16,73.04,73.53,73.00,73.20,1488280
11-Jul-16,72.50,73.06,72.50,72.66,1883046
8-Jul-16,72.26,72.76,71.91,72.49,1725837
7-Jul-16,72.15,72.16,71.02,71.42,1958020
6-Jul-16,71.27,72.22,71.18,72.21,2291282
5-Jul-16,71.94,72.00,71.28,71.50,2082045
1-Jul-16,72.19,72.80,72.01,72.50,1847439
30-Jun-16,70.19,72.17,70.00,72.16,2574177
29-Jun-16,69.22,70.12,69.07,70.08,1993768
28-Jun-16,68.32,69.11,67.82,68.85,2463956
27-Jun-16,68.45,68.59,67.13,67.33,3561024
24-Jun-16,68.68,70.49,68.56,69.26,3995149
23-Jun-16,71.60,71.97,71.26,71.77,2269620
22-Jun-16,70.69,71.06,70.55,70.84,2012774
21-Jun-16,70.05,70.62,69.88,70.55,2010932
20-Jun-16,69.75,70.21,69.68,69.78,1855280
17-Jun-16,68.78,69.09,68.54,68.79,2248342
16-Jun-16,67.64,68.82,67.42,68.81,1420160
15-Jun-16,68.51,68.73,68.11,68.16,1498700
14-Jun-16,68.29,68.60,68.10,68.31,1538735
13-Jun-16,68.78,69.07,68.29,68.37,1869668
10-Jun-16,68.96,69.34,68.80,68.95,1509618
9-Jun-16,69.55,69.78,69.25,69.70,1542744
8-Jun-16,69.23,69.96,69.09,69.90,1809726
7-Jun-16,69.54,69.74,69.22,69.31,1699705
6-Jun-16,69.36,69.80,68.87,69.35,1612274
3-Jun-16,68.97,69.34,68.53,69.12,1958477
2-Jun-16,69.23,69.59,68.97,69.58,2670123
1-Jun-16,69.01,69.50,68.75,69.41,1792558
31-May-16,69.66,69.86,68.90,69.46,2623415
27-May-16,69.25,69.56,69.17,69.56,1910306
26-May-16,69.77,69.90,69.15,69.18,2297324
25-May-16,69.95,70.09,69.71,69.85,1644193
24-May-16,68.78,69.80,68.78,69.55,3240046
23-May-16,68.47,68.65,68.22,68.50,1832954
20-May-16,68.68,68.85,68.43,68.73,2518104
19-May-16,68.84,68.96,68.02,68.60,2329306
18-May-16,68.41,69.39,68.25,69.00,3049156
17-May-16,69.03,69.15,68.26,68.44,2175101
16-May-16,68.56,69.28,68.46,69.02,3106510
13-May-16,69.12,69.69,68.80,68.87,1916613
12-May-16,69.21,69.44,68.77,69.24,2336879
11-May-16,68.74,69.30,68.55,68.76,1503624
10-May-16,68.42,69.24,68.23,69.18,1917099
9-May-16,68.65,68.98,68.39,68.64,1470685
6-May-16,68.42,68.91,68.18,68.85,1600759
5-May-16,68.48,68.98,68.41,68.66,1971633
4-May-16,68.62,68.76,68.02,68.43,2145924
3-May-16,68.77,69.04,68.26,68.97,2841869
2-May-16,68.47,69.30,68.34,69.13,2273343
29-Apr-16,68.82,69.22,68.52,68.97,3024505
28-Apr-16,69.06,69.60,68.76,69.01,2755777
27-Apr-16,67.90,69.47,67.82,69.32,3079990
26-Apr-16,68.04,68.68,67.74,68.00,2723348
25-Apr-16,67.64,68.00,67.21,67.87,1913868
22-Apr-16,67.51,68.16,67.44,67.92,2638853
21-Apr-16,67.55,68.08,67.34,67.40,1965317
20-Apr-16,67.77,68.31,67.63,68.05,2814633
19-Apr-16,67.25,67.63,67.17,67.56,2653386
18-Apr-16,66.73,67.30,66.42,67.21,2029913
15-Apr-16,66.91,67.23,66.65,66.88,2201271
14-Apr-16,66.80,67.34,66.67,66.97,2533178
13-Apr-16,65.94,66.45,65.75,66.45,2439417
12-Apr-16,64.27,65.60,64.08,65.53,3533886
11-Apr-16,64.02,64.61,63.92,64.04,2143816
8-Apr-16,63.48,64.09,63.45,63.91,2312333
7-Apr-16,63.18,63.63,62.59,63.00,1765851
6-Apr-16,63.71,63.92,63.23,63.66,1624039
5-Apr-16,63.21,64.10,63.21,63.72,2237972
4-Apr-16,64.14,64.15,63.46,63.59,1851491
1-Apr-16,63.00,64.17,62.83,64.12,2213453
31-Mar-16,63.73,63.97,63.08,63.14,2325630
30-Mar-16,63.50,64.33,63.40,63.73,1565902
29-Mar-16,62.93,63.35,62.65,63.18,1443477
28-Mar-16,62.79,63.41,62.79,63.16,1567152
24-Mar-16,62.91,62.94,62.34,62.70,1744713
23-Mar-16,63.46,63.67,63.19,63.40,1918077
22-Mar-16,63.06,63.73,62.85,63.34,1776940
21-Mar-16,63.25,63.68,63.12,63.28,1504749
18-Mar-16,63.66,63.95,63.01,63.52,3881382
17-Mar-16,62.33,63.78,61.86,63.39,2804301
16-Mar-16,61.45,62.62,61.25,62.46,2679744
15-Mar-16,61.23,61.66,61.05,61.55,1815152
14-Mar-16,61.84,62.08,61.51,61.65,2064983
11-Mar-16,61.12,62.35,60.96,62.27,2453894
10-Mar-16,60.53,61.00,59.87,60.37,1905762
9-Mar-16,60.43,60.77,59.66,60.43,2526389
8-Mar-16,60.11,60.58,59.32,60.06,2938431
7-Mar-16,60.58,60.98,60.37,60.55,2505098
4-Mar-16,61.23,61.37,60.69,61.03,2065201
3-Mar-16,61.26,61.38,60.75,60.98,2457356
2-Mar-16,61.02,61.45,60.78,61.41,2081083
1-Mar-16,59.92,61.16,59.92,61.07,2462771
29-Feb-16,60.18,60.44,59.52,59.52,2075135
26-Feb-16,60.58,60.77,60.02,60.17,2084049
25-Feb-16,59.72,60.35,59.15,60.33,1716729
24-Feb-16,58.73,59.82,58.46,59.63,1683079
23-Feb-16,59.64,59.78,59.25,59.37,1573849
22-Feb-16,59.81,60.06,59.43,59.70,2139506
19-Feb-16,58.98,59.35,58.54,59.32,2713581
18-Feb-16,59.08,59.41,58.81,59.16,2078657
17-Feb-16,58.75,59.37,58.70,59.07,2203791
16-Feb-16,58.10,58.36,57.35,58.13,2555897
12-Feb-16,56.52,57.38,56.26,57.31,2595310
11-Feb-16,55.61,56.60,55.24,55.60,3412220
10-Feb-16,58.30,58.86,57.43,57.49,2228388
9-Feb-16,57.51,58.36,57.05,57.93,2695004
8-Feb-16,57.39,58.20,57.04,58.00,2620512
5-Feb-16,57.97,58.49,57.66,58.21,2276936
4-Feb-16,57.14,58.11,56.96,58.02,2270767
3-Feb-16,58.40,58.83,56.08,57.32,2557142
2-Feb-16,56.73,58.62,55.74,57.28,4999108
1-Feb-16,57.36,57.56,56.31,56.51,5640102
29-Jan-16,57.98,58.09,56.55,57.96,5169219
28-Jan-16,57.89,58.49,57.41,58.31,2118432
27-Jan-16,57.41,58.27,56.91,57.45,2511318
26-Jan-16,57.03,57.81,56.94,57.52,1588448
25-Jan-16,57.24,57.63,56.44,56.55,3140840
22-Jan-16,56.72,57.32,56.55,57.27,2193571
21-Jan-16,55.74,56.46,55.35,55.82,2422421
20-Jan-16,55.45,56.18,54.57,55.55,2939233
19-Jan-16,57.08,57.27,56.11,56.49,2764877
15-Jan-16,56.02,57.03,55.88,56.61,3439869
14-Jan-16,57.02,57.89,56.51,57.32,2709359
13-Jan-16,58.32,58.84,56.67,56.91,2792521
12-Jan-16,57.63,57.94,57.02,57.80,2372495
11-Jan-16,57.02,57.29,56.27,57.08,2011792
8-Jan-16,57.67,57.79,56.61,56.71,2230386
7-Jan-16,57.12,58.00,56.93,57.21,2353018
6-Jan-16,58.33,58.61,57.95,58.20,1863736
5-Jan-16,59.17,59.63,58.74,59.10,2049962
4-Jan-16,58.79,59.18,58.20,59.18,2469262
31-Dec-15,60.15,60.55,59.85,59.90,1025769
30-Dec-15,60.85,61.06,60.42,60.52,933246
29-Dec-15,60.77,61.16,60.51,60.94,1194884
28-Dec-15,59.97,60.42,59.81,60.39,1402611
24-Dec-15,60.21,60.54,60.00,60.18,883655
23-Dec-15,59.80,60.42,59.66,60.32,1185523
22-Dec-15,58.58,59.48,58.49,59.28,1717771
21-Dec-15,58.39,58.90,58.09,58.48,1864627
18-Dec-15,59.97,60.00,58.29,58.29,3464933
17-Dec-15,61.71,61.72,60.38,60.38,1978655
16-Dec-15,61.22,61.96,60.98,61.70,2014024
15-Dec-15,60.18,61.28,60.18,60.92,2604657
14-Dec-15,60.02,60.18,58.99,59.54,2375754
