Date,Open,High,Low,Close,Volume
9-Dec-16,65.80,65.99,65.48,65.83,6552997
8-Dec-16,64.98,66.10,64.80,65.82,5196466
7-Dec-16,64.29,64.99,64.21,64.92,5113147
6-Dec-16,64.21,64.36,63.76,64.20,4942566
5-Dec-16,64.14,64.22,63.82,64.22,4705979
2-Dec-16,64.09,64.20,63.69,63.75,5651035
1-Dec-16,63.66,64.15,63.60,64.11,5942660
30-Nov-16,63.69,64.06,63.33,63.33,7627186
29-Nov-16,63.48,63.58,63.25,63.28,4841421
28-Nov-16,63.98,64.50,63.29,63.31,6385295
25-Nov-16,64.02,64.58,64.02,64.44,2073964
23-Nov-16,64.14,64.49,63.82,64.33,4504280
22-Nov-16,64.03,64.12,63.09,64.00,6626666
21-Nov-16,64.00,64.25,63.66,63.92,4177660
18-Nov-16,64.14,64.23,63.45,63.91,4461995
17-Nov-16,63.95,64.46,63.95,64.23,6260655
16-Nov-16,63.94,64.52,63.45,64.10,6185328
15-Nov-16,63.93,64.60,63.73,64.60,8588088
14-Nov-16,63.66,64.72,63.55,64.45,9557516
11-Nov-16,62.93,63.48,62.72,63.32,9673674
10-Nov-16,61.52,63.47,61.50,63.21,12562020
9-Nov-16,60.09,61.16,59.70,60.93,13020992
8-Nov-16,59.11,59.87,58.71,59.50,9238483
7-Nov-16,58.20,59.31,58.12,59.28,9849142
4-Nov-16,58.23,58.34,57.37,57.38,8737140
3-Nov-16,58.14,58.36,57.35,58.15,13088067
2-Nov-16,60.63,61.12,60.24,60.55,7359269
1-Nov-16,61.77,61.81,59.90,60.68,8322769
31-Oct-16,61.55,61.96,61.44,61.70,5901492
28-Oct-16,61.64,61.91,60.96,61.28,7016933
27-Oct-16,61.44,62.03,61.12,61.42,9922419
26-Oct-16,60.30,61.37,60.16,61.11,6584600
25-Oct-16,60.30,60.60,60.16,60.55,3493816
24-Oct-16,60.28,60.50,60.19,60.32,3458593
21-Oct-16,59.53,60.09,59.40,60.00,4218319
20-Oct-16,60.49,60.69,59.81,60.07,4380784
19-Oct-16,60.46,61.00,60.46,60.71,4546787
18-Oct-16,60.71,61.00,60.38,60.49,4105553
17-Oct-16,60.03,60.48,59.90,60.29,5158610
14-Oct-16,60.14,60.69,59.77,59.86,5207790
13-Oct-16,59.80,59.93,58.93,59.59,6131126
12-Oct-16,60.09,60.87,59.90,60.44,5565472
11-Oct-16,60.11,60.38,59.50,59.86,5170858
10-Oct-16,60.33,60.73,60.33,60.44,3435899
7-Oct-16,60.00,60.44,59.61,60.06,4733009
6-Oct-16,59.96,60.13,59.51,59.95,4921428
5-Oct-16,59.39,60.28,59.34,59.90,5219931
4-Oct-16,58.82,59.26,58.62,59.08,5990138
3-Oct-16,59.19,59.30,58.49,58.92,4412150
30-Sep-16,58.80,59.60,58.80,59.34,6408471
29-Sep-16,59.35,59.86,58.23,58.40,7291920
28-Sep-16,58.78,59.53,58.64,59.50,6052659
27-Sep-16,58.14,58.93,57.90,58.51,5388315
26-Sep-16,58.44,58.44,58.06,58.25,4895474
23-Sep-16,58.92,59.12,58.64,58.73,6306925
22-Sep-16,58.24,59.04,58.17,58.99,6619055
21-Sep-16,58.12,58.36,57.54,58.09,8334384
20-Sep-16,58.09,58.12,57.78,57.84,5092422
19-Sep-16,58.15,58.54,57.66,57.84,6684717
16-Sep-16,58.21,58.26,57.72,57.90,22310161
15-Sep-16,58.00,58.90,57.88,58.59,6574740
14-Sep-16,58.18,58.63,57.89,58.08,5978832
13-Sep-16,58.03,58.37,57.71,58.23,7098530
12-Sep-16,58.28,59.22,57.54,58.99,9222431
9-Sep-16,58.86,59.29,58.66,58.67,6937290
8-Sep-16,59.38,59.58,58.97,59.04,5279550
7-Sep-16,59.32,59.51,58.94,59.37,4488233
6-Sep-16,59.63,59.84,58.99,59.45,7066238
2-Sep-16,59.72,59.97,59.55,59.86,4334148
1-Sep-16,59.91,59.99,58.99,59.41,4677348
31-Aug-16,59.70,59.89,59.35,59.83,6089995
30-Aug-16,59.74,59.74,59.22,59.64,4218481
29-Aug-16,59.15,59.74,59.15,59.43,3675949
26-Aug-16,59.17,59.50,58.70,59.02,3951215
25-Aug-16,58.76,59.25,58.74,58.94,4078439
24-Aug-16,59.01,59.35,58.80,58.91,3870630
23-Aug-16,59.25,59.35,58.99,59.02,4052471
22-Aug-16,58.91,59.10,58.69,58.99,3594022
19-Aug-16,58.80,58.98,58.45,58.86,3882836
18-Aug-16,59.11,59.35,58.80,58.98,3757155
17-Aug-16,59.26,59.40,58.94,59.03,4146084
16-Aug-16,58.98,59.56,58.75,59.31,3836751
15-Aug-16,59.02,59.34,58.95,59.22,3456019
12-Aug-16,58.84,58.97,58.72,58.85,2637083
11-Aug-16,59.20,59.54,59.14,59.18,3444443
10-Aug-16,59.27,59.41,58.91,59.00,3563299
9-Aug-16,59.29,59.55,59.10,59.27,3647952
8-Aug-16,59.43,59.81,59.28,59.39,5383258
5-Aug-16,58.25,59.16,58.12,59.10,5961938
4-Aug-16,58.09,58.25,57.58,57.61,8257399
3-Aug-16,56.91,58.23,56.80,58.10,15480247
2-Aug-16,54.19,54.39,53.93,54.14,6058956
1-Aug-16,54.46,54.77,54.15,54.21,6143858
29-Jul-16,54.43,54.65,54.17,54.44,5937415
28-Jul-16,54.41,54.90,54.34,54.79,3305403
27-Jul-16,54.61,54.82,54.41,54.62,4783967
26-Jul-16,54.66,54.92,54.39,54.69,2959179
25-Jul-16,54.62,54.74,54.39,54.66,3396495
22-Jul-16,54.41,54.67,54.34,54.62,2905123
21-Jul-16,54.50,54.64,54.19,54.29,4160970
20-Jul-16,54.58,54.88,54.32,54.57,3680616
19-Jul-16,54.28,54.52,54.11,54.46,3503787
18-Jul-16,54.33,54.78,54.26,54.56,3919048
15-Jul-16,54.62,54.74,54.17,54.44,4694068
14-Jul-16,54.43,54.69,54.09,54.40,5614762
