Date,Open,High,Low,Close,Volume
9-Dec-16,42.59,43.04,42.23,42.31,901879
8-Dec-16,42.14,42.92,41.92,42.60,764142
7-Dec-16,41.86,42.38,41.65,42.35,1044219
6-Dec-16,41.99,42.44,41.70,41.77,1409169
5-Dec-16,41.75,42.09,41.43,41.90,1058729
2-Dec-16,41.60,42.38,41.39,41.77,1324026
1-Dec-16,42.08,42.08,41.08,41.36,1487924
30-Nov-16,41.42,42.32,40.90,42.10,1998654
29-Nov-16,41.81,42.40,41.80,42.05,1655443
28-Nov-16,41.01,41.85,41.01,41.70,1428417
25-Nov-16,40.79,41.40,40.65,41.06,514093
23-Nov-16,40.34,40.67,40.02,40.64,1214024
22-Nov-16,40.01,40.69,39.66,40.66,1507666
21-Nov-16,40.56,40.89,39.82,39.88,1554431
18-Nov-16,40.38,40.50,39.80,40.45,1944915
17-Nov-16,40.72,41.01,40.33,40.40,1344275
16-Nov-16,40.74,41.15,40.41,40.76,1359150
15-Nov-16,42.96,42.96,40.61,41.03,3796388
14-Nov-16,41.91,43.23,40.95,42.80,3569563
11-Nov-16,42.38,43.01,41.80,41.97,2414339
10-Nov-16,43.41,43.61,41.98,42.28,1845507
9-Nov-16,43.92,44.22,41.92,43.53,1401750
8-Nov-16,44.36,45.02,44.05,44.86,1008970
7-Nov-16,44.91,44.91,43.95,44.20,1315642
4-Nov-16,43.99,44.57,43.75,44.33,1121312
3-Nov-16,43.94,44.40,43.73,43.75,1186704
2-Nov-16,43.75,44.33,43.69,43.93,1787301
1-Nov-16,43.99,44.34,43.30,43.63,1618880
31-Oct-16,43.34,44.30,43.11,44.07,1889062
28-Oct-16,42.86,43.72,42.47,42.85,1964653
27-Oct-16,43.04,43.21,41.74,42.11,1187568
26-Oct-16,42.61,43.24,42.07,43.13,1198920
25-Oct-16,42.72,43.08,42.37,42.92,1417071
24-Oct-16,43.63,44.03,42.94,43.00,994907
21-Oct-16,42.99,43.54,42.92,43.38,981290
20-Oct-16,42.90,43.45,42.73,43.34,1487426
19-Oct-16,42.90,43.38,42.80,43.33,746285
18-Oct-16,43.52,43.56,42.89,42.93,748193
17-Oct-16,42.92,43.31,42.79,43.09,742108
14-Oct-16,43.07,43.43,42.68,42.79,1273528
13-Oct-16,42.49,43.33,42.25,43.11,1338538
12-Oct-16,42.37,42.96,42.28,42.68,1860834
11-Oct-16,42.36,42.72,42.20,42.28,2269599
10-Oct-16,42.01,42.57,41.94,42.36,1073277
7-Oct-16,42.30,42.65,41.79,41.96,1343255
